"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",187.82,17.64,-38.83,94.84,-7.69,-9.71,2.19,0.95,0.34,0.35,0.34,0.41,186.65,0,-70.48,93.77,-12.2,-13.57,-0.92,-0.78,0.34,0.35,0.34,0.41,188.47,94.75,-9.09,95.66,-5.56,-7.72,4.31,3.92,0.34,0.35,0.34,0.41,2.1,0.87,NA
"1981-01-02",189.18,17.7,-22.81,95.23,-7.89,-9.39,-2.29,0.22,0.34,0.35,0.34,0.41,188.47,0,-43.59,94.5,-12.67,-14.14,-5.13,-0.52,0.34,0.34,0.33,0.41,189.82,91.6,-3.03,95.57,-5.8,-7.37,-1.12,0.9,0.34,0.35,0.34,0.41,1.29,0.09,NA
"1981-01-03",196.71,14.98,-21.07,92.88,-7.22,-9.8,-1.28,3.63,0.34,0.34,0.33,0.41,189.93,0,-46.33,92.24,-15.1,-18.57,-7.64,-0.51,0.34,0.34,0.33,0.41,199.57,88.4,0.77,94.31,-2.52,-4.25,3.18,6.31,0.34,0.34,0.33,0.41,10.11,1.87,NA
"1981-01-04",200.79,24.81,-31.64,94.06,-14.62,-17.91,1.81,2.99,0.34,0.34,0.33,0.41,199.7,0,-57.92,93.47,-16.07,-19.46,0.04,0.59,0.34,0.34,0.33,0.4,201.61,116.5,-1.53,94.41,-13.19,-16.11,3.99,5.12,0.34,0.34,0.33,0.41,2.29,1,NA
"1981-01-05",203.21,24.7,-34,93.76,-14.59,-17.6,1.42,1.64,0.34,0.34,0.33,0.4,201.66,0,-84.54,93.48,-16.65,-19.86,-0.4,0.7,0.34,0.34,0.33,0.4,204.46,127.35,-4.54,94.12,-12.23,-15.61,3.47,2.98,0.34,0.34,0.33,0.4,2.95,0.5,NA
"1981-01-06",205.81,19.64,-22.99,94.98,-9.37,-12.07,3.33,0.92,0.34,0.34,0.33,0.4,204.65,0,-40.07,93.96,-11.37,-14.49,1.28,0.61,0.34,0.34,0.33,0.4,206.21,93.99,-11.61,95.67,-8.19,-10.93,4.55,2.14,0.34,0.34,0.33,0.4,1.76,0.79,NA
"1981-01-07",206.55,24.53,-24.18,95.87,-7.51,-9.71,-0.64,2.44,0.34,0.34,0.33,0.4,206.26,0,-54.12,95.55,-10.5,-12.09,-2.72,1.28,0.34,0.34,0.33,0.4,206.92,123.32,-1.87,96.13,-1.97,-3.88,0.97,4.82,0.34,0.34,0.33,0.4,0.68,0.59,NA
"1981-01-08",212.34,9.96,-24.31,94.2,-1.5,-3.85,-1.87,5.52,0.34,0.34,0.33,0.4,207.02,0,-73.15,93.6,-8.99,-12.71,-5.59,4.07,0.34,0.34,0.33,0.4,216.74,60.44,2.53,95.47,2.32,0.71,3.16,7.36,0.34,0.34,0.33,0.4,10.35,2.76,NA
"1981-01-09",217.62,23.33,-46.19,95.43,-11.55,-14.84,2.58,2.79,0.34,0.34,0.33,0.4,216.66,0,-74.46,94.2,-13.01,-16.87,0.82,1.34,0.34,0.34,0.33,0.4,218.4,110.85,-30.99,96.72,-9.61,-12.89,3.91,4.11,0.34,0.34,0.33,0.4,2.28,1.46,NA
"1981-01-10",218.56,28.65,-29.34,96.79,-11.84,-14.34,-2.16,0.63,0.34,0.34,0.33,0.4,218.41,0,-67.54,95.61,-14.45,-16.56,-7.59,-0.42,0.34,0.34,0.33,0.4,219.72,145.08,4.44,97.17,-6.8,-8.55,0.63,1.52,0.34,0.34,0.33,0.4,1.35,0.44,NA
"1981-01-11",227.53,18.9,-25.87,94.25,-1.06,-4.04,-2.59,5.03,0.38,0.35,0.33,0.4,220.25,0,-94.71,93.6,-7.84,-12.71,-7.98,0.72,0.33,0.34,0.33,0.4,231.35,100.04,14.19,95.31,6.01,5.1,1.54,6.88,0.42,0.36,0.33,0.4,18.39,3.17,NA
"1981-01-12",227.55,28.57,-59.62,95.94,-9,-13.05,1.9,3.1,0.37,0.36,0.33,0.4,227.43,0,-77.7,95.05,-11.35,-13.88,1.23,0.25,0.37,0.36,0.33,0.4,227.81,132.88,-43.5,96.48,-7.33,-12.37,2.76,5.14,0.38,0.36,0.33,0.4,0.22,2.15,NA
"1981-01-13",232.09,6.45,-9.51,95.41,-8.47,-10.29,-3.46,-0.48,0.36,0.36,0.33,0.4,227.43,0,-57.65,93.96,-13.35,-15.07,-7.29,-1.49,0.36,0.36,0.33,0.4,239.53,29.36,6.27,96.45,-3.97,-5.49,1.9,0.33,0.37,0.36,0.33,0.4,12.08,0.48,NA
"1981-01-14",240.52,16.86,-14.53,94.43,-5.66,-8.32,1.02,3.48,0.36,0.36,0.33,0.4,239.86,0,-31.6,93.82,-9.26,-11.64,-4.09,0.46,0.36,0.36,0.33,0.4,241.12,91.95,3.16,95.08,-2.06,-3.89,3.15,4.89,0.36,0.36,0.33,0.4,1.95,1.83,NA
"1981-01-15",242.26,16.93,-17.47,95.6,-9.18,-11.86,3.12,2.03,0.36,0.36,0.33,0.4,241.27,0,-28.64,95.1,-10.12,-12.76,2.01,0.86,0.35,0.36,0.33,0.4,242.9,85.84,-7.49,95.98,-8.49,-11,4.04,2.64,0.36,0.36,0.33,0.4,2.08,1.23,NA
"1981-01-16",243.2,25.18,-33.36,95.46,-10.89,-13.05,0.19,-0.13,0.35,0.36,0.33,0.4,242.94,0,-69.29,95.12,-12.71,-14.16,-0.67,-1.09,0.35,0.35,0.33,0.4,243.51,113.66,-12.36,95.98,-8.21,-11.94,1.44,1.26,0.35,0.36,0.33,0.4,0.67,0.36,NA
"1981-01-17",243.84,26.25,-36.05,95.16,-12.6,-14.61,-0.43,-0.03,0.35,0.35,0.33,0.4,243.57,0,-67.91,94.83,-14.82,-16.45,-1.82,-0.87,0.35,0.35,0.33,0.4,243.93,109.84,-16.84,95.31,-9.78,-12.74,1.05,0.99,0.35,0.35,0.33,0.4,0.44,0.23,NA
"1981-01-18",251.84,11.94,-7.59,92.86,-7.57,-9.26,-3.62,-1.36,0.35,0.35,0.33,0.4,243.95,0,-23.23,91.53,-12.63,-14.31,-6.41,-2.43,0.35,0.35,0.33,0.4,256.64,67.16,0.24,94.7,-4.6,-6.29,0.9,-0.35,0.35,0.35,0.33,0.4,12.61,0.42,NA
"1981-01-19",258.03,20.56,-21.54,91.81,-9.99,-12.54,3.5,-0.18,0.35,0.35,0.32,0.4,256.74,0,-32.22,91.21,-11.65,-14.42,0.84,-2.52,0.35,0.35,0.32,0.4,259.5,104.22,-10.23,92.42,-7.74,-9.01,5.15,1.81,0.35,0.35,0.33,0.4,3.16,1.1,NA
"1981-01-20",261.16,28.11,-30.95,92.91,-12.46,-16.29,3.53,0.97,0.34,0.35,0.32,0.4,259.66,0,-43.36,92.43,-13.81,-19.68,3.06,-1.66,0.34,0.35,0.32,0.4,262.57,134.29,-12.39,93.64,-10.02,-12.3,4.88,2.06,0.35,0.35,0.32,0.4,3.38,1.35,NA
"1981-01-21",263.81,19.79,-19.13,94.24,-10.53,-13.05,2.39,-0.83,0.34,0.35,0.32,0.4,262.66,0,-40.75,93.7,-11.41,-13.97,1.69,-1.71,0.34,0.35,0.32,0.4,265.51,89.3,-4.79,94.58,-9.51,-11.69,3.23,-0.31,0.34,0.35,0.32,0.4,3.01,0.55,NA
"1981-01-22",265.69,30.44,-30.84,95.01,-10.89,-13.38,1.04,0.14,0.34,0.34,0.32,0.4,265.55,0,-51.54,94.61,-11.8,-13.76,-1.36,-0.58,0.34,0.34,0.32,0.4,265.76,145.34,-13.9,95.29,-9.14,-12.67,2.38,1.01,0.34,0.35,0.32,0.4,0.3,0.45,NA
"1981-01-23",266.28,23.39,-20.27,94.65,-10.24,-12.37,-1.72,-0.16,0.34,0.34,0.32,0.4,265.77,0,-37.59,93.93,-12.31,-14.39,-3.13,-1.05,0.34,0.34,0.32,0.4,268.01,111.29,-4.37,95.23,-8.29,-9.59,-1.04,0.86,0.34,0.34,0.32,0.4,2.28,0.3,NA
