"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",114.49,34.58,-67.96,98.13,-6.16,-9.2,2.02,1.77,0.37,0.36,0.35,0.41,114.45,0,-88.29,97.09,-9.75,-11.01,-0.66,-0.72,0.37,0.36,0.35,0.41,114.55,174.5,-47.13,98.97,-2.94,-6.83,3.51,3.75,0.38,0.36,0.35,0.41,0.18,4.91,1.15
"1981-01-02",116.12,16.13,-19.47,98.54,-5.83,-7.3,-1.74,-0.8,0.36,0.36,0.35,0.41,114.45,0,-48.13,97.93,-11.07,-12.07,-3.53,-1.47,0.36,0.36,0.35,0.41,117.37,78.75,0.71,98.9,-3.32,-5.64,-1.01,0.07,0.37,0.36,0.35,0.41,2.88,0.7,1.29
"1981-01-03",123.43,24.84,-40,96.3,-5.19,-8.79,-0.04,3.49,0.36,0.36,0.35,0.41,117.4,0,-90.56,95.67,-13.89,-19.26,-5.88,-1,0.36,0.36,0.35,0.41,124.59,119.37,-3.77,97.76,-0.31,-2.7,4.01,6.09,0.36,0.36,0.35,0.41,7.6,9.92,1.36
"1981-01-04",124.51,32.89,-50.41,97.48,-12.62,-17.15,1.95,3.02,0.36,0.36,0.35,0.41,124.23,0,-87.16,96.95,-15.09,-20.41,-0.15,0.16,0.36,0.36,0.34,0.41,125.3,158.18,-5.08,97.88,-10.16,-13.14,3.89,5.01,0.36,0.36,0.35,0.41,1.25,5.33,1.29
"1981-01-05",128.13,23.28,-42.4,97.1,-12.31,-15.6,1.84,1.3,0.35,0.36,0.34,0.41,125.36,0,-96.12,96.78,-15.58,-19.53,0.65,0.06,0.35,0.36,0.34,0.41,129.32,123,-4.73,97.43,-10.25,-13.12,3.23,3.38,0.36,0.36,0.34,0.41,4.16,2.26,1.22
"1981-01-06",129.4,36.76,-62.79,98.28,-8.62,-11.83,2.65,1.62,0.35,0.36,0.34,0.41,129.27,0,-84.62,97.33,-13.41,-16.55,1.38,0.96,0.35,0.36,0.34,0.41,129.47,188.6,-43.15,99.02,-5.65,-10.72,3.75,3.3,0.35,0.36,0.34,0.41,0.21,3.6,1.16
"1981-01-07",129.39,35.59,-45.47,99.28,-5.98,-8.66,0.15,2.44,0.35,0.36,0.34,0.41,129.36,0,-75.87,99.04,-9.71,-11.4,-1.43,1.61,0.35,0.35,0.34,0.41,129.42,177.49,-14.41,99.51,-0.78,-3.44,1.23,4.37,0.35,0.36,0.34,0.41,0.09,2.95,1.09
"1981-01-08",131.62,13.22,-28.18,97.64,0.16,-2.71,-1.1,5.27,0.37,0.36,0.34,0.41,129.44,0,-75.12,96.9,-5.45,-9.87,-3.92,3.91,0.35,0.35,0.34,0.41,133.36,95.99,-1.83,98.98,3.44,1.79,3.24,7.16,0.43,0.37,0.34,0.41,11.18,12.1,1.03
"1981-01-09",132.58,39.42,-82.93,98.84,-10,-14.12,2.22,2.71,0.38,0.37,0.34,0.41,132.48,0,-97.59,97.53,-13.55,-16.05,0.96,1.85,0.37,0.37,0.34,0.41,132.85,190.82,-62.66,100.17,-6.5,-11.08,3.6,3.57,0.39,0.37,0.34,0.41,0.23,6.07,0.99
"1981-01-10",132.47,36.62,-45.23,100.27,-11.37,-14.36,-1.24,0.61,0.37,0.37,0.34,0.41,132.42,0,-78.95,99.24,-16.14,-18.63,-5.14,-0.79,0.37,0.37,0.34,0.41,132.79,187.38,-1.72,100.66,-4.57,-6.51,0.97,1.76,0.37,0.37,0.34,0.41,0.34,1.79,0.95
"1981-01-11",133.72,18.87,-35.39,97.66,1.11,-2.03,-1.32,4.34,0.4,0.39,0.34,0.41,131.41,0,-100.46,96.94,-4.8,-9.95,-5.58,-0.32,0.37,0.37,0.34,0.41,137.98,107.82,8.78,98.93,7.92,6.23,2.44,6.15,0.44,0.4,0.34,0.41,12.26,12.43,1.06
"1981-01-12",131.03,36.9,-73.5,99.31,-5.41,-9.62,1.82,2.76,0.39,0.4,0.34,0.41,130.82,0,-100.01,98.44,-8.1,-11.16,1.01,0.3,0.39,0.39,0.34,0.41,131.34,193.8,-46.42,99.77,-3.04,-8.09,2.42,4.37,0.4,0.4,0.34,0.41,0.02,7.9,1.37
"1981-01-13",135.97,5.7,-16.04,98.8,-6.15,-7.96,-2.35,-1.6,0.38,0.39,0.34,0.41,130.79,0,-54.98,97.27,-11.06,-13.31,-4.75,-2.58,0.38,0.39,0.34,0.41,144.49,27.08,3.84,99.8,-2.25,-2.91,1.59,-0.03,0.39,0.39,0.34,0.41,13.66,1.16,1.51
"1981-01-14",144.58,26.71,-28.59,97.75,-3.18,-6.72,1.75,3.3,0.38,0.38,0.34,0.41,144.36,0,-49.05,97.1,-6.68,-9.66,-1.4,-0.87,0.37,0.38,0.34,0.41,144.8,140.33,-0.45,98.41,0.03,-2.05,3.04,4.96,0.38,0.39,0.34,0.41,0.48,9.39,1.37
"1981-01-15",144.29,37.53,-51.62,98.94,-7.53,-11.21,2.64,2.09,0.37,0.38,0.34,0.41,144.15,0,-70.61,98.44,-10.1,-12.11,1.29,1.37,0.37,0.38,0.34,0.4,144.37,175.61,-27.36,99.36,-6.14,-10.06,4.28,2.75,0.37,0.38,0.34,0.41,0.24,5.89,1.29
"1981-01-16",144.68,21.88,-41.12,98.78,-10.13,-12.41,0.42,0.18,0.37,0.37,0.34,0.4,144.12,0,-66.06,98.38,-12.44,-14.14,-0.92,-1.21,0.37,0.37,0.34,0.4,145.23,104.69,-13.14,99.37,-7.39,-10.75,1.45,1.74,0.37,0.38,0.34,0.4,1.17,0.94,1.22
"1981-01-17",145.31,34.78,-46.15,98.5,-12.03,-14.48,0.01,0.48,0.36,0.37,0.34,0.4,145.24,0,-77.03,98.17,-15.11,-16.9,-1.66,-0.52,0.36,0.37,0.34,0.4,145.35,156.02,-14.19,98.68,-8.6,-11.99,1.3,0.96,0.37,0.37,0.34,0.4,0.14,1.03,1.16
"1981-01-18",157.86,8.88,-6.52,96.07,-5.42,-6.72,-2.49,-2.13,0.36,0.37,0.34,0.4,145.4,0,-11.81,94.59,-10.44,-12.47,-4.6,-3.4,0.36,0.37,0.34,0.4,165.63,43.7,-2.27,98.05,-2.87,-3.87,0.86,-0.48,0.36,0.37,0.34,0.4,20.09,1.05,1.1
"1981-01-19",166.41,36.83,-45.7,94.94,-7.79,-10.97,3.03,0.64,0.36,0.36,0.34,0.4,165.78,0,-72.19,94.25,-10.27,-13.34,0.87,-2.5,0.36,0.36,0.34,0.4,166.57,176.96,-15.29,95.72,-4.83,-5.99,4.82,2.69,0.36,0.37,0.34,0.4,1.41,5.2,1.05
"1981-01-20",166.7,42.22,-61.5,96.2,-11.28,-15.48,2.47,2.07,0.36,0.36,0.34,0.4,166.58,0,-83.54,95.72,-12.45,-19.19,1.65,0.11,0.36,0.36,0.34,0.4,166.95,187.52,-28.67,96.8,-10.33,-12.97,4.05,2.76,0.36,0.36,0.34,0.4,0.74,4.64,0.99
"1981-01-21",167.92,28.87,-33.97,97.47,-8.95,-11.72,1.92,0.04,0.35,0.36,0.34,0.4,166.97,0,-68.49,96.88,-10.55,-12.68,1.37,-0.74,0.35,0.36,0.34,0.4,169.91,129.99,-19,97.84,-7.05,-10.51,2.62,0.74,0.36,0.36,0.34,0.4,3.03,1.75,0.95
