"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",140.66,31.42,-47.21,96.28,-7.45,-10.05,1.97,1.86,0.37,0.37,0.34,0.41,140.32,0,-75.7,95.38,-8.96,-11.33,-0.83,0.02,0.37,0.37,0.34,0.41,140.8,164.25,-18.17,96.95,-4.72,-8.08,3.26,3.31,0.38,0.37,0.34,0.41,0.72,1.56,NA
"1981-01-02",142.06,24.91,-17.96,96.41,-6.91,-8.53,-2,-0.3,0.37,0.37,0.34,0.41,140.8,0,-68.43,95.62,-10.54,-11.51,-4.74,-1.31,0.36,0.37,0.34,0.41,142.85,162.78,-0.89,96.79,-5.16,-6.87,-1,0.76,0.37,0.37,0.34,0.41,2.04,0.57,NA
"1981-01-03",151.28,19.56,-29.38,94.34,-7.16,-10.23,0.33,3.98,0.36,0.36,0.34,0.41,143.36,0,-62.84,93.61,-15.8,-20.16,-6.09,-0.9,0.36,0.36,0.34,0.41,152.79,87.91,-1.67,95.3,-1.11,-2.72,4.01,6.69,0.36,0.37,0.34,0.41,10.4,3.2,NA
"1981-01-04",153.65,21.08,-35.54,95.59,-13.85,-17.31,1.67,2.16,0.36,0.36,0.34,0.41,152.81,0,-78,95.25,-16.48,-20.7,-0.04,-0.52,0.36,0.36,0.34,0.41,155.01,92.07,2.32,96,-11.39,-14.49,4,4.69,0.36,0.36,0.34,0.41,2.39,1.06,NA
"1981-01-05",157.28,30.17,-42.82,95.21,-14.44,-17.42,1.77,1.02,0.36,0.36,0.34,0.41,155.03,0,-89.69,94.89,-17.64,-20.77,0.6,-0.43,0.35,0.36,0.34,0.41,158.17,154.2,-5.65,95.56,-12.61,-14.95,3.3,2.6,0.36,0.36,0.34,0.41,3.29,0.71,NA
"1981-01-06",158.54,33.01,-44.92,96.44,-9.71,-12.17,2.33,1.23,0.35,0.36,0.34,0.41,158.21,0,-76.86,95.62,-14.7,-16.99,0.84,0.45,0.35,0.36,0.34,0.41,158.69,182.64,-29.21,97.08,-6.68,-10.46,3.47,2.77,0.35,0.36,0.34,0.41,0.48,0.62,NA
"1981-01-07",158.91,28.72,-24.1,97.24,-5.62,-7.93,-0.03,3.3,0.35,0.36,0.34,0.41,158.69,0,-51.22,96.96,-10.6,-12.14,-2.1,1.75,0.35,0.36,0.34,0.41,159.61,157.27,-4.3,97.5,-1,-2.68,0.97,5.43,0.35,0.36,0.34,0.41,0.89,1.58,NA
"1981-01-08",171.75,6.4,-24.86,95.61,-1.37,-3.45,-1.24,5.69,0.36,0.36,0.34,0.41,160.05,0,-83.78,95.05,-8.2,-11.87,-4.44,3.32,0.35,0.35,0.34,0.41,178.69,29.62,0.01,96.87,1.81,1.56,3.08,7.76,0.38,0.36,0.34,0.41,21.79,3.5,NA
"1981-01-09",178.44,33.11,-66,96.94,-11.59,-15.05,2.2,2.24,0.37,0.36,0.34,0.41,178.3,0,-95.79,95.74,-15.35,-17.58,0.61,1.35,0.36,0.36,0.34,0.4,178.55,166.03,-35.67,98.13,-9.14,-12.31,3.4,3.08,0.37,0.36,0.34,0.41,0.62,1.79,NA
"1981-01-10",178.67,24.62,-24.43,98.03,-11.97,-14.53,-2.12,0.31,0.36,0.36,0.33,0.4,178.54,0,-71.45,96.65,-16.27,-18.28,-6.16,-1,0.36,0.36,0.33,0.4,179.46,110.32,8.77,98.48,-5.93,-8.57,0.48,1.45,0.36,0.36,0.34,0.4,0.89,0.64,NA
"1981-01-11",186.52,18.48,-25.53,95.62,-0.68,-3.26,-1.41,5.28,0.4,0.38,0.33,0.4,180.35,0,-76.52,94.86,-6.32,-10.68,-6.12,1.44,0.36,0.36,0.33,0.4,189.02,101.54,13.98,96.48,5.46,5.04,2.19,6.47,0.44,0.39,0.34,0.4,21.84,4.08,NA
"1981-01-12",186.58,36.24,-65.58,97.35,-6.64,-9.93,1.7,2.79,0.39,0.39,0.34,0.4,186.49,0,-90.56,96.57,-8.98,-11.48,0.71,-0.67,0.38,0.39,0.34,0.4,186.77,198.64,-26.72,97.76,-4.61,-8.91,2.4,4.81,0.39,0.39,0.34,0.4,0.09,2.55,NA
"1981-01-13",191.18,4.56,-10.36,96.52,-6.29,-7.94,-3.2,-1.23,0.38,0.38,0.34,0.4,186.48,0,-48.22,95.16,-9.82,-11.67,-6.1,-2.17,0.38,0.38,0.34,0.4,197.09,19.13,3.77,97.7,-1.7,-2.1,0.72,1.06,0.38,0.39,0.34,0.4,10.74,0.77,NA
"1981-01-14",197.51,21.34,-22.51,95.87,-5.06,-7.78,1.78,4.39,0.37,0.38,0.34,0.4,197.24,0,-39.77,95.13,-8.22,-10.57,-1.05,2.52,0.37,0.38,0.34,0.4,197.61,98.06,0.23,96.55,-0.59,-1.05,2.9,6.44,0.38,0.38,0.34,0.4,1.03,3.25,NA
