"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",81.89,41.87,-56.69,98.24,-5.82,-9.62,2,1.96,0.4,0.41,0.37,0.41,81.76,0,-96.22,97.36,-7.64,-11.02,-0.07,-0.03,0.39,0.4,0.37,0.41,82.07,210.47,-25.43,98.91,-3.61,-7.72,3.29,3.19,0.4,0.41,0.37,0.41,0.04,5.94,NA
"1981-01-02",85.78,19.21,-18.01,98.36,-4.73,-6.7,-1.37,-1.02,0.39,0.4,0.37,0.41,81.76,0,-39.01,97.78,-7.19,-8.91,-3.55,-2.42,0.38,0.39,0.37,0.41,87.77,128.37,-5.76,98.78,-2.48,-5.71,0.03,0.13,0.39,0.4,0.37,0.41,6.04,1.8,NA
"1981-01-03",93.34,31.16,-43.1,96.46,-4.49,-7.88,0.77,3.99,0.38,0.39,0.37,0.41,87.8,0,-83.69,95.94,-12.51,-17.66,-4.52,-0.73,0.38,0.39,0.37,0.41,94.15,163.5,-2.89,97.47,0.54,-1.21,4,6.21,0.38,0.39,0.37,0.41,6.92,9.96,NA
"1981-01-04",95.12,20.49,-41.82,97.57,-9.83,-13.43,1.51,1.68,0.38,0.39,0.37,0.41,93.91,0,-88.83,97.23,-12.96,-18.01,-0.55,-1.84,0.37,0.38,0.37,0.41,97.22,90.57,-2.03,98.09,-7.36,-9.21,3.86,4.46,0.38,0.39,0.37,0.41,3.4,4.48,NA
"1981-01-05",100.88,20.18,-41.35,97.1,-11.34,-14.36,1.68,0.5,0.37,0.38,0.37,0.41,97.26,0,-98.92,96.78,-17.48,-20.76,0.49,-1.16,0.37,0.38,0.37,0.41,102.48,101.64,-5.57,97.57,-8.53,-10.36,3.43,2.76,0.37,0.38,0.37,0.41,5.4,2.39,NA
"1981-01-06",102.31,44.13,-74.49,98.39,-10.56,-13.29,2.05,1.63,0.37,0.38,0.37,0.41,102.29,0,-94.27,97.63,-16.62,-19.53,1.37,1.08,0.37,0.38,0.37,0.41,102.33,218.58,-58.13,99.07,-5.71,-9.95,2.74,2.47,0.37,0.38,0.37,0.41,0.01,1.71,NA
"1981-01-07",102.34,34.2,-47.41,99.34,-5.21,-7.75,0.32,2.82,0.37,0.38,0.37,0.41,102.29,0,-77.86,99.09,-10.92,-12.74,-1.25,1.58,0.37,0.37,0.37,0.41,102.41,179.54,-20.09,99.56,-1.28,-3.88,1.56,4.52,0.37,0.38,0.37,0.41,0.2,3.74,NA
"1981-01-08",107.21,10.59,-24.07,97.85,-0.07,-2.4,-1.09,5.24,0.39,0.38,0.36,0.41,102.43,0,-87.73,97.11,-5.13,-9.82,-3.46,3.74,0.37,0.37,0.36,0.41,111.99,58.99,-2.21,99.19,3.79,2.3,2.87,6.84,0.44,0.4,0.37,0.41,20.72,9.58,NA
"1981-01-09",111.39,38,-80.78,98.93,-9.3,-13.43,2.14,2.31,0.39,0.4,0.37,0.41,111.22,0,-94.59,97.69,-14.59,-17.2,1.34,1.03,0.39,0.39,0.37,0.41,111.68,176.46,-56.26,100.17,-5.62,-10.37,3.04,3.49,0.4,0.4,0.37,0.41,0.12,6.06,NA
"1981-01-10",111.25,40.58,-47.24,100.14,-11.36,-14.4,-1.39,0.46,0.38,0.39,0.37,0.41,111.19,0,-76.14,98.99,-18.34,-20.32,-4.49,-0.76,0.38,0.39,0.37,0.41,112.35,204,-2.67,100.59,-3.1,-5.47,1.67,1.68,0.39,0.39,0.37,0.41,1.17,1.83,NA
