"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",43.75,40.2,-62.09,98.61,-4.44,-9.99,2.65,1.7,0.4,0.41,0.39,0.41,43.53,0,-96.04,97.74,-5.46,-11.1,-0.13,0.05,0.39,0.41,0.39,0.41,44.04,192.35,-26.77,99.3,-2.99,-8.77,3.77,2.99,0.41,0.42,0.4,0.41,0.04,10.31,NA
"1981-01-02",49.82,15.49,-15.73,98.71,-3.97,-6.06,-1.37,-1.07,0.39,0.4,0.39,0.41,43.53,0,-41.4,98.28,-6.29,-9.43,-3.75,-2.85,0.39,0.4,0.39,0.41,52.91,109.89,0.22,99.17,-1.96,-4.84,0.61,0.59,0.39,0.41,0.4,0.41,9.44,1.8,NA
"1981-01-03",58.5,35.97,-50.56,96.97,-3.48,-6.71,1.01,4.12,0.38,0.4,0.39,0.41,52.86,0,-97.64,96.53,-10.58,-15.52,-5.26,-0.03,0.38,0.39,0.39,0.41,59.26,182.9,-2.24,97.98,1.16,-0.93,4.41,6.18,0.39,0.4,0.39,0.41,6.87,10.77,NA
"1981-01-04",61.03,19.14,-40.38,97.96,-7.26,-10.41,1.28,1.63,0.38,0.39,0.39,0.41,59.06,0,-91.02,97.47,-10.41,-15.45,-1.51,-1.78,0.38,0.39,0.39,0.41,64.73,93.05,-1.51,98.57,-4.72,-5.5,4.26,4.55,0.38,0.39,0.39,0.41,5.82,5.63,NA
"1981-01-05",68.51,17.02,-39.93,97.41,-8.86,-11.28,1.71,0.23,0.38,0.39,0.39,0.41,64.76,0,-100.99,97.04,-16.9,-20.63,0.08,-1.45,0.38,0.39,0.39,0.41,70.31,85.61,-2.64,97.98,-5.12,-5.99,3.82,2.9,0.38,0.39,0.39,0.41,5.71,2.31,NA
"1981-01-06",70.12,44.8,-78.4,98.77,-10.51,-13.44,2.35,1.38,0.37,0.38,0.39,0.41,70.07,0,-96.19,98.04,-17.12,-20.65,1.68,0.74,0.37,0.38,0.39,0.41,70.15,217.55,-50.7,99.45,-5.27,-9.6,2.94,2.24,0.38,0.39,0.39,0.41,0,2.25,NA
"1981-01-07",70.09,34.03,-53.74,99.82,-5.52,-8,0.49,2.59,0.37,0.38,0.39,0.41,70.06,0,-80.59,99.48,-11.49,-13.48,-1.14,0.88,0.37,0.38,0.38,0.41,70.13,182.99,-20.36,100,-1.1,-4.72,1.9,4.19,0.37,0.38,0.39,0.41,0.11,3.41,NA
"1981-01-08",71.46,16.65,-24.72,98.46,0.3,-2.16,-1.19,5.15,0.39,0.39,0.38,0.41,70,0,-58.9,97.63,-3.09,-7.32,-3.31,3.61,0.37,0.38,0.38,0.41,74.01,99.73,-3.37,99.78,5,2.65,3.17,7.47,0.44,0.41,0.38,0.41,16.79,10.43,NA
"1981-01-09",73.5,34.36,-75.41,99.33,-7.67,-11.97,2.35,2.23,0.4,0.41,0.38,0.41,73.3,0,-95.78,98.12,-13.7,-16.51,1.78,0.33,0.39,0.4,0.38,0.41,73.84,158.32,-36.07,100.55,-3.88,-8.41,3.1,3.57,0.41,0.41,0.39,0.41,0.07,7.49,NA
"1981-01-10",73.29,45.02,-52.45,100.58,-10.26,-13.08,-1.6,0.48,0.39,0.4,0.38,0.41,73.25,0,-86.46,99.56,-17.76,-19.74,-4.8,-0.05,0.39,0.4,0.38,0.41,73.74,222.92,-4.79,101.02,-2.33,-3.94,1.95,0.96,0.39,0.4,0.39,0.41,0.48,2.05,NA
"1981-01-11",69.04,17.8,-31.2,98.37,2.6,0.64,-0.89,4.51,0.41,0.42,0.39,0.41,65.24,0,-101.7,97.72,-2.06,-5.25,-4.8,1.15,0.39,0.4,0.38,0.41,75.2,132.88,8.64,99.3,7.96,7.12,2.24,6.07,0.44,0.44,0.4,0.41,16.54,7.43,NA
