"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",37.01,33.1,-50.7,98.8,-4.06,-9.68,3.04,1.68,0.4,0.41,0.4,0.41,36.83,0,-96.33,97.96,-4.92,-10.93,-0.47,-0.23,0.4,0.41,0.4,0.41,37.26,163.37,-27.8,99.46,-2.88,-8.67,4.44,3.12,0.41,0.42,0.4,0.41,0.07,4.47,NA
"1981-01-02",43.63,15.38,-16.68,98.83,-3.75,-5.97,-1.65,-1.33,0.39,0.4,0.4,0.41,36.83,0,-36.06,98.41,-5.63,-9.35,-4.48,-3.3,0.39,0.4,0.4,0.41,46.84,109.41,0.27,99.32,-1.94,-4.82,0.87,0.59,0.4,0.41,0.4,0.41,10.08,0.99,NA
"1981-01-03",53.02,32.4,-47.93,97.21,-3.14,-6.28,1.49,4.64,0.39,0.4,0.4,0.41,46.83,0,-96.58,96.8,-9.75,-14.89,-5.93,-0.19,0.38,0.4,0.4,0.41,53.93,153.96,-1.34,98.09,1.3,-0.3,5.38,7.22,0.39,0.4,0.4,0.41,7.63,4.3,NA
"1981-01-04",56.55,16.4,-34.11,98.14,-6.44,-9.51,1.34,1.77,0.38,0.39,0.4,0.41,53.92,0,-88.47,97.58,-9.41,-14.88,-2.2,-1.78,0.38,0.39,0.4,0.41,61.09,87.61,2.27,98.79,-3.72,-4.47,5.14,5.11,0.38,0.4,0.4,0.41,7.4,2.55,NA
"1981-01-05",64.43,16.55,-39.66,97.57,-7.81,-10.18,2.09,0.29,0.38,0.39,0.4,0.41,61.09,0,-101.47,97.19,-16.16,-20.15,-0.08,-1.4,0.38,0.39,0.4,0.41,66.09,78.26,-0.54,98.2,-3.85,-4.82,4.38,3.14,0.38,0.39,0.4,0.41,5.17,1.06,NA
"1981-01-06",65.99,42.56,-78.48,98.96,-9.91,-13.05,2.69,1.21,0.38,0.38,0.4,0.41,65.96,0,-98.14,98.26,-16.29,-20.17,1.93,0.49,0.37,0.38,0.39,0.41,66.01,208.86,-51.19,99.62,-4.94,-9.4,3.46,1.85,0.38,0.39,0.4,0.41,0,0.96,NA
"1981-01-07",66.01,34.34,-49.76,100.02,-5.26,-7.78,0.57,2.95,0.37,0.38,0.39,0.41,65.96,0,-75.48,99.66,-10.84,-12.91,-1.36,0.45,0.37,0.38,0.39,0.41,66.05,182.45,-22.65,100.2,-1.06,-4.43,2.23,4.77,0.37,0.38,0.39,0.41,0.14,1.45,NA
"1981-01-08",67.35,12.55,-21.37,98.7,0.28,-2.05,-1.4,5.9,0.39,0.39,0.39,0.41,65.99,0,-55.72,97.86,-2.6,-6.42,-3.9,3.34,0.37,0.38,0.39,0.41,70.14,71.38,-1.93,100,4.63,2.38,3.64,8.7,0.44,0.42,0.39,0.41,17.61,3.87,NA
"1981-01-09",69.76,32.29,-71.95,99.53,-6.93,-11.21,2.69,2.37,0.4,0.41,0.39,0.41,69.59,0,-94.02,98.34,-12.56,-15.19,1.95,-0.22,0.39,0.4,0.39,0.41,70.04,149.88,-36.6,100.71,-3.48,-7.87,3.68,4.02,0.41,0.41,0.39,0.41,0.06,2.96,NA
"1981-01-10",69.62,42.52,-50.6,100.72,-9.54,-12.04,-2.14,0.16,0.39,0.4,0.39,0.41,69.59,0,-82.61,99.67,-16.15,-17.96,-5.47,-0.46,0.39,0.4,0.39,0.41,70.23,207.21,-0.36,101.17,-1.7,-3.09,1.75,0.7,0.39,0.4,0.39,0.41,0.69,0.76,NA
