"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",124.37,31.48,-48.76,97.25,-7.1,-9.68,2.11,1.89,0.39,0.4,0.36,0.41,123.77,0,-90.97,96.4,-10.64,-11.91,-1.49,0.31,0.39,0.39,0.36,0.41,124.72,168.46,-21.63,97.87,-4.38,-7.29,3.83,3.43,0.4,0.4,0.36,0.41,1.24,3.48,3.53
"1981-01-02",125.29,31.67,-29.57,97.26,-6.48,-8.57,-2.5,0.2,0.38,0.39,0.36,0.41,124.73,0,-89.22,96.21,-9.78,-11.19,-6.39,-0.93,0.38,0.39,0.36,0.41,125.78,178.87,-11.36,97.68,-4.52,-6.69,-1.35,1.32,0.39,0.39,0.36,0.41,1.1,1.83,3.02
"1981-01-03",134.75,16.27,-23.75,95.18,-7.08,-10.35,0.82,4.94,0.38,0.39,0.36,0.41,126.66,0,-46.9,94.22,-15.36,-19.35,-8.24,-0.34,0.38,0.38,0.36,0.41,136.47,70.02,-5.51,96.18,-0.43,-2.23,4.82,8.3,0.38,0.39,0.36,0.41,11.35,7.94,2.54
"1981-01-04",137.65,19.43,-30.35,96.55,-13.16,-16.53,1.97,2.42,0.37,0.38,0.36,0.41,136.54,0,-61.91,96.29,-15.71,-19.62,-0.12,-0.25,0.37,0.38,0.36,0.41,139.28,89.1,-3.63,96.93,-11.3,-13.57,4.51,5.18,0.38,0.38,0.36,0.41,2.99,2.42,2.27
"1981-01-05",140.79,32.01,-40.89,96.2,-13.87,-17.25,2.08,1.71,0.37,0.38,0.36,0.41,139.34,0,-78.52,95.9,-16.72,-21.02,0.68,0.41,0.37,0.38,0.36,0.41,141.75,155.64,-11.68,96.57,-12.41,-14.48,3.9,2.84,0.37,0.38,0.36,0.41,2.63,1.69,1.94
"1981-01-06",142.65,27.67,-35.98,97.44,-8.39,-10.92,2.55,1.39,0.37,0.37,0.36,0.41,141.87,0,-58.53,96.64,-12.03,-14.58,0.16,0.52,0.37,0.37,0.36,0.41,142.91,149.7,-16.63,98.02,-6.39,-9.61,3.8,3.04,0.37,0.38,0.36,0.41,1.15,2.24,1.76
"1981-01-07",143.23,26.21,-25.63,98.09,-4.84,-7.14,-0.77,4.07,0.37,0.37,0.36,0.41,142.91,0,-49.53,97.64,-9.36,-10.98,-3.53,2.12,0.36,0.37,0.36,0.41,144.77,135.97,-11.6,98.37,0.19,-1.59,0.84,7.21,0.37,0.37,0.36,0.41,1.91,4.06,1.54
"1981-01-08",153.09,9.38,-31.2,96.35,-0.79,-3.32,-1.5,6.68,0.39,0.39,0.36,0.41,145.69,0,-88.55,95.89,-8.62,-11.82,-6.41,3.64,0.36,0.37,0.36,0.41,155.73,69.33,-0.98,97.53,3.37,2.07,3.54,9.68,0.43,0.4,0.36,0.41,23.63,10.28,1.84
"1981-01-09",155.01,26.79,-56.82,97.92,-11.03,-14.46,2.55,2.49,0.39,0.4,0.36,0.41,154.67,0,-81.69,96.73,-13.45,-16.31,0.08,1.47,0.39,0.39,0.36,0.41,155.26,130.67,-34.11,99.09,-9.15,-12.2,4.02,3.52,0.4,0.4,0.36,0.41,1.06,3.57,2.29
"1981-01-10",155.57,24.29,-22.38,98.81,-9.44,-12.36,-3.34,0.73,0.38,0.39,0.36,0.41,155.26,0,-68.95,97.12,-14.35,-16.89,-8.45,-0.95,0.38,0.39,0.36,0.41,156.78,119.5,8.95,99.3,-3.4,-7.02,-0.19,2.13,0.39,0.39,0.36,0.41,1.63,3.04,3.02
