"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",108.33,21.56,-28.35,97.87,-6.2,-9.43,2.86,1.3,0.39,0.4,0.37,0.41,107.9,0,-49.71,97.11,-7.85,-11.12,-1.36,-0.52,0.39,0.4,0.37,0.41,108.55,107.4,-12.94,98.38,-4.69,-7.63,4.87,2.73,0.4,0.41,0.37,0.41,1.09,3.99,8.49
"1981-01-02",108.86,29.13,-24.77,97.68,-5.07,-7.03,-2.73,0.17,0.39,0.4,0.37,0.41,108.56,0,-66.72,96.31,-7.43,-8.86,-7.98,-1.4,0.38,0.39,0.37,0.41,109.89,150.5,-6.5,98.15,-3.08,-4.68,-0.51,1.58,0.39,0.4,0.37,0.41,1.4,1.6,4.88
"1981-01-03",120.2,14.85,-19.84,95.75,-7.29,-10.25,2.74,5.33,0.38,0.39,0.37,0.41,113.01,0,-39.34,94.5,-15.16,-19.25,-11.16,-0.54,0.38,0.39,0.37,0.41,121.9,66.3,-1.68,96.98,0.06,-0.87,6.96,8.88,0.38,0.39,0.37,0.41,12.76,6.26,3.61
"1981-01-04",123.41,15.37,-27.03,97.16,-13.07,-16.45,2.69,1.4,0.38,0.39,0.37,0.41,121.98,0,-58.41,96.93,-15.1,-19.42,0.25,-1.39,0.37,0.38,0.37,0.41,125.12,70.41,-8.1,97.5,-11.53,-14.35,6.15,4.81,0.38,0.39,0.37,0.41,3.44,2.39,2.67
"1981-01-05",126.03,26.88,-28.65,96.85,-14.44,-17.91,2.72,0.63,0.37,0.38,0.37,0.41,125.13,0,-50.71,96.59,-16.95,-22.07,0.81,-0.81,0.37,0.38,0.37,0.41,126.69,127.9,-10.05,97.31,-11.36,-14.11,4.66,2.06,0.37,0.38,0.37,0.41,1.78,1.58,2.16
"1981-01-06",127.21,21.29,-20.32,98.08,-8.23,-10.67,2.2,1.3,0.37,0.38,0.37,0.41,126.78,0,-51.63,97.38,-10.92,-13.53,-0.23,0.59,0.37,0.38,0.37,0.41,127.31,100.04,-3.45,98.57,-6.47,-9.63,3.66,2.3,0.37,0.38,0.37,0.41,0.67,1.61,1.87
"1981-01-07",127.68,22.98,-23.53,98.58,-4.19,-6.38,-1.51,4.12,0.37,0.38,0.37,0.41,127.32,0,-48.1,98.02,-8.27,-10.36,-5.28,2.21,0.37,0.37,0.37,0.41,129.61,116.35,-5.74,98.89,0.87,-0.54,1.17,7.7,0.37,0.38,0.37,0.41,2.4,3.45,1.63
"1981-01-08",129.2,20.76,-31.31,96.82,-0.9,-3.51,-1.09,6.88,0.4,0.4,0.37,0.41,127.77,0,-78.34,96.31,-8.83,-11.71,-7.62,3.34,0.37,0.37,0.37,0.41,132.11,110.32,2.95,97.9,4.06,3.02,4.32,10.62,0.44,0.42,0.37,0.41,16.27,8.51,1.51
"1981-01-09",128.36,20.42,-34.04,98.56,-10.73,-14.38,3.01,1.91,0.4,0.41,0.37,0.41,127.87,0,-57.27,97.4,-11.79,-16.4,-0.18,0.85,0.39,0.4,0.37,0.41,128.53,94.07,-20.51,99.65,-8.92,-11.55,4.71,3.22,0.4,0.41,0.37,0.41,1.19,3.23,1.42
"1981-01-10",129.42,19.62,-10.86,99.15,-6.08,-8.79,-4.05,1.28,0.39,0.4,0.37,0.41,128.53,0,-36.24,97.26,-11.85,-14.51,-11.03,-0.64,0.38,0.39,0.37,0.41,133.61,100.85,5.76,99.7,-0.58,-2.47,-0.56,3.11,0.39,0.4,0.37,0.41,5.32,3.08,1.34
"1981-01-11",132.34,22.44,-29.43,96.73,-1.17,-4.21,-1.43,7.34,0.41,0.42,0.39,0.41,131.1,0,-77.94,95.73,-6.73,-12.05,-11.04,3.58,0.39,0.39,0.37,0.41,136.22,97.37,13.85,98,5.54,5.36,2.95,9.27,0.44,0.43,0.39,0.41,22.11,8.8,2.55
"1981-01-12",130.87,35.57,-49.33,98.87,-7.14,-11,1.45,2.2,0.39,0.41,0.39,0.41,130.76,0,-72.24,98.1,-8.78,-12.41,-0.24,-1.96,0.39,0.4,0.39,0.41,131.06,157.97,-9.34,99.24,-5.61,-10.19,2.78,5.44,0.4,0.41,0.39,0.41,0.18,4.38,4.24
"1981-01-13",136.34,7.43,-8.2,97.49,-2.49,-4.33,-4.67,-0.6,0.39,0.4,0.39,0.41,130.77,0,-31.03,96.3,-8.26,-10.52,-8.48,-3.43,0.39,0.4,0.39,0.41,141.74,44.65,8.44,99.07,2.05,1.84,0.07,6.81,0.4,0.4,0.39,0.41,12.34,3.62,3.4
"1981-01-14",142.26,21.71,-18.72,97.44,-5.87,-8.6,2.8,4.73,0.39,0.4,0.39,0.41,141.73,0,-32.73,96.43,-7.44,-10.66,-0.64,2.29,0.39,0.4,0.39,0.41,142.41,105.2,-10.18,98.21,-1.28,-2.76,4.06,8.1,0.4,0.4,0.39,0.41,1.86,5.39,2.97
"1981-01-15",142.34,39.29,-58.54,98.68,-8.16,-11.4,2.77,1.51,0.38,0.39,0.39,0.41,142.22,0,-84.08,98.23,-10.76,-13.47,0.79,0.13,0.38,0.39,0.39,0.41,142.44,181.56,-15.63,98.95,-6.76,-10.13,3.77,2.41,0.39,0.39,0.39,0.41,0.13,3.04,2.55
"1981-01-16",143.53,28.09,-30.37,98.21,-8.69,-11.19,0.41,-1.42,0.38,0.39,0.39,0.41,142.22,0,-75.49,97.85,-12.47,-14.47,-1.27,-3.02,0.38,0.39,0.39,0.41,144.15,126.77,0.37,98.88,-5.67,-9.43,1.81,0.29,0.38,0.39,0.39,0.41,1.97,1.18,2.16
"1981-01-17",144.29,27.08,-20.59,97.85,-7.66,-10.32,-0.64,-0.1,0.38,0.38,0.39,0.41,144.14,0,-46.84,97.06,-8.82,-11.01,-3.84,-2,0.37,0.38,0.39,0.41,145.35,126.87,-9.1,98.11,-6.14,-9.29,1.29,1.86,0.38,0.39,0.39,0.41,1.33,1.69,1.91
"1981-01-18",157.38,18.8,-14.72,94.92,-4.86,-7.16,-3.58,-3.07,0.37,0.38,0.39,0.41,146.05,0,-39.29,93.92,-7.78,-10.51,-5.28,-5.43,0.37,0.38,0.39,0.41,161.21,98.25,-2.72,96.81,-1.67,-3.86,0.67,-0.78,0.37,0.38,0.39,0.41,16.1,3.6,1.74
