"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",119.99,20.11,-39.75,96.56,-7.62,-10.34,2.49,1.5,0.4,0.4,0.36,0.41,119.83,0,-68.94,95.78,-9.79,-11.27,-1.47,-0.98,0.39,0.4,0.36,0.41,120.04,106.01,-16.98,97.11,-5.45,-8.43,4.65,3.27,0.4,0.41,0.36,0.41,0.49,1.25,NA
"1981-01-02",121.46,21.72,-22.51,96.47,-6.51,-8.38,-2.6,-1.06,0.39,0.4,0.37,0.41,120.03,0,-82.83,95.44,-9.07,-10.7,-6.7,-2.65,0.38,0.39,0.36,0.41,122.88,119.41,-4.73,96.9,-4.96,-6.44,-1.19,0.87,0.39,0.4,0.37,0.41,2.85,0.54,NA
"1981-01-03",135.39,12.15,-22.55,94.66,-7.19,-9.85,2.65,5.76,0.38,0.39,0.37,0.41,124.83,0,-53.17,93.88,-14.6,-18.62,-8.85,-1.75,0.38,0.39,0.37,0.41,137.81,53.58,2.3,95.61,-0.5,-1.19,7.17,9.92,0.38,0.39,0.37,0.41,15.53,2.51,NA
"1981-01-04",139.81,8.39,-23.41,95.84,-12.53,-15.49,2.33,1.23,0.38,0.38,0.36,0.41,137.86,0,-59.89,95.54,-14.86,-18.64,-0.87,-2.67,0.38,0.38,0.36,0.41,142.08,39.13,0.61,96.27,-10.87,-13.57,6.88,5.46,0.38,0.39,0.37,0.41,4.46,0.93,NA
"1981-01-05",144.62,17.77,-36.76,95.47,-14.58,-17.9,2.41,-0.16,0.37,0.38,0.36,0.41,142.1,0,-83.98,95.17,-18.27,-22.14,0.56,-1.87,0.37,0.38,0.36,0.41,145.48,90.96,-7.22,95.94,-12.36,-14.39,4.5,2.31,0.37,0.38,0.36,0.41,3.56,0.68,NA
"1981-01-06",145.7,19.56,-36.05,96.73,-10.11,-12.38,2.66,1.2,0.37,0.38,0.36,0.41,145.51,0,-57.42,96.01,-13.64,-16.27,1.16,0.29,0.37,0.38,0.36,0.41,145.8,90.21,-13.09,97.3,-8,-10.71,4.22,2.22,0.37,0.38,0.36,0.41,0.21,0.33,NA
"1981-01-07",146.67,15.37,-13.4,97.46,-4.71,-6.55,-0.09,4.57,0.37,0.37,0.36,0.41,145.81,0,-36.51,97.2,-9.63,-11.11,-3.6,2.53,0.37,0.37,0.36,0.41,149.27,82.19,1.52,97.7,-0.8,-1.71,2.09,7.23,0.37,0.38,0.36,0.41,3.45,1,NA
"1981-01-08",159.55,4.65,-21.5,95.86,-1.49,-3.25,-0.99,7.27,0.4,0.39,0.36,0.41,150.4,0,-78.08,95.32,-8.31,-11.91,-7.14,3.58,0.37,0.37,0.36,0.41,162.54,31.48,3.9,97.1,3.11,2.84,4.66,10.41,0.44,0.41,0.36,0.41,28.44,2.01,NA
"1981-01-09",162.33,18.98,-54.19,97.21,-11.16,-14.65,3.31,1.85,0.4,0.4,0.36,0.41,162.07,0,-71.87,96.07,-14,-16.81,0.55,-0.62,0.39,0.4,0.36,0.41,162.44,82.21,-33.82,98.33,-8.94,-11.93,4.61,3.45,0.4,0.41,0.36,0.41,0.84,1.53,NA
"1981-01-10",162.81,13.11,-9.99,98.05,-8.74,-11.38,-3.41,0.17,0.39,0.39,0.37,0.41,162.42,0,-53.32,96.53,-13.18,-16.39,-8.7,-1.84,0.38,0.39,0.36,0.41,165.38,63.94,12.9,98.55,-2.22,-4.34,0.26,1.73,0.39,0.4,0.37,0.41,3.09,0.86,NA
"1981-01-11",167.98,13.59,-21.85,95.82,-0.85,-2.93,-0.67,7.26,0.41,0.42,0.38,0.41,166.04,0,-59.77,94.97,-5.72,-10.01,-8.87,2.61,0.39,0.39,0.37,0.41,171.57,66.58,9.08,96.81,5.09,4.99,4.25,8.96,0.44,0.44,0.38,0.41,34.86,2.65,NA
"1981-01-12",168.2,23.09,-43.45,97.59,-5.69,-8.33,2.14,2.77,0.4,0.41,0.39,0.41,168.1,0,-73.52,96.9,-7.37,-9.9,-0.23,-2.09,0.39,0.4,0.39,0.41,168.24,114.31,-1.84,97.9,-4.37,-7.39,4.2,5.63,0.4,0.41,0.39,0.41,0.59,1.84,NA
"1981-01-13",173.17,4.2,-9.62,96.43,-3.69,-5.11,-4.41,-2.16,0.39,0.4,0.39,0.41,168.23,0,-53.76,95.32,-7.74,-9.89,-7.97,-4.51,0.39,0.4,0.39,0.41,180.49,23.08,5.13,97.77,1.61,1.53,0.88,6.19,0.39,0.4,0.39,0.41,12.7,0.94,NA
"1981-01-14",182.76,14.19,-18.48,96.24,-5.31,-7.42,3.26,5.5,0.39,0.39,0.39,0.41,180.65,0,-54.63,95.48,-7.43,-9.76,0.85,2.93,0.38,0.39,0.39,0.41,183.25,69.67,-11.34,96.88,-0.69,-1.62,4.39,8.41,0.39,0.4,0.39,0.41,3.59,2.29,NA
"1981-01-15",183.27,26.7,-55.45,97.34,-8.38,-11.2,3.18,1.89,0.38,0.39,0.39,0.41,183.2,0,-78.08,96.9,-12.07,-14.71,1.74,-0.17,0.38,0.39,0.39,0.41,183.32,127.36,-21.72,97.61,-7.12,-9.96,4.06,2.99,0.38,0.39,0.39,0.41,0.21,1.26,NA
"1981-01-16",186,12.68,-34.08,96.85,-9.9,-12.17,-0.13,-2.06,0.38,0.39,0.39,0.41,183.2,0,-82.04,96.4,-13.51,-16.01,-1.47,-3.69,0.38,0.39,0.38,0.41,187.6,58.08,2.7,97.59,-7,-9.51,1.27,0.09,0.38,0.39,0.39,0.41,4.41,0.33,NA
"1981-01-17",187.76,20.13,-30.3,96.57,-11.24,-13.63,-0.95,-1.05,0.37,0.38,0.38,0.41,187.6,0,-63.73,95.91,-13.85,-16.06,-3.86,-2.94,0.37,0.38,0.38,0.41,188.81,94.66,-4.63,96.81,-7.94,-10.62,1.02,1.51,0.38,0.39,0.38,0.41,1.23,0.4,NA
"1981-01-18",202.99,12.82,-9.63,93.76,-6.27,-8.13,-4.28,-3.25,0.37,0.38,0.38,0.41,189.82,0,-45.56,92.57,-9.87,-12.3,-6.5,-5.17,0.37,0.38,0.38,0.41,207.58,65.43,1.8,95.65,-3.03,-4.95,-1.87,-0.82,0.37,0.38,0.38,0.41,18.82,0.99,NA
"1981-01-19",208.65,21.09,-38.16,93.5,-8.44,-11.36,4.09,-0.56,0.37,0.38,0.38,0.41,207.8,0,-63.21,92.49,-11.17,-14.2,-1.23,-4.01,0.37,0.38,0.38,0.41,208.91,99.05,-5.15,94.27,-4.94,-5.95,6.37,2.02,0.37,0.38,0.38,0.41,1.69,1.63,NA
