"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",99.38,32.65,-42.51,97.69,-6.77,-9.71,1.9,1.44,0.4,0.41,0.37,0.41,99.23,0,-74.96,96.89,-8.35,-10.76,-1.16,-0.68,0.39,0.4,0.37,0.41,99.45,175.56,-25.01,98.26,-4.71,-7.83,3.26,2.6,0.4,0.41,0.37,0.41,0.44,3.56,9.53
"1981-01-02",102.34,30.35,-22.96,97.62,-5.36,-7.4,-1.88,-0.86,0.39,0.4,0.37,0.41,99.38,0,-76.82,96.73,-7.93,-9.41,-4.84,-2.13,0.38,0.39,0.37,0.41,103.94,185.21,-6.17,98.06,-3.78,-5.93,-0.61,0.51,0.39,0.4,0.37,0.41,4.65,1.92,5.72
"1981-01-03",114.44,23.4,-32.05,95.85,-5.72,-8.72,1.71,4.19,0.38,0.39,0.37,0.41,105.2,0,-74.59,95.2,-12.88,-17.33,-5.86,-0.94,0.38,0.39,0.37,0.41,116.29,119.07,-0.43,96.75,0.31,-1,5.06,6.58,0.38,0.39,0.37,0.41,12.94,7.39,3.49
"1981-01-04",118.3,14.77,-25.58,96.98,-10.75,-13.97,1.62,1,0.38,0.39,0.37,0.41,116.34,0,-57.7,96.62,-13.12,-17.39,-0.55,-2.17,0.37,0.38,0.37,0.41,120.57,61.44,-0.81,97.47,-8.98,-11.44,4.79,4.14,0.38,0.39,0.37,0.41,4.47,3.12,2.54
"1981-01-05",123.85,28.71,-41.76,96.58,-13.08,-16.17,1.81,0.09,0.37,0.38,0.37,0.41,120.57,0,-87.04,96.31,-17.61,-21.07,0.43,-1.29,0.37,0.38,0.37,0.41,125.02,156.21,-8.81,97.09,-10.61,-12.47,3.38,1.99,0.37,0.38,0.37,0.41,4.66,1.9,2.25
"1981-01-06",125.07,36.25,-49.84,97.86,-9.47,-11.87,2.02,1.13,0.37,0.38,0.37,0.41,124.98,0,-73.04,97.15,-14.72,-17.16,0.98,0.69,0.37,0.38,0.37,0.41,125.12,170.24,-30.25,98.47,-6.14,-9.66,2.76,1.68,0.37,0.38,0.37,0.41,0.1,1.17,2.06
"1981-01-07",125.66,27.02,-23.82,98.66,-4.02,-6.14,0.09,3.21,0.37,0.38,0.37,0.41,125.13,0,-45.23,98.47,-8.65,-10.16,-2.13,1.69,0.37,0.37,0.37,0.41,126.82,138.81,-1.48,98.9,-0.69,-2.24,1.66,5.21,0.37,0.38,0.37,0.41,1.73,3.34,1.91
"1981-01-08",136.38,3.57,-21.29,97.12,-0.77,-2.6,-0.98,5.32,0.39,0.39,0.37,0.41,127.39,0,-80.89,96.47,-6.56,-10.75,-5.08,3.19,0.37,0.37,0.37,0.41,140.51,17.47,0.02,98.4,3.35,2.88,3.11,7.33,0.43,0.4,0.37,0.41,25.45,5.8,3.49
"1981-01-09",140.29,30.38,-59.93,98.36,-9.89,-13.53,2.21,1.69,0.39,0.4,0.37,0.41,140.19,0,-82.29,97.19,-13.34,-15.93,0.07,-0.15,0.39,0.4,0.37,0.41,140.38,141.9,-32.62,99.52,-7.28,-11.02,3.47,2.74,0.4,0.4,0.37,0.41,0.57,4.07,8.32
"1981-01-10",140.49,22.23,-19.91,99.29,-9.47,-12,-2.51,-0.08,0.38,0.39,0.37,0.41,140.3,0,-58.65,97.85,-15.15,-17.07,-6.17,-0.88,0.38,0.39,0.37,0.41,141.77,97.49,9.92,99.8,-2.2,-4.64,-0.06,0.96,0.39,0.39,0.37,0.41,1.46,1.83,6.42
"1981-01-11",142.32,23.39,-25.8,97.06,0.28,-1.69,-0.76,4.96,0.41,0.42,0.38,0.41,140.98,0,-68.37,96.16,-4.63,-8.58,-6.3,1.97,0.38,0.39,0.37,0.41,145.16,116.88,8.92,98,5.71,5.55,2.29,6.18,0.44,0.43,0.38,0.41,25.75,6.35,20.71
"1981-01-12",141.72,30.42,-46.95,98.74,-3.92,-6.69,1.37,2.25,0.4,0.41,0.38,0.41,141.7,0,-73.98,98.08,-5.19,-8.79,-0.27,-1.38,0.39,0.4,0.38,0.41,141.76,151.45,-13.12,99.04,-2.17,-5.03,2.33,3.97,0.4,0.41,0.38,0.41,0.33,4.87,16.9
"1981-01-13",146.27,5.62,-12.74,97.64,-2.96,-4.09,-2.96,-1.59,0.39,0.4,0.38,0.41,141.69,0,-55.27,96.49,-6.33,-7.6,-5.59,-2.97,0.39,0.4,0.38,0.41,152.15,23.41,3.43,98.92,1.81,1.59,0.82,4.02,0.39,0.4,0.39,0.41,11.14,1.81,12.26
"1981-01-14",153.15,20.88,-24.67,97.4,-3.76,-6.13,2.34,4.07,0.39,0.39,0.38,0.41,152.17,0,-77.26,96.66,-6.14,-8.62,1.09,2.22,0.38,0.39,0.38,0.41,153.42,95.43,-13.19,97.99,0.37,-0.55,3.31,5.82,0.39,0.4,0.38,0.41,2.08,6.23,9.59
"1981-01-15",153.38,41.91,-55.47,98.47,-6.92,-10.05,2.42,1.72,0.38,0.39,0.38,0.41,153.23,0,-81.79,98.02,-10.29,-12.5,1.44,0.65,0.38,0.39,0.38,0.41,153.48,198.2,-21.91,98.77,-5.29,-8.81,3.39,2.35,0.38,0.39,0.38,0.41,0.2,4.25,6.42
