"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",47.01,32.69,-41.75,98.75,-4.11,-9.37,2.68,1.49,0.4,0.41,0.41,0.41,46.87,0,-80.99,97.93,-5.09,-10.64,-1.06,-0.52,0.39,0.41,0.41,0.41,47.19,175.29,-24.48,99.36,-3.09,-7.91,4.28,3.07,0.41,0.42,0.41,0.41,0.15,6.56,5.18
"1981-01-02",53.33,22.51,-22.35,98.7,-3.68,-6.22,-1.62,-1.14,0.39,0.4,0.41,0.41,46.87,0,-47.04,98.13,-5.36,-8.81,-4.71,-2.66,0.39,0.4,0.41,0.41,56.09,144.99,-6.08,99.2,-1.79,-5.14,0.55,0.5,0.39,0.41,0.41,0.41,9.28,2.04,4.28
"1981-01-03",62.94,30.53,-42.19,97.1,-3.44,-6.48,1.59,4.35,0.39,0.4,0.4,0.41,56.33,0,-85.27,96.64,-9.79,-14.9,-5.81,-0.24,0.38,0.39,0.4,0.41,64.25,141.21,-0.07,97.87,1.35,-0.39,5.29,6.07,0.39,0.4,0.41,0.41,8.8,6.57,4.06
"1981-01-04",66.53,14.8,-27.96,98.05,-6.66,-9.76,1.41,1.28,0.38,0.39,0.4,0.41,64.29,0,-71.61,97.5,-9.43,-14.7,-1.92,-2.09,0.38,0.39,0.4,0.41,69.66,76.8,-0.54,98.68,-4.55,-5.58,5.12,4.72,0.38,0.39,0.4,0.41,5.63,4.1,3.88
"1981-01-05",73.45,18.89,-38.53,97.55,-8.96,-11.46,1.93,0.13,0.38,0.38,0.4,0.41,69.67,0,-91.67,97.18,-16,-19.7,0.17,-1.3,0.37,0.38,0.4,0.41,75.14,83.74,-7.94,98.18,-5.36,-6.37,3.95,2.96,0.38,0.39,0.4,0.41,5.69,1.78,3.62
"1981-01-06",75.09,39.73,-70.13,98.92,-9.02,-11.97,2.38,0.94,0.37,0.38,0.4,0.41,75.07,0,-87.37,98.23,-15.28,-18.38,1.78,0.32,0.37,0.38,0.4,0.41,75.11,194.88,-37.43,99.56,-4.55,-8.64,3.13,1.47,0.37,0.38,0.4,0.41,0.03,1.57,3.54
"1981-01-07",75.27,34.84,-38.97,99.89,-3.9,-6.47,0.33,2.96,0.37,0.38,0.4,0.41,75.08,0,-66.88,99.59,-9.1,-11.17,-1.68,0.47,0.37,0.38,0.4,0.41,75.4,162.42,-13.97,100.1,-0.92,-3.93,1.7,4.63,0.37,0.38,0.4,0.41,0.42,2.81,3.84
"1981-01-08",78.7,6.59,-16.05,98.51,0.12,-1.92,-1.42,5.38,0.39,0.39,0.39,0.41,75.39,0,-59.8,97.69,-3.72,-8.36,-4.29,2.87,0.37,0.38,0.39,0.41,83.41,34.24,1.34,99.81,3.97,2.5,3.4,7.9,0.44,0.41,0.39,0.41,19.73,5.41,4.3
"1981-01-09",83.05,27.67,-65.25,99.46,-7.26,-11.6,2.56,2.07,0.4,0.4,0.39,0.41,82.92,0,-89.68,98.28,-12.65,-15.16,0.89,-0.57,0.39,0.4,0.39,0.41,83.27,128.86,-30.6,100.63,-4.01,-8.85,3.55,3.71,0.4,0.41,0.39,0.41,0.18,4.95,5.07
"1981-01-10",83,39.87,-46.35,100.54,-9.15,-11.86,-2.52,-0.1,0.39,0.4,0.39,0.41,82.92,0,-68.33,99.34,-14.84,-17.23,-5.69,-0.9,0.39,0.4,0.39,0.41,84.29,200.45,5.03,101.03,-1.21,-3.04,0.74,0.78,0.39,0.4,0.39,0.41,1.65,1.6,4.8
"1981-01-11",80.87,21.89,-26.27,98.42,2.21,0.62,-0.89,4.62,0.42,0.42,0.4,0.41,78.48,0,-93.9,97.67,-2.06,-5.19,-5.61,1.59,0.4,0.4,0.39,0.41,85.4,161.29,11.06,99.18,6.59,6.34,2.31,6.79,0.44,0.44,0.41,0.41,19.06,3.16,6.55
"1981-01-12",78.25,37.45,-56.63,99.88,-1.67,-4.95,1.02,2.5,0.4,0.41,0.41,0.41,78.13,0,-85.81,99.25,-2.86,-6.54,-1.27,-0.82,0.39,0.41,0.41,0.41,78.46,185.77,-23.77,100.15,0.62,-3.15,2.58,4.23,0.41,0.42,0.41,0.41,0.04,4.85,6.57
"1981-01-13",79.97,5.29,-12.19,98.81,-0.94,-1.94,-2.7,-1.27,0.41,0.41,0.41,0.41,78.14,0,-54.5,97.64,-3.14,-4.84,-5.35,-2.82,0.39,0.4,0.41,0.41,82.22,28.81,8.59,99.93,4.54,4.5,1.77,4.45,0.44,0.43,0.41,0.41,14.96,1.14,5.77
"1981-01-14",80.9,25.78,-41,98.56,-1.09,-3.92,2.63,4.22,0.41,0.42,0.41,0.41,80.78,0,-95.5,97.85,-3.13,-6.45,1.92,2.62,0.4,0.41,0.41,0.41,81,120.13,-1.7,99.02,2.88,2.31,3.42,5.49,0.43,0.43,0.41,0.41,0.69,6.4,6.23
"1981-01-15",80.68,42.61,-62.99,99.54,-4.1,-8.44,2.97,2.01,0.4,0.41,0.41,0.41,80.47,0,-85.32,99.06,-6.83,-9.85,1.69,0.63,0.39,0.4,0.41,0.41,80.88,200.8,-32.6,99.86,-2.47,-6.86,4.22,2.95,0.4,0.41,0.41,0.41,0.07,5.97,5.87
"1981-01-16",90.15,7.01,-26.46,98.99,-7.1,-9.01,-0.34,-1.38,0.39,0.4,0.41,0.41,80.46,0,-80.55,98.3,-10.21,-11.77,-2.17,-3.38,0.39,0.4,0.41,0.41,98.15,38.41,3.52,99.87,-5.74,-7.19,1.47,0.78,0.39,0.4,0.41,0.41,17.72,0.69,5.54
"1981-01-17",98.13,36.72,-52.38,98.83,-10.42,-13,-0.3,-0.42,0.38,0.39,0.41,0.41,98.11,0,-83.31,98.32,-15.37,-16.96,-2.4,-1.37,0.38,0.39,0.41,0.41,98.29,183.28,-5.85,99.08,-6.18,-9.72,1.35,0.75,0.39,0.4,0.41,0.41,0.2,1.01,5.31
"1981-01-18",111.85,12.57,-11.92,96.05,-2.62,-3.74,-2.45,-0.17,0.38,0.39,0.41,0.41,98.57,0,-47.85,94.77,-7.84,-9.22,-5.56,-2.25,0.38,0.38,0.41,0.41,117.14,74.45,2.15,98.12,1.32,0.59,0.21,2.09,0.38,0.39,0.41,0.41,18.83,0.91,5.06
"1981-01-19",117.61,29.04,-41.9,95.49,-5.47,-8.62,2.8,1.72,0.37,0.38,0.41,0.41,117.22,0,-89.19,94.51,-8.39,-11.59,-0.88,0.55,0.37,0.38,0.4,0.41,117.74,126.16,-18.47,96.47,-1.65,-2.7,4.76,2.76,0.38,0.38,0.41,0.41,0.96,3.92,4.8
"1981-01-20",118.16,52.14,-68.67,96.87,-9.68,-14.22,2.84,1.37,0.37,0.38,0.4,0.41,117.7,0,-103.35,96.46,-12.54,-16.85,2.18,0.33,0.37,0.38,0.4,0.41,118.38,234.05,-25.28,97.48,-8.24,-11.31,3.46,2.1,0.37,0.38,0.4,0.41,0.84,3.59,4.5
"1981-01-21",118.56,35.63,-51.25,97.91,-7.44,-10.16,2.25,0.51,0.37,0.37,0.4,0.41,118.14,0,-70.96,97.5,-10.08,-13.54,1.48,-0.61,0.37,0.37,0.4,0.41,119.14,187.72,-23.87,98.21,-4.35,-7.94,3.28,1.84,0.37,0.38,0.4,0.41,1.06,1.62,4.28
"1981-01-22",119.09,54.58,-73.12,98.74,-10.53,-13.69,0.89,0.01,0.37,0.37,0.4,0.41,119.04,0,-95.35,98.26,-13.82,-15.94,-1.79,-0.75,0.36,0.37,0.4,0.41,119.13,238.59,-24.07,99.04,-7.36,-12.07,2.32,1.79,0.37,0.37,0.4,0.41,0.01,1.25,4.06
"1981-01-23",121.34,15.78,-20.48,98.03,-7.3,-9.1,-1.26,-1.73,0.36,0.37,0.4,0.41,119.05,0,-55.87,97.16,-11.59,-13.59,-2.26,-2.97,0.36,0.37,0.39,0.41,125.5,78.03,-2.05,98.96,-3.95,-5.21,0.66,0.26,0.36,0.37,0.4,0.41,6.38,0.54,3.84
"1981-01-24",127.06,35.37,-28.13,97.3,-3.43,-5.18,0.91,-0.82,0.36,0.37,0.39,0.41,125.5,0,-54.21,97.1,-4.67,-5.53,-0.3,-1.49,0.36,0.37,0.39,0.41,127.79,195.46,-8.89,97.57,-0.64,-4.25,2.21,-0.07,0.36,0.37,0.39,0.41,2.37,1.42,3.67
"1981-01-25",128.19,40.48,-47.07,97.71,-4.8,-6.91,1.14,-0.89,0.36,0.37,0.39,0.41,127.81,0,-86.74,97.54,-8.32,-9.86,-0.29,-1.35,0.36,0.36,0.39,0.41,128.42,172.5,-11.04,97.98,-1.81,-5.21,2.3,-0.34,0.36,0.37,0.39,0.41,0.76,1.85,3.37
"1981-01-26",128.49,44.4,-49.28,98.26,-7.52,-10.6,2.36,0.81,0.36,0.36,0.39,0.41,128.37,0,-85.9,98.01,-10.37,-12.27,0.1,-1.1,0.36,0.36,0.39,0.41,129.29,201.05,-7.09,98.45,-5.06,-7.12,3.59,2.13,0.36,0.36,0.39,0.41,1.07,2.49,3.1
"1981-01-27",132.03,15.83,-2.22,97.7,0.47,-0.21,1.39,3.33,0.36,0.36,0.39,0.41,129.67,0,-6.8,97.46,-5.07,-6.24,-0.33,2.44,0.36,0.36,0.38,0.41,133.03,84.58,0.87,98.22,3,1.88,2.59,4.24,0.37,0.36,0.39,0.41,3.91,0.85,2.88
