"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",30.56,27.52,-41.46,98.95,-3.79,-9.17,2.96,1.59,0.4,0.41,0.41,0.42,30.39,0,-87.52,98.13,-4.88,-10.31,-0.67,-0.48,0.4,0.41,0.41,0.42,30.79,136.38,-20.38,99.58,-2.87,-8.45,4.49,2.97,0.41,0.42,0.41,0.42,0.07,3.1,8.81
"1981-01-02",37.41,17.59,-17.36,98.92,-3.68,-5.95,-1.64,-1.39,0.39,0.4,0.41,0.42,30.39,0,-43.16,98.51,-5.63,-9.2,-4.61,-3.66,0.39,0.4,0.41,0.42,40.68,126.37,2.99,99.45,-1.82,-4.8,0.95,0.53,0.4,0.41,0.41,0.42,10.37,0.77,6.59
"1981-01-03",47.04,30.9,-45.11,97.41,-2.76,-5.87,1.74,4.63,0.39,0.4,0.41,0.42,40.72,0,-93.15,96.98,-8.84,-14.18,-6.07,-0.13,0.38,0.39,0.41,0.42,48.06,141.26,-0.19,98.18,1.66,-0.2,5.84,7.07,0.39,0.4,0.41,0.42,7.98,3.3,5.45
"1981-01-04",51.34,14.35,-27.36,98.28,-5.4,-8.35,1.4,1.82,0.38,0.39,0.41,0.42,48.08,0,-83.52,97.67,-8.55,-14.21,-2.37,-1.68,0.38,0.39,0.41,0.42,56.35,77.58,5.92,98.95,-1.19,-1.64,5.45,5.06,0.38,0.39,0.41,0.42,8.55,1.75,3.96
"1981-01-05",59.17,16.65,-37.11,97.7,-6.79,-9.1,2.22,0.28,0.38,0.38,0.41,0.42,56.35,0,-94.2,97.32,-15.42,-19.76,-0.09,-1.43,0.37,0.38,0.41,0.42,60.62,78.64,-3.08,98.37,-1.7,-2.26,4.4,2.9,0.38,0.39,0.41,0.42,4.51,0.82,3.95
"1981-01-06",60.55,41.58,-71.45,99.11,-9.66,-12.9,2.59,0.93,0.37,0.38,0.4,0.42,60.51,0,-91.37,98.43,-15.43,-19.37,1.82,0.01,0.37,0.38,0.4,0.42,60.58,203,-51.08,99.75,-4.59,-9.14,3.45,1.44,0.37,0.38,0.41,0.42,0.01,0.7,3.35
"1981-01-07",60.58,35.73,-46.13,100.18,-5.36,-7.86,0.58,2.93,0.37,0.38,0.4,0.42,60.51,0,-72.7,99.8,-11.12,-13.17,-1.44,-0.04,0.37,0.37,0.4,0.42,60.64,185.03,-16.82,100.36,-1.04,-4.22,2.14,4.84,0.37,0.38,0.4,0.42,0.19,1.1,3.24
"1981-01-08",61.64,11.49,-20.58,98.89,0.4,-1.89,-1.42,5.89,0.39,0.39,0.4,0.42,60.31,0,-58.9,98.02,-2.3,-5.63,-3.96,2.88,0.37,0.37,0.4,0.42,64.36,68.1,-1.74,100.18,4.71,2.55,3.76,9.15,0.43,0.42,0.4,0.42,19.8,2.91,3.35
"1981-01-09",64.01,33.2,-69.88,99.68,-6.58,-10.81,2.73,2.23,0.4,0.41,0.4,0.42,63.85,0,-91.7,98.53,-12.85,-15.33,1.52,-0.64,0.39,0.41,0.4,0.42,64.29,153.72,-36.48,100.84,-2.93,-7.19,3.92,3.9,0.41,0.42,0.4,0.42,0.06,2.25,5.48
"1981-01-10",63.9,42.36,-47.3,100.83,-9.44,-11.79,-2.36,-0.19,0.39,0.4,0.4,0.42,63.85,0,-74.3,99.76,-16.83,-18.31,-5.52,-1.16,0.39,0.4,0.4,0.42,64.74,203.95,0.17,101.28,-1.1,-2.34,1.22,0.51,0.39,0.41,0.4,0.42,0.95,0.54,4.58
