"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",2.98,20.87,-26.62,99.7,-2.13,-7.34,4.12,2.15,0.4,0.41,0.42,0.42,2.94,0,-46.65,98.96,-2.66,-7.92,-1.97,0.1,0.39,0.4,0.42,0.42,3.03,110.37,-16.63,100.23,-0.82,-5.27,6.43,3.75,0.4,0.42,0.42,0.42,0.1,12.66,NA
"1981-01-02",11.99,25.33,-27.37,99.36,-2.36,-4.56,-2.52,-2.13,0.4,0.4,0.42,0.42,2.94,0,-56.8,98.59,-3.02,-7.61,-6.78,-6.2,0.39,0.4,0.42,0.42,15.72,169.96,-3.83,100.04,-1.27,-2.98,2.52,0.84,0.42,0.4,0.42,0.42,15.67,4.48,NA
"1981-01-03",17.99,32.48,-49.13,98.31,-0.45,-3.77,3.77,5.95,0.41,0.41,0.42,0.42,16.91,0,-90,97.79,-3.9,-9.39,-7.96,0.46,0.4,0.4,0.42,0.42,18.67,136.7,4.18,99.12,3.27,1.21,8.92,7.95,0.44,0.41,0.42,0.42,8.25,16.88,NA
"1981-01-04",20.59,7.59,-22.69,99.02,-0.3,-2.96,2.67,4.79,0.41,0.41,0.42,0.42,17.77,0,-79.3,98.35,-4.16,-9.61,-3.48,-0.91,0.39,0.4,0.41,0.42,26.12,38.45,6.29,99.67,5.34,4.48,8.81,8.13,0.44,0.43,0.42,0.42,15.62,10.12,NA
"1981-01-05",21.46,14.77,-19.08,98.35,-2.71,-4.94,3.56,0.68,0.42,0.42,0.42,0.42,18.81,0,-45.35,97.88,-8.02,-13.33,-0.62,-2.5,0.41,0.42,0.42,0.42,22.91,71.38,-1.91,99.06,1.92,1.7,6.61,3.57,0.43,0.43,0.42,0.42,4.9,5.23,NA
"1981-01-06",22.72,22.69,-29.87,99.82,-5.27,-9.41,3.34,0.45,0.4,0.41,0.42,0.42,22.61,0,-50.04,99.14,-8.2,-13.41,2.75,-0.35,0.39,0.4,0.42,0.42,22.84,108.88,-13.42,100.41,-3.88,-7.29,4.91,1.2,0.4,0.42,0.42,0.42,0.29,6.22,NA
"1981-01-07",22.59,29.28,-44.87,100.92,-2.42,-5.75,0.75,3.56,0.39,0.4,0.42,0.42,22.42,0,-80.64,100.47,-4.38,-7.32,-2.33,0.84,0.39,0.4,0.42,0.42,22.73,138.84,-12.49,101.14,-0.85,-4.19,2.97,5.79,0.39,0.4,0.42,0.42,0.33,6.91,NA
"1981-01-08",20.9,16.07,-26.98,99.7,1.4,-0.91,-2.68,7.21,0.4,0.4,0.42,0.42,17.08,0,-68.56,98.79,-1.31,-4.33,-5.39,2.32,0.39,0.39,0.41,0.42,22.4,79.05,-0.84,100.96,5.48,3.73,4.53,11.65,0.44,0.44,0.42,0.42,19.45,13.07,NA
"1981-01-09",19.89,38.45,-65.25,100.43,-3.51,-7.82,3.87,1.97,0.4,0.42,0.42,0.42,19.61,0,-86.31,99.39,-6.57,-10.52,1.78,-0.85,0.4,0.41,0.42,0.42,20.21,186.85,-34.91,101.44,-1.14,-4.24,5.26,3.57,0.41,0.42,0.42,0.42,0.1,9.77,NA
"1981-01-10",19.53,38.95,-50.66,101.34,-4.78,-7.25,-3.76,0.22,0.4,0.4,0.42,0.42,19.4,0,-82.41,100.2,-10.53,-12.11,-7.45,-1.43,0.39,0.4,0.42,0.42,19.62,172.93,5.03,101.8,1.99,0.94,1.27,3.07,0.4,0.41,0.42,0.42,1.11,3.66,NA
"1981-01-11",11.03,22.5,-34.67,99.51,4.05,2.83,-1.11,5.4,0.42,0.42,0.42,0.42,7.98,0,-95.16,98.81,-0.17,-2.81,-6.92,3.57,0.41,0.4,0.42,0.42,18.98,210.02,7.1,100.26,8.02,7.85,3.65,9.15,0.44,0.44,0.43,0.42,16.9,3.75,NA
"1981-01-12",7.89,59.68,-74.39,100.81,-0.15,-3.15,-0.04,1.33,0.4,0.41,0.43,0.42,7.82,0,-95.02,100.32,-1.32,-3.74,-3.19,-1.2,0.39,0.4,0.43,0.42,7.97,276.38,-25.97,101.11,2.17,-2.49,3.58,3.39,0.41,0.42,0.43,0.42,0.02,5.41,NA
"1981-01-13",7.14,6.77,-12.14,99.51,2.43,1.41,-3.2,0.28,0.41,0.41,0.43,0.42,4.7,0,-54.03,98.61,-0.46,-3.19,-6.7,-3.22,0.39,0.39,0.43,0.42,7.88,28.34,5.7,100.56,7.75,7.73,3.77,6.37,0.44,0.44,0.44,0.42,24.2,2.76,NA
"1981-01-14",4.32,55.88,-62.12,99.69,1.4,-2.07,4.07,4.39,0.4,0.41,0.43,0.43,4.21,0,-90.85,98.98,-0.81,-4.4,2.45,2.58,0.39,0.4,0.43,0.43,4.51,252.55,-4.59,100.05,3.8,2.91,5.1,6.41,0.42,0.42,0.44,0.43,0.14,12.95,NA
"1981-01-15",4.55,44.38,-62.52,100.52,-1.02,-4.22,4.1,2.02,0.39,0.39,0.43,0.43,4.28,0,-86.79,100.08,-2.29,-5.44,2.07,0.17,0.38,0.39,0.43,0.43,4.96,227.74,-16.87,100.75,0.47,-2.26,5.49,3.07,0.39,0.4,0.43,0.43,0.78,8.39,NA
"1981-01-16",9.49,5.63,-26.85,99.63,-1.52,-2.88,-0.57,-0.49,0.4,0.4,0.42,0.43,4.95,0,-85.94,98.69,-5.18,-6.74,-5.05,-5.21,0.38,0.38,0.42,0.43,12.43,27.57,3.58,100.78,4.76,4.39,2.06,6.23,0.44,0.42,0.43,0.43,19.12,1.69,NA
"1981-01-17",10.9,38.74,-41.67,99.62,-5.14,-7.34,-0.77,-0.34,0.4,0.41,0.42,0.43,10.78,0,-83.23,98.98,-7.34,-9.01,-5.59,-2.81,0.39,0.4,0.42,0.43,11.03,166.51,-9.67,99.93,-3.59,-5.38,1.91,1.21,0.4,0.41,0.42,0.43,0.07,2.73,NA
"1981-01-18",14.5,7.94,-14.61,96.83,0.25,-0.79,-2.67,2.53,0.41,0.42,0.42,0.43,10.81,0,-65.23,95.75,-3.36,-5.09,-7.43,-1.34,0.39,0.4,0.41,0.43,17.28,40.12,2.45,98.73,3.6,3.26,2.38,5.93,0.44,0.44,0.42,0.43,20.25,2.95,NA
"1981-01-19",16.66,25.54,-41.74,96.5,-3.13,-6.45,5.49,4.46,0.4,0.41,0.42,0.43,15.21,0,-77.51,95.36,-4.98,-9.29,0.87,3.34,0.4,0.41,0.42,0.43,17.33,103.92,-19.33,97.5,-0.83,-2.97,7.98,7.45,0.41,0.42,0.42,0.43,3.03,11.87,NA
"1981-01-20",18.16,36.16,-42.96,97.83,-6.14,-10.79,5.4,2.23,0.39,0.4,0.41,0.43,17.35,0,-77.6,97.48,-8.41,-13.86,4.24,-0.07,0.39,0.4,0.41,0.43,18.87,159.94,-21.49,98.53,-4.59,-8.88,6.76,4.85,0.4,0.41,0.42,0.43,2.4,11.37,NA
"1981-01-21",19.21,31.69,-39.94,98.84,-4.64,-8.25,4.65,2,0.39,0.4,0.41,0.43,18.9,0,-62.92,98.54,-6.64,-11.5,3.63,-0.47,0.38,0.39,0.41,0.43,19.67,139.23,-20.93,99.03,-3.45,-7.18,6.16,3.59,0.39,0.4,0.41,0.43,1.45,8.56,NA
"1981-01-22",19.58,46.42,-66,99.57,-7.8,-11.24,1.65,-0.73,0.38,0.39,0.4,0.43,19.46,0,-87.67,99.04,-10.86,-13.3,-2.89,-1.89,0.38,0.39,0.4,0.43,19.69,194.89,-14.96,99.9,-5.89,-8.43,4.06,1.17,0.38,0.39,0.41,0.43,0.07,3.54,NA
"1981-01-23",23.62,9.81,-22.18,98.57,-3.84,-5.64,-2.25,-2.95,0.38,0.39,0.4,0.43,19.45,0,-73.24,97.78,-9,-11.41,-4.9,-6.66,0.38,0.38,0.4,0.43,28.66,41.09,-5.89,99.75,-1.95,-3.14,1.43,0.55,0.38,0.39,0.4,0.43,9.43,2.93,NA
"1981-01-24",31.84,30.04,-33.58,98.09,-2.99,-4.26,1.19,0.44,0.38,0.38,0.39,0.43,28.66,0,-69.88,97.87,-4.41,-5.32,-1.22,-0.85,0.37,0.38,0.39,0.43,33.01,150.57,0.13,98.4,-1.05,-3.18,3.26,1.45,0.38,0.38,0.4,0.43,4.39,1.38,NA
"1981-01-25",33.28,41.35,-49.14,98.47,-3.18,-4.89,2.49,-0.2,0.37,0.38,0.39,0.43,33,0,-84.53,98.32,-4.5,-6.36,1.65,-1.71,0.37,0.38,0.39,0.43,33.45,176.52,-10.79,98.68,-1.43,-4,3.64,1.26,0.37,0.38,0.39,0.43,0.61,2.37,NA
"1981-01-26",33.57,38.46,-43.5,99.14,-4.81,-8.04,4.41,0.12,0.37,0.38,0.38,0.42,33.45,0,-86.34,98.71,-6.6,-9.18,2.92,-1.87,0.37,0.38,0.38,0.42,34.16,193.55,-10.73,99.41,-3.22,-5.6,6.19,2.76,0.37,0.38,0.39,0.43,1.2,6.67,NA
"1981-01-27",33.79,21.38,-4.88,98.82,1.79,0.75,2.66,5.15,0.4,0.38,0.38,0.42,28.47,0,-17.82,98.55,-2.81,-4.66,1.32,3.52,0.37,0.37,0.38,0.42,37.16,132,3.51,99.3,3.97,2.74,3.71,6.69,0.43,0.4,0.38,0.42,6.09,4.1,NA
"1981-01-28",25.25,31.01,-20,99.01,0.81,0.35,2.18,2.87,0.42,0.41,0.38,0.42,24.15,0,-64.2,98.63,-1.26,-1.54,0.43,1.68,0.41,0.41,0.38,0.42,27.91,142.7,1.84,99.28,2.75,2.68,3.36,4.27,0.43,0.41,0.38,0.42,0.31,1.38,NA
"1981-01-29",31.04,11.51,-10.63,98.6,-1.82,-2.55,-0.08,-2.58,0.4,0.41,0.38,0.42,24.31,0,-37.85,97.79,-5.61,-7.65,-1.66,-6.7,0.4,0.4,0.38,0.42,46.26,65.13,-1.9,99.29,-0.5,-0.98,3.28,1.86,0.41,0.41,0.38,0.42,22.15,1.58,NA
"1981-01-30",46.95,28.91,-21.37,98.47,-6.5,-10.44,3.82,-0.29,0.39,0.4,0.38,0.42,46.66,0,-31.46,97.91,-7.48,-11.74,2.45,-4.41,0.39,0.4,0.38,0.42,47.06,124.19,-11.21,98.7,-5.93,-8.27,5.26,1.16,0.4,0.4,0.38,0.42,1.18,6.55,NA
