"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",70.7,16.2,-20.9,97.7,-13.1,-16.58,1.09,-1.08,0.3,0.31,0.32,0.33,68.18,0,-48.86,97.47,-23.63,-28.11,0.19,-3.39,0.3,0.31,0.32,0.33,72.09,87.47,-0.53,98.17,-8.54,-10.56,1.94,1.91,0.3,0.31,0.32,0.33,4.32,2.48,NA
"1981-01-02",72.15,42.28,-66.72,98.44,-32.23,-36.51,1.64,-1.51,0.3,0.31,0.32,0.33,72.11,0,-78.57,98.23,-34.96,-38.86,1.28,-3.16,0.3,0.31,0.32,0.33,72.16,207.13,-45.2,98.65,-24.8,-29.38,2.04,-0.29,0.3,0.31,0.32,0.33,0.15,0.42,NA
"1981-01-03",72.21,33.48,-33.25,98.48,-34.43,-38.67,1.91,-1.43,0.3,0.31,0.32,0.33,72.16,0,-48.81,98.29,-36.11,-40.08,1.44,-1.81,0.3,0.31,0.32,0.33,72.29,155.65,-13.25,98.75,-32.77,-36.59,2.41,-0.82,0.3,0.31,0.32,0.33,0.17,0.28,NA
"1981-01-04",72.7,25.44,-16.46,99.06,-27.31,-30.97,2.22,-1.62,0.3,0.3,0.32,0.33,72.31,0,-35.41,98.61,-32.66,-36.44,1.54,-2.2,0.3,0.3,0.32,0.33,72.89,116.36,3.07,99.42,-23.2,-26.94,2.68,-0.39,0.3,0.31,0.32,0.33,0.62,0.45,NA
"1981-01-05",73.52,21.8,-15.33,98.39,-20.16,-23.68,1.01,1.37,0.3,0.3,0.32,0.33,72.9,0,-38.05,97.26,-24.95,-27.67,0.16,-0.25,0.3,0.3,0.32,0.33,75.17,100.37,-0.93,99.33,-15.41,-18.33,1.67,2.34,0.3,0.3,0.32,0.33,2.32,0.8,NA
"1981-01-06",75.56,25.79,-33.75,97,-16.82,-20.2,1.51,-0.96,0.3,0.3,0.32,0.33,75.2,0,-54.72,96.74,-21.41,-24.74,1.25,-3.08,0.3,0.3,0.32,0.33,76.06,114.21,-13.33,97.25,-14.29,-17.63,1.83,1.26,0.3,0.3,0.32,0.33,1.02,1.44,NA
"1981-01-07",76.18,36.97,-56.22,97.68,-22.91,-26.28,2.03,-2.14,0.3,0.3,0.32,0.33,76.07,0,-69.16,97.28,-24.62,-27.32,1.77,-2.59,0.3,0.3,0.32,0.33,76.27,179.33,-47.19,98.18,-20.96,-25.1,2.36,-1.66,0.3,0.3,0.32,0.33,0.28,0.72,NA
"1981-01-08",76.28,37.25,-53.49,98.13,-23.48,-26.9,1.83,0,0.3,0.3,0.32,0.33,76.27,0,-70.48,97.93,-28.1,-31.06,1.32,-1.55,0.3,0.3,0.32,0.33,76.35,186.44,-26.07,98.31,-19.43,-23.17,2.15,1.22,0.3,0.3,0.32,0.33,0.11,0.37,NA
"1981-01-09",76.69,35.48,-45.58,98.27,-23.34,-26.95,1.55,-1.36,0.3,0.3,0.32,0.33,76.37,0,-67.16,97.75,-27.71,-31.09,1.27,-2.28,0.3,0.3,0.32,0.33,76.81,176.45,-20.46,98.94,-20.92,-23.3,1.82,0.69,0.3,0.3,0.32,0.33,0.55,0.76,NA
"1981-01-10",76.81,44.89,-66.65,99.28,-29.54,-33.23,1.47,-0.57,0.3,0.3,0.32,0.33,76.81,0,-78.44,98.95,-32.9,-36.13,1.07,-1.22,0.3,0.3,0.32,0.33,76.82,212.24,-51.94,99.57,-25.87,-30.5,1.73,0.25,0.3,0.3,0.32,0.33,0.04,0.26,NA
