"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",162.28,23.21,-50.76,79,-10.93,-21.32,0.98,-0.2,0.25,0.24,0.24,0.29,162.28,0,-68.96,78.75,-13.14,-24.03,0.82,-0.49,0.25,0.24,0.24,0.29,162.28,114.91,-40.88,79.28,-7.83,-17.32,1.26,0.21,0.25,0.24,0.24,0.29,0,0.19,NA
"1981-01-02",162.28,23.52,-44.39,78.74,-10.81,-21.92,1.03,0,0.25,0.24,0.24,0.29,162.28,0,-64.22,78.68,-12.33,-23.3,0.78,-0.36,0.25,0.24,0.24,0.29,162.28,116.29,-34,78.83,-8.36,-19.71,1.28,0.39,0.25,0.24,0.24,0.29,0,0.11,NA
"1981-01-03",162.29,24.55,-47.25,78.68,-11.87,-22.13,1.18,0.18,0.25,0.24,0.24,0.29,162.28,0,-68.93,78.62,-13.05,-23.48,1,0.08,0.25,0.24,0.24,0.29,162.29,120.94,-38.14,78.74,-9.58,-20.53,1.32,0.25,0.25,0.24,0.24,0.29,0,0.08,NA
"1981-01-04",162.31,22.76,-26.31,78.76,-12.17,-19.02,1.21,0.23,0.24,0.24,0.24,0.29,162.29,0,-56.02,78.66,-13.24,-22.13,1.07,0.11,0.24,0.24,0.24,0.29,162.39,115.37,11.36,78.85,-10.12,-15.41,1.33,0.32,0.25,0.24,0.24,0.29,0.07,0.13,NA
"1981-01-05",162.42,21.38,-29.99,78.86,-14.35,-16.13,1.03,0.07,0.24,0.24,0.24,0.29,162.39,0,-58.93,78.78,-16.05,-17.83,0.63,-0.22,0.24,0.24,0.24,0.29,162.45,107.49,-4.11,78.95,-11.26,-13.96,1.31,0.35,0.24,0.24,0.24,0.29,0.02,0,NA
"1981-01-06",162.7,14.41,-12.46,78.3,-12.98,-15.76,1.26,0.61,0.24,0.24,0.24,0.29,162.45,0,-35.52,77.91,-16.06,-17.84,0.74,-0.05,0.24,0.24,0.24,0.29,163.16,69.13,9.29,78.82,-10.91,-14.17,1.8,1.09,0.24,0.24,0.24,0.29,0.67,0.09,NA
"1981-01-07",163.3,18,-25.87,78.27,-12.43,-14.12,1.05,0.43,0.24,0.24,0.24,0.29,163.19,0,-53.07,78.13,-13.91,-15.28,0.72,0.16,0.24,0.24,0.24,0.29,163.35,85.07,-6.93,78.4,-9.71,-12.67,1.44,0.71,0.24,0.24,0.24,0.29,0.15,0.11,NA
"1981-01-08",163.37,26.01,-38.69,78.23,-11.49,-15.13,0.61,0.17,0.24,0.24,0.23,0.29,163.35,0,-75.67,78.02,-14.21,-16.39,0.04,-0.29,0.24,0.24,0.23,0.29,163.44,125.73,7.47,78.45,-7.35,-14.36,1.08,0.58,0.24,0.24,0.24,0.29,0.07,0.34,NA
"1981-01-09",163.55,21.84,-27.8,78.54,-11.83,-14.15,1.13,0.57,0.24,0.24,0.23,0.29,163.46,0,-53.63,78.38,-13.44,-15.38,0.87,0.15,0.24,0.24,0.23,0.29,163.66,102.63,5.1,78.89,-10,-12.94,1.44,0.89,0.24,0.24,0.23,0.29,0.18,0.1,NA
"1981-01-10",163.72,24.61,-39.32,79.09,-12.99,-15.1,1.04,0.46,0.24,0.24,0.23,0.29,163.66,0,-82.64,78.89,-15.15,-16.73,0.8,0.27,0.24,0.24,0.23,0.29,163.76,125.93,-10.07,79.22,-10,-13.9,1.21,0.87,0.24,0.24,0.23,0.29,0.07,0.21,NA
"1981-01-11",163.76,25.67,-41.49,79.18,-9.77,-16.45,1,0.33,0.24,0.24,0.23,0.29,163.76,0,-62.41,79.01,-12.55,-18.31,0.76,0.12,0.24,0.24,0.23,0.29,163.77,119.66,-26.9,79.3,-6.63,-15.2,1.18,0.53,0.24,0.24,0.23,0.29,0,0.25,NA
"1981-01-12",163.77,26.09,-31.81,78.88,-8.17,-17.34,1.08,0.34,0.24,0.24,0.23,0.29,163.76,0,-66.39,78.79,-9.75,-18.69,0.95,0.23,0.24,0.24,0.23,0.29,163.77,125.99,4.86,78.99,-5.59,-14.89,1.21,0.47,0.24,0.24,0.23,0.29,0,0.44,NA
"1981-01-13",163.77,25.57,-35.84,79.08,-8.95,-15.82,0.84,-0.06,0.24,0.24,0.23,0.29,163.76,0,-50.64,79,-10.76,-17.49,0.5,-0.4,0.24,0.24,0.23,0.29,163.77,123.67,-23.17,79.17,-5.73,-13.58,1.15,0.17,0.24,0.24,0.23,0.29,0,0.36,NA
"1981-01-14",163.78,28.37,-43.15,79.01,-9,-15.71,0.4,-0.49,0.24,0.24,0.23,0.29,163.77,0,-68.67,78.94,-11.45,-16.75,0.08,-0.75,0.24,0.24,0.23,0.29,163.79,140.25,-15.47,79.12,-5.14,-14.28,0.92,-0.05,0.24,0.24,0.23,0.29,0,0.42,NA
"1981-01-15",163.8,30.83,-45.91,78.85,-8.71,-14.06,0.34,-0.15,0.24,0.24,0.23,0.29,163.79,0,-74.07,78.73,-10.64,-15.84,0.08,-0.71,0.24,0.24,0.23,0.29,163.81,144.26,-25.83,78.96,-5.74,-12.51,0.78,0.35,0.24,0.24,0.23,0.29,0,0.36,NA
"1981-01-16",163.82,33.27,-59.62,78.55,-10.11,-18.05,0.74,0.19,0.24,0.24,0.23,0.29,163.81,0,-87.89,78.39,-12.3,-26.28,0.46,0.03,0.24,0.24,0.23,0.29,163.82,154.45,-46.91,78.71,-7.44,-13.92,1.06,0.35,0.24,0.24,0.23,0.29,0,0.28,NA
"1981-01-17",163.82,33.56,-52.97,78.12,-14.03,-25.14,1.24,0.53,0.24,0.24,0.23,0.29,163.82,0,-91.54,77.98,-15.59,-28.28,0.86,-0.02,0.24,0.24,0.23,0.29,163.83,162.33,-15.04,78.35,-12.22,-21.6,1.64,0.96,0.24,0.24,0.23,0.29,0.01,0.32,NA
"1981-01-18",163.87,27.54,-25.56,78.59,-14.01,-16.57,1.32,0.54,0.24,0.24,0.23,0.29,163.84,0,-65.81,78.33,-16.53,-21.49,1.07,0.37,0.24,0.24,0.23,0.29,163.91,130.45,-8.57,78.75,-10.99,-13.93,1.51,0.75,0.24,0.24,0.23,0.29,0.02,0.14,NA
"1981-01-19",163.93,28.52,-23.08,78.63,-8.46,-10.6,1.01,0.29,0.24,0.24,0.23,0.29,163.91,0,-51.67,78.48,-12.82,-14.1,0.7,0.05,0.24,0.24,0.23,0.29,163.97,133.46,2.9,78.77,-3.27,-7.88,1.32,0.47,0.24,0.24,0.23,0.29,0,0.32,NA
"1981-01-20",163.99,32.7,-40.13,78.64,-6.47,-8.51,0.82,0.33,0.24,0.24,0.23,0.29,163.97,0,-75.66,78.46,-9.85,-10.7,0.46,0.04,0.24,0.24,0.23,0.29,164.03,148.28,-18.34,78.81,-2.38,-6.88,1.13,0.51,0.24,0.24,0.23,0.29,0,0.4,NA
"1981-01-21",164.06,30.01,-35.86,78.72,-7.75,-9.36,1.07,0.52,0.24,0.24,0.23,0.29,164.03,0,-58.23,78.62,-10.4,-11.45,0.43,-0.11,0.24,0.24,0.23,0.29,164.09,143.96,4.63,78.82,-4.19,-7.7,1.42,0.75,0.24,0.24,0.23,0.29,0,0.31,NA
"1981-01-22",164.22,20.38,-15.19,78.39,-5.63,-6.51,0.91,0.74,0.24,0.24,0.23,0.29,164.11,0,-31.54,78.29,-7.91,-8.5,0.61,0.41,0.24,0.24,0.23,0.29,164.29,87.2,1.82,78.63,-2.73,-4.56,1.21,0.91,0.24,0.24,0.23,0.29,0.12,0.11,NA
"1981-01-23",164.4,29.44,-23.12,77.97,-3.67,-4.73,0.73,0.35,0.24,0.24,0.23,0.29,164.29,0,-66.82,77.74,-5.54,-6.21,0.37,-0.38,0.24,0.24,0.23,0.29,164.59,148.68,2.01,78.21,-0.55,-3.03,1.19,0.94,0.24,0.24,0.23,0.29,0.26,0.55,NA
"1981-01-24",170.46,24.27,-31.95,77.66,-5.51,-7.6,0.04,-0.67,0.24,0.24,0.23,0.29,164.92,0,-73.78,77.58,-7.98,-9.79,-0.63,-1.12,0.24,0.24,0.23,0.29,172.03,119.29,3.87,77.76,-4.19,-5.29,0.88,-0.08,0.24,0.24,0.23,0.29,7.49,0.69,NA
"1981-01-25",173.63,27.35,-47.25,77.78,-9.67,-12.14,0.66,-0.04,0.24,0.24,0.23,0.29,172.16,0,-82.72,77.7,-12.89,-14.63,-0.08,-0.58,0.24,0.24,0.23,0.29,174.16,133.1,-14.99,77.86,-7.66,-8.44,1.22,0.24,0.24,0.24,0.23,0.29,2.18,0.67,NA
"1981-01-26",174.2,30.78,-43.39,77.31,-13.95,-16.19,0.51,0.42,0.24,0.24,0.23,0.29,174.17,0,-80.54,77.14,-16.92,-18.92,-0.1,-0.13,0.24,0.24,0.23,0.29,174.31,147.03,-23.31,77.61,-10.58,-14.78,1.04,1.36,0.24,0.24,0.23,0.29,0.14,0.35,NA
"1981-01-27",174.44,33.81,-50.58,77.34,-13.76,-15.69,0.9,0.49,0.24,0.24,0.23,0.29,174.35,0,-94.03,77.2,-16.79,-18.67,0.42,-0.19,0.24,0.24,0.23,0.29,174.48,159.35,-18.96,77.48,-10.59,-14.04,1.18,0.92,0.24,0.24,0.23,0.29,0.14,0.29,NA
"1981-01-28",174.52,29.15,-33.69,77.08,-11.24,-17.21,0.33,0.26,0.24,0.24,0.23,0.29,174.48,0,-63.26,76.95,-17.09,-20.67,-0.11,-0.3,0.24,0.24,0.23,0.29,174.58,141.43,-4.86,77.24,-6.26,-13.72,0.8,0.81,0.24,0.24,0.23,0.29,0.09,0.55,NA
"1981-01-29",174.71,26.22,-25.72,77.65,-11.52,-14.01,0.08,-0.31,0.24,0.24,0.23,0.29,174.58,0,-49.19,77.24,-17.26,-19.19,-0.57,-0.75,0.24,0.24,0.23,0.29,175.05,137.81,-10.77,78.02,-6.79,-11.51,0.7,0.12,0.24,0.24,0.23,0.29,0.43,0.41,NA
"1981-01-30",175.76,24.74,-15.44,78.12,-9.45,-11.34,0.45,-0.16,0.24,0.24,0.23,0.29,175.13,0,-46.28,78.03,-11.62,-12.95,-0.03,-0.41,0.24,0.24,0.23,0.29,176.13,118.23,14.53,78.23,-6.21,-9.49,0.93,0.06,0.24,0.24,0.23,0.29,1.05,0.37,NA
"1981-01-31",176.7,32.95,-43.76,78.31,-10.8,-13.07,1.15,-0.02,0.24,0.24,0.23,0.29,176.14,0,-77.2,78.12,-13.51,-14.81,0.76,-0.28,0.24,0.24,0.23,0.29,177.12,149.54,-6.37,78.59,-8.09,-11.91,1.58,0.25,0.24,0.24,0.23,0.29,0.98,0.55,NA
"1981-02-01",177.12,41.86,-64.78,78.75,-11.62,-16.59,0.98,0,0.24,0.24,0.23,0.29,177.12,0,-92.56,78.59,-15.22,-18.38,0.68,-0.31,0.24,0.24,0.23,0.29,177.13,177.95,-44.79,78.84,-6.97,-14.27,1.31,0.42,0.24,0.24,0.23,0.29,0.01,0.89,NA
"1981-02-02",177.12,42.89,-60.52,78.83,-11.86,-19.09,1.04,0.06,0.24,0.24,0.23,0.29,177.12,0,-88.04,78.7,-15.36,-20.77,0.82,-0.26,0.24,0.24,0.23,0.29,177.13,181.08,-46.32,78.91,-6.86,-17.2,1.29,0.45,0.24,0.24,0.23,0.29,0,0.96,NA
"1981-02-03",177.13,39,-47.8,78.98,-11.54,-18.44,0.68,-0.12,0.24,0.24,0.23,0.29,177.12,0,-69.71,78.91,-15.17,-21.87,0.41,-0.51,0.24,0.24,0.23,0.29,177.14,166.56,-30.62,79.07,-4.91,-14.64,0.85,0.44,0.24,0.24,0.23,0.29,0,0.74,NA
"1981-02-04",177.15,45.87,-56.92,78.66,-10.82,-15.97,0.35,-0.25,0.24,0.24,0.23,0.29,177.14,0,-94.53,78.59,-15.29,-18.41,-0.09,-0.52,0.24,0.24,0.23,0.29,177.16,191.17,-11.34,78.79,-4.99,-14.29,0.76,0.04,0.24,0.24,0.23,0.29,0.01,1.28,NA
"1981-02-05",177.17,44.8,-60.74,78.25,-13.52,-17.63,0.99,0.04,0.24,0.24,0.23,0.29,177.16,0,-85.01,78.06,-17.4,-19.82,0.74,-0.38,0.24,0.24,0.23,0.29,177.18,191.33,-46.21,78.51,-8.66,-15.89,1.29,0.74,0.24,0.24,0.23,0.29,0,0.76,NA
"1981-02-06",177.3,43.62,-51.98,78.23,-14.31,-18.19,0.76,-0.27,0.24,0.24,0.23,0.29,177.18,0,-77.11,78.07,-17.13,-20.27,-0.26,-1.17,0.24,0.24,0.23,0.29,177.63,185.86,-24.62,78.42,-10.05,-15.78,1.42,0.42,0.24,0.24,0.23,0.29,0.42,0.72,NA
"1981-02-07",177.97,26.57,-29,77.93,-16.24,-18.92,1.17,0.39,0.24,0.24,0.23,0.29,177.63,0,-64.05,77.62,-19.78,-21.92,0.14,-0.38,0.24,0.24,0.23,0.29,178.65,107.08,9.77,78.32,-12.7,-16.64,1.8,1.02,0.24,0.24,0.23,0.29,1.01,0.37,NA
