"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",129.86,27.77,-52.52,78.08,-14.5,-21.78,1.52,0.08,0.21,0.21,0.2,0.25,129.84,0,-73.64,77.83,-17.52,-24.57,1.3,-0.14,0.21,0.21,0.2,0.25,129.86,137.51,-38.31,78.35,-9.52,-18.83,1.78,0.4,0.21,0.21,0.2,0.25,0,0.4,NA
"1981-01-02",129.84,28.02,-48.53,77.81,-14.38,-22.09,1.57,0.23,0.21,0.21,0.2,0.25,129.83,0,-70.34,77.75,-16.57,-24.39,1.3,-0.06,0.21,0.21,0.2,0.25,129.84,138.62,-34.68,77.91,-10.21,-18.87,1.83,0.53,0.21,0.21,0.2,0.25,0,0.36,NA
"1981-01-03",129.84,29.22,-53.84,77.74,-14.93,-22.2,1.76,0.39,0.21,0.21,0.2,0.25,129.83,0,-78.11,77.67,-16.88,-24.26,1.46,0.31,0.21,0.21,0.2,0.25,129.84,143.94,-42.27,77.81,-11.08,-19.39,1.94,0.48,0.21,0.21,0.2,0.25,0,0.27,NA
"1981-01-04",129.85,27.12,-33.66,77.82,-14.03,-19.34,1.71,0.43,0.21,0.21,0.2,0.25,129.83,0,-64.34,77.71,-16.49,-22.74,1.5,0.31,0.21,0.21,0.2,0.25,129.91,136.98,-0.9,77.92,-10.25,-15.74,1.89,0.49,0.21,0.21,0.2,0.25,0.06,0.38,NA
"1981-01-05",129.96,26.01,-39.35,77.93,-14.67,-16.58,1.46,0.29,0.21,0.21,0.2,0.25,129.92,0,-68.1,77.84,-16.68,-18.3,1.08,0.05,0.21,0.21,0.2,0.25,129.98,131.11,-15.34,78.02,-10.61,-13.67,1.75,0.53,0.21,0.21,0.2,0.25,0.02,0.11,NA
"1981-01-06",130.15,16.69,-20.27,77.36,-12.47,-15.39,1.75,0.75,0.21,0.21,0.2,0.25,129.98,0,-50.24,76.94,-16.53,-18.46,1.19,0.18,0.21,0.21,0.2,0.25,130.46,86.83,13.33,77.9,-8.78,-12.79,2.34,1.2,0.21,0.21,0.2,0.25,0.46,0.34,NA
"1981-01-07",130.54,22.19,-37.38,77.35,-12.26,-14.23,1.46,0.56,0.21,0.21,0.2,0.25,130.48,0,-61.32,77.22,-13.71,-15.23,1.1,0.32,0.21,0.21,0.2,0.25,130.56,102.72,-20.51,77.5,-8.89,-12.29,1.88,0.84,0.21,0.21,0.2,0.25,0.08,0.25,NA
"1981-01-08",130.57,30.17,-43.82,77.34,-11.98,-15.75,0.91,0.33,0.21,0.21,0.2,0.25,130.55,0,-82.7,77.11,-16.35,-18.59,0.02,-0.05,0.21,0.21,0.19,0.25,130.61,142.68,5.8,77.55,-6.85,-14.13,1.49,0.7,0.21,0.21,0.2,0.25,0.05,0.49,NA
"1981-01-09",130.71,24.38,-33.2,77.62,-11.57,-14.04,1.57,0.68,0.21,0.21,0.19,0.25,130.63,0,-59.75,77.46,-13.91,-16.09,1.31,0.36,0.21,0.21,0.19,0.25,130.81,121.84,-3.97,77.97,-8.55,-11.98,1.82,0.88,0.21,0.21,0.19,0.25,0.16,0.24,NA
"1981-01-10",130.84,29.56,-48.95,78.15,-13.13,-15.45,1.55,0.61,0.21,0.21,0.19,0.25,130.81,0,-90.1,77.96,-15.34,-16.98,1.28,0.44,0.21,0.21,0.19,0.25,130.86,148.75,-18.35,78.27,-9.26,-13.54,1.79,0.91,0.21,0.21,0.19,0.25,0.04,0.34,NA
