"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",87,21.98,-44.66,78.89,-15.79,-20.72,2.06,0.37,0.23,0.22,0.21,0.26,86.99,0,-62.64,78.63,-20.31,-24.3,1.67,0.26,0.23,0.22,0.21,0.26,87,108.83,-31.31,79.2,-7.56,-15.7,2.35,0.53,0.23,0.22,0.21,0.26,0,0.25,NA
"1981-01-02",86.98,22.32,-42.96,78.61,-15.94,-20.83,2.04,0.41,0.23,0.22,0.21,0.26,86.97,0,-60.79,78.54,-21.29,-24.88,1.5,0.21,0.23,0.22,0.21,0.26,86.99,110.38,-30.37,78.75,-7.99,-15.56,2.45,0.59,0.23,0.22,0.21,0.26,0,0.33,NA
"1981-01-03",86.95,23.48,-50.69,78.53,-14.89,-20.44,2.32,0.51,0.23,0.22,0.21,0.26,86.93,0,-71.1,78.44,-17.73,-22.97,1.87,0.41,0.23,0.22,0.21,0.26,86.97,115.59,-42.72,78.63,-7.82,-16.24,2.58,0.61,0.23,0.22,0.21,0.26,0,0.41,NA
"1981-01-04",86.93,22.11,-31.91,78.64,-13.9,-18.51,2.19,0.53,0.22,0.22,0.21,0.26,86.92,0,-57.49,78.5,-17.63,-21.98,1.87,0.41,0.22,0.22,0.21,0.26,86.94,111.11,-9.83,78.76,-7.73,-14.45,2.41,0.62,0.23,0.22,0.21,0.26,0.03,0.41,NA
"1981-01-05",87.01,22.55,-40.96,78.8,-13.73,-16.07,1.87,0.46,0.22,0.22,0.21,0.26,86.97,0,-67.62,78.67,-16.72,-18.49,1.46,0.31,0.22,0.22,0.21,0.26,87.02,112.22,-7.08,78.88,-8.2,-12.35,2.21,0.62,0.22,0.22,0.21,0.26,0.07,0.18,NA
"1981-01-06",87.08,12.97,-22.57,78.19,-11.45,-14.6,2.18,0.76,0.22,0.22,0.21,0.26,87.02,0,-61.27,77.7,-16.06,-18.28,1.68,0.22,0.22,0.22,0.21,0.26,87.2,78.66,23.34,78.78,-6.32,-11.16,2.87,1.18,0.22,0.22,0.21,0.26,0.18,0.33,NA
"1981-01-07",87.22,19.8,-41.6,78.22,-12.31,-14.68,1.88,0.58,0.22,0.22,0.21,0.26,87.2,0,-61.68,78.07,-15.24,-17,1.23,0.4,0.22,0.22,0.21,0.26,87.23,90.2,-18.05,78.4,-7.19,-11.32,2.4,0.83,0.22,0.22,0.21,0.26,0.01,0.22,NA
"1981-01-08",87.23,24.58,-38.21,78.25,-11.35,-15.18,1.09,0.41,0.22,0.22,0.21,0.26,87.23,0,-76.58,77.97,-16.92,-19.41,-0.21,0.16,0.22,0.22,0.21,0.26,87.25,113.87,13.31,78.48,-5.28,-12.29,1.92,0.74,0.22,0.22,0.21,0.26,0.02,0.39,NA
"1981-01-09",87.32,18.69,-30.58,78.48,-10.9,-13.77,1.91,0.67,0.22,0.22,0.21,0.26,87.26,0,-57.69,78.29,-13.83,-16.28,1.41,0.39,0.22,0.22,0.21,0.26,87.4,102.94,1.12,78.83,-6.06,-10.28,2.35,0.87,0.22,0.22,0.21,0.26,0.15,0.18,NA
"1981-01-10",87.42,25.91,-50.63,79.01,-13.56,-16.07,2.09,0.67,0.22,0.22,0.21,0.26,87.41,0,-84.72,78.81,-16.09,-17.74,1.76,0.54,0.22,0.22,0.21,0.26,87.43,127.13,-24.26,79.13,-8.12,-12.84,2.38,0.9,0.22,0.22,0.21,0.26,0.01,0.26,NA
"1981-01-11",87.42,25.25,-42.45,79.07,-11.3,-15.85,2.18,0.61,0.22,0.22,0.21,0.26,87.39,0,-61.71,78.87,-15.47,-18.89,1.75,0.51,0.22,0.22,0.21,0.26,87.43,118.51,-26.29,79.23,-4.29,-11.24,2.41,0.74,0.22,0.22,0.21,0.26,0,0.58,NA
