"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",9.17,35.52,-71.27,89.01,-4.94,-11.24,1.39,1.12,0.35,0.33,0.25,0.24,8.97,0,-105.32,88.52,-10.37,-14.09,0.24,-1.96,0.35,0.33,0.25,0.24,9.29,177.23,-51.76,89.58,2,-9,2.94,2.25,0.36,0.33,0.25,0.24,0,3.27,NA
"1981-01-02",8.82,36.04,-80.21,88.73,-4.75,-14.09,0.76,0.23,0.35,0.33,0.25,0.24,8.67,0,-103.59,88.5,-8.02,-16.69,-0.98,-1.91,0.35,0.33,0.25,0.24,8.96,179.53,-58.66,88.97,0.44,-11.13,2.3,2.1,0.35,0.33,0.25,0.24,0,4.45,NA
"1981-01-03",8.56,37.98,-80.85,88.48,-4.42,-12.73,2.28,0.11,0.35,0.33,0.25,0.24,8.43,0,-117.58,88.33,-7.9,-15.76,1.59,-0.64,0.35,0.33,0.25,0.24,8.67,188.11,-55.53,88.63,3.35,-8.05,2.94,1.07,0.35,0.33,0.25,0.24,0,3.2,NA
"1981-01-04",8.3,36.43,-66.58,88.64,-3.6,-12.05,2.39,-0.02,0.35,0.33,0.25,0.24,8.1,0,-98.4,88.53,-8.11,-16.75,1.87,-0.8,0.35,0.33,0.25,0.24,8.43,182.05,-48.78,88.76,3.74,-7.21,2.86,0.38,0.35,0.33,0.26,0.24,0,3.76,NA
"1981-01-05",8.05,37.92,-68.25,88.97,-2.29,-7.7,1.84,-0.52,0.35,0.33,0.26,0.24,7.99,0,-105.87,88.68,-5.66,-9.43,0.7,-1.31,0.35,0.33,0.26,0.24,8.11,188.14,-13.79,89.16,2.1,-6,2.7,0.37,0.35,0.33,0.26,0.24,0.15,2.94,NA
"1981-01-06",8,18.89,-42.22,88.3,-3.25,-8.49,0.64,0.92,0.34,0.33,0.26,0.24,7.92,0,-82.33,87.6,-6.79,-10.81,-0.77,-2.69,0.34,0.32,0.26,0.24,8.06,118.84,-7.34,89.12,-0.06,-4.33,3.72,2.26,0.35,0.33,0.26,0.24,0.42,2.22,NA
"1981-01-07",7.97,35.45,-75.91,88.34,-3.23,-8.53,1.54,0.56,0.34,0.32,0.26,0.24,7.92,0,-98.38,88.06,-6.57,-10.36,-0.77,-0.32,0.34,0.32,0.26,0.24,8.04,168.61,-47.09,88.57,1.09,-6.36,3.73,2.02,0.34,0.32,0.26,0.24,0,3.15,NA
"1981-01-08",7.89,37.4,-50.57,88.49,-4.21,-8.45,0.35,-0.57,0.34,0.32,0.26,0.24,7.84,0,-93.48,88.1,-7.14,-12.08,-1.63,-1.68,0.34,0.32,0.26,0.24,7.93,177.38,-4.32,88.87,0.44,-4.8,1.96,1.03,0.34,0.32,0.26,0.24,0.05,1.63,NA
"1981-01-09",7.9,25.87,-45.32,88.66,-3.2,-6.46,0.63,0.89,0.34,0.32,0.26,0.24,7.85,0,-84.75,88.51,-5.68,-8.02,-1.5,-0.48,0.34,0.32,0.26,0.24,7.92,156.78,-19.6,88.97,0.63,-5.42,2.83,2.11,0.34,0.32,0.26,0.24,0.12,1.81,NA
"1981-01-10",7.86,41.83,-85.32,89.2,-5.08,-10.07,1.85,0.87,0.34,0.32,0.26,0.24,7.8,0,-111.33,88.98,-9.08,-11.83,0.27,0,0.34,0.32,0.26,0.24,7.9,199.63,-64.35,89.37,0.99,-8.02,2.91,2.12,0.34,0.32,0.26,0.24,0,2.75,NA
"1981-01-11",7.65,39.75,-68.29,89.07,-2.94,-9.44,2.24,0.63,0.34,0.32,0.26,0.24,7.43,0,-92.03,88.79,-7.13,-11.7,1.11,0.03,0.34,0.32,0.26,0.24,7.8,199.31,-54.96,89.21,4.72,-5.68,2.8,1.44,0.34,0.32,0.26,0.24,0,3.9,NA
"1981-01-12",7.2,39.79,-67.76,88.71,-0.39,-8.76,2.27,-0.08,0.34,0.32,0.26,0.24,6.98,0,-98,88.47,-4.64,-11.36,0.84,-1.59,0.34,0.32,0.26,0.24,7.43,194.13,-26.68,89.06,5.92,-6.02,2.99,0.74,0.34,0.32,0.26,0.24,0,5.43,NA
"1981-01-13",6.8,40.34,-62.76,89.11,-2.17,-9.11,1.8,-0.01,0.34,0.32,0.26,0.24,6.57,0,-90.44,89.04,-5.9,-13.07,0.91,-0.85,0.34,0.32,0.26,0.24,6.98,197.99,-41.72,89.2,5.68,-4.88,2.19,0.52,0.34,0.32,0.26,0.24,0,2.43,NA
"1981-01-14",6.39,41.26,-66.43,89.16,-1.86,-8.52,1.14,-0.33,0.34,0.32,0.26,0.24,6.16,0,-102.44,89.06,-5.03,-11.45,-1.57,-1.58,0.34,0.32,0.26,0.24,6.57,211.58,-29.98,89.25,5.07,-5.82,2.01,0.42,0.34,0.32,0.26,0.24,0,2.38,NA
"1981-01-15",6.14,38.91,-65.65,89.19,-5.11,-7.48,-0.44,1.57,0.34,0.32,0.26,0.24,6.09,0,-94.77,89.06,-7.34,-9.72,-1.71,-1.26,0.34,0.32,0.26,0.24,6.17,194.09,-33.69,89.33,-1.68,-5.55,1.41,3.5,0.34,0.32,0.26,0.24,0,1.13,NA
"1981-01-16",6.1,48.75,-101.39,88.73,-4.95,-10.25,-0.3,3,0.34,0.32,0.26,0.24,6.02,0,-120.88,88.61,-8.37,-13.95,-0.96,2.39,0.34,0.32,0.26,0.24,6.16,225.71,-88.54,88.99,1.26,-7.15,0.41,3.46,0.34,0.32,0.26,0.24,0,3.79,NA
"1981-01-17",5.95,51.76,-97.62,88.06,-4.86,-15.3,0.89,2.11,0.34,0.31,0.26,0.24,5.84,0,-127.83,87.75,-10.14,-18.89,-0.42,0.04,0.33,0.31,0.26,0.24,6.02,242.77,-76.47,88.48,3.24,-10.05,3.17,2.76,0.34,0.32,0.26,0.24,0,5.98,NA
"1981-01-18",5.71,49.7,-79.96,88.4,-1.17,-8.55,2.59,0.61,0.33,0.31,0.26,0.24,5.56,0,-109.96,88.09,-4.01,-10,1.35,-0.06,0.33,0.31,0.26,0.24,5.84,231.57,-59.14,88.61,4.96,-6.77,3.17,1.52,0.33,0.31,0.26,0.24,0,5.55,NA
"1981-01-19",5.21,42.95,-59.41,88.34,0.75,-4.16,2.09,0.81,0.34,0.31,0.26,0.24,4.78,0,-71.1,88.14,-2.47,-7.27,1.18,0.21,0.33,0.31,0.26,0.24,5.56,198.59,-49.95,88.49,8.09,-1.23,2.69,1.81,0.34,0.31,0.26,0.24,0,3.05,NA
"1981-01-20",4.43,50.18,-68.53,88.45,2.13,-2.68,2.11,0.23,0.34,0.31,0.26,0.24,4,0,-93.77,88.1,-2.22,-4.07,0.65,-0.84,0.34,0.31,0.26,0.24,4.78,231.59,-51.43,88.74,8.95,-0.14,3.03,1.83,0.35,0.31,0.26,0.24,0,3.18,NA
"1981-01-21",3.73,48.56,-60.69,88.53,0.91,-4.05,1.69,0.85,0.34,0.31,0.26,0.24,3.38,0,-81.57,88.39,-2.94,-6.4,0.23,-0.83,0.34,0.31,0.26,0.24,4.01,232.3,-33.5,88.72,8.45,-2.27,2.88,2.12,0.35,0.32,0.26,0.24,0,2.86,NA
"1981-01-22",3.11,35.69,-49.69,88.19,1.64,-1.91,1.91,0.98,0.34,0.32,0.26,0.24,2.77,0,-78.06,87.93,-1.7,-3.39,1.28,-0.87,0.34,0.32,0.26,0.24,3.38,163.42,-21.35,88.5,7.29,-0.5,2.53,2.28,0.35,0.32,0.26,0.24,0,2.56,NA
"1981-01-23",2.56,48.89,-54.59,87.83,1.77,-0.92,1.55,-0.33,0.34,0.32,0.26,0.24,2.3,0,-88.51,87.6,-1.42,-2.39,0,-3.24,0.34,0.32,0.26,0.24,2.78,218.57,-29.68,87.99,7.89,1.23,2.53,1.22,0.34,0.32,0.26,0.24,0,1.83,NA
"1981-01-24",5.33,26.41,-44.4,87.82,-1.03,-4.79,1.55,-2.96,0.34,0.32,0.26,0.24,2.31,0,-87.61,87.63,-4.58,-8.79,1.2,-3.69,0.33,0.32,0.26,0.24,6.49,130.59,-11.64,88.04,0.53,-0.99,1.93,-1.88,0.34,0.32,0.26,0.24,4.29,4.86,NA
"1981-01-25",6.34,49.35,-73.97,88.11,-3.82,-8.79,1.35,-1.34,0.33,0.32,0.26,0.24,6.28,0,-95.47,88,-5.79,-10.25,-0.13,-2.85,0.33,0.32,0.26,0.24,6.38,232.79,-46.51,88.19,-0.25,-7.85,1.97,0.15,0.33,0.32,0.26,0.24,0.12,3.44,NA
"1981-01-26",6.57,41.16,-55.8,87.69,-4.63,-8.13,-0.8,1.36,0.33,0.32,0.26,0.24,6.39,0,-94.68,87.49,-9.04,-10.64,-1.92,-0.19,0.33,0.32,0.26,0.24,6.68,203.14,-18.08,87.96,-1.9,-6.81,0.89,2.85,0.33,0.32,0.26,0.24,0.39,1.84,NA
"1981-01-27",6.65,51.95,-72.71,87.58,-8.3,-11.39,-0.44,0.95,0.33,0.32,0.26,0.24,6.59,0,-106.11,87.46,-12.32,-15.06,-1.45,0.2,0.33,0.32,0.26,0.24,6.69,234.52,-42.83,87.7,-2.39,-8.98,0.92,1.74,0.33,0.32,0.27,0.24,0,1.98,NA
"1981-01-28",6.67,33.72,-26.79,87.46,-8.43,-10.35,-1.54,2.26,0.33,0.32,0.27,0.24,6.61,0,-57.5,87.33,-10.56,-11.71,-2.44,1.77,0.33,0.32,0.27,0.24,6.72,157.84,-8.63,87.6,-5.21,-8.72,-0.63,2.74,0.33,0.32,0.27,0.24,0.19,1.3,NA
"1981-01-29",6.79,36.72,-37.16,88.05,-7.01,-9.75,-0.09,-0.21,0.33,0.32,0.27,0.24,6.72,0,-63.23,87.54,-9.26,-10.84,-1.15,-1.46,0.32,0.31,0.27,0.24,6.93,186.66,-16.98,88.51,-3.68,-9.18,1.02,1.54,0.33,0.32,0.27,0.24,0.3,1.83,NA
"1981-01-30",7.02,40.39,-42.69,88.6,-8.15,-10.87,0.55,-0.93,0.32,0.31,0.27,0.24,6.93,0,-61.67,88.54,-11.33,-12.59,-0.92,-1.9,0.32,0.31,0.27,0.24,7.1,187.44,-11.91,88.73,-3.81,-8.96,1.09,0.7,0.32,0.31,0.27,0.24,0.19,1.73,NA
"1981-01-31",7.23,34.86,-44.07,88.6,-5.94,-9.96,1.28,-1.59,0.32,0.31,0.27,0.24,7.02,0,-77.65,88.46,-10.54,-12.43,0.15,-4.38,0.32,0.31,0.27,0.24,7.37,147.67,-15.35,89.11,-0.23,-6.47,1.99,0.58,0.32,0.31,0.27,0.24,0.53,4.09,NA
"1981-02-01",7.28,58.47,-68.64,89.17,-8,-12.65,0.64,-0.16,0.32,0.31,0.27,0.24,7.22,0,-107.52,88.93,-10.9,-14.15,-1.17,-2.34,0.32,0.31,0.27,0.24,7.32,257.98,-33.21,89.33,-1.42,-11.01,2.32,1.08,0.32,0.31,0.27,0.24,0.02,2.88,NA
"1981-02-02",7.11,62.85,-76.73,89.03,-5.69,-14.62,1.69,-1.01,0.32,0.31,0.27,0.24,6.95,0,-113.25,88.87,-10.73,-16.48,0.25,-1.5,0.32,0.31,0.27,0.24,7.23,268.05,-22.21,89.15,2.26,-11.52,2.23,-0.44,0.33,0.31,0.27,0.24,0,5.11,NA
"1981-02-03",6.81,62.93,-68.76,89.26,-3.35,-9.5,0.82,-0.26,0.33,0.31,0.27,0.24,6.62,0,-107.57,89.13,-6.91,-14.21,-1.62,-1.82,0.32,0.31,0.27,0.24,6.96,266.79,-17.47,89.39,3.01,-5.78,2.25,1.98,0.33,0.31,0.27,0.24,0.01,4.32,NA
"1981-02-04",6.52,65.94,-76.68,88.99,-4.09,-9.66,1.35,-1.47,0.33,0.31,0.27,0.24,6.39,0,-111.86,88.95,-8.18,-11.57,-0.21,-2.82,0.33,0.31,0.27,0.24,6.63,276.79,-33.54,89.03,1.19,-8.16,2.03,0.2,0.33,0.31,0.27,0.24,0,4.51,NA
"1981-02-05",6.26,65.16,-78.06,88.46,-5.77,-12.63,0.97,-0.03,0.33,0.31,0.27,0.24,6.05,0,-113.41,88.08,-12.52,-14.85,-0.92,-2.59,0.33,0.31,0.27,0.24,6.4,280.73,-57.51,88.91,3.45,-10.4,2.03,1.34,0.33,0.31,0.27,0.24,0,4.87,NA
"1981-02-06",6.01,57.25,-74.89,88.62,-5.89,-13.33,1.57,-3.54,0.33,0.31,0.27,0.24,5.87,0,-88.85,88.29,-12.81,-18.11,0.59,-5.09,0.33,0.31,0.27,0.24,6.12,268.82,-37.05,89.26,-0.85,-9.12,2.48,-1.95,0.33,0.31,0.27,0.24,0.42,7.37,NA
"1981-02-07",6.35,38.53,-49.62,88.35,-11.47,-16.3,0.56,0.29,0.33,0.31,0.27,0.24,6.1,0,-94.71,87.71,-17.95,-20.95,-0.96,-3.29,0.33,0.31,0.27,0.24,6.95,172.52,-9.61,89.16,-5.51,-9.4,2.74,2.92,0.33,0.31,0.27,0.24,0.98,2.6,NA
"1981-02-08",7.14,62.03,-61.73,88.22,-10.81,-15.86,0.42,-3.02,0.33,0.31,0.27,0.24,6.95,0,-91.89,87.82,-15.38,-18.66,-1.79,-4.85,0.33,0.31,0.27,0.24,7.89,276.69,-25.23,88.52,-5.28,-9.83,3.03,-0.71,0.33,0.31,0.27,0.24,1.2,4.33,NA
"1981-02-09",8.29,58.12,-64.41,88.54,-21.83,-26.91,1.1,-2.94,0.33,0.31,0.27,0.24,8.01,0,-97.13,88.21,-27.93,-32.72,-0.1,-5.23,0.33,0.31,0.27,0.24,8.36,242.56,-25.39,88.85,-15.84,-18.73,2.04,0.09,0.33,0.31,0.27,0.24,0.59,1.91,NA
"1981-02-10",8.24,61.65,-66.04,88.31,-24.26,-31.64,1,0.72,0.33,0.31,0.27,0.24,8.16,0,-93.14,88.11,-34.74,-39.85,-1.23,-0.57,0.33,0.31,0.27,0.24,8.3,259.04,-30.94,88.64,-12.71,-23.71,2.39,1.67,0.33,0.31,0.27,0.24,0.01,2.56,NA
"1981-02-11",8.2,65.36,-51.7,87.79,-15.68,-21.6,0.42,0.09,0.33,0.31,0.27,0.24,8.15,0,-100.43,87.4,-25.12,-30.29,-0.38,-2.3,0.33,0.3,0.27,0.24,8.29,281.87,-0.36,88.29,-6.59,-13.79,1.43,2.21,0.33,0.31,0.27,0.24,0.24,2.7,NA
