"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",23.48,29.47,-58.66,89.23,-7.91,-13.1,1.67,1.13,0.37,0.36,0.34,0.32,23.23,0,-100.29,88.82,-14.32,-18.85,0.4,-1.34,0.37,0.36,0.33,0.32,23.63,149.13,-33.81,89.78,1.32,-5.47,2.95,2.05,0.37,0.36,0.34,0.32,0,1.02,0.14
"1981-01-02",23.08,29.67,-65.68,88.97,-7.11,-13.07,0.8,0.67,0.37,0.36,0.34,0.32,22.9,0,-96.58,88.73,-11.46,-17.01,-1.47,-1.47,0.37,0.36,0.34,0.32,23.22,150.28,-36.75,89.18,-0.97,-7.52,2.54,2.05,0.37,0.36,0.34,0.32,0,0.98,0.14
"1981-01-03",22.79,31.55,-68.07,88.74,-8.28,-12.5,2.19,0.67,0.37,0.36,0.34,0.32,22.63,0,-108.94,88.62,-13.47,-16.8,0.88,-0.56,0.37,0.36,0.34,0.32,22.89,158.43,-46.75,88.89,1.64,-3.96,2.78,1.56,0.37,0.36,0.34,0.32,0,0.91,0.14
"1981-01-04",22.4,29.91,-55.25,88.89,-5.18,-9.91,2.38,0.66,0.37,0.36,0.34,0.32,22.07,0,-91.2,88.78,-11.63,-15.32,1.85,-0.15,0.36,0.36,0.34,0.32,22.63,152.46,-26.05,89.03,2.91,-4.08,2.78,1.35,0.37,0.36,0.34,0.32,0.03,1.72,0.15
"1981-01-05",21.96,31.33,-67.15,89.23,-3.19,-7.34,2.09,-0.36,0.37,0.36,0.34,0.32,21.84,0,-101.11,88.96,-8.62,-12.21,0.85,-1.77,0.36,0.36,0.34,0.32,22.08,157.53,-2.2,89.42,0.8,-4.96,3.08,1.38,0.37,0.36,0.34,0.32,0,1.25,0.15
"1981-01-06",21.91,14.52,-31.53,88.49,-4.11,-8.15,0.57,1.17,0.36,0.36,0.34,0.32,21.75,0,-83.96,87.84,-10.53,-14.38,-1.37,-2.67,0.36,0.36,0.34,0.32,22.19,88.34,10.06,89.35,0.07,-3.45,3.88,2.77,0.36,0.36,0.34,0.32,0.58,1.26,0.15
"1981-01-07",21.98,30.23,-69.9,88.58,-3.3,-7.44,1.41,0.6,0.36,0.35,0.34,0.32,21.89,0,-95.06,88.29,-6.26,-9.9,-1.14,-0.52,0.36,0.35,0.34,0.32,22.12,145.06,-36.6,88.8,0.52,-4.06,3.72,1.91,0.36,0.36,0.34,0.32,0,1.52,0.15
"1981-01-08",21.75,26.66,-35,88.77,-5.52,-8.2,0.21,-0.31,0.36,0.35,0.34,0.32,21.53,0,-88.16,88.39,-9.64,-12.92,-2.27,-1.46,0.36,0.35,0.34,0.32,21.91,124,-4.5,89.1,-0.19,-3.37,2.04,1.51,0.36,0.35,0.34,0.32,0.18,0.59,0.15
"1981-01-09",21.65,22.56,-43.35,88.86,-2.93,-6.04,0.4,1.31,0.36,0.35,0.34,0.32,21.51,0,-73.55,88.68,-5.94,-8.44,-2.22,-0.3,0.36,0.35,0.34,0.32,21.75,130.65,-10.94,89.18,0.8,-3.73,2.81,2.64,0.36,0.35,0.34,0.32,0.08,1.09,0.15
"1981-01-10",21.44,35.08,-75.39,89.4,-6.01,-9.99,1.7,1.35,0.36,0.35,0.34,0.32,21.36,0,-108.42,89.18,-9.76,-13.07,-0.09,0.81,0.36,0.35,0.34,0.32,21.5,170.81,-38.86,89.55,-0.28,-5.73,3.06,1.93,0.36,0.35,0.34,0.32,0,1.32,0.15
"1981-01-11",21.07,33.84,-57.37,89.29,-5.52,-9.1,1.84,1.04,0.36,0.35,0.34,0.32,20.71,0,-96.7,89.01,-10.67,-12.89,0.68,0.13,0.36,0.35,0.34,0.32,21.36,157.51,-37.04,89.43,3.24,-2.59,2.48,1.48,0.36,0.35,0.34,0.32,0,1.31,0.15
"1981-01-12",20.41,34.57,-57.46,88.96,-1.86,-7.47,2.03,0.45,0.36,0.35,0.34,0.32,20.08,0,-98.25,88.72,-7.15,-10.85,0.64,-0.99,0.36,0.35,0.34,0.32,20.71,171.95,-12.11,89.29,5.43,-3.33,2.95,1.64,0.36,0.35,0.34,0.32,0,2.23,0.15
"1981-01-13",19.72,33.68,-54.27,89.37,-4.28,-7.92,1.78,0.61,0.37,0.35,0.34,0.32,19.27,0,-85.43,89.28,-9.15,-12.51,0.77,-0.79,0.36,0.35,0.34,0.32,20.08,162.51,-35.07,89.5,3.64,-0.98,2.48,1.55,0.37,0.35,0.34,0.32,0,0.98,0.15
