"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",11.04,33.53,-70.63,90.2,-4.71,-10.86,1.52,1.63,0.35,0.33,0.24,0.23,10.94,0,-101.11,89.7,-9.13,-12.95,0.21,-2.4,0.35,0.33,0.24,0.23,11.09,168.46,-54.48,90.8,2.15,-9.09,3.21,2.8,0.35,0.33,0.24,0.23,0,1.97,NA
"1981-01-02",10.88,33.84,-77,89.93,-5.05,-13.55,0.65,0.46,0.35,0.33,0.24,0.23,10.82,0,-98.14,89.7,-7.52,-15.74,-1.55,-2.22,0.34,0.33,0.24,0.23,10.93,169.95,-56.44,90.19,-0.56,-10.94,2.72,2.59,0.35,0.33,0.24,0.23,0,2.48,NA
"1981-01-03",10.77,35.77,-77.83,89.66,-4.47,-12.57,2.34,0.5,0.34,0.33,0.24,0.23,10.71,0,-113.75,89.52,-7.85,-15.13,1.36,-0.39,0.34,0.33,0.24,0.23,10.82,178.24,-54.18,89.82,3.91,-8.43,3.13,2.08,0.34,0.33,0.24,0.23,0,1.83,NA
"1981-01-04",10.62,34,-64.5,89.81,-3.25,-11.28,2.62,0.39,0.34,0.32,0.24,0.23,10.48,0,-93.86,89.72,-7.91,-16.14,2.16,-0.71,0.34,0.32,0.24,0.23,10.72,172.19,-46.96,89.95,4.05,-6.45,3.12,1.01,0.34,0.33,0.24,0.23,0,2.26,NA
"1981-01-05",10.42,35.49,-66.61,90.16,-1.9,-7.06,2.31,-0.64,0.34,0.32,0.24,0.23,10.37,0,-103.97,89.88,-5.74,-9.54,1.37,-2.03,0.34,0.32,0.24,0.23,10.48,177.48,-1.22,90.37,1.95,-4.47,3.12,1.06,0.34,0.32,0.25,0.23,0.06,1.97,NA
"1981-01-06",10.42,16.43,-38.59,89.49,-3.01,-7.47,0.62,1.37,0.34,0.32,0.25,0.23,10.31,0,-83.31,88.78,-7.26,-10.82,-1.38,-3.26,0.34,0.32,0.25,0.23,10.62,103.03,-5.98,90.33,0.31,-2.81,4.45,3.12,0.34,0.32,0.25,0.23,0.47,1.69,NA
"1981-01-07",10.52,34.12,-74.29,89.53,-2.48,-7.67,1.82,0.8,0.34,0.32,0.25,0.23,10.48,0,-96.32,89.21,-6.15,-10.36,-0.3,-0.4,0.33,0.32,0.25,0.23,10.58,159.77,-44.24,89.75,1.37,-5.23,4.26,2.48,0.34,0.32,0.25,0.23,0,2.16,NA
"1981-01-08",10.48,33.51,-43.87,89.71,-4.17,-7.62,0.39,-0.46,0.33,0.32,0.25,0.23,10.44,0,-82.96,89.31,-7.16,-11.36,-2.09,-1.89,0.33,0.32,0.25,0.23,10.55,159.88,-5.31,90.1,0.09,-3.89,2.26,1.25,0.33,0.32,0.25,0.23,0.1,0.86,NA
"1981-01-09",10.59,25.91,-40.72,89.86,-2.79,-5.67,0.42,1.41,0.33,0.32,0.25,0.23,10.56,0,-78.35,89.71,-5.05,-7.25,-1.96,-0.11,0.33,0.32,0.25,0.23,10.61,151.66,-11.72,90.14,0.69,-4.56,3.2,2.95,0.33,0.32,0.25,0.23,0.08,0.96,NA
"1981-01-10",10.55,39.3,-81.66,90.4,-5.09,-9.53,1.86,1.46,0.33,0.32,0.25,0.23,10.52,0,-108.52,90.16,-9.1,-11.51,-0.1,0.36,0.33,0.31,0.25,0.23,10.58,190.16,-59.15,90.55,0.39,-6.87,3.31,2.67,0.33,0.32,0.25,0.23,0,1.61,NA
