"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",3.73,37.62,-69.22,93.51,-5.2,-8.1,1.07,2.17,0.36,0.34,0.2,0.18,3.71,0,-97.2,92.75,-9.73,-10.7,0,-0.14,0.36,0.34,0.2,0.18,3.74,190.07,-46.95,94.07,1.34,-5.64,3.09,3.93,0.36,0.34,0.2,0.18,0,0.38,NA
"1981-01-02",3.73,36.66,-71.31,93.16,-7.11,-12.14,-0.23,-0.96,0.35,0.33,0.2,0.18,3.72,0,-92.41,92.67,-9.72,-13.5,-2.54,-4.32,0.35,0.33,0.2,0.18,3.73,187.28,-56.32,93.5,-4.58,-7.45,3.04,1.84,0.36,0.34,0.2,0.18,0,0.62,NA
"1981-01-03",3.73,40.53,-70.68,92.84,-6.69,-12.68,0.21,0.43,0.35,0.33,0.2,0.18,3.72,0,-109.24,92.72,-9.69,-14.11,-2.09,-1.93,0.35,0.33,0.2,0.18,3.73,201.53,-49.88,93.1,0.08,-11.61,2.17,2.3,0.35,0.33,0.2,0.18,0,0.52,NA
"1981-01-04",3.73,39.73,-65.2,92.9,-5.64,-13.21,1.95,0.33,0.35,0.33,0.2,0.18,3.72,0,-96.49,92.83,-10.45,-14.25,0.08,-0.69,0.35,0.32,0.2,0.18,3.73,195.34,-45.18,92.99,1.5,-10.25,3.12,1.22,0.35,0.33,0.2,0.18,0,0.71,NA
"1981-01-05",3.65,38.12,-69.19,93.13,-1.54,-5.08,3.28,-2.16,0.35,0.32,0.2,0.18,3.55,0,-97.9,92.9,-4.86,-8.57,2.51,-4.31,0.35,0.32,0.2,0.18,3.73,195.07,-45.95,93.45,3.63,-2.53,4.28,-0.92,0.35,0.32,0.2,0.18,0,0.64,NA
"1981-01-06",3.87,26.18,-39.43,92.75,-3.35,-5.49,-0.39,0.8,0.35,0.32,0.2,0.18,3.54,0,-71.96,91.87,-7.19,-8.19,-4.28,-4.29,0.35,0.32,0.2,0.18,5.56,152.7,-3.56,93.48,0.69,-1.42,5.52,4.24,0.35,0.32,0.2,0.18,2.26,0.49,NA
"1981-01-07",5.54,29.6,-53.43,92.6,-1.19,-4.01,2.73,-1.18,0.35,0.32,0.2,0.18,5.47,0,-72.32,92.16,-4.83,-6.18,-1.38,-3.56,0.35,0.32,0.2,0.18,5.61,148.35,-26.74,92.83,1.63,-2.37,5.25,1.48,0.35,0.32,0.2,0.18,0.06,0.54,NA
"1981-01-08",5.5,35.39,-45.46,92.88,-3.53,-5.54,-1.15,-0.32,0.34,0.32,0.2,0.18,5.46,0,-87.76,92.53,-5.99,-8.22,-3.92,-2.91,0.34,0.31,0.2,0.18,5.55,179.47,-20.18,93.45,0.89,-4.03,2.19,1.41,0.35,0.32,0.2,0.18,0.1,0.22,NA
"1981-01-09",5.55,27.73,-35.98,93.2,-6.75,-9.6,-2.75,0.75,0.34,0.31,0.2,0.18,5.53,0,-65.77,92.98,-9.59,-11.9,-4.43,-1.15,0.34,0.31,0.2,0.18,5.58,138.81,-13.45,93.43,-2.51,-7.28,1.54,1.88,0.34,0.31,0.21,0.18,0.06,0.56,NA
"1981-01-10",5.58,40.35,-67.53,93.66,-4.77,-8.46,1.13,1.13,0.34,0.31,0.21,0.18,5.53,0,-102.69,93.24,-8.55,-10.78,-0.76,-1,0.34,0.31,0.21,0.18,5.59,196.06,-21.19,93.86,0.33,-7.19,2.61,3.51,0.34,0.31,0.21,0.18,0.1,0.32,NA
"1981-01-11",5.58,40.57,-62.73,93.5,-4.05,-8.05,0.43,2.4,0.34,0.31,0.21,0.18,5.55,0,-93.47,93.12,-7.85,-9.47,-0.52,1.73,0.34,0.31,0.21,0.18,5.62,196.22,-37.9,93.7,1.73,-6.07,1.62,3,0.34,0.31,0.21,0.18,0,0.36,NA
"1981-01-12",5.52,33.65,-57.36,92.91,-3.62,-8.43,1.62,-0.45,0.34,0.31,0.21,0.18,5.45,0,-86.19,92.72,-8.55,-10.57,0.61,-4.1,0.34,0.31,0.21,0.18,5.57,171.19,-24.48,93.25,2.7,-6.06,2.89,2.3,0.34,0.31,0.21,0.18,0,0.65,NA
"1981-01-13",5.36,40.87,-63.57,93.44,-3.04,-7.86,1.62,-0.07,0.34,0.31,0.21,0.18,5.22,0,-93.22,93.27,-6.85,-9.28,0.6,-1.7,0.34,0.31,0.21,0.18,5.47,193.16,-46.17,93.54,2.88,-6.55,2.93,1.8,0.34,0.31,0.21,0.18,0,0.34,NA
"1981-01-14",5.18,38.21,-59.07,93.48,-4.5,-7.82,0.66,-1.6,0.34,0.31,0.21,0.18,5.09,0,-99.8,93.39,-7.95,-9.93,-1,-2.4,0.34,0.3,0.21,0.18,5.25,203.72,-30.32,93.58,1.87,-5.09,1.63,-0.26,0.34,0.31,0.21,0.18,0,0.28,NA
"1981-01-15",5.11,32.22,-50.78,93.85,-6.95,-9.01,-2.2,1.13,0.34,0.3,0.21,0.18,5.09,0,-100.33,93.58,-9.93,-10.95,-2.95,-2.09,0.34,0.3,0.21,0.18,5.14,157.81,-3.97,94.05,-1.86,-6.62,-1,4.1,0.34,0.3,0.21,0.18,0.04,0.34,NA
"1981-01-16",5.12,47.12,-88.28,93.51,-5.18,-9.53,0.26,4.35,0.34,0.3,0.21,0.18,5.06,0,-112.46,93.34,-7.61,-11.9,-0.54,3.87,0.34,0.3,0.21,0.18,5.18,221.55,-67.98,93.8,-0.25,-7.21,0.75,4.87,0.34,0.3,0.21,0.18,0,0.68,NA
"1981-01-17",4.97,48.31,-82.2,92.71,-3.11,-9.85,0.12,4.26,0.34,0.3,0.21,0.18,4.77,0,-109.44,92.34,-8.47,-11.74,-1.53,2.73,0.34,0.3,0.21,0.18,5.09,226.67,-71.77,93.22,3.51,-6.19,2.76,6.28,0.34,0.3,0.21,0.18,0,1.53,NA
"1981-01-18",4.62,47.88,-71.7,92.7,-2.66,-7.98,2.28,1.22,0.34,0.3,0.21,0.18,4.42,0,-96.37,92.36,-6.86,-10.35,1.03,-0.35,0.34,0.3,0.21,0.18,4.79,223.16,-54.7,92.92,4.11,-6.29,2.93,2.41,0.34,0.3,0.21,0.18,0,0.7,NA
"1981-01-19",4.24,49.1,-60.49,92.71,-2.82,-7.41,0.11,1.46,0.34,0.3,0.21,0.18,3.98,0,-91.88,92.53,-8.28,-10.25,-1.05,-0.84,0.34,0.3,0.21,0.18,4.44,227.86,-45.11,92.84,4.5,-3.95,1.68,2.9,0.34,0.3,0.21,0.18,0,0.58,NA
"1981-01-20",3.69,49.99,-58.06,92.69,-0.43,-3.34,0.65,0.32,0.34,0.3,0.21,0.18,3.28,0,-86.55,92.46,-3.79,-5.02,-1.65,-2.87,0.34,0.3,0.21,0.18,4.02,231.08,-44.82,93.03,6.86,-1.28,2.55,2.84,0.35,0.3,0.21,0.18,0,0.37,NA
"1981-01-21",3.04,54.02,-62.24,92.89,-0.9,-4.31,-0.42,1.35,0.34,0.3,0.21,0.18,2.71,0,-103.26,92.69,-5.51,-6.6,-1.94,-1.91,0.34,0.3,0.21,0.18,3.3,249.09,-43.16,93.11,7.29,-1.21,2.57,3.08,0.35,0.3,0.21,0.18,0,0.48,NA
"1981-01-22",2.29,49.86,-49.9,92.45,1.62,-2.87,2.02,1.85,0.35,0.3,0.21,0.18,1.67,0,-79.77,92.2,-4.22,-5.69,-0.27,-1.5,0.34,0.3,0.21,0.18,2.73,239.86,-21.74,92.77,11.85,0.2,4.3,3.87,0.36,0.3,0.21,0.18,0,1.06,NA
"1981-01-23",1.53,48.81,-50.29,92.02,1.07,-1.74,0.52,-0.65,0.35,0.3,0.21,0.18,1.36,0,-78.12,91.78,-2.73,-3.73,-1.68,-2.3,0.34,0.3,0.21,0.18,1.68,239.26,-22.31,92.17,6.48,0.08,3.77,0.89,0.35,0.3,0.21,0.18,0,0.26,NA
"1981-01-24",7.99,6.83,-17.04,91.8,-0.68,-2.1,0.93,-4.6,0.34,0.3,0.21,0.18,1.37,0,-70.32,91.62,-2.92,-4.94,-0.83,-6.26,0.34,0.3,0.21,0.18,13.34,32.07,-1.88,92.12,0.24,-0.54,2.65,-2.44,0.35,0.3,0.21,0.18,12.75,0.36,NA
"1981-01-25",13.44,18.59,-38.39,92.31,-3.69,-5.33,3.09,-2.13,0.34,0.3,0.21,0.18,13.35,0,-82.86,92.11,-5.8,-7.43,2,-3.64,0.34,0.3,0.21,0.18,13.57,87.05,-6.51,92.42,-1.56,-3.21,4.02,-1.17,0.34,0.3,0.21,0.18,0.28,0.18,NA
"1981-01-26",13.66,19.14,-28.41,92.2,-6.51,-7.7,-0.63,0.54,0.33,0.3,0.21,0.18,13.58,0,-57,92.11,-8.03,-9.43,-2.98,-1.01,0.33,0.3,0.21,0.18,13.7,90.02,-8.87,92.29,-4.36,-5.61,2.26,1.7,0.34,0.3,0.21,0.18,0.12,0.09,NA
"1981-01-27",13.78,24.15,-40.61,92.17,-9.83,-10.92,-2.81,0.95,0.33,0.3,0.21,0.18,13.71,0,-62.66,92.07,-13.16,-14.48,-3.41,0.04,0.33,0.3,0.21,0.18,13.83,113.54,-7.08,92.29,-7.97,-8.9,-1.97,1.5,0.33,0.3,0.21,0.18,0.04,0,NA
"1981-01-28",13.86,17.33,-19.56,92.2,-9.14,-10.58,-4.43,1.55,0.33,0.3,0.22,0.18,13.83,0,-45.73,92.11,-10.81,-12.2,-5.06,0.95,0.33,0.3,0.21,0.18,13.9,80.42,-6.82,92.28,-7.13,-8.54,-3.31,2.17,0.33,0.3,0.22,0.18,0.12,0.2,NA
"1981-01-29",15.19,22.09,-31.55,92.54,-7.99,-9.52,-2.28,1,0.33,0.3,0.22,0.18,14.11,0,-76.15,92.18,-10.6,-11.55,-4.45,-0.41,0.33,0.3,0.22,0.18,15.37,102.53,0.41,92.89,-6.02,-7.8,0.3,1.92,0.33,0.3,0.22,0.18,1.56,0.13,NA
"1981-01-30",15.81,13.16,-16.24,92.99,-8.07,-9.77,1.1,-2.32,0.33,0.3,0.22,0.18,15.35,0,-58.17,92.89,-10.11,-11.28,-0.02,-3.27,0.33,0.3,0.22,0.18,16.01,59.24,-1.67,93.12,-6.17,-8.45,1.86,-0.74,0.33,0.3,0.22,0.18,0.79,0.14,NA
"1981-01-31",16.11,17.19,-30.59,92.97,-8.77,-10.59,0.94,-1.8,0.33,0.3,0.22,0.18,16.02,0,-63.46,92.78,-10.48,-12.16,-0.84,-6.19,0.33,0.3,0.22,0.18,16.24,79.14,-7.85,93.38,-6.43,-8.23,2.74,2.45,0.33,0.3,0.22,0.18,0.3,0.07,NA
"1981-02-01",16.35,18.68,-43.66,93.71,-12.94,-14.86,0.26,0.46,0.33,0.3,0.22,0.18,16.26,0,-60.89,93.44,-18.21,-20.08,-0.47,-4.15,0.33,0.3,0.22,0.18,16.4,87.51,-4.14,93.96,-9.49,-11.89,1.27,2.46,0.33,0.3,0.22,0.18,0.14,-0.01,NA
"1981-02-02",16.4,24.47,-45.69,93.39,-15.48,-17.38,1.5,-0.32,0.33,0.3,0.22,0.18,16.36,0,-80.21,93.3,-22.29,-24.45,-0.39,-1.88,0.33,0.3,0.22,0.18,16.42,107.08,-20.25,93.52,-7.48,-9.78,2.2,2.3,0.33,0.3,0.22,0.18,0.01,0.01,NA
"1981-02-03",16.39,23.11,-33.81,93.74,-13.22,-14.75,-0.39,0.5,0.33,0.3,0.22,0.18,16.34,0,-69.64,93.39,-18.81,-20.33,-1.43,-2.41,0.33,0.29,0.22,0.18,16.41,110.22,4.04,93.95,-8.25,-9.7,1.43,2.57,0.33,0.3,0.22,0.18,0.01,0.01,NA
"1981-02-04",16.41,26.31,-48.26,93.26,-8.18,-10.11,2.37,-1.85,0.33,0.29,0.22,0.18,16.35,0,-95.95,93.16,-14.18,-15.62,1.45,-3.5,0.33,0.29,0.22,0.18,16.48,114.45,-10.47,93.42,-2.7,-5.21,3.25,1.92,0.33,0.29,0.22,0.18,0.05,0.02,NA
"1981-02-05",16.44,22.27,-33.23,92.92,-8.61,-9.96,1.16,0.89,0.32,0.29,0.22,0.18,16.37,0,-66.03,92.36,-11.97,-13.23,-0.21,-3.31,0.32,0.29,0.22,0.18,16.49,94.08,-9.14,93.32,-4.99,-6.6,3.04,3.64,0.33,0.29,0.22,0.18,0.05,0.04,NA
"1981-02-06",16.5,24.96,-57.2,92.82,-8.74,-11.4,2.78,-4.97,0.32,0.29,0.22,0.18,16.39,0,-75.63,92.35,-14.55,-17.8,1.01,-6.88,0.32,0.29,0.22,0.18,16.66,106.72,-25.31,93.63,-6.04,-8.25,4.08,-3.16,0.32,0.29,0.22,0.18,0.43,0.2,NA
"1981-02-07",17,24.44,-41.49,93.01,-18.53,-21.28,0.26,0.23,0.32,0.29,0.22,0.18,16.69,0,-81.68,92.02,-25.71,-28.41,-2.37,-5.41,0.32,0.29,0.22,0.18,18.07,109.89,4.45,93.69,-14.08,-16.42,2.98,4.16,0.32,0.29,0.22,0.18,1.5,0.09,NA
"1981-02-08",18.03,26.66,-49,92.69,-16.49,-20.1,2.16,-5.16,0.32,0.29,0.22,0.18,17.95,0,-71.8,92,-19.11,-22.57,0.66,-8.69,0.32,0.29,0.22,0.18,18.09,111.11,-20.35,93.03,-10.46,-13.35,3.44,-2.34,0.32,0.29,0.22,0.18,0.23,0.24,NA
"1981-02-09",18.12,29.33,-68.24,93.12,-24.2,-28.15,2.4,-3.84,0.32,0.29,0.22,0.18,18.07,0,-86.2,92.74,-30.43,-34.05,0.45,-6.54,0.32,0.29,0.22,0.18,18.14,115.94,-32.99,93.49,-18.62,-21.83,3.75,-0.55,0.32,0.29,0.22,0.18,0.17,0.1,NA
"1981-02-10",18.11,33.33,-64.01,93.04,-27.55,-31.27,2.1,0.91,0.32,0.29,0.22,0.18,18.08,0,-84.23,92.78,-33.62,-37.05,0.26,0.06,0.32,0.29,0.22,0.18,18.13,138.08,-43.52,93.35,-20.11,-24.57,3.14,2.31,0.32,0.29,0.22,0.18,0.01,0.03,NA
