"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",255.37,17.74,-50.56,78.43,-8.14,-23.67,-0.23,0.4,0.2,0.2,0.2,0.25,255.37,0,-66.5,78.19,-10.95,-26.3,-0.51,0.29,0.2,0.2,0.2,0.25,255.38,88.47,-40.4,78.69,-6.43,-18.34,0.19,0.63,0.2,0.2,0.2,0.25,0,0,0.33
"1981-01-02",255.37,18.08,-42.25,78.17,-8.04,-23.89,-0.12,0.5,0.2,0.2,0.2,0.25,255.37,0,-57.98,78.12,-9.17,-24.61,-0.47,0.28,0.2,0.2,0.2,0.25,255.38,89.63,-34.78,78.25,-7.13,-22.82,0.2,0.69,0.2,0.2,0.2,0.25,0,0,0.35
"1981-01-03",255.38,18.94,-42.15,78.13,-9.55,-22.85,0.12,0.55,0.2,0.2,0.2,0.25,255.38,0,-59.34,78.07,-10.27,-23.67,0.05,0.51,0.2,0.2,0.2,0.25,255.38,93.6,-32.28,78.18,-8.93,-22.39,0.21,0.61,0.2,0.2,0.2,0.25,0,-0.01,0.36
"1981-01-04",255.4,17.55,-16.38,78.22,-11.21,-19.08,0.26,0.54,0.2,0.2,0.2,0.25,255.38,0,-45.65,78.12,-11.95,-22.1,0.19,0.41,0.2,0.2,0.2,0.25,255.59,89.92,40.78,78.32,-10.51,-14.9,0.37,0.63,0.2,0.2,0.2,0.25,0.2,-0.01,0.36
"1981-01-05",255.71,15.52,-15.45,78.31,-14.66,-16.37,0.04,0.53,0.2,0.2,0.2,0.25,255.6,0,-39.44,78.2,-16.75,-18.65,-0.4,0.41,0.2,0.2,0.2,0.25,255.77,79.1,6.43,78.4,-13.66,-15.2,0.36,0.6,0.2,0.2,0.2,0.25,0.14,-0.02,0.36
"1981-01-06",256.34,10.62,-6.19,77.74,-11.79,-14.99,0.39,0.85,0.2,0.2,0.2,0.25,255.77,0,-23.04,77.41,-14.29,-16.31,-0.29,0.57,0.2,0.2,0.2,0.25,257.41,47.23,15.38,78.22,-10.16,-13.67,1.05,1.15,0.2,0.2,0.2,0.25,1.61,-0.02,0.36
"1981-01-07",257.87,13.08,-15.48,77.7,-12.29,-13.92,0.2,0.66,0.2,0.2,0.2,0.25,257.5,0,-52.23,77.55,-13.27,-14.82,-0.03,0.52,0.2,0.2,0.2,0.25,257.98,63.21,6.09,77.82,-10.96,-13.44,0.62,0.87,0.2,0.2,0.2,0.25,0.54,0.02,0.35
"1981-01-08",258.02,19.86,-33.14,77.65,-11.81,-15.21,-0.16,0.47,0.2,0.2,0.2,0.25,257.99,0,-62.33,77.46,-12.63,-16.36,-0.45,0.23,0.2,0.2,0.2,0.25,258.16,96.16,11.38,77.85,-9.81,-14.11,0.17,0.78,0.2,0.2,0.2,0.25,0.16,0.12,0.34
"1981-01-09",258.45,15.24,-13.17,77.98,-11.26,-13.17,0.34,0.75,0.2,0.2,0.2,0.25,258.2,0,-38.5,77.8,-11.84,-14.68,0.16,0.46,0.2,0.2,0.2,0.25,258.77,73.14,11.17,78.3,-10.6,-11.79,0.76,0.92,0.2,0.2,0.2,0.25,0.57,0.01,0.33
"1981-01-10",258.94,19.43,-34,78.5,-12.52,-14.98,0.13,0.74,0.2,0.2,0.2,0.25,258.78,0,-63.41,78.31,-14.65,-16.37,-0.03,0.58,0.2,0.2,0.2,0.25,258.99,98.32,-6.09,78.64,-10.51,-14.05,0.33,1.04,0.2,0.2,0.2,0.25,0.2,0.09,0.33
"1981-01-11",259,20.7,-39.3,78.58,-8.64,-16.66,-0.11,0.64,0.2,0.2,0.2,0.25,258.99,0,-57.05,78.43,-11.46,-19.41,-0.24,0.53,0.2,0.2,0.2,0.25,259.01,96.45,-28.52,78.7,-6.92,-15.26,0.07,0.72,0.2,0.2,0.2,0.25,0,0.1,0.33
"1981-01-12",259.01,21.84,-28.93,78.32,-7.66,-19.29,0.08,0.61,0.2,0.2,0.2,0.25,259.01,0,-58.63,78.22,-8.9,-20.32,-0.05,0.54,0.2,0.2,0.2,0.25,259.02,104.48,0.87,78.43,-6.59,-17.85,0.22,0.73,0.2,0.2,0.2,0.25,0,0.16,0.33
"1981-01-13",259.02,19.5,-30.28,78.52,-8.91,-16.35,-0.16,0.38,0.2,0.2,0.19,0.25,259.02,0,-43.45,78.44,-9.79,-18.4,-0.49,0.21,0.2,0.2,0.19,0.25,259.03,91.83,-16.99,78.6,-8.15,-15.16,0.18,0.54,0.2,0.2,0.2,0.25,0,0.09,0.34
"1981-01-14",259.04,22.89,-36.67,78.43,-9.38,-16.11,-0.64,0.11,0.2,0.2,0.19,0.25,259.03,0,-61.2,78.38,-10.21,-17.3,-0.89,-0.1,0.2,0.2,0.19,0.25,259.05,108.98,-15.17,78.54,-7.79,-15.56,-0.2,0.32,0.2,0.2,0.19,0.25,0,0.11,0.34
"1981-01-15",259.07,24.97,-41.27,78.24,-10.03,-16.06,-0.62,0.36,0.2,0.2,0.19,0.25,259.05,0,-63.92,78.12,-10.89,-17.84,-0.91,-0.03,0.2,0.2,0.19,0.25,259.08,117.07,-25.77,78.37,-8.53,-13.74,-0.26,0.64,0.2,0.2,0.19,0.25,0,0.15,0.33
"1981-01-16",259.1,26.52,-51.79,77.94,-9.44,-17.18,-0.39,0.6,0.2,0.2,0.19,0.25,259.08,0,-78.32,77.78,-10.48,-24.35,-0.59,0.5,0.2,0.2,0.19,0.25,259.11,123.64,-39,78.1,-8.1,-13.75,-0.12,0.71,0.2,0.2,0.19,0.25,0,0.01,0.33
