"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",24.52,29.15,-68.08,91.88,-7.46,-11.37,1.31,1.45,0.38,0.37,0.36,0.37,24.38,0,-94.91,91.41,-11.39,-13.98,0.3,-1.33,0.38,0.37,0.36,0.37,24.59,152.62,-54.26,92.46,-1.17,-8.17,3.02,2.42,0.38,0.37,0.36,0.37,0,0.42,NA
"1981-01-02",24.31,27.6,-61.67,91.66,-8.9,-12.29,0.23,0.99,0.38,0.37,0.36,0.37,24.24,0,-85.8,91.36,-15.11,-17.02,-1.5,-1.39,0.38,0.37,0.36,0.37,24.37,149.35,-30.42,91.89,-4.04,-8.53,2.49,2.5,0.38,0.37,0.36,0.37,0,0.19,NA
"1981-01-03",24.16,30.9,-71.68,91.35,-8,-12.43,2.02,1.1,0.37,0.37,0.36,0.37,24.03,0,-105.14,91.23,-12.25,-15.76,1.18,0.16,0.37,0.37,0.36,0.37,24.25,159.31,-52.41,91.47,-0.8,-7.15,2.52,1.96,0.38,0.37,0.36,0.37,0,0.35,NA
"1981-01-04",23.92,28.03,-57.11,91.48,-3.79,-8.38,2.42,0.66,0.37,0.37,0.36,0.37,23.75,0,-87.64,91.39,-10.1,-13.94,1.76,-0.3,0.37,0.37,0.36,0.37,24.03,150.95,-20.36,91.58,2.68,-3.27,2.99,1.75,0.37,0.37,0.36,0.37,0.15,0.82,NA
"1981-01-05",23.72,29.06,-73.96,91.85,-1.45,-4.84,3.01,-0.88,0.37,0.37,0.36,0.37,23.59,0,-99.11,91.52,-7.3,-9.19,1.66,-1.95,0.37,0.37,0.36,0.37,23.87,154.08,-41.21,92.05,1.14,-3.3,4.07,1.34,0.37,0.37,0.36,0.37,0,1.07,NA
"1981-01-06",24.38,14.03,-32.12,91.14,-4.45,-7.08,0.59,1.19,0.37,0.37,0.36,0.37,23.55,0,-70.9,90.55,-11.28,-12.81,-2.14,-1.92,0.37,0.37,0.36,0.37,26.41,83.28,-6.4,92.02,1.19,-2.41,4.47,3.2,0.37,0.37,0.36,0.37,2.99,0.75,NA
"1981-01-07",26.14,29.84,-56.88,91.21,-1.79,-5.17,2.1,-0.08,0.37,0.37,0.36,0.37,26.04,0,-94.35,90.88,-6.23,-8.06,-0.26,-2.16,0.37,0.36,0.36,0.37,26.33,154.65,-19.73,91.42,1.02,-3.79,4.39,1.94,0.37,0.37,0.36,0.37,0.03,1.31,NA
"1981-01-08",26.21,15.44,-13.21,91.5,-5.57,-6.86,-0.26,-0.18,0.37,0.36,0.36,0.37,26.06,0,-26.33,91.08,-8.34,-9.8,-2.64,-1.72,0.36,0.36,0.36,0.37,26.33,80.36,-2.59,91.89,-1.64,-3.14,1.72,1.4,0.37,0.36,0.36,0.37,0.43,0.22,NA
"1981-01-09",26.37,28.07,-40.17,91.53,-3.51,-5.76,-0.14,1.71,0.36,0.36,0.36,0.37,26.33,0,-87.6,91.4,-5.19,-6.38,-2.54,0.62,0.36,0.36,0.36,0.37,26.45,153.73,2.56,91.75,-1.08,-4.28,2.64,2.75,0.36,0.36,0.36,0.37,0.16,0.43,NA
"1981-01-10",26.27,33.06,-70.23,92.04,-5.99,-9.18,1.18,1.71,0.36,0.36,0.36,0.37,26.19,0,-104.05,91.78,-9.03,-11.58,-0.56,0.86,0.36,0.36,0.36,0.37,26.33,163.04,-39.77,92.19,-1.79,-6.67,2.71,2.61,0.36,0.36,0.36,0.37,0,0.29,NA
"1981-01-11",26.14,33.26,-61.38,91.91,-6.31,-9.17,1.29,1.55,0.36,0.36,0.36,0.37,26.04,0,-94.37,91.59,-9.52,-12.22,0.46,0.5,0.36,0.36,0.36,0.37,26.2,166.51,-41.38,92.05,0.15,-3.86,2.07,2.04,0.36,0.36,0.36,0.37,0,0.28,NA
"1981-01-12",25.91,33.65,-60.2,91.54,-2.79,-7.14,2.02,0.73,0.36,0.36,0.36,0.37,25.7,0,-101.52,91.31,-8.88,-11.37,0.83,-0.62,0.36,0.36,0.36,0.37,26.05,167.73,-9.54,91.87,3.47,-3.14,3.04,2.09,0.36,0.36,0.36,0.37,0,0.9,NA
"1981-01-13",25.59,32.76,-61.94,92,-4.24,-7.56,1.74,1.01,0.36,0.36,0.36,0.37,25.41,0,-91.09,91.89,-9.04,-11.72,1,-0.23,0.36,0.36,0.36,0.37,25.71,162.35,-40.65,92.11,2.34,-2.62,2.46,1.8,0.36,0.36,0.36,0.37,0,0.41,NA
"1981-01-14",25.07,33.08,-54.28,92.1,-4.29,-6.93,0.93,0.74,0.36,0.36,0.36,0.37,24.65,0,-97.29,92.02,-9.12,-10.19,-1.88,-0.4,0.36,0.36,0.36,0.37,25.42,170.73,-19.44,92.17,1.33,-2.37,2.17,1.51,0.37,0.36,0.36,0.37,0,0.18,NA
"1981-01-15",24.61,31.73,-49.49,92,-6,-7.69,-1.24,3.17,0.37,0.36,0.36,0.37,24.51,0,-91.38,91.68,-11.51,-12.42,-1.77,1.94,0.37,0.36,0.36,0.37,24.67,164.4,-17.99,92.15,-1.15,-4.16,-0.5,4.69,0.37,0.36,0.36,0.37,0,0.44,NA
"1981-01-16",24.35,37.92,-93.71,91.37,-3.17,-8.41,-0.53,3.78,0.36,0.36,0.36,0.37,24.03,0,-113.53,91.25,-6.52,-11.39,-1.12,2.51,0.36,0.36,0.36,0.37,24.5,179.84,-83.75,91.64,1.57,-6.57,0.25,4.46,0.37,0.36,0.36,0.37,0,1.71,NA
"1981-01-17",23.7,40.22,-99.16,90.75,-4.61,-11.64,0.46,3.01,0.36,0.36,0.36,0.37,23.45,0,-120.11,90.44,-6.24,-12.85,-1.2,1.09,0.36,0.36,0.36,0.37,24,193.48,-73.64,91.13,-3.46,-9.33,3.24,4.59,0.36,0.36,0.36,0.37,0,2.04,NA
"1981-01-18",23.18,38.23,-71.88,91.16,-2.16,-6.21,1.87,1.59,0.36,0.36,0.36,0.37,22.88,0,-102.2,90.88,-4.67,-9.32,0.76,0.78,0.36,0.36,0.36,0.37,23.44,183.56,-51.05,91.33,2.79,-2.73,2.86,2.29,0.36,0.36,0.36,0.37,0,0.8,NA
"1981-01-19",21.9,36.9,-56.98,91.07,-0.71,-3.61,1.06,2.16,0.37,0.36,0.36,0.37,20.64,0,-84.67,90.86,-4.64,-7.18,0.47,1.79,0.36,0.36,0.36,0.37,22.88,173.72,-42.41,91.27,5.13,-0.08,1.44,2.52,0.39,0.36,0.36,0.37,0,0.6,NA
"1981-01-20",19.62,39.26,-59.12,91.24,0.74,-2.11,1.2,1.09,0.39,0.36,0.36,0.37,18.32,0,-90.6,90.82,-2.75,-4.29,-1.61,-0.66,0.38,0.36,0.36,0.37,20.65,186.47,-37.19,91.58,5.73,0.52,2.8,2.58,0.41,0.36,0.36,0.37,0,0.47,NA
"1981-01-21",17.94,39.2,-64.4,91.3,1.17,-2.14,0.56,1.71,0.39,0.37,0.36,0.37,17.43,0,-82.52,91.15,-1.14,-3.63,-1.49,-0.19,0.39,0.36,0.36,0.37,18.34,189.46,-38.33,91.47,3.34,-1.15,2.84,3.56,0.4,0.37,0.36,0.37,0,0.68,NA
