"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",26.1,17.18,-47.81,93.49,-11.25,-13.82,1.3,1.58,0.38,0.34,0.29,0.24,26.08,0,-69.53,92.93,-15.99,-17.63,-0.39,-2.5,0.38,0.34,0.29,0.24,26.11,90.32,-34.24,94.11,-4.93,-8.47,3.61,3.21,0.38,0.34,0.29,0.24,0,0,NA
"1981-01-02",26.11,16.38,-46.53,93.33,-12.19,-14.45,-0.57,0.42,0.38,0.34,0.29,0.24,26.1,0,-63.23,93.04,-16.83,-18.33,-2.19,-2.51,0.37,0.34,0.29,0.24,26.13,87.1,-23.01,93.6,-9.09,-11.6,2.46,2.9,0.38,0.34,0.29,0.24,0,-0.04,NA
"1981-01-03",26.15,18.6,-52.26,92.91,-11.42,-14.74,2.1,0.78,0.37,0.34,0.29,0.24,26.14,0,-76.12,92.78,-15.7,-19.15,-0.45,-0.76,0.37,0.34,0.29,0.24,26.17,96.62,-39.6,93.02,-4.83,-9.48,2.97,2.82,0.37,0.34,0.29,0.24,0,0,NA
"1981-01-04",26.13,16.75,-41.34,92.98,-5.94,-9.39,3.27,0.22,0.37,0.34,0.29,0.24,26.06,0,-68.34,92.94,-13.17,-16.08,2.4,-0.76,0.37,0.34,0.29,0.24,26.18,92.02,1.73,93.08,1.14,-3.38,3.83,1.56,0.37,0.34,0.29,0.24,0,0.18,NA
"1981-01-05",26.02,18.28,-64.53,93.32,-1.12,-3.68,3.95,-1.72,0.37,0.34,0.29,0.24,25.91,0,-90.01,92.99,-7.09,-8.35,2.21,-2.77,0.37,0.34,0.29,0.24,26.1,97.87,-16.14,93.6,1.41,-1.96,5.16,-0.34,0.37,0.34,0.29,0.24,0.04,0.31,NA
"1981-01-06",27.06,10.12,-22.51,92.79,-5.2,-6.56,-0.16,1.54,0.37,0.34,0.29,0.24,25.98,0,-62.89,92.11,-11.23,-12.05,-3.41,-2.01,0.37,0.34,0.29,0.24,30.59,54.57,-2.25,93.63,0.37,-2.47,4.89,3.95,0.37,0.34,0.29,0.24,4.69,0.11,NA
"1981-01-07",30.52,15.74,-40.63,92.73,-2.06,-4.16,2.04,-0.9,0.37,0.34,0.29,0.24,30.48,0,-79.7,92.3,-6.91,-7.94,-1.01,-3.42,0.37,0.34,0.29,0.24,30.7,88.14,1.56,92.95,0.92,-2.18,5.94,1.56,0.37,0.34,0.3,0.24,0.28,0.33,NA
"1981-01-08",31.2,7.6,-9.93,93.16,-6.8,-8.16,-1.43,-0.1,0.36,0.34,0.3,0.24,30.76,0,-22.35,92.69,-11.08,-12.82,-3.9,-1.9,0.36,0.34,0.3,0.24,31.49,38.75,4.09,93.68,-3.33,-4.42,1.52,1.68,0.37,0.34,0.3,0.24,0.89,0.12,NA
"1981-01-09",31.83,12.03,-24.97,93.24,-7.64,-9.35,-1.78,2.5,0.36,0.34,0.3,0.24,31.5,0,-59.71,93.05,-9.2,-10.86,-3.93,1.41,0.36,0.34,0.3,0.24,32.05,62.61,-1.28,93.5,-4.7,-6.61,2.9,3.26,0.36,0.34,0.3,0.24,0.61,0.08,NA
"1981-01-10",32.11,18.13,-53.4,93.65,-7.84,-10.47,1.39,1.66,0.36,0.34,0.3,0.24,32.06,0,-76.03,93.32,-10.04,-12.44,-1.58,0.04,0.36,0.34,0.3,0.24,32.14,91.32,-30.24,93.82,-4.91,-8.36,3.55,3.21,0.36,0.34,0.3,0.24,0,-0.06,NA
