"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",25.59,16.8,-52.28,93.8,-11.18,-13.54,1.45,1.61,0.37,0.34,0.29,0.24,25.56,0,-69.76,93.22,-15.52,-17.1,-0.32,-2.76,0.37,0.34,0.29,0.24,25.61,89.1,-40.28,94.43,-5.86,-8.87,3.64,3.4,0.37,0.34,0.3,0.24,0,-0.05,NA
"1981-01-02",25.63,16.16,-48.58,93.67,-12.72,-14.89,-0.81,0.35,0.37,0.34,0.3,0.24,25.6,0,-65.31,93.39,-16.84,-18.42,-2.23,-2.8,0.37,0.34,0.3,0.24,25.65,87.07,-27.83,93.94,-9.52,-12.93,2.26,3.05,0.37,0.34,0.3,0.24,0,-0.06,NA
"1981-01-03",25.68,18.29,-53.87,93.22,-12.07,-15.16,1.88,1.3,0.37,0.34,0.3,0.24,25.66,0,-75.6,93.08,-15.5,-18.52,-0.56,-0.04,0.37,0.34,0.3,0.24,25.7,96.12,-36.53,93.32,-6.68,-11.06,2.72,3.16,0.37,0.34,0.3,0.24,0,-0.02,NA
"1981-01-04",25.63,16.4,-42.48,93.25,-5.58,-8.87,3.47,0.45,0.37,0.34,0.3,0.24,25.52,0,-68.91,93.19,-14.06,-16.5,2.22,-0.69,0.36,0.34,0.3,0.24,25.72,91.41,3.78,93.34,1.1,-2.88,4.31,1.97,0.37,0.34,0.3,0.24,0,0.24,NA
"1981-01-05",25.54,17.55,-62.06,93.58,-0.82,-3.1,4.01,-1.79,0.36,0.34,0.3,0.24,25.47,0,-90.44,93.24,-6.36,-7.58,2.08,-2.86,0.36,0.34,0.3,0.24,25.62,93.88,-12.8,93.89,1.39,-1.5,5.29,-0.08,0.36,0.34,0.3,0.24,0.16,0.32,NA
"1981-01-06",26.67,9.67,-18.18,93.12,-4.55,-5.68,-0.37,1.92,0.36,0.34,0.3,0.24,25.54,0,-66.36,92.37,-9.04,-9.9,-3.62,-1.31,0.36,0.33,0.3,0.24,30.9,53.58,-3.6,93.92,-0.7,-2.47,4.18,4.8,0.36,0.34,0.3,0.24,5.45,0.11,NA
"1981-01-07",31.04,14.03,-35.69,93.03,-2.99,-4.63,1.51,-1.12,0.36,0.33,0.3,0.24,31,0,-73.32,92.54,-7.15,-7.87,-1.98,-3.9,0.36,0.33,0.3,0.24,31.32,78.57,0.21,93.26,0.79,-1.97,5.7,1.49,0.36,0.33,0.3,0.24,0.57,0.26,NA
"1981-01-08",32.54,7.3,-9.62,93.52,-7.37,-8.69,-2.33,0.01,0.36,0.33,0.3,0.24,31.43,0,-30.44,93.01,-12.57,-14.41,-4.22,-1.64,0.36,0.33,0.3,0.24,33.06,35.69,6.06,94.08,-5.02,-5.79,0.65,1.79,0.36,0.33,0.3,0.24,1.85,0.16,NA
"1981-01-09",33.39,9.58,-19.66,93.61,-9.63,-11.38,-2.11,2.68,0.36,0.33,0.3,0.24,33.06,0,-52.57,93.39,-10.97,-12.72,-3.89,1.85,0.35,0.33,0.3,0.24,33.65,50.52,1.58,93.89,-7.2,-8.96,2.44,3.37,0.36,0.33,0.3,0.24,0.64,0.08,NA
"1981-01-10",33.72,16.9,-56.17,93.95,-7.72,-10.3,1.71,1.85,0.35,0.33,0.3,0.24,33.66,0,-74.54,93.59,-9.36,-11.95,-0.88,0.23,0.35,0.33,0.3,0.24,33.76,86.21,-33.17,94.14,-5.8,-8.93,3.67,3.47,0.35,0.33,0.3,0.24,0,-0.1,NA
