"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",30.36,20.01,-46.88,94.41,-12.48,-14.62,0.7,0.65,0.37,0.35,0.33,0.3,30.34,0,-67.69,93.79,-18.12,-19.68,-1.88,-3.44,0.37,0.35,0.33,0.3,30.37,109.39,-15.75,95.05,-8.59,-10.79,2.66,2.79,0.37,0.35,0.33,0.3,0,0.05,NA
"1981-01-02",30.32,18.75,-44.45,94.34,-13.41,-15.56,-1.01,0.21,0.37,0.35,0.33,0.3,30.3,0,-61.58,93.96,-15.97,-17.86,-2.09,-3.48,0.37,0.35,0.33,0.3,30.34,97.96,-27.22,94.62,-9.98,-12.76,1.28,2.5,0.37,0.35,0.33,0.3,0.01,0.05,NA
"1981-01-03",30.3,22.9,-52.08,93.82,-12.6,-15.34,0.97,1.1,0.37,0.35,0.33,0.3,30.27,0,-75.82,93.67,-16.57,-18.49,-0.85,-0.59,0.37,0.35,0.33,0.3,30.33,122.57,-34.83,93.99,-6.91,-11.12,2.01,2.61,0.37,0.35,0.33,0.3,0,0.06,NA
"1981-01-04",30.22,19.33,-42.98,93.73,-4.62,-7.55,3.07,0.17,0.37,0.35,0.33,0.3,30.13,0,-71.41,93.65,-13.74,-16.3,1.47,-1.25,0.37,0.35,0.33,0.3,30.28,112.17,-6.56,93.8,1.94,-1.16,3.95,1.92,0.37,0.35,0.33,0.3,0,0.56,NA
"1981-01-05",31.4,17.93,-46.7,94.07,-0.51,-2.54,3.42,-1.88,0.37,0.35,0.33,0.3,30.13,0,-78.07,93.69,-3.96,-5.13,1.57,-2.78,0.37,0.35,0.33,0.3,31.94,98.57,-17.71,94.45,1.28,-1.27,4.45,-0.27,0.37,0.35,0.33,0.3,1.9,0.95,NA
"1981-01-06",32.91,8.15,-7.79,93.77,-4.25,-5.18,-1.7,1.55,0.37,0.35,0.33,0.3,31.81,0,-31.54,92.89,-5.31,-6.46,-3.1,-1.68,0.36,0.35,0.33,0.3,38,53.77,-1.73,94.5,-2.77,-3.52,2.14,3.17,0.37,0.35,0.33,0.3,6.26,0.2,NA
"1981-01-07",39.36,12.52,-18.29,93.6,-3.95,-5.69,1.7,-1.45,0.36,0.35,0.33,0.3,38.61,0,-33.28,93.01,-7.21,-8.15,-1.46,-3.99,0.36,0.35,0.33,0.3,39.62,65.78,-0.8,93.88,-0.59,-2.22,4.48,1.19,0.36,0.35,0.33,0.3,1.81,0.65,NA
"1981-01-08",41.67,10.79,-14.59,94.27,-9.26,-11.1,-2.71,-0.27,0.36,0.35,0.33,0.3,39.8,0,-49.85,93.68,-15.19,-17.32,-3.52,-1.62,0.36,0.35,0.33,0.3,42.32,48.66,3.89,94.87,-5.39,-6.29,-1.06,1.64,0.36,0.35,0.33,0.3,2.85,0.34,NA
"1981-01-09",43.08,9.43,-7.27,94.36,-13.34,-15.59,-2.49,2.52,0.36,0.35,0.33,0.3,42.35,0,-36.8,94.12,-14.62,-16.99,-3.81,1.85,0.36,0.35,0.33,0.3,43.81,47.23,10.26,94.7,-11.86,-13.53,0.03,3.62,0.36,0.35,0.33,0.3,1.59,0.27,NA
"1981-01-10",43.83,23.51,-44.56,94.54,-10.35,-12.42,0.87,1.6,0.36,0.35,0.33,0.3,43.81,0,-80.19,94.2,-13.21,-14.54,-1.11,0.81,0.36,0.35,0.33,0.3,43.84,124.42,-18.91,94.74,-6.01,-9.19,2.3,2.75,0.36,0.35,0.33,0.3,0.01,0.05,NA
