"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",16.07,13.79,-45.85,94.95,-11.32,-13,1.32,1.09,0.4,0.3,0.23,0.23,16.02,0,-67.16,94.11,-17.21,-18.79,-1.65,-2.57,0.4,0.3,0.23,0.23,16.15,75.11,-15.01,95.54,-5.69,-7.7,3.68,4.15,0.41,0.3,0.23,0.23,0.01,-0.13,NA
"1981-01-02",16.2,12.97,-33.24,94.84,-13.55,-15.87,-1.59,-0.24,0.4,0.3,0.23,0.23,16.16,0,-65.47,94.15,-15.43,-17.82,-3.33,-3.78,0.4,0.3,0.23,0.23,16.23,72.04,-1.06,95.18,-10.36,-12.82,2.96,3.05,0.4,0.3,0.23,0.23,0.08,0.06,NA
"1981-01-03",16.23,17.31,-43.74,94.41,-14.35,-16.53,-0.66,2.01,0.4,0.3,0.23,0.23,16.2,0,-70.46,94.22,-18.68,-20.28,-2.53,-0.26,0.4,0.3,0.23,0.23,16.24,90.71,-25.54,94.77,-9.81,-12.61,1.11,3.7,0.4,0.3,0.23,0.23,0.01,-0.02,NA
"1981-01-04",16.23,14.87,-35.6,94.2,-9.92,-12.2,2.64,0.54,0.4,0.3,0.23,0.23,16.18,0,-64.97,94.02,-19.55,-21.57,-0.13,-1.54,0.4,0.3,0.23,0.23,16.27,70.92,-11.54,94.41,-1.12,-3.02,4.75,2.48,0.4,0.3,0.23,0.23,0,0.02,NA
"1981-01-05",17.21,7.16,-27.84,94.34,-0.65,-1.98,3.97,-2.89,0.4,0.3,0.23,0.23,16.25,0,-52.67,94.07,-2.45,-4.12,1.03,-4.38,0.4,0.3,0.23,0.23,17.83,39.45,-4.3,94.8,0.9,-0.45,4.95,-1.19,0.4,0.3,0.23,0.23,1.84,0.14,NA
"1981-01-06",18.41,7.94,-9.64,94.45,-7.79,-9.29,-3.26,1.38,0.4,0.3,0.23,0.23,17.8,0,-21.11,93.5,-9.59,-11.16,-4.7,-3.03,0.4,0.3,0.23,0.23,22.94,44.64,0.35,95,-2.66,-3.84,-0.73,3.52,0.4,0.3,0.23,0.23,5.33,0.21,NA
"1981-01-07",25.91,6.17,-8.63,93.99,-6.64,-8.1,1.13,-1.01,0.39,0.3,0.23,0.23,23.61,0,-23.79,93.54,-11.3,-13.06,-2.83,-4.17,0.39,0.3,0.23,0.23,26.37,33.33,6.55,94.36,-4.1,-5.68,3.21,2.87,0.4,0.3,0.23,0.23,3.51,0.08,NA
"1981-01-08",28.01,5.88,-22.45,94.74,-11.16,-12.98,-2.94,-1.03,0.39,0.3,0.23,0.23,26.47,0,-64.83,94.18,-19.03,-21.36,-3.84,-2.51,0.39,0.3,0.23,0.23,28.77,29.24,-0.71,95.45,-6.04,-7,-0.47,0.77,0.39,0.3,0.23,0.23,2.46,0.08,NA
"1981-01-09",29.05,6.37,-12.26,95.11,-17.97,-20.56,-3.4,3.2,0.39,0.3,0.23,0.23,28.78,0,-48.02,94.82,-20.74,-23.49,-4.31,2.09,0.39,0.3,0.23,0.23,29.55,36.49,14.43,95.4,-14.84,-16.99,-1.42,4.39,0.39,0.3,0.23,0.23,0.86,0.08,NA
"1981-01-10",30.39,8.95,-28.46,95.16,-14.1,-15.77,-0.34,2.25,0.39,0.3,0.23,0.23,29.8,0,-53.42,94.8,-16.24,-18.12,-1.94,1.69,0.39,0.3,0.23,0.23,30.5,46.28,9.38,95.39,-10.77,-12.07,1.01,3.41,0.39,0.3,0.23,0.23,0.88,-0.07,NA
