"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",21.29,16.74,-52.14,93.37,-10.7,-13.05,1.76,1.53,0.38,0.32,0.25,0.22,21.25,0,-71.8,92.79,-16.1,-17.46,-0.05,-3.38,0.38,0.32,0.25,0.22,21.31,87.57,-36.38,93.99,-4.32,-7.52,3.92,3.67,0.38,0.32,0.25,0.22,0,-0.04,NA
"1981-01-02",21.32,16.32,-52.65,93.22,-11.98,-14.23,-0.49,0.15,0.38,0.32,0.25,0.22,21.29,0,-73.75,92.92,-16.3,-17.89,-2.22,-3.3,0.38,0.32,0.25,0.22,21.36,84.89,-27.05,93.49,-7.82,-11.84,2.68,3,0.38,0.32,0.25,0.22,0,-0.06,NA
"1981-01-03",21.39,18.4,-54.44,92.79,-11.62,-14.77,2.1,0.44,0.38,0.32,0.25,0.22,21.36,0,-78.95,92.65,-16.03,-18.97,-0.62,-1.58,0.37,0.32,0.25,0.22,21.41,95.64,-38.52,92.91,-5.47,-9.88,3.05,3.15,0.38,0.32,0.25,0.22,0,-0.02,NA
"1981-01-04",21.34,16.27,-42.23,92.84,-6.29,-9.76,3.6,-0.31,0.37,0.32,0.25,0.22,21.23,0,-69.69,92.79,-14.58,-17.27,2.74,-1.25,0.37,0.32,0.25,0.22,21.43,91.15,5.53,92.95,1.01,-3.4,4.26,1.04,0.37,0.32,0.25,0.22,0,0.22,NA
"1981-01-05",21.16,17.91,-65.16,93.16,-0.86,-3.27,4.29,-2.33,0.37,0.32,0.25,0.22,21.03,0,-89.89,92.84,-6.1,-7.43,2.35,-3.44,0.37,0.32,0.25,0.22,21.26,96.03,-12.22,93.46,1.32,-1.64,5.54,-0.97,0.37,0.32,0.25,0.22,0.08,0.35,NA
"1981-01-06",22.33,10.42,-22.26,92.7,-5.11,-6.22,-0.18,1.55,0.37,0.32,0.25,0.22,21.12,0,-68.91,91.96,-10.87,-11.54,-3.45,-2.64,0.37,0.32,0.25,0.22,26.49,56.55,-3.71,93.49,-0.22,-2.28,4.8,5.01,0.37,0.32,0.25,0.22,5.46,0.09,NA
"1981-01-07",26.46,14.41,-37.39,92.59,-2.47,-4.14,2.15,-1.46,0.37,0.31,0.25,0.22,26.41,0,-77.41,92.14,-7.87,-8.49,-1.65,-4.3,0.37,0.31,0.25,0.22,26.6,79.56,3.53,92.81,0.72,-1.99,6.5,1.34,0.37,0.32,0.25,0.22,0.34,0.33,NA
"1981-01-08",27.23,7.14,-8.82,93.04,-7.43,-8.66,-1.88,-0.22,0.36,0.31,0.25,0.22,26.67,0,-24.52,92.57,-12.43,-14.11,-4.25,-1.78,0.36,0.31,0.25,0.22,27.61,36.39,3.97,93.61,-3.83,-4.84,1.41,1.5,0.37,0.31,0.25,0.22,1.11,0.14,NA
"1981-01-09",28,9.73,-19.43,93.17,-9.07,-10.66,-2.06,2.64,0.36,0.31,0.25,0.22,27.63,0,-52.37,92.97,-10.31,-11.81,-4,1.38,0.36,0.31,0.25,0.22,28.25,49.66,1.87,93.43,-6.91,-8.46,2.89,3.48,0.36,0.31,0.25,0.22,0.68,0.06,NA
"1981-01-10",28.32,17.01,-57.6,93.54,-7.55,-10.19,1.86,1.37,0.36,0.31,0.25,0.22,28.26,0,-76.13,93.18,-9.43,-12.04,-0.89,-0.76,0.36,0.31,0.25,0.22,28.37,86.46,-18.31,93.72,-5.75,-8.28,3.97,3.44,0.36,0.31,0.25,0.22,0,-0.11,NA
"1981-01-11",28.41,17.57,-42.97,93.4,-10.52,-12.94,1.35,1.79,0.36,0.31,0.25,0.22,28.38,0,-60.15,93.07,-13.62,-15.84,0.15,0.96,0.35,0.31,0.25,0.22,28.43,88.89,-31.4,93.57,-4.57,-8.47,2.05,2.77,0.36,0.31,0.25,0.22,0,-0.04,NA
"1981-01-12",28.38,17.67,-41.44,92.93,-7.17,-10.35,2.87,-0.22,0.35,0.31,0.25,0.22,28.3,0,-74.2,92.7,-15.51,-17,1.18,-2.44,0.35,0.31,0.25,0.22,28.44,90.21,6.52,93.24,-0.3,-5.15,3.97,2,0.35,0.31,0.25,0.22,0,0.19,NA
"1981-01-13",28.35,18.34,-53.42,93.43,-5.96,-8.65,2.72,-0.34,0.35,0.31,0.25,0.22,28.32,0,-67.2,93.27,-9.33,-11.64,1.74,-1.6,0.35,0.31,0.25,0.22,28.38,92.17,-39.52,93.52,-2.78,-5.97,3.88,0.65,0.35,0.31,0.25,0.22,0,-0.04,NA
"1981-01-14",28.44,18.82,-45.48,93.57,-8.09,-9.72,1.42,-0.93,0.35,0.31,0.25,0.22,28.39,0,-73.03,93.49,-10.46,-11.98,-1.04,-1.58,0.35,0.31,0.25,0.22,28.46,96.85,-22.25,93.67,-4.15,-6.3,3.25,0.28,0.35,0.31,0.25,0.22,0,-0.07,NA
"1981-01-15",28.51,11.83,-15.1,93.72,-9.26,-10.52,-1.6,3.73,0.35,0.31,0.25,0.22,28.46,0,-77.78,93.45,-15.05,-16.3,-2.32,0.27,0.35,0.31,0.25,0.22,28.55,60.12,5.7,93.9,-4.73,-5.96,-0.78,6.32,0.35,0.31,0.25,0.22,0.09,0.04,NA
"1981-01-16",28.52,21.79,-85.31,93.06,-4.6,-8,0.13,5.42,0.35,0.31,0.25,0.22,28.39,0,-95.45,92.94,-5.85,-9.5,-0.7,4.88,0.35,0.31,0.25,0.22,28.61,106.23,-37.83,93.4,-2.39,-6.69,0.56,5.99,0.35,0.31,0.25,0.22,0,0.24,NA
"1981-01-17",28.31,22.86,-84.61,92.37,-6.63,-10.43,0.16,4.13,0.34,0.31,0.25,0.22,28.22,0,-101.53,91.97,-9.12,-13.36,-1.7,0.33,0.34,0.31,0.25,0.22,28.39,110.8,-68.28,92.83,-3.99,-7.25,4.4,5.53,0.35,0.31,0.25,0.22,0,0.22,NA
"1981-01-18",28.25,22.38,-63.55,92.59,-4.26,-7.35,3.02,1.06,0.34,0.31,0.25,0.22,28.19,0,-81.64,92.27,-8.5,-12.48,1.05,-0.39,0.34,0.31,0.25,0.22,28.3,108.49,-48.75,92.74,1.66,-2.04,4.19,2.44,0.34,0.31,0.25,0.22,0,0.08,NA
"1981-01-19",28.24,22.53,-42.48,92.57,-4.81,-6.96,0.63,2.73,0.34,0.31,0.25,0.22,28.18,0,-61.91,92.35,-10.88,-12.58,-0.15,1.76,0.34,0.31,0.25,0.22,28.28,109.91,-23.06,92.78,1.6,-1.32,1.77,3.28,0.34,0.31,0.25,0.22,0,0.02,NA
