"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",11.2,26.3,-64.46,92.97,-7.57,-10.04,1.85,2.21,0.37,0.33,0.24,0.22,11.18,0,-89.48,92.36,-13.69,-15.04,0.55,-3.1,0.37,0.33,0.23,0.22,11.23,135.06,-39.88,93.6,-1.4,-4.7,3.65,4.08,0.38,0.33,0.24,0.22,0,0.2,NA
"1981-01-02",11.18,25.77,-62.77,92.77,-10.02,-12.84,0,0.11,0.37,0.33,0.24,0.22,11.16,0,-80.39,92.47,-13.99,-15.77,-1.9,-3.29,0.37,0.33,0.24,0.22,11.19,129.03,-44.62,93.06,-5.85,-10.37,2.63,3.3,0.37,0.33,0.24,0.22,0,0.19,NA
"1981-01-03",11.19,28.41,-66.01,92.38,-9.34,-13.17,2.08,0.98,0.37,0.33,0.24,0.22,11.17,0,-95.45,92.26,-13.58,-16.7,-0.07,-1.11,0.37,0.33,0.24,0.22,11.21,145.2,-49.79,92.52,-2.57,-8.58,2.77,3.57,0.37,0.33,0.24,0.22,0,0.24,NA
"1981-01-04",11.15,25.56,-52.16,92.46,-6.53,-10.61,3.07,0.34,0.37,0.32,0.24,0.22,11.07,0,-78.17,92.42,-13.38,-16.76,2.49,-0.83,0.37,0.32,0.24,0.22,11.21,135.38,-18.7,92.58,1.1,-4.58,3.68,1.38,0.37,0.33,0.24,0.22,0,0.45,NA
"1981-01-05",10.97,26.56,-70.29,92.77,-0.99,-3.82,3.88,-2.18,0.37,0.32,0.24,0.22,10.85,0,-93.3,92.48,-5.69,-7.33,2.63,-3.66,0.37,0.32,0.24,0.22,11.07,143.47,-26.23,93.05,1.68,-2.02,5.2,-0.77,0.37,0.32,0.24,0.22,0.02,0.6,NA
"1981-01-06",11.57,16.47,-31.79,92.28,-5.19,-6.62,0.23,1.4,0.37,0.32,0.24,0.22,10.9,0,-69.18,91.56,-11.19,-11.94,-2.82,-3.58,0.37,0.32,0.24,0.22,14.2,84.15,-2.85,93.09,0.58,-1.71,4.4,4.47,0.37,0.32,0.24,0.22,3.41,0.24,NA
"1981-01-07",13.97,22.74,-50.03,92.19,-2.05,-4.22,2.82,-1.11,0.37,0.32,0.24,0.22,13.88,0,-87.27,91.79,-8.58,-9.41,-0.23,-3.87,0.36,0.32,0.24,0.22,14.19,119.97,-4.9,92.39,0.82,-2.45,6.18,2.09,0.37,0.32,0.24,0.22,0.05,0.68,NA
"1981-01-08",14.01,13.95,-16.53,92.56,-7.27,-8.62,-0.65,-0.4,0.36,0.32,0.24,0.22,13.92,0,-38.28,92.14,-10.2,-11.58,-3.81,-2.24,0.36,0.32,0.24,0.22,14.19,83.05,-3.83,93.11,-2.85,-3.88,1.85,1.61,0.36,0.32,0.24,0.22,0.34,0.18,NA
"1981-01-09",14.38,15.9,-22.8,92.74,-7.02,-8.58,-1.33,2.56,0.36,0.32,0.24,0.22,14.21,0,-56.7,92.56,-8.21,-9.77,-3.49,1.13,0.36,0.32,0.24,0.22,14.5,82.88,-3.54,92.94,-5.4,-6.99,2.95,3.64,0.36,0.32,0.24,0.22,0.37,0.19,NA
"1981-01-10",14.51,25.92,-66.92,93.15,-6.28,-9.23,1.82,1.81,0.36,0.32,0.24,0.22,14.49,0,-91.13,92.81,-9.24,-11.89,-0.24,-0.21,0.36,0.32,0.24,0.22,14.54,129.88,-18.51,93.33,-3.98,-7.03,3.68,3.7,0.36,0.32,0.24,0.22,0.04,0.11,NA
"1981-01-11",14.53,26.4,-57.37,93,-7.77,-10.49,1.48,2.25,0.36,0.32,0.24,0.22,14.5,0,-74.6,92.66,-11.29,-13.93,0.46,1.67,0.36,0.31,0.24,0.22,14.57,132.17,-42.97,93.18,-2.48,-5.78,2.12,2.96,0.36,0.32,0.24,0.22,0,0.12,NA
"1981-01-12",14.44,25.73,-52.26,92.53,-5.07,-8.57,2.72,-0.06,0.36,0.31,0.24,0.22,14.28,0,-83.93,92.29,-11.5,-13.58,1.71,-2.59,0.36,0.31,0.24,0.22,14.56,131.95,-6.18,92.86,1.66,-3.75,3.61,1.96,0.36,0.31,0.24,0.22,0,0.53,NA
"1981-01-13",14.28,27.41,-59.61,93.02,-5.25,-8.05,2.52,0.5,0.36,0.31,0.24,0.22,14.24,0,-79.34,92.89,-9.41,-11.85,1.5,-0.77,0.36,0.31,0.24,0.22,14.32,136.18,-39.25,93.1,-0.84,-4.19,3.64,1.38,0.36,0.31,0.24,0.22,0,0.18,NA
"1981-01-14",14.28,27.4,-53.66,93.13,-6.48,-8.28,1.44,-0.54,0.36,0.31,0.24,0.22,14.25,0,-89.15,93.07,-11.09,-11.76,-1.03,-1.32,0.36,0.31,0.24,0.22,14.32,142.43,-15.96,93.2,-1.04,-3.64,3.02,0.29,0.36,0.31,0.24,0.22,0,0.06,NA
"1981-01-15",14.29,17.17,-21.08,93.32,-8.68,-10.02,-0.99,3.46,0.36,0.31,0.24,0.22,14.27,0,-87.13,93.11,-14.35,-15.9,-1.86,-0.34,0.36,0.31,0.24,0.22,14.34,81.76,0.71,93.52,-4.88,-6.06,-0.18,6.26,0.36,0.31,0.24,0.22,0.08,0.16,NA
"1981-01-16",14.2,32.43,-93.56,92.72,-4.43,-7.65,0.67,6.01,0.35,0.31,0.24,0.22,14.02,0,-103.67,92.61,-5.71,-9.59,-0.04,5.44,0.35,0.31,0.24,0.22,14.33,155.66,-73.46,93.05,-2.07,-5.98,1.12,6.76,0.36,0.31,0.24,0.22,0,0.66,NA
"1981-01-17",13.87,34.12,-90.25,92.01,-5.64,-9.68,0.66,4.6,0.35,0.31,0.24,0.22,13.71,0,-110.05,91.57,-7.47,-11.15,-1.12,1.69,0.35,0.31,0.24,0.22,14.01,162.84,-73.72,92.49,-2.7,-6.63,3.69,5.51,0.35,0.31,0.24,0.22,0,0.73,NA
"1981-01-18",13.58,33.44,-69.24,92.22,-3.84,-7.07,2.75,1.58,0.35,0.31,0.24,0.22,13.4,0,-87.96,91.93,-7.49,-11.28,1.49,0.86,0.35,0.31,0.24,0.22,13.71,159.65,-55.4,92.39,1.64,-1.92,3.88,2.46,0.36,0.31,0.24,0.22,0,0.39,NA
"1981-01-19",13.13,33.4,-50.32,92.19,-3.7,-6.24,1.07,2.79,0.36,0.31,0.24,0.22,12.64,0,-67.78,91.97,-9.62,-11.61,0.37,1.64,0.35,0.31,0.24,0.22,13.48,160.01,-32.27,92.39,2.44,-0.76,1.88,3.64,0.36,0.31,0.24,0.22,0,0.38,NA
"1981-01-20",11.84,36.33,-55.98,92.26,0,-2.46,1.67,0.37,0.37,0.31,0.24,0.22,10.78,0,-77.3,91.91,-3.61,-5.55,-0.39,-2.43,0.36,0.31,0.24,0.22,12.68,170.07,-37.2,92.65,4.72,0.67,3.31,3.07,0.38,0.31,0.24,0.22,0,0.29,NA
"1981-01-21",10.59,40.29,-59.77,92.42,-1.45,-3.43,0.38,2.21,0.38,0.31,0.24,0.22,10.25,0,-96.43,92.26,-5.91,-6.75,-1.81,-1.72,0.37,0.31,0.24,0.22,10.86,191.52,-32.52,92.65,2.25,-0.52,3.1,3.67,0.38,0.31,0.24,0.22,0,0.19,NA
"1981-01-22",9.28,36.12,-46.63,91.93,0.73,-1.97,2.07,1.66,0.38,0.31,0.24,0.22,7.83,0,-65.95,91.61,-4.22,-6.04,0.72,-1.51,0.37,0.31,0.24,0.22,10.3,176.76,-28.34,92.35,6.49,2,3.46,3.77,0.4,0.32,0.24,0.22,0,0.45,NA
"1981-01-23",7.45,41.22,-47.76,91.71,0.39,-1.65,0.61,-1.09,0.38,0.32,0.24,0.22,6.95,0,-77.78,91.52,-2.05,-3.49,-2.09,-2.79,0.38,0.32,0.24,0.22,7.86,189.61,-21.49,91.86,4.23,0,3.32,0.29,0.39,0.32,0.25,0.22,0,0.15,NA
"1981-01-24",7.29,30.41,-41.66,91.66,-0.93,-3.36,2.54,-3.27,0.37,0.33,0.25,0.22,7,0,-82.46,91.49,-2.62,-5.04,1.06,-3.79,0.37,0.32,0.25,0.22,7.43,153.52,-6.39,91.83,0.25,-1.89,3.39,-2.66,0.38,0.33,0.25,0.22,0.96,0.81,NA
"1981-01-25",7.52,29.31,-36.35,91.96,-3.19,-5.22,2.95,-2.28,0.36,0.33,0.25,0.22,7.34,0,-74.88,91.81,-4.46,-5.83,1.28,-4.07,0.36,0.33,0.25,0.22,8.05,135.75,-20.29,92.06,-1.26,-4.18,3.93,-1.55,0.37,0.33,0.25,0.22,0.84,0.66,NA
"1981-01-26",8.62,26.05,-26.18,91.77,-5.07,-6.27,-1.28,0.73,0.36,0.33,0.25,0.22,8.17,0,-47.26,91.66,-6.6,-7.47,-2.91,-1.01,0.35,0.33,0.25,0.22,8.74,123.97,-7.66,91.9,-3.03,-5.18,1.69,2.33,0.36,0.33,0.25,0.22,0.75,0.33,NA
"1981-01-27",8.79,24.22,-26.87,91.75,-8.5,-9.6,-1.53,2.44,0.35,0.33,0.25,0.22,8.74,0,-65.48,91.64,-10.9,-12.03,-2.43,2.02,0.35,0.33,0.25,0.22,8.83,110.82,-6.27,91.89,-6.63,-7.8,-0.35,3.23,0.35,0.33,0.25,0.22,0.11,0.24,NA
"1981-01-28",8.9,21.3,-10.56,91.69,-8.41,-9.89,-3.04,3.7,0.35,0.33,0.25,0.22,8.84,0,-17.92,91.62,-9.85,-11.47,-3.8,2.98,0.35,0.32,0.25,0.22,8.95,104.19,-6.59,91.76,-7.26,-8.9,-1.68,4.4,0.35,0.33,0.25,0.22,0.24,0.47,NA
"1981-01-29",9.53,22.93,-18.8,92.16,-6.43,-8.19,-0.42,0.26,0.35,0.32,0.25,0.22,8.98,0,-33.97,91.75,-8.49,-10.29,-2.68,-2.06,0.35,0.32,0.25,0.22,9.76,114.31,-1.87,92.58,-3.93,-6.47,1.2,2.7,0.35,0.32,0.25,0.22,0.91,0.38,NA
"1981-01-30",10.7,21.65,-19.64,92.67,-7.38,-9.13,1.07,-1.66,0.35,0.32,0.25,0.22,9.77,0,-39.34,92.6,-8.76,-10.16,-0.4,-2.4,0.35,0.32,0.25,0.22,11.28,93.48,-7.81,92.8,-5.19,-7.88,2.1,-0.45,0.35,0.32,0.25,0.22,1.64,0.36,NA
"1981-01-31",11.27,42.54,-46.93,92.63,-9.63,-11.61,1.27,-1.5,0.35,0.32,0.25,0.22,11.18,0,-98.63,92.38,-14.73,-16.18,-0.55,-5.23,0.35,0.32,0.25,0.22,11.32,194.21,-16.17,93.21,-4.91,-8.57,3,2.28,0.35,0.32,0.25,0.22,0.15,0.46,NA
"1981-02-01",11.39,37.9,-43.91,93.27,-10.47,-12.49,1.28,0.32,0.35,0.32,0.25,0.22,11.32,0,-87.6,92.92,-14.73,-16.75,0.57,-2.83,0.35,0.32,0.25,0.22,11.46,181.97,-9.4,93.5,-7.82,-10.86,2.45,2.51,0.35,0.32,0.25,0.22,0.17,0.29,NA
"1981-02-02",11.37,47.15,-64.28,92.99,-10.96,-13.8,2.48,-1,0.35,0.32,0.25,0.22,11.31,0,-96.35,92.86,-16.48,-18.35,1.72,-1.81,0.35,0.32,0.25,0.22,11.43,206,-45.4,93.1,-3.37,-7.18,2.83,-0.15,0.35,0.32,0.25,0.22,0,0.34,NA
"1981-02-03",11.3,48.38,-58.56,93.25,-6.75,-9.04,1.11,0.53,0.35,0.32,0.25,0.22,11.22,0,-101.56,93.05,-11.61,-13.25,-0.72,-2.34,0.35,0.32,0.25,0.22,11.36,210.27,-10.44,93.45,-1.02,-4.19,3.03,2.85,0.35,0.32,0.25,0.22,0.01,0.26,NA
"1981-02-04",11.2,50.81,-73.93,92.92,-5.53,-8.07,2.95,-2.07,0.35,0.32,0.25,0.22,11.09,0,-102.27,92.83,-10.14,-12.09,2.18,-3.18,0.35,0.32,0.25,0.22,11.29,219.6,-38.73,93,-2.49,-5.71,3.6,-0.04,0.35,0.32,0.25,0.22,0.01,0.52,NA
"1981-02-05",11.12,45.82,-59.11,92.45,-9.55,-11.87,2.1,0.71,0.35,0.32,0.25,0.22,11.04,0,-84.23,92.06,-16.58,-18.21,1.33,-3.4,0.35,0.32,0.25,0.22,11.18,204.96,-38.78,92.93,-2.74,-5.65,3.4,2.51,0.35,0.32,0.25,0.22,0,0.39,NA
"1981-02-06",11.25,36.22,-61.88,92.62,-9.32,-12.23,3.09,-4.8,0.35,0.31,0.25,0.22,11.04,0,-78.74,92.15,-16.31,-20.04,1.57,-7.35,0.35,0.31,0.25,0.22,11.72,152.87,-29.04,93.44,-7.04,-9.61,4.31,-2.75,0.35,0.32,0.25,0.22,0.92,0.67,NA
"1981-02-07",12.43,27.21,-33.66,92.48,-16.79,-19.43,0.96,0.55,0.35,0.31,0.25,0.22,11.72,0,-84.26,91.59,-27.39,-29.25,-1.34,-6.52,0.35,0.31,0.25,0.22,14.29,114.84,2.57,93.34,-7.06,-9.28,3.77,5.06,0.35,0.31,0.25,0.22,2.7,0.29,NA
"1981-02-08",14.48,37.55,-49.59,92.42,-16.24,-19.94,2.2,-4.91,0.35,0.31,0.25,0.22,14.37,0,-69.96,91.84,-18.95,-22.49,0.81,-8.18,0.35,0.31,0.25,0.22,14.59,167.39,-26.62,92.67,-10.53,-13.33,2.87,-2.84,0.35,0.31,0.25,0.22,0.58,0.49,NA
"1981-02-09",14.64,40.85,-73.67,92.78,-24.04,-28.26,3.14,-3.93,0.35,0.31,0.25,0.22,14.6,0,-88.59,92.51,-27.11,-31,1.4,-6.46,0.35,0.31,0.25,0.22,14.69,174.66,-50.55,93.03,-20.24,-23.57,4.49,-1.01,0.35,0.31,0.25,0.22,0.18,0.26,NA
"1981-02-10",14.62,44.95,-64.97,92.51,-23.46,-28.25,2.07,0.23,0.35,0.31,0.25,0.22,14.57,0,-90.64,92.3,-29.51,-33.43,-0.42,-0.87,0.35,0.31,0.25,0.22,14.66,184.3,-27.38,92.79,-16.28,-22.01,3.13,1.86,0.35,0.31,0.25,0.22,0.04,0.2,NA
"1981-02-11",15.05,30.46,-35.12,92,-19,-22.4,0.1,0.9,0.35,0.31,0.25,0.22,14.59,0,-73.03,91.68,-29.25,-31.54,-1.52,-3.18,0.35,0.31,0.25,0.22,15.34,125.06,14.54,92.46,-11.02,-15.35,1.97,3.37,0.35,0.31,0.25,0.22,0.9,0.25,NA
"1981-02-12",15.31,39.46,-37.24,92.28,-17.18,-19.78,0,1.36,0.35,0.31,0.25,0.22,15.23,0,-71.1,92.01,-25.68,-28.24,-1.3,-2,0.35,0.31,0.25,0.22,15.37,175.67,0.89,92.52,-9.23,-12.41,1.89,3.79,0.35,0.31,0.25,0.22,0.09,0.24,NA
"1981-02-13",15.21,39.09,-36.55,91.87,-8.36,-10.99,0.61,2.8,0.35,0.31,0.25,0.22,14.89,0,-64.52,91.17,-18.73,-20.45,-1.66,-0.08,0.35,0.31,0.25,0.22,15.33,166.4,-20.61,92.43,2.96,-1.26,5.16,4.87,0.35,0.31,0.25,0.22,0.01,0.65,NA
"1981-02-14",13.64,36.23,-67.09,90.98,1.8,-1.96,3.2,3.33,0.36,0.31,0.25,0.22,11.74,0,-92.24,90.74,-1.4,-4,1.52,1.2,0.35,0.31,0.25,0.22,14.86,174.49,-38.88,91.29,5.1,0.16,4.7,5.32,0.38,0.31,0.25,0.22,0.01,1.13,NA
"1981-02-15",10.52,61.32,-68.34,91,2.14,-2.25,3.25,3.03,0.38,0.31,0.25,0.22,8.91,0,-99.03,90.32,-0.54,-4.56,1.82,1.6,0.37,0.31,0.25,0.22,11.71,255.12,-34.55,91.36,4.94,-0.66,4.73,4.19,0.4,0.32,0.25,0.22,0,1.72,NA
"1981-02-16",8.31,45.82,-56.74,90.42,1.34,-1.55,1.33,1.87,0.38,0.32,0.25,0.22,7.57,0,-75.15,90.02,-1.81,-4.12,-2.62,-0.54,0.38,0.32,0.25,0.22,8.83,181.28,-26.47,90.83,3.18,-0.33,3.94,3.3,0.39,0.33,0.25,0.22,0.02,0.68,NA
"1981-02-17",6.75,64.21,-64.04,90.81,1.64,-1.43,2.44,0.82,0.38,0.33,0.25,0.22,5.74,0,-91.19,90.06,-0.94,-3.02,0.76,-1.46,0.37,0.33,0.25,0.22,7.56,242.52,-41.06,91.3,5.34,0.8,3.73,3.39,0.39,0.33,0.25,0.22,0.24,0.7,NA
"1981-02-18",5,71.41,-72.82,91.09,1.05,-3.43,3.09,1.28,0.38,0.34,0.25,0.22,4.01,0,-105.69,90.64,-2.35,-6.07,1.44,-2.42,0.37,0.33,0.25,0.22,5.76,285.3,-36.67,91.63,6.38,-0.29,5.43,3.36,0.39,0.34,0.25,0.22,0.05,1.53,NA
"1981-02-19",3.43,57.22,-67.43,90.64,1.6,-3.92,1.01,3.67,0.38,0.34,0.25,0.22,2.51,0,-99.29,89.9,-3.92,-8.25,-3.05,1.36,0.37,0.34,0.25,0.22,4.01,262.18,-28.65,91.66,8.74,2.8,4.23,6.47,0.38,0.35,0.25,0.22,0.26,2.03,NA
"1981-02-20",2.23,91.56,-83.18,91.55,2.36,-6.28,3.87,-0.67,0.37,0.35,0.25,0.22,1.91,0,-119.46,90.44,-0.94,-7.91,2.38,-3.32,0.36,0.35,0.25,0.22,2.51,367.59,-48.43,92.05,7.02,-4.32,5.44,1.62,0.38,0.35,0.25,0.22,0.01,3.23,NA
"1981-02-21",1.66,81.24,-70.38,92.36,2.31,-5.36,3.2,0.34,0.36,0.35,0.25,0.22,1.35,0,-97.1,92.07,-1.3,-7.59,2.54,-0.39,0.36,0.35,0.25,0.22,1.91,348.53,-39.75,92.53,8.11,-3,3.98,0.97,0.36,0.35,0.25,0.22,0,2.29,NA
"1981-02-22",1.16,93.39,-74.23,92.16,2.72,-3.73,2.35,0.91,0.36,0.35,0.25,0.22,0.92,0,-114.38,91.83,-1.85,-5.74,0.68,-3.17,0.35,0.35,0.25,0.22,1.36,373.83,-42.81,92.54,8.83,-1.14,3.3,3.35,0.36,0.35,0.25,0.22,0.03,2.07,NA
"1981-02-23",0.89,95.58,-76.79,92.07,-1.14,-8.46,0.2,-0.98,0.35,0.35,0.26,0.22,0.81,0,-124.01,91.91,-4.16,-11.02,-2.54,-2.31,0.35,0.35,0.25,0.22,1.12,392.79,-21.57,92.26,2.84,-5.15,2.26,0.3,0.35,0.35,0.26,0.22,0.31,1.85,NA
"1981-02-24",3.21,52.39,-29.5,92.14,-3.35,-7.25,-3.23,0.24,0.35,0.35,0.26,0.22,1.47,0,-54.65,91.95,-5.1,-7.97,-4.22,-0.54,0.35,0.35,0.26,0.22,3.82,225.9,-13.51,92.31,-0.92,-6.3,-2.22,0.94,0.35,0.35,0.26,0.22,2.88,1.58,NA
"1981-02-25",4.62,46.63,-36.22,92.06,-4.11,-7.69,-3.3,1.66,0.35,0.35,0.26,0.22,3.94,0,-74.94,91.84,-5.98,-8.94,-4.09,0.66,0.35,0.34,0.26,0.22,4.82,208.66,-13.3,92.32,-0.98,-6.41,-2.12,2.76,0.35,0.35,0.26,0.22,1.13,1.38,NA
"1981-02-26",4.72,70.28,-48.53,92.32,-4.22,-6.85,-0.97,-1.27,0.34,0.34,0.26,0.22,4.62,0,-71.57,91.96,-7.95,-8.88,-1.87,-2.51,0.34,0.34,0.26,0.22,4.77,274.21,-20.49,92.69,-0.5,-5.13,0.32,0.34,0.35,0.34,0.26,0.22,0.14,0.97,NA
"1981-02-27",4.64,62.36,-42.28,92.72,-2.24,-5.06,0.16,1.38,0.34,0.34,0.26,0.22,4.42,0,-98.86,92.66,-5.17,-6.56,-1.37,0.65,0.34,0.34,0.26,0.22,4.81,239.73,-5.23,92.82,2.54,-4,2,2.37,0.35,0.34,0.26,0.22,0.08,0.96,NA
"1981-02-28",4,104.79,-85.99,92.64,-1.88,-7.46,1.97,0.66,0.35,0.34,0.26,0.22,3.47,0,-127.11,92.54,-7.17,-8.57,1.45,-0.05,0.35,0.34,0.26,0.22,4.43,385.64,-60.47,92.72,6.19,-5.6,2.22,1.23,0.36,0.34,0.26,0.22,0,1.44,NA
