"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",15.19,14.76,-51.95,94.2,-11.02,-12.98,1.99,1.69,0.41,0.31,0.22,0.21,15.14,0,-76.08,93.46,-18.56,-20.32,-0.85,-3.31,0.41,0.31,0.22,0.21,15.25,76.03,-26.34,94.83,-3.49,-6.04,4.28,4.64,0.41,0.31,0.22,0.21,0,-0.11,NA
"1981-01-02",15.29,14.62,-48.75,94.06,-12.2,-14.36,-0.77,-0.32,0.41,0.31,0.22,0.21,15.25,0,-75.83,93.54,-15.25,-16.92,-2.71,-4.33,0.41,0.31,0.22,0.21,15.33,79.81,-23.91,94.37,-9.12,-12.92,3.14,3.3,0.41,0.31,0.22,0.21,0.02,-0.05,NA
"1981-01-03",15.39,17.57,-54.53,93.62,-12.88,-15.49,0.93,1.45,0.41,0.31,0.22,0.21,15.34,0,-78.01,93.44,-19.44,-21.28,-1.45,-1.3,0.41,0.31,0.22,0.21,15.41,91.35,-29.77,93.86,-8.73,-12.08,2.33,3.69,0.41,0.31,0.22,0.21,0,-0.06,NA
"1981-01-04",15.37,15.79,-42.55,93.54,-8.77,-11.55,3.6,0.21,0.41,0.3,0.22,0.21,15.27,0,-68.85,93.44,-19.34,-21.21,1.77,-1.36,0.41,0.3,0.22,0.21,15.44,83.85,-15.42,93.64,-0.39,-3.67,4.78,1.94,0.41,0.31,0.22,0.21,0,0.11,NA
"1981-01-05",15.69,12.26,-43.98,93.77,-0.62,-2.4,4.42,-3.02,0.41,0.3,0.22,0.21,15.32,0,-82.15,93.48,-3.17,-4.52,2.44,-4.4,0.4,0.3,0.22,0.21,16,70.39,-7.02,94.16,1.04,-0.48,5.64,-1.14,0.41,0.3,0.22,0.21,0.84,0.24,NA
"1981-01-06",16.77,7.67,-8.63,93.58,-4.38,-5.26,-2.22,1.86,0.4,0.31,0.22,0.21,15.89,0,-43.77,92.68,-5.51,-6.39,-4.24,-2.16,0.4,0.3,0.22,0.21,21.24,44.77,-0.38,94.23,-3.3,-4.35,1.77,4.02,0.4,0.31,0.22,0.21,5.48,0.12,NA
"1981-01-07",23.05,7.45,-15.05,93.31,-3.66,-5,2.61,-2,0.4,0.31,0.22,0.21,21.81,0,-36.93,92.78,-7.44,-8.22,-0.91,-5.96,0.39,0.31,0.22,0.21,23.27,37.5,4.55,93.62,0.17,-1.41,6.53,2.12,0.4,0.31,0.22,0.21,2.28,0.26,NA
"1981-01-08",25.29,5.81,-12.51,93.91,-8.88,-10.34,-3.53,-0.39,0.39,0.31,0.22,0.21,23.36,0,-47.39,93.41,-15.53,-17.52,-5.24,-2.23,0.39,0.31,0.22,0.21,26.21,30.91,5.86,94.59,-5.24,-6.06,-1.18,1.31,0.39,0.31,0.22,0.21,3.06,0.11,NA
"1981-01-09",26.51,5.56,-6.23,94.19,-14.12,-16.36,-3.42,3.55,0.39,0.31,0.22,0.21,26.21,0,-41.38,93.95,-16.2,-18.87,-5.21,2.13,0.38,0.31,0.22,0.21,26.88,28.3,16.92,94.46,-12.1,-14.01,-0.22,4.86,0.39,0.31,0.22,0.21,0.82,0.14,NA
"1981-01-10",27.15,11.34,-39,94.37,-11.58,-13.31,1.71,1.84,0.38,0.31,0.22,0.21,27.04,0,-64.5,93.98,-15.07,-16.26,0.24,0.04,0.38,0.31,0.22,0.21,27.23,58.03,16.87,94.59,-8.35,-10.58,3.06,3.89,0.38,0.31,0.22,0.21,0.23,-0.12,NA
