"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",10.16,22.25,-59.96,94.8,-9.08,-10.93,1.69,1.62,0.4,0.32,0.23,0.24,10.12,0,-78.79,93.88,-14.22,-15.63,-1.01,-0.65,0.4,0.32,0.23,0.24,10.2,118.94,-33.3,95.34,-4.25,-6.79,4.28,5.05,0.4,0.32,0.23,0.24,0,0,NA
"1981-01-02",10.29,18.33,-39.4,94.62,-12.71,-15.43,-1.34,-0.35,0.4,0.32,0.23,0.24,10.21,0,-78.69,93.84,-15.65,-18.89,-3.21,-4.12,0.4,0.32,0.23,0.24,10.35,99.44,-7.17,94.97,-6.77,-8.69,3.87,2.96,0.4,0.32,0.23,0.24,0.14,0.28,NA
"1981-01-03",10.28,24.13,-49.71,94.27,-13.07,-15.91,-0.68,1.7,0.4,0.31,0.23,0.24,10.27,0,-80.29,94.02,-17.09,-19.07,-1.94,-1.15,0.4,0.31,0.23,0.24,10.3,125.35,-32.22,94.69,-7.2,-11.1,1.57,3.47,0.4,0.32,0.23,0.24,0,0.15,NA
"1981-01-04",10.26,21.99,-45.53,94.05,-10.04,-12.65,2.48,1.01,0.4,0.31,0.23,0.24,10.2,0,-60.81,93.88,-17.99,-19.62,0.07,-0.87,0.4,0.31,0.23,0.24,10.3,115.38,-33.81,94.25,-2.62,-5.05,4.58,2.52,0.4,0.31,0.23,0.24,0,0.18,NA
"1981-01-05",11.59,7.02,-22.4,94.12,-0.99,-2.12,3.77,-2.43,0.4,0.31,0.23,0.24,10.26,0,-53.98,93.91,-3.57,-5.2,1.88,-4.38,0.4,0.31,0.23,0.24,12.66,38.13,-2.21,94.54,0.63,-0.23,4.36,-0.38,0.4,0.31,0.23,0.24,2.62,0.09,NA
"1981-01-06",13.19,9.23,-10.27,94.29,-7.5,-9.44,-2.89,0.94,0.4,0.31,0.23,0.24,12.66,0,-22.2,93.3,-9.66,-11.65,-4.31,-3.36,0.4,0.31,0.23,0.24,17.46,49.27,0.08,94.79,-1.76,-2.62,0.05,3.78,0.4,0.31,0.23,0.24,5.06,0.39,NA
"1981-01-07",20.54,6.51,-9.13,93.79,-7.57,-9.09,0.95,-0.74,0.4,0.31,0.23,0.24,18.37,0,-26.1,93.41,-11.75,-13.81,-2.74,-3.33,0.39,0.31,0.23,0.24,21.02,32.86,5.08,94.16,-4.82,-6.18,2.79,2.33,0.4,0.31,0.23,0.24,3.63,0.08,NA
"1981-01-08",22.59,5.76,-18.55,94.49,-10.22,-11.74,-2.33,-0.86,0.39,0.31,0.23,0.24,21.1,0,-59.13,93.99,-17.97,-20.11,-3.59,-2.37,0.39,0.31,0.23,0.24,23.51,27.31,4.55,95.24,-6.12,-7.01,0.44,0.95,0.39,0.31,0.23,0.24,2.55,0.06,NA
"1981-01-09",23.65,7.17,-19.89,94.96,-18.47,-21.13,-2.82,2.63,0.39,0.31,0.23,0.24,23.52,0,-55.35,94.65,-22.51,-25.31,-3.84,2.01,0.39,0.31,0.23,0.24,23.92,39.78,11.86,95.23,-14.46,-16.73,-1.06,3.57,0.39,0.31,0.23,0.24,0.47,0.07,NA
"1981-01-10",24.8,9.68,-33.55,95.01,-13.65,-15.6,0.36,2.21,0.39,0.31,0.24,0.24,24,0,-61.08,94.65,-17.35,-19.39,-1.46,1.66,0.39,0.31,0.23,0.24,24.97,47.21,5.45,95.25,-9.48,-11.22,1.86,3.13,0.39,0.31,0.24,0.24,0.97,-0.08,NA
"1981-01-11",25.06,11.3,-44.86,94.85,-10.81,-12.76,2.03,2.14,0.39,0.31,0.24,0.24,24.98,0,-65.59,94.45,-13.32,-15.23,1.33,0.9,0.39,0.31,0.24,0.24,25.13,57.55,-25.66,95.08,-7.01,-9.06,2.66,3.44,0.39,0.31,0.24,0.24,0,-0.16,NA
"1981-01-12",25.16,9.7,-34.68,94.14,-10.91,-13.34,2.69,0.22,0.39,0.31,0.24,0.24,25.13,0,-64.22,93.91,-16.41,-18.47,0.97,-2.19,0.39,0.31,0.24,0.24,25.17,53.93,-4.99,94.4,-5.89,-9.18,4.36,2.38,0.39,0.31,0.24,0.24,0,-0.03,NA
"1981-01-13",25.29,12.59,-58.44,94.62,-6.53,-8.58,3.57,-0.7,0.38,0.31,0.24,0.24,25.18,0,-69.99,94.29,-10.43,-12.23,2.72,-1.89,0.38,0.31,0.24,0.24,25.37,62.5,-32.72,94.82,-4.54,-6.43,4.66,0.8,0.39,0.31,0.24,0.24,0,-0.2,NA
"1981-01-14",25.42,12.59,-32.76,94.83,-12.98,-14.46,1.56,-0.41,0.38,0.31,0.24,0.24,25.38,0,-47.8,94.65,-15.91,-17.43,-0.73,-1.18,0.38,0.31,0.24,0.24,25.43,63.49,-5.32,95.03,-10.17,-11.6,2.85,0.13,0.38,0.31,0.24,0.24,0,-0.06,NA
"1981-01-15",25.5,10.1,-11.83,95.36,-7.44,-8.51,-0.98,2.49,0.38,0.31,0.24,0.24,25.44,0,-40.48,95.06,-12.13,-13.35,-1.92,-0.24,0.38,0.31,0.24,0.24,25.56,53.54,19.27,95.56,-5.57,-6.72,0.49,5.51,0.38,0.31,0.24,0.24,0.14,0,NA
"1981-01-16",25.67,15.2,-76.32,94.85,-7.99,-10.87,2.06,4.63,0.38,0.31,0.24,0.24,25.58,0,-85.13,94.62,-10.08,-12.51,0.57,4.14,0.38,0.31,0.24,0.24,25.71,73.82,-56.78,95.23,-5.58,-8.62,3.06,5.46,0.38,0.31,0.24,0.24,0,-0.1,NA
"1981-01-17",25.66,16.13,-71.16,94.12,-7,-10.73,0.84,4.71,0.38,0.31,0.24,0.24,25.6,0,-84.69,93.55,-11.26,-14.64,-1.06,3.75,0.38,0.31,0.24,0.24,25.7,78.11,-62.24,94.57,-2.45,-6.37,2.89,6.33,0.38,0.31,0.24,0.24,0,0.09,NA
"1981-01-18",25.63,16.25,-68.9,93.83,-5.51,-8.5,4.14,0.7,0.37,0.31,0.24,0.24,25.59,0,-84.84,93.53,-10.32,-13.84,3.46,-0.59,0.37,0.31,0.24,0.24,25.66,78.01,-54.03,94.01,-1.58,-4.27,5.11,3.38,0.37,0.31,0.24,0.24,0,-0.06,NA
"1981-01-19",25.74,17,-47.78,94.05,-9.09,-10.77,1.39,1.6,0.37,0.31,0.24,0.24,25.68,0,-65.39,93.9,-15.06,-16.34,0.08,-1.52,0.37,0.31,0.24,0.24,25.81,82.05,-29.38,94.15,-4.54,-6.48,2.97,4.12,0.37,0.31,0.24,0.24,0,-0.15,NA
"1981-01-20",25.84,17.2,-50.47,93.97,-3.87,-6.17,1.95,1.25,0.37,0.31,0.24,0.24,25.81,0,-65.14,93.76,-6.41,-8.56,1.09,-1.83,0.37,0.3,0.24,0.24,25.87,82.26,-42.37,94.32,-0.1,-1.69,2.75,4.05,0.37,0.31,0.24,0.24,0,-0.05,NA
"1981-01-21",25.91,17.32,-39.32,94.32,-6.07,-7.1,-0.16,1.93,0.37,0.3,0.24,0.24,25.88,0,-68.45,94.07,-11.87,-12.91,-1.63,-1.23,0.37,0.3,0.24,0.24,25.98,85.61,-8.57,94.49,-0.79,-2.08,1.68,3.3,0.37,0.3,0.24,0.24,0,-0.11,NA
"1981-01-22",26.03,16.07,-33.27,93.73,-3.53,-4.92,0.68,2.67,0.36,0.3,0.24,0.24,25.99,0,-55.31,93.27,-10.89,-12.01,-1.21,1.01,0.36,0.3,0.24,0.24,26.06,76.62,-9.15,94.17,2.14,-0.06,3.58,3.64,0.37,0.3,0.24,0.24,0,-0.07,NA
"1981-01-23",26.11,19.09,-37.35,93.29,-2.19,-3.55,1.89,-0.94,0.36,0.3,0.24,0.24,26.07,0,-59.85,93.15,-5.24,-6.53,-0.42,-1.95,0.36,0.3,0.24,0.24,26.16,100.8,-7.06,93.44,0.5,-1.02,3.76,0.86,0.36,0.3,0.24,0.24,0,-0.03,NA
"1981-01-24",27.71,8.23,-15.57,93.06,-1.35,-2.63,1.55,-2.74,0.36,0.3,0.24,0.24,26.09,0,-52.87,92.95,-4.28,-5.68,-1.12,-3.63,0.36,0.3,0.24,0.24,28.71,48.31,8.08,93.19,0.66,-0.5,3.4,-1.18,0.36,0.3,0.24,0.24,2.93,0.14,NA
"1981-01-25",29.27,13.04,-22.85,93.4,-4.14,-5.25,2.56,-2.7,0.36,0.3,0.24,0.24,28.72,0,-78.97,93.2,-6.42,-7.7,1.36,-4.1,0.36,0.3,0.24,0.24,30.14,64.65,-1.41,93.66,-2.09,-2.99,3.48,-1.68,0.36,0.31,0.24,0.24,1.5,0.07,NA
"1981-01-26",30.34,13.16,-19.38,93.64,-8.2,-9.44,-0.77,-0.12,0.35,0.31,0.24,0.24,30.18,0,-44.1,93.53,-9.32,-10.51,-2.42,-2.22,0.35,0.31,0.24,0.24,30.41,68.02,-0.24,93.75,-6.8,-7.92,0.94,2.04,0.35,0.31,0.24,0.24,0.29,0.05,NA
"1981-01-27",30.44,13.5,-18.83,93.68,-8.18,-10.04,-0.59,0.55,0.35,0.31,0.24,0.24,30.4,0,-37.28,93.56,-9.65,-10.98,-2.07,-1.18,0.35,0.31,0.24,0.24,30.48,72.69,-2.97,93.83,-5.87,-8.78,0.44,2.07,0.35,0.31,0.24,0.24,0.14,0.07,NA
"1981-01-28",30.52,22.41,-52.14,93.95,-12.43,-14.66,-3.56,3.03,0.35,0.31,0.24,0.24,30.47,0,-77.96,93.82,-15.68,-18.02,-4.31,1.91,0.35,0.31,0.24,0.24,30.57,101.57,-25.84,94.06,-9.66,-11.42,-1.92,4.09,0.35,0.31,0.24,0.24,0.06,0.01,NA
"1981-01-29",30.54,17.1,-39.67,94.19,-13.8,-16.38,-2.17,3.15,0.35,0.31,0.24,0.24,30.51,0,-64.73,94.02,-17.38,-20.19,-3.53,2.01,0.34,0.3,0.24,0.24,30.56,76.88,-2.57,94.3,-9.95,-12.52,0.64,3.76,0.35,0.31,0.24,0.24,0.07,0.06,NA
"1981-01-30",30.9,14.94,-17.59,94.28,-10.29,-12.05,1.79,-1.76,0.34,0.3,0.24,0.24,30.53,0,-40.41,94.2,-14.42,-16.19,0.96,-2.95,0.34,0.3,0.24,0.24,31.66,70.46,2.24,94.39,-7.37,-9.43,2.29,1.74,0.34,0.3,0.24,0.24,1.24,0.1,NA
"1981-01-31",31.92,14.02,-27.61,94.31,-10.84,-12.77,1.47,-1.47,0.34,0.3,0.24,0.24,31.69,0,-55.85,94.17,-13.25,-15.1,-0.23,-3.72,0.34,0.3,0.24,0.24,32.23,65.16,-9.72,94.72,-8.93,-11.46,2.36,0.69,0.34,0.3,0.24,0.24,0.6,0.04,NA
"1981-02-01",32.29,19.01,-34.73,95.1,-16.95,-18.86,1.12,-1.18,0.34,0.3,0.24,0.24,32.24,0,-78.95,94.83,-20.42,-22.58,-0.76,-3.06,0.34,0.3,0.24,0.24,32.35,83.66,-9.33,95.34,-14.75,-16.58,2.61,0.63,0.34,0.3,0.24,0.24,0.12,0,NA
"1981-02-02",32.42,21.08,-21.84,94.75,-14.21,-15.94,0.83,0.55,0.34,0.3,0.24,0.24,32.36,0,-51.81,94.65,-17.23,-19.21,-0.81,-1.27,0.34,0.3,0.24,0.24,32.51,105.84,-3.22,94.82,-11.3,-13.07,2.92,1.38,0.34,0.3,0.24,0.24,0.22,0.06,NA
"1981-02-03",32.56,22.04,-28.1,95.14,-12.8,-14.45,1.03,1.6,0.34,0.3,0.24,0.24,32.52,0,-65.91,94.78,-16.52,-18.23,0.04,-1.13,0.34,0.3,0.24,0.24,32.59,109.47,-4.19,95.44,-10.01,-12.06,2.92,3.87,0.34,0.3,0.24,0.24,0.09,0.03,NA
"1981-02-04",32.65,19.6,-23.59,94.34,-6,-7.85,3.95,-2.29,0.34,0.3,0.24,0.24,32.56,0,-65.25,94.21,-10.67,-12.14,2.68,-5.41,0.34,0.3,0.24,0.24,32.69,90.57,-8.61,94.65,-3.77,-5.49,4.86,2.83,0.34,0.3,0.24,0.24,0.37,0.24,NA
"1981-02-05",32.72,25.3,-41.54,94.16,-7.05,-8.69,2.61,0.67,0.34,0.3,0.24,0.24,32.68,0,-72.61,93.58,-10.43,-11.88,1.46,-3.7,0.34,0.3,0.24,0.24,32.77,115.56,-14.06,94.48,-4.75,-6.53,3.21,3.01,0.34,0.3,0.24,0.24,0.1,0.03,NA
"1981-02-06",33.17,21.83,-48.39,93.93,-11.86,-14.39,3.1,-4.67,0.34,0.3,0.24,0.24,32.8,0,-79.7,93.51,-20.03,-24.15,2.07,-7.79,0.34,0.3,0.24,0.24,33.52,90.97,-17.4,94.84,-8.12,-9.5,5.09,-1.69,0.34,0.3,0.24,0.24,0.94,0.19,NA
"1981-02-07",33.67,27.92,-47.78,94.46,-23.56,-27.14,0.31,0.46,0.34,0.3,0.24,0.24,33.51,0,-77.82,93.44,-29.41,-32.38,-2.04,-5.5,0.34,0.3,0.24,0.24,34.76,128.87,0.66,94.99,-20.44,-23.81,2.01,4.93,0.34,0.3,0.24,0.24,1.32,0.08,NA
"1981-02-08",35.62,25.88,-47.54,93.87,-21.17,-24.41,2.61,-3.18,0.34,0.3,0.24,0.24,35.05,0,-72.29,93.34,-23.95,-27.22,-2.11,-4.97,0.34,0.3,0.24,0.24,35.71,110.49,-1.91,94.13,-19.08,-23.08,4.62,3.16,0.34,0.3,0.24,0.24,1,0.05,NA
"1981-02-09",35.84,25.46,-59.29,94.28,-27.52,-31.47,3.51,-3.29,0.34,0.3,0.24,0.24,35.72,0,-83.24,94.04,-31.22,-34.91,1.74,-5.86,0.34,0.3,0.24,0.24,35.94,104.41,-12.9,94.64,-23.28,-28.37,4.81,-1.27,0.34,0.3,0.24,0.24,0.28,0.05,NA
"1981-02-10",35.96,31.72,-63.23,94.31,-29.42,-32.69,3.49,0.13,0.34,0.3,0.24,0.24,35.95,0,-87.18,94.07,-33.93,-36.9,2.63,-0.71,0.34,0.3,0.24,0.24,35.97,132.29,-47.42,94.48,-23.09,-26.82,4.15,1.14,0.34,0.3,0.24,0.24,0.01,-0.01,NA
"1981-02-11",36.15,21.21,-27.39,94.03,-27.09,-30.02,-0.19,1.82,0.34,0.3,0.24,0.24,35.97,0,-52.49,93.78,-36.19,-38.99,-1.8,0.18,0.34,0.3,0.24,0.24,36.46,91.48,14.26,94.21,-18.91,-22.39,2.5,2.81,0.34,0.3,0.24,0.24,0.51,0.03,NA
"1981-02-12",36.47,29.17,-37.56,94.26,-23.61,-26.21,0.03,2.03,0.34,0.3,0.24,0.24,36.46,0,-52.33,94.11,-31.78,-34.68,-1.72,0.82,0.34,0.3,0.24,0.24,36.49,125.52,-23.22,94.41,-16.11,-18.51,1.27,2.59,0.34,0.3,0.24,0.24,0.04,0.01,NA
"1981-02-13",36.48,30.68,-26.33,94,-15.13,-17.38,-1.69,2.9,0.34,0.3,0.24,0.24,36.45,0,-64.04,92.98,-24.45,-26.95,-4.03,0.74,0.34,0.3,0.24,0.24,36.5,135.7,5.92,94.47,-0.99,-2.42,1.23,4.72,0.34,0.3,0.24,0.24,0.02,0.01,NA
"1981-02-14",36.48,29.52,-52.42,92.73,-0.8,-2.65,2.64,2.8,0.34,0.3,0.24,0.24,36.22,0,-72.58,92.43,-5.78,-7.24,-0.49,0.78,0.34,0.3,0.24,0.24,36.64,127.73,-5.33,93.04,2.63,0.79,5.05,4.74,0.34,0.3,0.24,0.24,0.05,-0.11,NA
"1981-02-15",35.97,37.23,-69.82,92.7,0.41,-2.47,3.62,2.35,0.34,0.3,0.24,0.24,35.41,0,-89.27,92.1,-1.58,-4.67,2.11,0.29,0.34,0.3,0.24,0.24,36.35,144.13,-45.6,92.95,2.31,-0.64,4.81,4.85,0.35,0.3,0.24,0.24,0,0.08,NA
"1981-02-16",34.75,36.37,-55.17,92.15,0.66,-1.2,2.2,1.87,0.36,0.3,0.24,0.24,33.59,0,-80.06,91.87,-0.74,-2.47,-2.69,-0.45,0.35,0.3,0.24,0.24,35.56,151.74,-5.86,92.49,2.36,0.35,5.46,4.34,0.38,0.3,0.24,0.24,0.85,0.02,NA
"1981-02-17",33.8,34.09,-42.89,92.43,-2.17,-2.75,2.21,0.47,0.38,0.3,0.24,0.24,33.15,0,-68.74,91.76,-5.97,-6.64,-2.09,-1.17,0.38,0.3,0.24,0.24,34.24,141.54,-16.56,93.06,0.09,-0.12,3.32,2.27,0.39,0.3,0.24,0.24,0.18,0,NA
"1981-02-18",32.52,34.79,-56.91,92.76,-1.62,-3.48,2.48,1.63,0.4,0.3,0.24,0.24,31.36,0,-77.33,92.38,-6.1,-7.41,-0.59,-1.31,0.39,0.3,0.24,0.24,33.34,134.47,-36.68,93.24,2.51,0.2,5.36,3.92,0.41,0.3,0.24,0.24,0.1,0.02,NA
"1981-02-19",30.1,34.44,-57.99,92.62,-0.35,-3.21,0.75,3.41,0.41,0.31,0.24,0.24,27.16,0,-75.4,91.8,-7.85,-9.81,-4.19,-0.04,0.4,0.3,0.24,0.24,31.5,157.02,-21.36,93.33,4.21,1.35,5.14,6.03,0.44,0.32,0.24,0.24,1.22,0.27,NA
"1981-02-20",25.3,51.12,-73.58,93,0.26,-2.2,4.48,-0.68,0.42,0.32,0.24,0.24,22.78,0,-88,91.89,-2.48,-5.42,3.8,-2.05,0.41,0.32,0.24,0.24,27.23,202.86,-52.33,93.65,3.1,0.23,5.51,1.42,0.44,0.34,0.24,0.24,0.02,0.37,NA
"1981-02-21",21.67,54.5,-69.03,93.89,-0.74,-3.55,4,-0.33,0.42,0.34,0.25,0.24,20.02,0,-92.14,93.59,-3.66,-6.35,3.37,-0.89,0.41,0.34,0.25,0.24,22.82,211.69,-32.15,94.11,2.47,-0.62,4.67,0.31,0.43,0.34,0.25,0.24,0.01,0.44,NA
"1981-02-22",18.4,50.67,-62.04,93.79,-0.19,-2.96,2.74,1.11,0.42,0.35,0.25,0.24,16.15,0,-79.02,93.4,-3.56,-5.48,0.77,-1.97,0.41,0.35,0.25,0.24,20.21,211.67,-39.19,94.1,3.71,-0.2,4.77,3.05,0.44,0.36,0.25,0.24,0,0.2,NA
"1981-02-23",15.93,70.84,-87.1,93.71,-3.67,-7.13,2.89,-1.56,0.41,0.36,0.25,0.24,15.6,0,-109.44,93.48,-10.6,-12.33,-0.44,-3.41,0.4,0.36,0.25,0.24,16.21,271.06,-58.91,93.83,-0.17,-3,4.52,0.73,0.41,0.36,0.25,0.24,0,0.89,NA
"1981-02-24",15.5,65.27,-47.55,94.06,-7.7,-9.72,-2.57,-0.75,0.39,0.36,0.25,0.24,15.28,0,-94.11,93.76,-12.98,-14.3,-3.98,-1.62,0.39,0.36,0.25,0.24,15.66,275.14,-16.75,94.3,-3.19,-6.5,-1.09,0.93,0.4,0.36,0.25,0.24,0.03,0.71,NA
"1981-02-25",15.36,46.25,-39.34,94.14,-5.08,-7.8,-4,1.5,0.39,0.36,0.25,0.24,15.09,0,-73.82,93.83,-8.6,-10.36,-5.67,0.28,0.39,0.36,0.25,0.24,15.62,161.85,-12.29,94.37,-1.15,-4.81,-2.79,2.47,0.39,0.36,0.25,0.24,0.39,0.95,NA
"1981-02-26",14.76,66.52,-59.1,94.04,-4.83,-6.93,-0.53,-0.76,0.39,0.36,0.25,0.24,14.36,0,-96.5,93.81,-9.74,-11.38,-2.57,-2.68,0.38,0.36,0.25,0.24,15.11,231.37,-10.45,94.35,-1.04,-3.79,1.29,1.76,0.39,0.36,0.25,0.24,0.01,0.52,NA
"1981-02-27",14.35,37.45,-18.94,94.5,-3.97,-6.03,1.68,-0.78,0.38,0.36,0.25,0.24,14.18,0,-31.5,94.38,-5.2,-7.26,0.6,-1.84,0.38,0.36,0.25,0.24,14.49,145.82,-8.76,94.64,-2.58,-4.92,3.49,1.42,0.39,0.36,0.25,0.24,0.13,0.65,NA
"1981-02-28",13.46,84.28,-71.81,94.28,-2.36,-4.5,3.4,-0.13,0.39,0.36,0.25,0.24,12.34,0,-110.74,94.17,-6.11,-7.37,1.97,-1.94,0.38,0.36,0.25,0.24,14.29,312.55,-18.18,94.4,2.08,-1.48,4.8,1.26,0.4,0.36,0.25,0.24,0.05,0.81,NA
"1981-03-01",12.28,63.56,-59.57,94.39,-5.87,-8.01,-1.55,1.22,0.39,0.36,0.25,0.24,12.08,0,-81.42,94.06,-12.03,-12.6,-2.84,-2.66,0.39,0.36,0.25,0.24,12.44,229.74,-30.32,94.62,-1.16,-5.06,2.14,4.17,0.39,0.36,0.25,0.24,0.02,0.75,0
"1981-03-02",11.21,82.67,-78.61,93.21,-2.77,-6.25,2.18,1.73,0.39,0.36,0.25,0.24,9.91,0,-101.47,92.86,-8.11,-10.26,-0.86,-1.76,0.38,0.36,0.25,0.24,12.16,302.24,-64.4,93.92,3.9,-2.11,3.98,4.5,0.41,0.36,0.25,0.24,0.01,1.12,0
"1981-03-03",8.87,92.69,-70.8,93,-2.35,-7.42,-0.01,0.63,0.4,0.36,0.25,0.24,7.49,0,-118.86,92.91,-10.38,-11.45,-3.14,-1.17,0.39,0.36,0.25,0.24,9.98,370.81,-29.91,93.11,4.84,-5.22,2.87,1.69,0.42,0.36,0.25,0.24,0.02,1.09,0
"1981-03-04",6.93,102.86,-66.98,93.38,-0.97,-5.88,-4.54,0.68,0.4,0.37,0.26,0.24,6.19,0,-106.35,93.04,-4,-7.98,-6.09,-0.02,0.39,0.36,0.25,0.24,7.49,384.99,-37.87,93.66,3.99,-3.69,-2.55,1.62,0.4,0.37,0.26,0.24,0,2.08,0
