"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",1.96,39.05,-74.77,94.35,-6.26,-8.49,1.65,1.37,0.35,0.32,0.19,0.22,1.95,0,-93.77,93.41,-9.96,-11.21,-0.87,-0.47,0.35,0.32,0.19,0.22,1.96,182.95,-64.61,94.77,-2.22,-5.78,3.94,4.09,0.36,0.33,0.19,0.22,0,0.28,NA
"1981-01-02",2.02,23.22,-42.89,93.92,-8.97,-12.34,-0.36,-1.28,0.35,0.32,0.19,0.22,1.96,0,-78.71,93.25,-11.51,-15.7,-3.2,-4.41,0.35,0.32,0.19,0.22,2.06,122.91,-10.54,94.34,-4.32,-7.18,4.37,1.96,0.35,0.32,0.19,0.22,0.12,0.64,NA
"1981-01-03",2.06,39.85,-65.01,93.71,-8.26,-12.68,-1.04,0.71,0.35,0.32,0.19,0.22,2.05,0,-104.23,93.44,-12.24,-16.07,-2.61,-1.62,0.35,0.32,0.19,0.22,2.06,207.07,-37.15,94.17,-1.44,-10.32,0.95,2.51,0.35,0.32,0.19,0.22,0,0.56,NA
"1981-01-04",2.04,43.39,-67.52,93.58,-6.9,-12.09,2.19,0.81,0.35,0.32,0.19,0.22,2.01,0,-96.39,93.41,-12.37,-14.13,-0.43,-0.6,0.35,0.32,0.19,0.22,2.06,212.7,-55.84,93.72,-0.55,-9.64,4.45,1.85,0.35,0.32,0.19,0.22,0,0.95,NA
"1981-01-05",2.99,19,-21.19,93.55,-1.5,-3.56,4.19,-1.86,0.35,0.32,0.19,0.22,2.01,0,-60.8,93.35,-5.22,-9.46,3.37,-4.54,0.35,0.31,0.19,0.22,4.56,123.69,3.74,93.88,1.82,-0.47,5.74,-0.1,0.35,0.32,0.19,0.22,2.74,0.54,NA
"1981-01-06",5.42,16.66,-11.6,93.72,-4.76,-6.89,-2.08,0.4,0.35,0.31,0.19,0.22,4.62,0,-22.47,92.59,-6.92,-9.7,-4.41,-2.8,0.35,0.31,0.19,0.22,7.76,85.08,-1.87,94.16,-0.61,-1.55,3.53,4.2,0.35,0.31,0.19,0.22,3.32,0.61,NA
"1981-01-07",10.54,12.45,-13.55,93.17,-5.63,-7.1,1.29,-1.8,0.35,0.31,0.19,0.22,8.63,0,-33.11,92.52,-8.98,-10.37,-3.65,-4.15,0.35,0.31,0.19,0.22,10.96,64.98,3.98,93.61,-2.73,-3.94,3.56,1.01,0.35,0.31,0.19,0.22,3.33,0.3,NA
"1981-01-08",11.54,16.36,-21.52,93.8,-7.93,-9.42,-2.12,-0.5,0.35,0.31,0.19,0.22,10.97,0,-52.55,93.42,-14.41,-16.33,-3.41,-2.15,0.35,0.31,0.19,0.22,12.1,83.55,-2.22,94.53,-5.75,-7.17,-0.16,0.66,0.35,0.31,0.19,0.22,1.21,0.2,NA
"1981-01-09",12.17,16.29,-28.96,94.34,-14.36,-16.89,-3.26,1.87,0.35,0.31,0.19,0.22,12.09,0,-53.42,93.99,-19.09,-21.52,-4.09,-0.2,0.35,0.31,0.19,0.22,12.68,84.47,-0.16,94.62,-8.33,-10.48,-2.06,2.81,0.35,0.31,0.19,0.22,0.64,0.18,NA
"1981-01-10",13.1,19.6,-38.42,94.5,-11.14,-12.82,1.02,0.6,0.35,0.31,0.19,0.22,12.82,0,-74.19,93.9,-14.05,-15.55,-1.59,-1.3,0.35,0.31,0.19,0.22,13.2,98.04,-5.91,94.77,-6.37,-8.74,2.38,2.51,0.35,0.31,0.19,0.22,0.48,0,NA
"1981-01-11",13.24,21.49,-44.93,94.38,-9.54,-12.04,1.64,2.02,0.35,0.3,0.19,0.22,13.21,0,-80.97,93.92,-15.39,-16.56,-0.12,0.81,0.35,0.3,0.19,0.22,13.28,103.26,-18.47,94.69,-1.53,-5.73,3.04,2.9,0.35,0.31,0.19,0.22,0,0,NA
"1981-01-12",13.29,17.82,-42.77,93.58,-6.43,-9.74,2.66,0.06,0.35,0.3,0.19,0.22,13.22,0,-73.78,93.28,-11.06,-13.49,0.9,-2.38,0.35,0.3,0.19,0.22,13.33,83.73,-28.45,93.89,-0.35,-6.06,3.9,1.77,0.35,0.3,0.19,0.22,0,0.17,NA
"1981-01-13",13.28,22.46,-64.94,94.06,-5.29,-7.51,3.48,-0.82,0.35,0.3,0.19,0.22,13.23,0,-80.64,93.74,-9.38,-10.51,2.41,-1.94,0.34,0.3,0.19,0.22,13.32,103.04,-48.86,94.23,-1.37,-4.1,4.24,0,0.35,0.3,0.19,0.22,0,-0.01,NA
"1981-01-14",13.35,22.19,-36.79,94.19,-9.76,-11.31,1.08,-0.58,0.34,0.3,0.2,0.22,13.33,0,-71.29,94.07,-13.34,-14.25,-1.51,-1.33,0.34,0.3,0.19,0.22,13.37,108,-8.28,94.34,-5.68,-8.43,2.99,0.4,0.34,0.3,0.2,0.22,0.02,0.03,NA
"1981-01-15",13.53,13.97,-16.31,94.8,-7.17,-8.33,-1.59,0.87,0.34,0.3,0.2,0.22,13.41,0,-40.57,94.39,-9.67,-10.88,-2.17,-0.7,0.34,0.3,0.2,0.22,13.58,68.17,6.1,95.02,-5.68,-7.02,-0.27,3.62,0.34,0.3,0.2,0.22,0.22,0.08,NA
"1981-01-16",13.64,25.76,-78.57,94.55,-7.63,-10.81,1.56,3.5,0.34,0.3,0.2,0.22,13.57,0,-96.74,94.31,-10.25,-12.56,-0.2,3.09,0.34,0.3,0.2,0.22,13.7,120.49,-50.07,94.9,-3.49,-7.76,2.25,3.71,0.34,0.3,0.2,0.22,0,0.02,NA
"1981-01-17",13.57,26.77,-71.96,93.83,-5.93,-10.34,0.75,4.1,0.34,0.3,0.2,0.22,13.34,0,-94.76,93.36,-12.49,-15.53,-0.11,2.9,0.34,0.3,0.2,0.22,13.7,124.22,-52.13,94.22,0.5,-5.84,1.93,5.27,0.34,0.3,0.2,0.22,0,0.48,NA
"1981-01-18",13.25,28.25,-70.33,93.4,-2.59,-6.19,3.9,1.02,0.34,0.3,0.2,0.22,13.12,0,-88.89,93.26,-5.05,-7.83,2.2,-0.17,0.34,0.3,0.2,0.22,13.35,132.18,-60.05,93.52,0.26,-4.27,4.52,3.5,0.34,0.3,0.2,0.22,0,0.4,NA
"1981-01-19",13.16,29.88,-60.3,93.54,-7,-9.19,1.27,0.29,0.34,0.3,0.2,0.22,13.12,0,-89.11,93.41,-11.43,-12.6,-1.03,-1.3,0.34,0.29,0.2,0.22,13.19,138.49,-37.52,93.63,-1.6,-4.67,3.38,2.64,0.34,0.3,0.2,0.22,0,0.05,NA
"1981-01-20",12.76,30.95,-48.31,93.49,-4.86,-7.3,1.53,1.82,0.35,0.29,0.2,0.22,12.19,0,-73.77,93.38,-12.25,-13.42,-0.48,-0.34,0.34,0.29,0.2,0.22,13.21,141.64,-34.46,93.72,3.3,-0.68,3.1,3.03,0.35,0.3,0.2,0.22,0,0.1,NA
"1981-01-21",11.99,33.56,-49.1,93.79,-4.39,-5.81,0.29,1.15,0.35,0.3,0.2,0.22,11.62,0,-77.99,93.52,-10.27,-10.89,-1.98,-0.45,0.35,0.3,0.2,0.22,12.28,156.05,-28.02,93.95,1.74,-0.72,2.3,2.8,0.36,0.3,0.2,0.22,0,0.06,NA
"1981-01-22",10.98,33.58,-40.02,93.32,-0.73,-2.95,1.19,1.9,0.36,0.3,0.2,0.22,10.05,0,-66.59,92.95,-8.01,-8.67,-0.11,-0.23,0.35,0.3,0.2,0.22,11.69,156.92,-1.99,93.57,4.34,0.88,3.29,3.37,0.37,0.3,0.2,0.22,0,0.17,NA
"1981-01-23",9.4,29.7,-45.54,92.75,1.01,-1.51,2.58,0.29,0.37,0.3,0.2,0.22,8.66,0,-55.62,92.51,-2.16,-3.35,-0.38,-1.51,0.36,0.3,0.2,0.22,10.03,140.43,-26.66,92.88,3.22,-0.32,4.12,1.97,0.38,0.3,0.2,0.22,0,0.36,NA
"1981-01-24",10.16,19.73,-11.28,92.24,-2.51,-3.16,-0.49,-2.9,0.36,0.3,0.2,0.22,8.67,0,-34.47,92.07,-4.81,-5.33,-2.44,-5.78,0.36,0.3,0.2,0.22,14.99,98.34,-1.79,92.41,-0.12,-0.53,2.8,0.69,0.37,0.3,0.2,0.22,6.7,0.28,NA
"1981-01-25",15.59,12.52,-27.3,92.76,-3.23,-4.43,3.5,-2.6,0.36,0.3,0.2,0.22,15.08,0,-65.37,92.44,-6.47,-7.67,2.3,-3.76,0.35,0.3,0.2,0.22,16.49,60.38,0.99,92.99,-1,-2.51,5.14,-1.78,0.36,0.3,0.2,0.22,1.62,0.16,NA
"1981-01-26",16.79,13.19,-22.42,93,-7.12,-8.35,0.14,-1.34,0.35,0.3,0.2,0.22,16.53,0,-39.45,92.86,-9.86,-11.05,-1.72,-1.94,0.35,0.3,0.2,0.22,16.87,58.44,-8.7,93.11,-4.67,-5.73,2.52,-0.1,0.35,0.31,0.2,0.22,0.42,0.05,NA
"1981-01-27",16.9,14.35,-16.11,93.1,-9.02,-10.25,-1.03,-0.11,0.35,0.31,0.2,0.22,16.87,0,-26.35,93,-10.22,-11.32,-2.59,-1.36,0.35,0.3,0.2,0.22,16.93,70.96,-5.02,93.24,-7.64,-8.95,0.02,0.95,0.35,0.31,0.2,0.22,0.14,0.09,NA
"1981-01-28",16.98,21.97,-50.54,93.38,-11.99,-14.04,-3.97,1.98,0.34,0.3,0.2,0.22,16.94,0,-76.82,93.22,-14.25,-17.15,-4.92,0.74,0.34,0.3,0.2,0.22,17.04,102.03,-22.39,93.5,-9.93,-11.72,-2.51,3.32,0.35,0.3,0.2,0.22,0.07,0.03,NA
"1981-01-29",16.95,22.26,-50.66,93.64,-12.22,-15.06,-3.17,3.05,0.34,0.3,0.2,0.22,16.87,0,-73.79,93.46,-15.38,-18.31,-4.45,2.45,0.34,0.3,0.2,0.22,17.02,100.91,-26.46,93.76,-9.08,-11.82,-0.95,3.39,0.34,0.3,0.2,0.22,0.01,0.13,NA
"1981-01-30",16.96,16.77,-20.18,93.62,-9.72,-11.51,1.59,-0.36,0.34,0.3,0.2,0.22,16.86,0,-37.71,93.52,-14.25,-15.76,-0.84,-2.49,0.34,0.3,0.2,0.22,17.45,83.35,-1.43,93.71,-7.68,-9.32,2.73,2.88,0.34,0.3,0.2,0.22,0.69,0.13,NA
"1981-01-31",17.86,16.31,-21.64,93.63,-9.95,-11.63,0.89,-1.89,0.34,0.3,0.2,0.22,17.54,0,-39.02,93.45,-12.13,-13.76,-1.49,-2.8,0.34,0.3,0.2,0.22,18.24,73.17,-10.6,93.85,-8.49,-9.82,2.5,-0.96,0.34,0.3,0.2,0.22,0.88,0.09,NA
"1981-02-01",18.42,21.28,-43.55,94.42,-16.25,-18.34,1.9,-1.98,0.34,0.3,0.2,0.22,18.27,0,-64.87,93.97,-18.31,-20.28,-0.26,-3.38,0.34,0.3,0.2,0.22,18.47,90.4,-19.18,94.67,-13.16,-15.03,3.27,-0.49,0.34,0.3,0.2,0.22,0.22,0,0
"1981-02-02",18.54,21.15,-32.27,94.18,-15.43,-17.48,1.59,0.23,0.34,0.3,0.2,0.22,18.47,0,-63.99,94.06,-18.96,-21.03,0.43,-1,0.34,0.3,0.2,0.22,18.58,95.86,0.54,94.26,-11.48,-13.94,2.95,0.93,0.34,0.3,0.2,0.22,0.15,0.03,0
"1981-02-03",18.64,24.37,-40.13,94.6,-15.02,-16.87,0.92,0.09,0.34,0.3,0.2,0.22,18.6,0,-81.71,94.12,-20.67,-22.65,-0.11,-1.98,0.34,0.3,0.2,0.22,18.67,109.31,-2.64,94.86,-11.19,-13.72,1.82,3.09,0.34,0.3,0.2,0.22,0.09,0.04,0
"1981-02-04",18.81,23.56,-24.89,93.78,-9.05,-10.91,3.95,-0.76,0.34,0.3,0.2,0.22,18.64,0,-85.37,93.56,-20.7,-22.69,1.09,-4.4,0.34,0.3,0.2,0.22,19.17,120.37,-3.82,94.26,-3.53,-5.24,5.28,3.03,0.34,0.3,0.2,0.22,0.75,0.21,0
"1981-02-05",19.35,21.43,-28.69,93.64,-6.25,-8.07,2.52,-0.52,0.34,0.3,0.2,0.22,19.22,0,-46.49,93.07,-10.83,-12.54,0.3,-3.77,0.33,0.3,0.2,0.22,19.47,97.04,-10.11,93.93,-4.68,-6.11,3.71,2.01,0.34,0.3,0.2,0.22,0.36,0.24,0
"1981-02-06",20.02,17.35,-21.17,93.12,-9.92,-11.95,3.83,-3.6,0.33,0.3,0.2,0.22,19.31,0,-60.72,92.83,-15.23,-18.74,1.47,-7.67,0.33,0.3,0.2,0.22,20.99,82.8,1.46,93.86,-7.27,-9.55,5.91,0.88,0.33,0.3,0.2,0.22,1.99,0.31,0
"1981-02-07",21.05,29.54,-58.25,93.87,-22.24,-25.91,1.01,-0.88,0.33,0.3,0.2,0.22,21.01,0,-92.47,92.91,-25.69,-28.92,-2.53,-6.35,0.33,0.3,0.2,0.22,21.26,120.83,-0.89,94.3,-16.03,-19.6,3.34,4.03,0.33,0.3,0.2,0.22,0.34,0.07,0
"1981-02-08",22.71,24.56,-35.75,93.1,-19.5,-22.78,3.01,-2.76,0.33,0.3,0.2,0.22,21.45,0,-70.45,92.51,-21.67,-24.76,-2.51,-6.21,0.33,0.3,0.2,0.22,22.97,110.09,1.02,93.4,-16.76,-19.27,5.19,3.73,0.33,0.3,0.2,0.22,1.86,0.16,0
"1981-02-09",23.05,27.09,-65.84,93.6,-25.37,-29.01,3.59,-2.82,0.33,0.29,0.2,0.22,22.98,0,-75.59,93.3,-29.02,-33.1,1.92,-4.28,0.33,0.29,0.2,0.22,23.1,110.42,-46.68,94.08,-21.73,-24.7,5.06,-1.28,0.33,0.3,0.2,0.22,0.18,0.05,0
"1981-02-10",23.11,31.32,-73.6,93.82,-28.14,-31.74,3.68,0.3,0.33,0.29,0.2,0.22,23.09,0,-90.84,93.59,-31.73,-35.32,2.87,-1.39,0.33,0.29,0.2,0.22,23.13,125.61,-62.15,94.01,-22.7,-26.59,4.3,1.12,0.33,0.29,0.2,0.22,0,0,0
"1981-02-11",23.22,22.16,-35.38,93.44,-25.74,-28.77,-0.56,1.06,0.33,0.29,0.2,0.22,23.11,0,-64.69,93.11,-34.47,-37.13,-2.79,-0.4,0.33,0.29,0.2,0.22,23.44,94.22,12.69,93.72,-17.83,-21.11,2.94,2.18,0.33,0.29,0.2,0.22,0.39,0.07,0
"1981-02-12",23.43,29.04,-44,93.7,-20.54,-23.22,-0.25,1.94,0.33,0.29,0.21,0.22,23.4,0,-75.26,93.37,-29.65,-31.96,-2.16,0.3,0.33,0.29,0.2,0.22,23.45,118.22,-14.78,93.91,-13.43,-16.19,1.48,3.24,0.33,0.29,0.21,0.22,0.01,0.02,0
"1981-02-13",23.4,30.18,-37.35,93.54,-10.38,-12.59,-0.69,2.28,0.33,0.29,0.21,0.22,23.31,0,-65.88,92.77,-22.09,-24.33,-2.85,-0.97,0.33,0.29,0.21,0.22,23.44,127.87,-10.37,93.89,2.92,-0.29,2.87,6.19,0.33,0.29,0.21,0.22,0,0.11,0.01
"1981-02-14",20.11,33.18,-53.02,92.47,2.73,0.31,3.88,3.04,0.38,0.29,0.21,0.22,15.99,0,-74.65,92.18,0.89,-0.81,1.85,0.69,0.34,0.29,0.21,0.22,23.19,134.56,-3.18,92.77,4.09,1.2,5.93,4.44,0.43,0.29,0.21,0.22,0.01,0.17,0.01
"1981-02-15",14.8,49.82,-74.71,92.47,1.29,-1.48,4.1,2.29,0.42,0.3,0.21,0.22,13.14,0,-90.87,92.04,-0.88,-3.09,2.42,0.67,0.41,0.29,0.21,0.22,16.01,196.47,-49.91,92.69,3.55,-0.12,5.41,4.25,0.43,0.31,0.21,0.22,0,0.52,0.01
"1981-02-16",10.88,58.5,-56.59,91.84,3.46,-0.16,3.52,2.42,0.41,0.32,0.21,0.22,8.04,0,-84.34,91.55,1.87,-1.21,-1.04,0,0.39,0.31,0.21,0.22,13.12,242.21,0.94,92.13,6,1.14,6.16,4.35,0.42,0.33,0.21,0.22,0.1,1.02,0.02
"1981-02-17",5.84,77.04,-77.71,92.01,3.66,-1,4.47,1.03,0.4,0.34,0.21,0.22,4.28,0,-99.82,91.45,-2.09,-3.58,2.54,-1.54,0.39,0.33,0.21,0.22,7.75,301.03,-64.07,92.65,8.33,1.09,6.03,3.35,0.41,0.35,0.21,0.22,0,1.62,0.02
"1981-02-18",3.64,69.01,-69,92.4,2.12,-2.7,3.74,1.6,0.38,0.35,0.21,0.22,2.79,0,-89.62,91.99,-2.87,-4.24,2.03,-2.04,0.38,0.35,0.21,0.22,4.32,301.52,-45.78,92.89,8.79,-1.33,5.6,3.8,0.39,0.36,0.21,0.22,0.02,1.69,0.03
"1981-02-19",2.27,68.56,-62.51,92.38,3.22,-3.07,1.38,3.18,0.38,0.36,0.21,0.22,1.32,0,-79.47,91.68,-3.7,-6.38,-1.89,-0.12,0.37,0.36,0.21,0.22,2.79,250.39,-26.39,92.98,9.01,1.81,5.09,5.59,0.38,0.36,0.21,0.22,0.1,2.23,0.04
"1981-02-20",1.06,88.56,-72.62,92.54,2.62,-2.8,4.4,-0.85,0.37,0.36,0.21,0.22,0.81,0,-110.67,91.72,-1.66,-5.6,3.33,-4.32,0.37,0.36,0.21,0.22,1.29,357.72,-31.82,93.26,7.3,-0.57,5.11,3.42,0.38,0.36,0.21,0.22,0.01,2.56,0.06
"1981-02-21",0.7,96.76,-69.56,93.42,1.59,-4.97,3.94,-0.41,0.36,0.36,0.21,0.22,0.56,0,-103.65,93.14,-2.37,-5.92,2.89,-2.82,0.36,0.36,0.21,0.22,0.81,367.3,-27.7,93.64,7.16,-3.65,6.4,1.3,0.37,0.36,0.21,0.22,0.05,2.73,0.11
"1981-02-22",0.48,94.62,-72.35,93.34,1.84,-3.82,2.75,0.86,0.36,0.36,0.21,0.22,0.37,0,-103.09,92.92,-2.68,-4.76,1.59,-0.62,0.36,0.35,0.21,0.22,0.57,379.07,-57.83,93.65,9.14,-2.77,3.72,2.17,0.36,0.36,0.21,0.22,0,1.8,0.19
"1981-02-23",0.33,112.02,-88.3,93.12,0.36,-7.22,1.05,-1.89,0.35,0.35,0.21,0.22,0.27,0,-133.13,92.89,-3.88,-10.36,-2.18,-3.07,0.35,0.35,0.21,0.22,0.37,424.96,-35.52,93.31,5.93,-3.13,3.67,0.17,0.36,0.35,0.21,0.22,0,2.17,0.22
"1981-02-24",0.41,71.34,-48.33,93.32,-3.29,-9.36,-3.31,-0.89,0.35,0.35,0.22,0.22,0.27,0,-80.39,93.07,-5.12,-10.53,-4.25,-1.9,0.35,0.35,0.21,0.22,0.5,280.75,-20.4,93.52,0.13,-8.53,-2.37,-0.34,0.35,0.35,0.22,0.22,0.26,2.14,0.17
"1981-02-25",0.47,103.81,-74.72,93.46,-2.51,-8.69,-4.32,1.76,0.35,0.35,0.22,0.22,0.43,0,-100.22,93.28,-6.82,-9.57,-5.37,-0.82,0.35,0.34,0.22,0.22,0.49,362.31,-27.18,93.62,3.16,-7.75,-2.69,3.5,0.35,0.35,0.22,0.22,0,2.82,0.05
"1981-02-26",0.39,105.41,-74.94,93.31,-1.67,-7.14,-1.76,-0.63,0.35,0.34,0.22,0.22,0.34,0,-111.99,93.19,-5.54,-7.91,-2.69,-3.13,0.34,0.34,0.22,0.22,0.44,392.86,-44.92,93.59,3.48,-6.2,-0.06,2.67,0.35,0.34,0.22,0.22,0.01,1.83,0.02
"1981-02-27",0.42,48.1,-30.6,93.86,-1.94,-5.84,1.11,-1.91,0.34,0.34,0.22,0.22,0.34,0,-45.82,93.62,-4.14,-6.52,-0.33,-3.11,0.34,0.34,0.22,0.22,0.49,174.9,-14.23,94.01,0.55,-5.33,3.79,-0.26,0.34,0.34,0.22,0.22,0.18,1.26,0.01
"1981-02-28",0.44,115.92,-70.8,93.77,-0.26,-5.67,3.02,-0.42,0.34,0.34,0.22,0.22,0.36,0,-127.87,93.61,-3.3,-6.59,1.03,-1.32,0.34,0.34,0.22,0.22,0.52,449.84,-12.59,93.91,5.71,-5.08,4.71,0.41,0.34,0.34,0.22,0.22,0.03,2.27,0.01
