"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",23.93,13.41,-29.14,96.27,-9.78,-11.52,-0.24,0.33,0.38,0.25,0.18,0.23,23.85,0,-54.58,95.26,-12.06,-14.47,-2.26,-2.31,0.38,0.25,0.18,0.23,23.97,74.39,-8.29,96.74,-8.14,-9.56,3.12,3.38,0.38,0.25,0.18,0.23,0.09,-0.04,NA
"1981-01-02",24.06,13.97,-25.64,96.17,-18.66,-21.51,-2.88,-1.7,0.37,0.25,0.18,0.23,23.98,0,-52.58,95.15,-22.15,-25.36,-3.67,-4.54,0.37,0.25,0.18,0.23,24.11,72.52,1.63,96.62,-10.37,-11.46,-1.1,0.72,0.37,0.25,0.18,0.23,0.19,0.1,NA
"1981-01-03",24.12,16.7,-34.86,95.9,-16.55,-19.7,-2.35,1.03,0.37,0.25,0.18,0.23,24.05,0,-64.37,95.58,-21.92,-25.2,-3.12,-0.75,0.37,0.25,0.18,0.23,24.17,86.59,17.16,96.43,-12.15,-15.55,-1.74,2.07,0.37,0.25,0.18,0.23,0.14,0.06,NA
"1981-01-04",24.13,16.49,-34.31,95.43,-11.91,-14.51,1.17,1.58,0.37,0.25,0.18,0.23,24.06,0,-53.43,95.03,-18.38,-20.77,-2.5,-0.89,0.37,0.25,0.18,0.23,24.16,89.8,-12.86,95.81,-4.45,-6.33,3.95,3.23,0.37,0.25,0.18,0.23,0.02,0.04,NA
"1981-01-05",25.02,7.67,-26.19,95.28,-3.94,-5.35,2.33,-2.34,0.36,0.25,0.18,0.23,24.13,0,-58.41,95.07,-6.49,-7.7,0.07,-4.5,0.36,0.25,0.18,0.23,25.88,36.77,2.45,95.79,-1.23,-2.4,3.62,0,0.37,0.25,0.18,0.23,1.76,0,NA
"1981-01-06",25.96,15.38,-31.18,95.94,-13.07,-15.67,-2.63,-0.09,0.36,0.25,0.18,0.23,25.88,0,-63.38,95.05,-17.39,-20.37,-3.81,-4.12,0.36,0.25,0.18,0.23,26.4,75.31,5.95,96.37,-5.32,-7.04,-0.53,2.36,0.36,0.25,0.18,0.23,0.65,0.13,NA
"1981-01-07",28.91,11.68,-18.35,95.21,-14.01,-16.38,0.02,0.08,0.36,0.25,0.18,0.23,26.59,0,-65.9,94.97,-15.72,-18.88,-3.77,-1.61,0.36,0.25,0.18,0.23,29.58,66.78,2.99,95.51,-11.72,-13.85,2.81,0.93,0.36,0.25,0.18,0.23,3.23,0.05,NA
"1981-01-08",29.9,10.85,-26.89,95.98,-14.12,-16.42,-1.24,-1.74,0.36,0.25,0.18,0.23,29.59,0,-69.92,95.44,-21.46,-23.87,-2.98,-3.22,0.36,0.25,0.18,0.23,30.09,59.42,2.15,96.82,-11.8,-13.43,1.71,0.59,0.36,0.25,0.18,0.23,0.56,0.05,NA
"1981-01-09",30.14,13.81,-35.58,96.68,-24.58,-27.52,-2.24,1.26,0.35,0.25,0.18,0.23,30.1,0,-69.19,96.31,-31.3,-34,-3.17,-0.41,0.35,0.25,0.18,0.23,30.42,70.83,16.9,96.9,-17,-20.03,-1.65,2.33,0.36,0.25,0.18,0.23,0.31,-0.01,NA
"1981-01-10",30.61,11.52,-20.65,96.55,-15.89,-18.3,-0.43,1.54,0.35,0.25,0.18,0.23,30.5,0,-55.31,96.23,-19.93,-22.68,-2.48,-0.41,0.35,0.25,0.18,0.23,30.65,60.34,4.74,96.74,-11.83,-13.69,1.46,2.99,0.35,0.25,0.18,0.23,0.25,0.02,NA
"1981-01-11",30.71,15.29,-39.18,96.27,-13.69,-15.58,2.15,2.07,0.35,0.25,0.18,0.23,30.65,0,-57.89,95.75,-17.36,-19.36,1.22,0.59,0.35,0.25,0.18,0.23,30.76,76.62,-21.08,96.58,-9.27,-11.26,2.96,3.16,0.35,0.25,0.18,0.23,0.01,-0.1,NA
"1981-01-12",30.78,14.06,-32.1,95.4,-10.41,-12.99,2.56,0.36,0.35,0.25,0.18,0.23,30.76,0,-59.82,95.16,-15.7,-17.97,1.75,-1.44,0.35,0.25,0.18,0.23,30.8,69.41,1.69,95.66,-5.46,-8.14,3.8,1.76,0.35,0.25,0.18,0.23,0.02,-0.03,NA
"1981-01-13",30.9,17.39,-59.41,95.77,-6.52,-8.82,3.39,-1.71,0.35,0.25,0.18,0.23,30.81,0,-79.65,95.4,-10.01,-11.76,2.48,-2.66,0.35,0.25,0.18,0.23,30.99,85.44,-46.36,96.05,-2.28,-4.77,4.3,-0.55,0.35,0.25,0.18,0.23,0,-0.18,NA
"1981-01-14",31.03,12.25,-15.94,96.18,-7.99,-9.19,-0.11,-1.46,0.35,0.25,0.18,0.23,30.99,0,-39.01,95.92,-11.72,-12.72,-1.83,-2.2,0.35,0.25,0.18,0.23,31.15,65.6,17.78,96.44,-4.25,-5.64,1.7,-0.54,0.35,0.25,0.18,0.23,0.15,-0.02,NA
"1981-01-15",31.28,14.87,-20.83,96.87,-7.96,-9.08,-0.67,1.22,0.34,0.25,0.18,0.23,31.2,0,-71.89,96.5,-9.47,-10.45,-3.05,-1.41,0.34,0.25,0.18,0.23,31.32,81.21,-2.84,97.04,-5.75,-6.62,2.8,4.7,0.35,0.25,0.18,0.23,0.17,0.01,NA
"1981-01-16",31.41,19.72,-59.08,96.37,-9.61,-11.74,3.03,3.65,0.34,0.25,0.18,0.23,31.33,0,-79.64,96.09,-11.69,-13.81,2.45,3.03,0.34,0.25,0.18,0.23,31.47,95.07,-4.91,96.83,-7.84,-9.96,3.78,4.22,0.34,0.25,0.18,0.23,0.03,-0.12,NA
