"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",0.93,47.44,-82.64,92.45,-4.69,-7.44,1.65,1.42,0.35,0.33,0.2,0.23,0.93,0,-106.84,91.67,-7.14,-8.69,-0.23,-1.17,0.35,0.33,0.2,0.23,0.93,216.75,-71.49,92.77,-0.24,-6.23,3.02,4.71,0.35,0.33,0.2,0.23,0,0.37,NA
"1981-01-02",0.95,23.78,-45.7,91.81,-6.29,-9.28,0.59,-1.2,0.35,0.33,0.2,0.23,0.93,0,-80.69,91.33,-8.62,-12.54,-2.55,-6.28,0.34,0.32,0.2,0.23,0.97,108.8,-17.18,92.24,-3.96,-6.31,4,4.34,0.35,0.33,0.2,0.23,0.06,0.69,NA
"1981-01-03",0.97,47.74,-66.97,91.76,-5.65,-10.47,1.3,2.14,0.34,0.32,0.2,0.23,0.96,0,-96.82,91.49,-9.44,-12.76,-0.69,-0.81,0.34,0.32,0.2,0.23,0.99,233.25,-29.79,92.14,1.02,-8.39,2.83,4.37,0.34,0.32,0.2,0.23,0.01,1.03,NA
"1981-01-04",0.96,51.89,-81.33,91.66,-4.86,-11.15,2.06,0.9,0.34,0.32,0.2,0.23,0.95,0,-114.72,91.49,-10.39,-13.37,0.54,-1.06,0.34,0.32,0.2,0.23,0.96,246.3,-66.94,91.82,2.3,-9.34,3.57,2.23,0.34,0.32,0.2,0.23,0,0.98,NA
"1981-01-05",1.16,37.51,-41.3,91.58,-1.06,-5.85,3.91,-3.01,0.34,0.32,0.2,0.23,0.94,0,-94.93,91.43,-3.85,-12.04,2.96,-5.57,0.34,0.32,0.2,0.23,1.83,209.57,-4.48,91.86,3.43,-1.78,6.27,-1,0.34,0.32,0.2,0.23,0.97,1.39,NA
"1981-01-06",2.49,21.57,-16.51,91.75,-2.39,-4.29,0.43,0.35,0.34,0.32,0.21,0.23,1.94,0,-27.73,90.84,-3.53,-5.57,-2.17,-2.93,0.34,0.32,0.21,0.23,2.95,106.71,-5.05,92.1,-1.1,-2.03,3.93,6.21,0.34,0.32,0.21,0.23,1.18,0.55,NA
"1981-01-07",4.06,16.33,-19.39,91.15,-2.15,-4.34,3.19,-2.65,0.34,0.31,0.21,0.23,3.19,0,-42.87,90.5,-4.46,-5.49,0.36,-5.41,0.33,0.31,0.21,0.23,4.51,90.87,-3.62,91.63,0.25,-2.58,7.45,5.51,0.34,0.31,0.21,0.23,1.73,0.81,NA
"1981-01-08",4.72,25.69,-22.51,91.7,-4.95,-7.16,-0.9,-0.5,0.33,0.31,0.21,0.23,4.52,0,-45.25,91.44,-9.25,-12.18,-3,-2.44,0.33,0.31,0.21,0.23,4.93,133.44,-8.13,92.3,-1.73,-5.47,0.95,1.32,0.33,0.31,0.21,0.23,0.48,0.47,NA
"1981-01-09",4.92,28.23,-33.31,92.31,-9.03,-13.19,-1.94,2.51,0.33,0.31,0.21,0.23,4.87,0,-56.1,92.06,-12,-15.22,-3.32,-1.9,0.33,0.31,0.21,0.23,4.94,131.09,-16.19,92.49,-5.71,-10.58,-0.62,4.3,0.33,0.31,0.21,0.23,0.16,0.93,NA
"1981-01-10",5.29,38.28,-60.43,92.49,-5.19,-7.61,2.12,-0.22,0.33,0.31,0.21,0.23,5.01,0,-92.24,91.78,-8.73,-10.1,0.87,-4,0.33,0.31,0.21,0.23,5.35,178.35,-32.47,92.89,-0.48,-5.03,3.63,2.55,0.33,0.31,0.21,0.23,0.38,0.27,NA
"1981-01-11",5.34,46.05,-78.91,92.55,-3.37,-6.6,1.71,3.1,0.33,0.31,0.21,0.23,5.28,0,-108.51,92.09,-7.07,-8.72,0.96,1.93,0.33,0.31,0.21,0.23,5.41,215.06,-60.76,92.81,2.8,-3.61,3,4.12,0.33,0.31,0.21,0.23,0,0.47,NA
"1981-01-12",5.17,41.25,-59.23,91.65,-1.12,-9.57,2.75,0.53,0.33,0.31,0.21,0.23,4.94,0,-92.52,91.41,-5.3,-11.6,0.84,-4.15,0.33,0.3,0.21,0.23,5.31,208.07,-34.3,91.99,4.82,-7.6,3.86,2.78,0.33,0.31,0.21,0.23,0,1.3,NA
"1981-01-13",4.82,47.24,-78.23,92.08,-1.96,-6.44,2.82,-2.53,0.33,0.3,0.21,0.23,4.69,0,-96.8,91.71,-4.47,-9.08,1.89,-4.28,0.33,0.3,0.21,0.23,4.93,218,-63.99,92.25,3.59,-4.68,3.67,-1.52,0.33,0.3,0.21,0.23,0,0.89,NA
"1981-01-14",4.67,45.19,-61.89,92.14,-3.87,-6.57,0.63,-1.27,0.33,0.3,0.21,0.23,4.6,0,-89.65,92.09,-7.02,-7.95,-1.48,-2.39,0.33,0.3,0.21,0.23,4.73,218.16,-39.89,92.24,1.08,-5.12,2.5,-0.18,0.33,0.3,0.21,0.23,0,0.33,NA
"1981-01-15",4.82,30.48,-31.02,92.7,-6.22,-8.71,-1.69,-0.53,0.33,0.3,0.21,0.23,4.62,0,-67.24,92.25,-8.91,-11.32,-2.17,-1.62,0.33,0.3,0.21,0.23,4.89,155.1,0.65,93.02,-4.15,-7.66,-0.28,2.36,0.33,0.3,0.21,0.23,0.29,0.52,NA
"1981-01-16",4.81,52.84,-85.62,92.71,-6.98,-11.04,1.53,4.02,0.33,0.3,0.21,0.23,4.74,0,-113.38,92.51,-10.11,-12.11,-0.17,2.41,0.33,0.3,0.21,0.23,4.88,240.73,-51.8,92.96,-2.41,-10.02,2.4,4.97,0.33,0.3,0.21,0.23,0.01,0.83,NA
