"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",0.36,46.98,-83.75,92.48,-4.42,-7.05,1.96,1.24,0.34,0.32,0.18,0.22,0.36,0,-105.97,91.62,-7.38,-8.76,-0.78,-1.21,0.34,0.32,0.18,0.22,0.36,222.77,-73.65,92.85,-0.19,-5.12,3.62,4.15,0.34,0.33,0.18,0.22,0,0.41,NA
"1981-01-02",0.38,23.76,-49.62,91.94,-6.68,-10.02,0.71,-1.26,0.34,0.32,0.18,0.22,0.36,0,-80.76,91.41,-9.62,-13.11,-2.93,-4.88,0.34,0.32,0.18,0.22,0.41,112.66,-17.27,92.33,-3.1,-5.83,4.73,2.73,0.34,0.32,0.19,0.22,0.05,0.73,NA
"1981-01-03",0.4,45.23,-71.87,91.79,-5.18,-10.92,1.01,1.02,0.34,0.32,0.19,0.22,0.39,0,-109.27,91.54,-10.22,-13.44,-1.75,-2.34,0.33,0.32,0.19,0.22,0.41,228.14,-44.67,92.17,3.89,-9.88,2.61,3.87,0.34,0.32,0.19,0.22,0,1.03,NA
"1981-01-04",0.39,50.11,-83.03,91.72,-4.01,-11.65,2.9,-0.15,0.33,0.32,0.19,0.22,0.38,0,-114.55,91.58,-9.4,-12.86,1.66,-1.73,0.33,0.31,0.19,0.22,0.4,241.47,-67.06,91.84,3.75,-10.45,4.58,1.58,0.33,0.32,0.19,0.22,0,1.36,NA
"1981-01-05",0.72,35.44,-41.18,91.71,-1.19,-5.55,4.86,-3.08,0.33,0.31,0.19,0.22,0.37,0,-86.09,91.56,-3.26,-10.68,3.85,-5.14,0.33,0.31,0.19,0.22,1.55,221.07,-5.49,92.02,2.47,-1.21,7.01,-1.76,0.33,0.31,0.19,0.22,1.22,1.59,NA
"1981-01-06",2.21,22.6,-15.79,91.79,-2.66,-4.61,0,0.93,0.33,0.31,0.19,0.22,1.61,0,-30.62,90.77,-3.56,-6.28,-3.28,-2.73,0.33,0.31,0.19,0.22,3.28,108.39,-4.25,92.18,-1.38,-2.54,3.91,5.68,0.33,0.31,0.19,0.22,1.79,0.65,NA
"1981-01-07",4.49,20.62,-21.44,91.26,-2.11,-4.27,4.16,-3.31,0.33,0.31,0.19,0.22,3.61,0,-49.03,90.55,-4.09,-5.53,1.05,-5.71,0.33,0.31,0.19,0.22,4.7,111.34,-7.46,91.71,0.33,-2.43,7.47,3.02,0.33,0.31,0.19,0.22,1.62,0.94,NA
"1981-01-08",4.94,28.7,-28.94,91.8,-5.15,-7.16,-1.46,-0.1,0.33,0.31,0.19,0.22,4.71,0,-63.17,91.5,-10.31,-12.99,-3.52,-2.02,0.32,0.31,0.19,0.22,5.22,156.56,-9.01,92.43,-1.97,-5.33,0.51,1.32,0.33,0.31,0.19,0.22,0.56,0.43,NA
"1981-01-09",5.21,26.35,-31.67,92.32,-9.01,-12.76,-2.26,2.95,0.32,0.31,0.19,0.22,5.17,0,-56.5,92.05,-13.45,-16.36,-3.72,-0.36,0.32,0.3,0.19,0.22,5.24,138,-11.77,92.56,-5.06,-9.72,0.08,4.15,0.32,0.31,0.19,0.22,0.15,0.89,NA
"1981-01-10",5.57,39.53,-63.25,92.57,-5.26,-8.15,2.59,-0.45,0.32,0.3,0.19,0.22,5.42,0,-96.74,91.89,-9.62,-11.28,1.63,-3.19,0.32,0.3,0.19,0.22,5.6,191.42,-30.19,92.9,0.6,-5.12,3.65,2.06,0.32,0.3,0.19,0.22,0.36,0.34,NA
