"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",3.91,22.14,-41.1,95.5,-7.31,-9.44,1.23,0.32,0.37,0.29,0.19,0.23,3.85,0,-71.35,94.56,-8.65,-10.73,-1.41,-2.76,0.37,0.29,0.19,0.23,3.94,120.84,-14.54,95.91,-6.1,-8.36,3.77,4.2,0.37,0.29,0.19,0.23,0.09,0.27,NA
"1981-01-02",3.97,31.67,-50.12,95.15,-12.94,-17.27,-1.48,-1.54,0.37,0.29,0.19,0.23,3.94,0,-67.72,94.27,-16.73,-22.27,-3.36,-4.74,0.37,0.29,0.19,0.23,4.01,160.6,-22.07,95.7,-7.16,-9.38,3.33,2.55,0.37,0.29,0.19,0.23,0.06,0.51,NA
"1981-01-03",3.93,33.5,-50.7,95.09,-13.67,-18.83,-2.44,2.11,0.37,0.29,0.19,0.23,3.9,0,-78.48,94.73,-17.29,-22.88,-3.1,1.15,0.37,0.29,0.19,0.23,3.96,177.48,-17.38,95.6,-8.58,-15.3,-1.7,3.27,0.37,0.29,0.19,0.23,0.01,0.57,NA
"1981-01-04",3.89,37.49,-55.23,94.72,-9.46,-13.85,0.78,1.82,0.37,0.29,0.19,0.23,3.85,0,-84.94,94.3,-14.63,-18.24,-2.55,-1.61,0.37,0.29,0.19,0.23,3.91,186.6,-18.48,95.04,-4.26,-7.09,4.46,3.79,0.37,0.29,0.19,0.23,0,0.51,NA
"1981-01-05",5.1,13.07,-28.15,94.46,-3.13,-4.38,3.31,-2.68,0.37,0.28,0.19,0.23,3.85,0,-60.01,94.22,-5.63,-7.4,1.78,-4.99,0.37,0.28,0.19,0.23,6.72,80.2,-4.63,94.88,-0.39,-1.17,4.46,-0.61,0.37,0.29,0.19,0.23,2.91,0.07,NA
"1981-01-06",6.97,31.59,-44.71,95.09,-11.38,-14.88,-2.23,-0.26,0.37,0.28,0.19,0.23,6.79,0,-95.54,94.27,-15.23,-19.58,-3.67,-4.23,0.37,0.28,0.19,0.23,7.67,158.6,5.76,95.52,-3.08,-4.35,0.85,3.42,0.37,0.28,0.19,0.23,1.04,0.48,NA
"1981-01-07",12.2,10.09,-17.61,94.37,-13.44,-15.57,-0.18,0.42,0.37,0.28,0.19,0.23,8.54,0,-54.02,94.05,-15.29,-17.5,-4.28,-1.62,0.37,0.28,0.19,0.23,13.05,54.88,6.89,94.73,-11.63,-13.89,3.15,2.1,0.37,0.28,0.19,0.23,5.43,0.07,NA
"1981-01-08",13.28,10.68,-27.48,95.06,-13.38,-15.54,-0.43,-1.95,0.37,0.28,0.19,0.23,13.06,0,-71.7,94.64,-22,-24.68,-2.63,-3.15,0.37,0.28,0.19,0.23,13.55,58.6,0.81,95.87,-9.84,-11.92,2.32,-0.55,0.37,0.28,0.19,0.23,0.53,0.03,NA
"1981-01-09",13.57,13.42,-41.27,95.83,-22.79,-25.69,-2.31,1.64,0.37,0.28,0.19,0.23,13.56,0,-69.7,95.5,-29.38,-31.33,-3.11,-1.64,0.37,0.28,0.19,0.23,13.64,65.22,0.4,96.03,-17.02,-20.18,-1.53,3.35,0.37,0.28,0.19,0.23,0.09,0.02,NA
"1981-01-10",14.11,12.13,-23,95.77,-15.4,-17.57,-0.9,1.9,0.37,0.28,0.19,0.23,13.84,0,-54.24,95.32,-20.7,-22.85,-2.78,0.31,0.37,0.28,0.19,0.23,14.15,58.45,16.61,96.01,-11.83,-13.79,0.89,2.81,0.37,0.28,0.19,0.23,0.52,0.03,NA
