"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",4.15,28.28,-51.64,95.01,-7.11,-10,1.82,-0.27,0.38,0.31,0.24,0.27,4.1,0,-82.45,94.26,-8.21,-11.84,-1.44,-3.29,0.38,0.31,0.24,0.27,4.19,149.72,-12.21,95.3,-5.61,-8.57,3.85,2.97,0.38,0.31,0.24,0.27,0.08,0.43,NA
"1981-01-02",4.17,38.83,-64.86,94.55,-12.27,-16.82,-1.6,-0.7,0.38,0.31,0.24,0.27,4.14,0,-94.84,93.75,-17.79,-23.63,-4.05,-3.69,0.38,0.31,0.24,0.27,4.21,193.72,-39.69,95.2,-6.79,-8.82,2.75,3.44,0.38,0.31,0.24,0.27,0.02,0.6,NA
"1981-01-03",4.15,28.7,-49.57,94.72,-15.24,-20.73,-2.51,2.47,0.38,0.31,0.24,0.27,4.14,0,-74.57,94.37,-18.67,-24.31,-3.75,1.35,0.38,0.31,0.24,0.27,4.2,142.68,9.81,95.17,-10.39,-17.19,-1.44,3.44,0.38,0.31,0.24,0.27,0.07,0.66,NA
"1981-01-04",4.1,40.13,-57.6,94.34,-11.14,-16.22,-0.05,2.89,0.38,0.31,0.24,0.27,4.05,0,-82.72,93.79,-15.93,-20.55,-3.34,-0.79,0.38,0.31,0.24,0.27,4.14,193.32,-29.04,94.71,-5.92,-10.84,4.15,4.65,0.38,0.31,0.24,0.27,0,0.68,NA
"1981-01-05",5.49,17.78,-30.79,93.87,-4.32,-5.65,3.34,-2.2,0.38,0.31,0.24,0.27,4.05,0,-57.24,93.63,-7.28,-10.26,2.27,-4.68,0.38,0.31,0.24,0.27,7.95,114.7,-7.83,94.21,-1.03,-1.75,4.21,-0.62,0.38,0.31,0.24,0.27,3.91,0.06,NA
"1981-01-06",8.15,33.89,-54.8,94.58,-12.72,-16,-1.35,-0.79,0.38,0.3,0.24,0.27,8.01,0,-101.45,94,-18.48,-21.88,-3.1,-4.39,0.38,0.3,0.24,0.27,8.21,164.55,0.02,94.97,-3.78,-4.88,2.06,3.31,0.38,0.31,0.24,0.27,0.32,0.39,NA
"1981-01-07",12.6,9.11,-9.01,93.87,-14.82,-17.14,-1.06,1.39,0.38,0.3,0.24,0.27,8.62,0,-61.19,93.54,-17.86,-19.51,-4.08,-0.66,0.38,0.3,0.24,0.27,13.58,46.77,8.5,94.2,-12.63,-15.33,2.92,2.79,0.38,0.3,0.24,0.27,5.5,0.17,NA
"1981-01-08",13.73,11.95,-29.42,94.45,-13.34,-15.51,0.65,-1.82,0.38,0.3,0.24,0.27,13.59,0,-73.62,94.07,-20.42,-22.93,-2.13,-2.9,0.38,0.3,0.24,0.27,13.88,66.06,-0.9,95.23,-10.28,-12.91,3.06,-0.26,0.38,0.3,0.24,0.27,0.33,0.03,NA
"1981-01-09",13.89,14.91,-51.48,95.36,-22.03,-25.24,-1.75,1.48,0.38,0.3,0.24,0.27,13.88,0,-72.61,95.12,-26.7,-29.08,-2.55,-1.63,0.38,0.3,0.24,0.27,13.9,69.37,-33.11,95.59,-18.37,-22.64,-0.53,3.32,0.38,0.3,0.24,0.27,0.01,0.01,NA
"1981-01-10",14.99,11.85,-8.95,95.32,-14.28,-16.82,-1.2,1.87,0.38,0.3,0.24,0.27,14.2,0,-43.04,94.83,-16.93,-19.95,-2.8,0.21,0.38,0.3,0.24,0.27,15.11,64.41,25.63,95.64,-11.27,-13.37,0.43,3.12,0.38,0.3,0.24,0.27,1.28,0.15,NA
"1981-01-11",15.08,15.92,-50.53,95.14,-8.58,-10.69,1.99,1.99,0.38,0.3,0.24,0.27,15.02,0,-80.44,94.51,-13.24,-14.61,0.41,0.81,0.38,0.3,0.24,0.27,15.17,78.79,-10.74,95.51,-3.23,-6.79,3.37,2.95,0.38,0.3,0.24,0.27,0.01,-0.13,NA
"1981-01-12",15.24,16.87,-42.09,94.11,-7.17,-9.78,2.55,-0.4,0.38,0.3,0.24,0.27,15.19,0,-67.74,93.83,-10.94,-13.07,1.57,-2.05,0.38,0.3,0.24,0.27,15.29,80.76,2.8,94.43,-2.79,-6.66,3.66,0.83,0.38,0.3,0.24,0.27,0.09,-0.06,NA
"1981-01-13",15.34,17.79,-65.25,94.39,-6.43,-8.55,3.83,-1.9,0.38,0.3,0.24,0.27,15.27,0,-82.91,93.99,-9.24,-11.49,2.88,-2.5,0.38,0.3,0.24,0.27,15.41,83.16,-26.55,94.66,-2.31,-5.03,4.46,-1.16,0.38,0.3,0.24,0.27,0,-0.1,NA
"1981-01-14",15.49,15.71,-34.55,94.75,-7.8,-9.17,1.42,-1.6,0.38,0.3,0.24,0.27,15.43,0,-66.18,94.55,-12.17,-13.44,-0.35,-2.05,0.38,0.3,0.24,0.27,15.56,82.07,-7.36,94.97,-3.52,-5.48,2.7,-1.05,0.38,0.3,0.24,0.27,0.08,-0.06,NA
