"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",3.79,28.86,-53.38,95.17,-7.2,-10.23,1.89,-0.38,0.38,0.32,0.24,0.27,3.75,0,-86.46,94.44,-8.54,-12.14,-1.26,-3.48,0.38,0.32,0.24,0.27,3.84,148.22,-11.88,95.43,-5.75,-8.58,3.93,3.13,0.38,0.32,0.24,0.27,0.08,0.55,NA
"1981-01-02",3.82,38.83,-64.58,94.7,-12.57,-16.99,-1.55,-0.77,0.38,0.32,0.24,0.27,3.79,0,-93.91,93.9,-18.22,-23.97,-4.07,-3.95,0.38,0.32,0.24,0.27,3.85,193.95,-39.35,95.37,-6.91,-8.92,2.57,3.62,0.38,0.32,0.24,0.27,0.03,0.67,NA
"1981-01-03",3.82,27.78,-48.73,94.91,-15.81,-21.18,-2.21,2.49,0.38,0.32,0.24,0.27,3.79,0,-71.46,94.56,-19.04,-24.59,-3.49,1.22,0.38,0.32,0.24,0.27,3.87,144.13,10.25,95.34,-10.97,-17.5,-1.14,3.38,0.38,0.32,0.24,0.27,0.09,0.67,NA
"1981-01-04",3.78,40.61,-56.71,94.52,-11.53,-16.6,0.09,3.04,0.38,0.31,0.24,0.27,3.73,0,-80.95,93.92,-16.31,-20.94,-3.07,-0.74,0.38,0.31,0.24,0.27,3.82,195.01,-25.11,94.9,-5.82,-10.96,4.2,4.73,0.38,0.31,0.24,0.27,0,0.78,NA
"1981-01-05",5.26,19.38,-32.12,93.99,-4.4,-5.8,3.34,-2.27,0.38,0.31,0.24,0.27,3.73,0,-58.48,93.76,-7.28,-10.52,2.19,-4.79,0.38,0.31,0.24,0.27,8.02,122.14,-7.48,94.32,-1.11,-2.02,4.28,-0.69,0.38,0.31,0.24,0.27,4.31,0.13,NA
"1981-01-06",8.24,33.62,-55.59,94.74,-13.18,-16.34,-1.22,-0.9,0.38,0.31,0.24,0.27,8.08,0,-100.04,94.21,-19.4,-22.56,-2.76,-4.41,0.38,0.31,0.24,0.27,8.28,160.05,0.63,95.13,-4.07,-5.2,1.99,3.43,0.38,0.31,0.24,0.27,0.3,0.41,NA
"1981-01-07",12.49,9.17,-8.64,94.04,-15.15,-17.54,-1,1.58,0.38,0.31,0.24,0.27,8.57,0,-53.46,93.72,-17.94,-19.75,-3.75,-0.6,0.38,0.31,0.24,0.27,13.53,47.19,9.4,94.35,-13.16,-15.8,2.9,2.82,0.38,0.31,0.24,0.27,5.37,0.18,NA
"1981-01-08",13.67,12.73,-30.24,94.59,-13.46,-15.58,0.7,-1.84,0.38,0.31,0.24,0.27,13.54,0,-74.49,94.21,-20.45,-22.92,-2.17,-2.86,0.38,0.31,0.24,0.27,13.8,69.36,-1.95,95.38,-10.49,-12.91,3.09,-0.23,0.38,0.31,0.24,0.27,0.29,0.04,NA
"1981-01-09",13.82,15.69,-53.14,95.54,-22.25,-25.48,-1.49,1.38,0.38,0.31,0.24,0.27,13.81,0,-73.67,95.31,-26.9,-29.16,-2.19,-1.85,0.38,0.31,0.24,0.27,13.83,74.3,-35.06,95.77,-18.48,-22.8,-0.29,3.4,0.38,0.31,0.24,0.27,0,0.01,NA
"1981-01-10",15.02,12.73,-8.38,95.49,-14.66,-17.16,-1.02,1.86,0.38,0.31,0.24,0.27,14.12,0,-43.66,95,-17.35,-20.43,-2.71,0.14,0.38,0.31,0.24,0.27,15.16,68.75,24.99,95.82,-11.47,-13.66,0.71,3.25,0.38,0.31,0.24,0.27,1.4,0.16,NA
