"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",4.03,32.67,-56.95,95.35,-7.98,-11.93,1.53,-0.82,0.36,0.31,0.23,0.26,4,0,-89.09,94.71,-10.29,-14.63,-1.81,-4.11,0.36,0.31,0.23,0.26,4.07,163.46,-13.57,95.61,-6.39,-8.9,4.06,3.27,0.36,0.31,0.23,0.26,0.08,0.72,NA
"1981-01-02",4.06,35.87,-59.48,94.92,-13.88,-18.25,-1.82,-0.79,0.36,0.31,0.23,0.26,4.03,0,-88.59,94.13,-19.57,-24.95,-4.15,-3.45,0.36,0.31,0.23,0.26,4.1,185.26,-27.36,95.61,-7.91,-9.81,0.92,3.78,0.36,0.31,0.23,0.26,0.09,0.6,NA
"1981-01-03",4.15,22.89,-42.71,95.22,-17.54,-22.92,-1.88,2.26,0.36,0.31,0.23,0.26,4.07,0,-64.36,94.89,-20.34,-25.46,-3.2,0.75,0.36,0.31,0.23,0.26,4.24,116.71,13.6,95.59,-13.41,-19.73,-0.63,3.02,0.36,0.31,0.23,0.26,0.2,0.53,NA
"1981-01-04",4.17,40.79,-54.15,94.78,-12.53,-17.73,0.02,3.21,0.36,0.31,0.23,0.26,4.11,0,-76.32,94.06,-17.44,-22.12,-3.01,0.16,0.36,0.31,0.23,0.26,4.21,198.18,-18.41,95.2,-5.83,-10.89,4.01,4.63,0.36,0.31,0.23,0.26,0,0.8,NA
"1981-01-05",5.48,22.67,-33.82,94.11,-4.73,-6.35,3.06,-1.98,0.36,0.31,0.23,0.26,4.11,0,-56.51,93.91,-7.47,-10.99,1.68,-4.43,0.36,0.31,0.23,0.26,8.44,136.52,-5.92,94.43,-0.93,-2.62,3.92,-0.6,0.36,0.31,0.23,0.26,4.37,0.19,NA
"1981-01-06",8.65,33.06,-57.69,94.96,-15.13,-18.09,-0.75,-1.47,0.36,0.31,0.23,0.26,8.46,0,-98.35,94.53,-22.61,-25.42,-2.51,-4.77,0.36,0.31,0.23,0.26,8.69,156.06,-3.41,95.32,-5.65,-7.16,1.58,3.23,0.36,0.31,0.23,0.26,0.26,0.32,NA
"1981-01-07",11.47,9.21,-9.79,94.29,-16.34,-19.12,-1.01,1.91,0.36,0.31,0.23,0.26,8.7,0,-56.8,94.02,-18.73,-21.19,-3.49,0.14,0.36,0.31,0.23,0.26,12.55,46.62,7.33,94.53,-14.12,-17.06,2.76,2.73,0.36,0.31,0.23,0.26,3.99,0.2,NA
"1981-01-08",12.65,14.89,-33.8,94.76,-14.22,-16.53,0.99,-1.9,0.36,0.31,0.23,0.26,12.55,0,-73.38,94.39,-21.34,-23.76,-1.3,-3.14,0.36,0.31,0.23,0.26,12.72,77.05,-0.87,95.56,-10.68,-13.41,2.86,0.42,0.36,0.31,0.23,0.26,0.19,0.06,NA
"1981-01-09",12.74,20.7,-55.72,95.78,-22.91,-26.2,-0.66,0.76,0.36,0.3,0.23,0.26,12.72,0,-78.85,95.6,-25.14,-27.99,-1.54,-2.56,0.36,0.3,0.23,0.26,12.74,101.5,-34.13,96.01,-17.89,-22.81,0.93,3.15,0.36,0.31,0.23,0.26,0.01,0.01,NA
"1981-01-10",13.51,18.99,-21.99,95.74,-16.4,-19.4,-0.68,1.76,0.36,0.3,0.23,0.26,12.82,0,-72.48,95.29,-21.58,-24.97,-2.48,0.51,0.36,0.3,0.23,0.26,13.62,96.63,24.35,96.08,-12.71,-15.02,1.37,2.87,0.36,0.3,0.23,0.26,0.91,0.1,NA
"1981-01-11",13.6,21.88,-48.05,95.5,-8.11,-10.31,2.63,1.79,0.36,0.3,0.24,0.26,13.58,0,-82.88,94.81,-12.75,-14.98,1.17,1.07,0.36,0.3,0.23,0.26,13.67,104.22,8.48,95.93,-4.52,-7.2,3.79,2.82,0.36,0.3,0.24,0.26,0.02,0.02,NA
"1981-01-12",13.68,23.78,-50.32,94.41,-6.11,-8.91,2.87,-0.31,0.36,0.3,0.24,0.26,13.64,0,-74.2,94.15,-9.14,-11.77,1.85,-1.52,0.36,0.3,0.24,0.26,13.72,111.5,-11.87,94.7,-3.09,-6.76,4.18,0.67,0.36,0.3,0.24,0.26,0.09,0.18,NA
"1981-01-13",13.66,24.78,-64.22,94.59,-5.52,-7.85,3.76,-2.01,0.36,0.3,0.24,0.26,13.59,0,-85.55,94.2,-8.53,-11,2.62,-2.98,0.36,0.3,0.24,0.26,13.71,114.91,-1.62,94.88,-2.18,-4.93,4.54,-0.5,0.36,0.3,0.24,0.26,0.02,0.17,NA
"1981-01-14",13.84,16.73,-27.85,95.03,-5.62,-6.93,1.37,-1.98,0.36,0.3,0.24,0.26,13.7,0,-56.59,94.83,-7.77,-9.14,-1.32,-2.52,0.36,0.3,0.24,0.26,14.02,94.6,-10.53,95.28,-3,-4.67,2.5,-1.55,0.36,0.3,0.24,0.26,0.34,0.07,NA
"1981-01-15",14.17,23.91,-51.95,95.87,-13.43,-15.66,-0.64,-0.93,0.36,0.3,0.24,0.26,14.08,0,-74.07,95.31,-22.91,-24.28,-2.53,-2.18,0.36,0.3,0.24,0.26,14.21,114.87,-20.14,96.17,-6.24,-7.15,2.16,1.9,0.36,0.3,0.24,0.26,0.14,0.05,NA
"1981-01-16",14.18,24.72,-52.72,95.73,-14.01,-16.43,3.29,2.11,0.36,0.3,0.24,0.26,14.15,0,-87.2,95.41,-22.77,-24.14,2.03,1.72,0.36,0.3,0.24,0.26,14.22,115.2,-25.51,96.09,-7.66,-10.86,4.54,2.38,0.36,0.3,0.24,0.26,0,0.12,NA
"1981-01-17",14.09,27.81,-72.93,95.11,-6.84,-10.55,3.04,2.12,0.36,0.3,0.24,0.26,14,0,-87.82,94.72,-10.42,-13.7,1.83,1.09,0.36,0.3,0.24,0.26,14.16,126.8,-65.08,95.32,-2.67,-7.44,4.52,3.63,0.36,0.3,0.24,0.26,0,0.35,NA
"1981-01-18",13.97,28.16,-73.5,94.3,-4.81,-8.08,3.19,1.42,0.36,0.3,0.24,0.26,13.87,0,-95.22,94.07,-8.25,-11.2,1.75,-1.83,0.36,0.3,0.24,0.26,14.06,127.63,-58.03,94.66,-0.19,-3.93,4.66,3.67,0.36,0.3,0.24,0.26,0,0.36,NA
"1981-01-19",13.99,30.58,-71.83,94.39,-10.1,-12.01,1.67,-1.55,0.36,0.3,0.24,0.26,13.91,0,-91.85,94.06,-17.09,-18.11,0.53,-2.6,0.36,0.3,0.24,0.26,14.03,139.85,-34.12,94.64,-5.15,-7.11,3.55,1.73,0.36,0.3,0.24,0.26,0,-0.04,NA
"1981-01-20",13.97,30,-46.9,94.64,-10.11,-12.7,2.29,2.2,0.36,0.3,0.24,0.26,13.88,0,-81.12,94.57,-19.22,-20.91,1.62,1.36,0.36,0.3,0.24,0.26,14.04,140.94,-14.16,94.7,-3.84,-7.25,3.42,2.97,0.36,0.3,0.24,0.26,0,0.24,NA
"1981-01-21",13.88,31.15,-54.81,94.81,-5.04,-6.77,1.8,0.18,0.36,0.3,0.24,0.26,13.74,0,-83.48,94.62,-9.12,-10.27,0.78,-1.18,0.36,0.3,0.24,0.26,14,139.26,-31.79,95,1.11,-1.42,3.37,2.41,0.36,0.3,0.24,0.26,0,0.04,NA
"1981-01-22",13.27,30.04,-37.98,94.47,-4.38,-5.7,0.79,2.05,0.37,0.3,0.24,0.26,12.6,0,-74.84,94.03,-11.01,-12.21,-0.41,1.34,0.36,0.3,0.24,0.26,13.82,144.61,-4.29,94.75,2.48,0.16,1.95,2.78,0.38,0.3,0.24,0.26,0,0.1,NA
"1981-01-23",11.52,36.31,-51.19,93.67,0.46,-1.53,2.79,0.75,0.38,0.3,0.24,0.26,10.2,0,-70.64,93.44,-3.1,-3.9,1.86,-0.63,0.37,0.3,0.24,0.26,12.71,169.3,-35.56,93.94,3.97,0.79,3.61,2.76,0.4,0.31,0.24,0.26,0,0.25,NA
"1981-01-24",10.01,28.74,-21.33,93.04,-2.7,-3.2,0.42,-1.1,0.38,0.31,0.24,0.26,9.7,0,-39.36,92.78,-5.19,-5.54,-0.75,-2.26,0.38,0.31,0.24,0.26,10.32,144.27,-1.96,93.42,0.02,-0.97,1.69,1.12,0.39,0.31,0.24,0.26,0.14,0.18,NA
"1981-01-25",13.57,20.92,-18.25,93.21,-2.12,-3.16,2.16,-3.75,0.37,0.31,0.24,0.26,10.41,0,-46.18,92.82,-3.61,-4.36,0.24,-5.15,0.37,0.31,0.24,0.26,14.89,102.43,-2.83,93.6,-1.23,-1.95,3.82,-2.79,0.38,0.32,0.24,0.26,5.4,0.46,NA
"1981-01-26",15.49,22.95,-36.22,93.87,-11.46,-13.68,-0.51,-2.29,0.37,0.32,0.24,0.26,15,0,-58.95,93.54,-18.89,-20.73,-1.8,-2.97,0.36,0.32,0.24,0.26,15.68,111.54,-17.49,94.05,-4.62,-5.49,1.05,-1.28,0.37,0.32,0.24,0.26,0.86,0.22,NA
"1981-01-27",15.62,24.56,-40.55,94.03,-16.87,-19.04,2.48,-1.42,0.36,0.32,0.24,0.26,15.57,0,-62.22,93.91,-24.25,-26.55,-0.68,-2.9,0.36,0.32,0.24,0.26,15.68,113.73,-20.11,94.26,-10.87,-12.98,3.88,-0.46,0.36,0.32,0.24,0.26,0.13,0.07,NA
"1981-01-28",15.72,25.31,-50.28,94.76,-19.23,-21.43,-1.28,-0.15,0.36,0.32,0.24,0.26,15.69,0,-75.33,94.31,-23.4,-25.63,-2.2,-2.59,0.36,0.32,0.24,0.26,15.75,110.16,-17.2,95.11,-15.1,-17.43,0.09,2.52,0.36,0.32,0.24,0.26,0.05,0,NA
"1981-01-29",15.75,33.31,-71.89,95.3,-19.15,-21.96,-1.99,3.29,0.36,0.32,0.24,0.26,15.71,0,-93.87,95.09,-22.03,-24.56,-2.65,2.61,0.36,0.32,0.24,0.26,15.79,142.04,-52.46,95.42,-14.18,-17.56,-0.78,4.39,0.36,0.32,0.24,0.26,0,0.02,NA
"1981-01-30",15.75,23.23,-23.18,94.72,-12.45,-14.63,0.36,2.2,0.36,0.32,0.24,0.26,15.68,0,-37.34,94.32,-19.18,-21.63,-1.02,-1.66,0.36,0.32,0.24,0.26,15.83,102.45,-0.73,95.25,-7.56,-9.83,2.75,3.9,0.36,0.32,0.24,0.26,0.22,0.18,NA
"1981-01-31",16.34,24.22,-37.3,94.31,-11.84,-13.97,1.38,-3.18,0.36,0.32,0.24,0.26,15.86,0,-70.74,94.14,-16.33,-18.23,0.37,-4.48,0.36,0.32,0.24,0.26,16.69,104.7,-3.31,94.57,-8.93,-10.48,2.11,-1.8,0.36,0.32,0.24,0.26,1,0.2,NA
"1981-02-01",16.74,32.61,-66.02,95.03,-19.16,-22,2.52,-3.07,0.36,0.32,0.24,0.26,16.7,0,-80.73,94.63,-21.37,-24.21,-0.57,-3.72,0.36,0.32,0.24,0.26,16.8,138.23,-44.99,95.26,-16.6,-19.65,4.49,-2.49,0.36,0.32,0.24,0.26,0.1,0.08,0
"1981-02-02",16.72,34.56,-63.45,95.02,-19.94,-23.3,3.36,-1.75,0.36,0.32,0.24,0.26,16.66,0,-84.26,94.92,-23.55,-26.56,2.37,-2.48,0.36,0.32,0.24,0.26,16.78,149.25,-31.29,95.15,-15.89,-19.88,3.79,-0.92,0.36,0.32,0.24,0.26,0.01,0.13,0
"1981-02-03",16.59,38.15,-72.54,95.38,-18.45,-22.57,2.88,-2.13,0.36,0.32,0.24,0.26,16.5,0,-95.58,94.87,-22.18,-26.23,1.72,-2.87,0.36,0.32,0.24,0.26,16.67,159.18,-33.75,95.73,-13.56,-18.16,3.9,-0.04,0.36,0.32,0.24,0.26,0,0.24,0
"1981-02-04",16.74,22.77,-31.39,94.59,-12.79,-15.81,3.68,0.65,0.36,0.32,0.24,0.26,16.43,0,-61.5,94.08,-22.81,-26.77,2.55,-3.74,0.36,0.32,0.24,0.26,17.54,97.82,-8.86,95.45,-6.56,-8.15,5.22,3.87,0.36,0.32,0.24,0.26,1.28,0.32,0
"1981-02-05",17.94,22.55,-32.53,94.38,-7.9,-9.96,3.1,-2.4,0.36,0.32,0.24,0.26,17.64,0,-47.4,94.12,-10.72,-12.64,2.11,-4.12,0.36,0.31,0.24,0.26,18.06,98.74,-12.85,94.55,-5.29,-8.02,4.03,0.9,0.36,0.32,0.24,0.26,0.67,0.33,0
"1981-02-06",18.96,20.73,-22.66,93.7,-8.21,-10.04,2.05,-0.42,0.36,0.31,0.24,0.26,18,0,-34.1,93.4,-9.96,-12.43,-0.17,-7.76,0.36,0.31,0.24,0.26,20.76,90.67,-15.05,94.1,-6.37,-8.49,4.3,2.96,0.36,0.31,0.24,0.26,2.97,0.27,0
"1981-02-07",20.89,33.09,-65.53,94.58,-21.48,-24.78,3.32,-3.49,0.36,0.31,0.24,0.26,20.82,0,-86.56,93.89,-28.24,-31.16,0.86,-7.27,0.36,0.31,0.24,0.26,20.92,133.49,-26.54,94.83,-11.59,-14.32,4.14,1.33,0.36,0.31,0.24,0.26,0.24,0.17,0
"1981-02-08",20.96,30.18,-42.4,93.96,-22.71,-25.97,1.84,-0.23,0.36,0.31,0.24,0.26,20.89,0,-77.22,93.8,-27.07,-29.89,-0.88,-2.56,0.36,0.31,0.24,0.26,21,131.24,-11.51,94.27,-18.54,-22.43,4.72,2.33,0.36,0.31,0.24,0.26,0.19,0.11,0
"1981-02-09",21.01,37.17,-71.67,94.29,-26.94,-30.35,3.26,-1.44,0.36,0.31,0.24,0.26,20.99,0,-88.33,93.96,-29.95,-32.99,2.73,-2.36,0.36,0.31,0.24,0.26,21.03,151.8,-42.15,94.64,-23.13,-26.15,4.11,-0.04,0.36,0.31,0.24,0.26,0.04,0.03,0
"1981-02-10",21.05,38.84,-73.25,94.75,-29.46,-33.14,3.41,-0.03,0.36,0.31,0.24,0.26,21.02,0,-84.97,94.54,-34.01,-37.76,2.88,-2.39,0.36,0.31,0.24,0.26,21.07,158.73,-46.53,95.03,-25.1,-29.22,4.14,1.31,0.36,0.31,0.24,0.26,0.04,0.03,0
"1981-02-11",21.06,38.23,-52.53,94.62,-28.45,-31.73,1.44,0.44,0.36,0.31,0.24,0.26,21.03,0,-85.52,94.48,-35.45,-38.56,-0.94,-1.27,0.36,0.31,0.24,0.26,21.14,165.72,-23.73,94.75,-22.61,-26.24,2.92,2,0.36,0.31,0.24,0.26,0.14,0.06,0
"1981-02-12",21.12,41.98,-54.39,94.99,-23.62,-26.7,0.96,2.01,0.36,0.31,0.24,0.26,21.08,0,-90.81,94.71,-34.56,-37.33,0.02,0.63,0.36,0.31,0.24,0.26,21.15,166.93,-22.59,95.2,-14.75,-18.39,2.32,3.89,0.36,0.31,0.24,0.26,0,0.08,0
"1981-02-13",21.06,42.05,-49.24,94.99,-13.02,-15.87,-1.1,2.07,0.36,0.31,0.24,0.26,20.98,0,-82.83,94.54,-18.95,-21.18,-3,-0.74,0.36,0.31,0.24,0.26,21.11,167.52,-14.03,95.34,-7.45,-9.99,1.11,5.84,0.36,0.31,0.24,0.26,0.01,0.22,0
"1981-02-14",19.29,40.65,-36.62,93.75,-0.01,-2.02,1.52,3.99,0.38,0.31,0.24,0.26,17.15,0,-78.23,93.3,-8.34,-10.76,-2.81,0.75,0.36,0.31,0.24,0.26,21.11,168.22,4.09,94.54,2.88,0.76,3.31,6.54,0.4,0.31,0.24,0.26,0.49,0.56,0
"1981-02-15",15.18,51.61,-70.56,93.4,1.14,-0.85,4,1.35,0.4,0.32,0.24,0.26,13.53,0,-90.24,93.13,-0.6,-3.03,2.54,-0.38,0.4,0.31,0.24,0.26,17.01,202.72,-28.98,93.6,2.79,0.6,5.04,3.59,0.41,0.32,0.24,0.26,0.27,0.5,0
"1981-02-16",10.95,66.26,-63.74,92.94,1.99,-0.9,3.58,2.21,0.41,0.33,0.24,0.26,8.02,0,-96.09,92.72,-0.88,-2.57,-0.87,-0.22,0.39,0.32,0.24,0.26,13.57,267.62,-12.07,93.13,5.93,1.32,5.89,4.07,0.43,0.35,0.24,0.26,0.01,1.3,0
