"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",42.78,16.66,-38.71,96.58,-14.85,-17.35,0.2,-0.49,0.3,0.28,0.23,0.27,42.7,0,-61.56,95.75,-17.69,-20.2,-2.13,-2.84,0.3,0.28,0.23,0.27,42.81,86.51,13.14,96.95,-11.51,-13.24,3.06,2.32,0.3,0.28,0.23,0.27,0.12,0.13,NA
"1981-01-02",43.29,17.69,-40.53,96.5,-22.18,-25.07,-2.07,-1.14,0.3,0.28,0.23,0.27,42.87,0,-68.11,95.69,-28.56,-31.64,-3.63,-2.84,0.3,0.28,0.23,0.27,43.35,93.15,5.39,97.01,-15.24,-17.85,-0.67,1.73,0.3,0.28,0.23,0.27,0.6,0.13,NA
"1981-01-03",44.05,8.19,-9.88,96.41,-20.65,-23.99,-1.9,2.26,0.29,0.28,0.23,0.27,43.34,0,-35.24,96.1,-28.77,-32.05,-2.93,1.78,0.29,0.28,0.23,0.27,44.59,39.73,29.73,96.85,-16.37,-19.74,-0.72,2.9,0.3,0.28,0.23,0.27,1.31,0.2,NA
"1981-01-04",44.58,15.5,-29.4,95.74,-12.97,-15.93,0.57,2.67,0.29,0.28,0.23,0.27,44.55,0,-55.11,95.09,-18.09,-21.24,-2.29,-0.92,0.29,0.28,0.23,0.27,44.73,87.13,3.6,96.28,-6.18,-8.05,3.44,4.17,0.29,0.28,0.23,0.27,0.18,0.34,NA
"1981-01-05",44.99,8.87,-24.78,95.35,-6.77,-7.98,1.78,-1.88,0.29,0.28,0.23,0.27,44.73,0,-56.24,95.12,-8.51,-10.08,0.52,-3.65,0.29,0.28,0.23,0.27,45.41,47.31,5.79,95.89,-4.06,-5.28,3.23,-0.57,0.29,0.28,0.23,0.27,0.63,0.04,NA
"1981-01-06",45.58,18.84,-56.78,96.31,-19.52,-22.24,-1.07,-0.63,0.29,0.28,0.23,0.27,45.46,0,-82.16,95.66,-24.06,-27,-2.22,-3.98,0.29,0.28,0.23,0.27,45.6,96.3,-1.27,96.69,-9.87,-11.61,-0.09,2.76,0.29,0.28,0.23,0.27,0.18,0.04,NA
"1981-01-07",46.23,11.15,-15.81,95.5,-16.62,-19.49,0.07,1.55,0.29,0.28,0.23,0.27,45.59,0,-46.72,95.36,-20.68,-24.32,-2.39,-1.07,0.29,0.28,0.23,0.27,46.63,58.87,1.73,95.63,-13.76,-16.46,2.72,2.55,0.29,0.28,0.23,0.27,1.08,0.16,NA
"1981-01-08",46.74,17.46,-44.12,96.19,-18.89,-21.28,0.03,-2.24,0.29,0.28,0.23,0.27,46.64,0,-70.89,95.58,-26.33,-28.99,-0.95,-3.22,0.29,0.28,0.23,0.27,46.78,92.26,-6.68,97.04,-15.43,-17.26,2.05,-0.89,0.29,0.28,0.23,0.27,0.16,0.06,NA
"1981-01-09",46.8,19.67,-46.12,97.06,-26.79,-29.87,-0.36,0.75,0.29,0.28,0.23,0.27,46.78,0,-61.75,96.75,-30.09,-33.09,-1.8,-2.15,0.29,0.28,0.23,0.27,46.8,100.06,-17.61,97.26,-23,-26.83,1.07,2.9,0.29,0.28,0.23,0.27,0.01,0.02,NA
"1981-01-10",46.81,21.3,-30.65,96.91,-20.49,-23.33,-0.06,2.4,0.29,0.28,0.23,0.27,46.8,0,-62.24,96.66,-26.42,-29.3,-1.54,1.79,0.29,0.28,0.23,0.27,46.83,104.71,17.87,97.09,-11.95,-13.93,1.52,2.96,0.29,0.28,0.23,0.27,0.01,0.05,NA
"1981-01-11",46.88,18.95,-41.62,96.48,-9.5,-11.48,2.48,1.87,0.29,0.28,0.23,0.27,46.83,0,-72.31,95.88,-13.49,-15.04,1.56,0.32,0.28,0.27,0.23,0.27,46.92,98.81,6.43,96.87,-5.37,-7.9,3.26,2.76,0.29,0.28,0.23,0.27,0.01,0.14,NA
"1981-01-12",46.93,20.12,-35.77,95.53,-8.16,-10.69,2.47,0.02,0.28,0.27,0.23,0.27,46.91,0,-60.57,95.34,-11.69,-14.1,1.92,-0.83,0.28,0.27,0.23,0.27,46.94,104.84,-4,95.78,-4.8,-7.64,3.02,0.93,0.28,0.27,0.23,0.27,0.03,0.36,NA
"1981-01-13",47,22.16,-51.8,95.78,-6.21,-7.97,3.03,-1.38,0.28,0.27,0.23,0.27,46.93,0,-77.89,95.43,-9.2,-11.2,2.04,-2.49,0.28,0.27,0.23,0.27,47.11,107.96,-9.08,96.11,-2.32,-4.33,3.77,-0.19,0.28,0.27,0.23,0.27,0.07,0.18,NA
"1981-01-14",47.59,11.85,-12.01,96.33,-5.1,-6.03,0.64,-1.41,0.28,0.27,0.23,0.27,47.15,0,-27.19,96.03,-6.22,-7.09,-1.68,-2.05,0.28,0.27,0.23,0.27,48.46,65.78,-3.63,96.66,-3.38,-4.74,1.74,-0.87,0.28,0.27,0.23,0.27,1.38,0.13,NA
"1981-01-15",48.53,18.94,-39.77,97.14,-11.29,-12.93,0.12,0.57,0.28,0.27,0.23,0.27,48.48,0,-62.49,96.75,-13.3,-14.69,-1.97,-1.09,0.28,0.27,0.23,0.27,48.56,98.3,-20.28,97.33,-7.19,-8.4,2.45,2.72,0.28,0.27,0.23,0.27,0.09,0.07,NA
"1981-01-16",48.59,21.58,-51.91,96.6,-9.46,-11.98,3.41,2.39,0.28,0.27,0.23,0.27,48.57,0,-76.56,96.28,-12.36,-14.16,2.64,1.95,0.28,0.27,0.23,0.27,48.62,107.36,-20.54,97.06,-6.08,-9,4.12,2.99,0.28,0.27,0.23,0.27,0.01,0.41,NA
"1981-01-17",48.56,24.58,-66.35,95.99,-7.38,-11.04,2.52,2.72,0.28,0.27,0.23,0.27,48.52,0,-80.3,95.54,-10.4,-13.87,1.32,1.65,0.28,0.27,0.23,0.27,48.59,117.61,-57.63,96.21,-4.14,-8.13,3.65,4.3,0.28,0.27,0.23,0.27,0,0.84,NA
"1981-01-18",48.54,25.49,-69.65,95.22,-6.33,-9.13,2.84,1.45,0.28,0.27,0.23,0.27,48.51,0,-87.09,95.11,-9.48,-11.38,1.46,-2.13,0.28,0.27,0.23,0.27,48.58,122.43,-53.46,95.44,-3.69,-7.54,3.68,4.25,0.28,0.27,0.23,0.27,0,0.67,NA
"1981-01-19",48.59,26.54,-58.53,95.64,-14.11,-15.95,1.41,-0.06,0.28,0.27,0.23,0.27,48.56,0,-76.62,95.3,-17.6,-19.29,0.58,-2.18,0.28,0.27,0.23,0.27,48.61,126.57,-39.99,95.8,-9.82,-12.39,2.12,2.57,0.28,0.27,0.23,0.27,0,0,NA
"1981-01-20",48.61,26.21,-44.92,95.57,-8,-10.61,2.2,2.43,0.28,0.27,0.23,0.27,48.57,0,-66.16,95.48,-14.88,-16.77,1.52,0.12,0.28,0.27,0.23,0.27,48.64,123.78,-32.28,95.67,-1.78,-5.02,2.95,3.26,0.28,0.27,0.23,0.27,0,0.51,NA
"1981-01-21",48.64,23.2,-37.95,95.96,-5.89,-7.02,1.53,0.25,0.28,0.27,0.23,0.27,48.6,0,-61.13,95.8,-8.92,-10.17,0.42,-1.4,0.28,0.27,0.23,0.27,48.66,108.65,-5.83,96.16,-2.03,-3.5,2.49,1.86,0.28,0.27,0.23,0.27,0,0.03,NA
"1981-01-22",48.67,21.3,-26.66,95.51,-4.2,-5.24,0.93,2.08,0.28,0.27,0.23,0.27,48.64,0,-60.01,95,-8.16,-8.98,-0.08,1.02,0.28,0.27,0.23,0.27,48.7,101.54,-7.27,95.89,-0.19,-1.61,1.5,2.81,0.28,0.27,0.23,0.27,0.01,0.2,NA
"1981-01-23",48.67,19.96,-20.06,94.75,-3.77,-4.6,0.95,0.45,0.28,0.27,0.23,0.27,48.64,0,-39.92,94.61,-5.74,-6.79,-0.01,-0.91,0.28,0.27,0.23,0.27,48.7,103.41,-3.08,94.89,-1.71,-2.6,1.96,2.44,0.28,0.27,0.23,0.27,0.01,0.17,NA
"1981-01-24",49.21,15.63,-9.61,94.33,-1.68,-2.53,0.54,-1.42,0.28,0.27,0.23,0.27,48.64,0,-25.25,94.12,-4.18,-4.59,-0.02,-3.02,0.28,0.27,0.23,0.27,50.84,71.45,0.05,94.58,0.6,-0.73,1.02,-0.48,0.28,0.27,0.23,0.27,2.38,0.31,NA
"1981-01-25",51.66,12.63,-19.25,94.62,-3.42,-4.38,0.53,-2.34,0.28,0.27,0.23,0.27,50.87,0,-34.46,94.32,-7.17,-8.43,-2.16,-3.04,0.28,0.27,0.23,0.27,52.85,60.41,-5.73,95.07,-1.62,-2.47,1.82,-1.71,0.28,0.27,0.23,0.27,2.16,0.36,NA
"1981-01-26",53.12,22.15,-38.59,95.27,-13.64,-15.83,-0.21,-1.36,0.28,0.27,0.23,0.27,52.89,0,-60.52,95.06,-16.46,-18.68,-1.72,-1.98,0.28,0.27,0.23,0.27,53.17,101.17,-24.75,95.42,-8.49,-9.94,2.24,-0.06,0.28,0.27,0.23,0.27,0.39,0.18,NA
"1981-01-27",53.32,19.68,-37.18,95.27,-13.63,-15.81,1.09,-1.62,0.28,0.27,0.23,0.27,53.15,0,-80.78,95.11,-18.18,-20.2,-1.44,-2.97,0.28,0.27,0.23,0.27,53.44,93.41,-9.29,95.63,-9.38,-12.16,2.57,-0.07,0.28,0.27,0.23,0.27,0.33,0.19,NA
"1981-01-28",53.48,25.46,-45.59,96.05,-17.96,-20.31,-1.3,0.69,0.28,0.27,0.23,0.27,53.45,0,-65.69,95.67,-19.99,-22.55,-1.62,-1.7,0.28,0.27,0.23,0.27,53.51,118.21,-19.71,96.32,-14.47,-17.47,-0.87,2.94,0.28,0.27,0.23,0.27,0.06,0.07,NA
"1981-01-29",53.5,32.68,-69.71,96.39,-17.45,-20.63,-0.87,3.73,0.28,0.27,0.23,0.27,53.48,0,-88.67,96.29,-20.74,-23.43,-1.28,3.17,0.28,0.27,0.23,0.27,53.52,146.07,-58.65,96.52,-12.94,-16.86,0.08,4.34,0.28,0.27,0.23,0.27,0,0.26,NA
"1981-01-30",53.63,17.03,-24.29,95.84,-13.68,-16.01,1.27,1.58,0.28,0.27,0.23,0.27,53.49,0,-54.9,95.58,-17.19,-20.18,0.21,-1.73,0.28,0.27,0.23,0.27,54,86.27,-0.27,96.23,-10.12,-12.21,2.12,4.11,0.28,0.27,0.23,0.27,0.55,0.17,NA
"1981-01-31",55.14,23.5,-29.2,95.75,-12.8,-14.89,0.24,-2.36,0.28,0.27,0.23,0.27,54.21,0,-54.09,95.53,-15.8,-17.71,-1.24,-2.9,0.28,0.27,0.23,0.27,55.46,117.81,-5.53,96.09,-10.74,-12.01,1.13,-1.82,0.28,0.27,0.23,0.27,1.54,0.26,NA
"1981-02-01",55.53,32.19,-67.68,96.45,-19.42,-22.33,2.07,-2.09,0.28,0.27,0.23,0.27,55.49,0,-90.3,96.21,-22.25,-25.07,-0.59,-2.62,0.27,0.27,0.23,0.27,55.55,143.63,-37.89,96.65,-16.61,-18.78,3.61,-1.46,0.28,0.27,0.23,0.27,0.08,0.14,NA
"1981-02-02",55.53,30.04,-48.89,96.31,-21.29,-24.44,2.24,-0.87,0.27,0.27,0.23,0.27,55.51,0,-68.79,96.22,-26.54,-29.38,1.69,-1.67,0.27,0.27,0.23,0.27,55.54,135.18,-16.26,96.46,-16.57,-20.23,2.57,0.06,0.27,0.27,0.23,0.27,0.02,0.15,NA
"1981-02-03",55.52,35.81,-62.53,96.71,-20.36,-24.14,1.94,-0.73,0.27,0.27,0.23,0.27,55.49,0,-84.15,96.27,-25.46,-28.84,0.96,-2.35,0.27,0.27,0.23,0.27,55.54,155.31,-49.36,96.96,-14.78,-19.36,2.51,2.57,0.27,0.27,0.23,0.27,0,0.3,NA
"1981-02-04",55.87,18.77,-21.91,95.59,-11.4,-14.06,3.01,-0.17,0.27,0.27,0.23,0.27,55.49,0,-57.54,95.24,-20.76,-25.26,2.07,-3.84,0.27,0.27,0.23,0.27,56.83,91.45,0.93,96.38,-6.21,-8.39,4.21,3.55,0.27,0.27,0.23,0.27,1.39,0.38,NA
"1981-02-05",57.14,28.32,-42.95,95.53,-7.45,-9.34,2.84,-1.15,0.27,0.27,0.23,0.27,56.86,0,-78.06,95.28,-9.65,-11.12,1.97,-3.12,0.27,0.27,0.23,0.27,57.23,127.95,-11.48,95.7,-4.03,-6.45,3.92,1.16,0.27,0.27,0.23,0.27,0.45,0.42,NA
"1981-02-06",58.4,18.87,-22.5,95.01,-9.47,-11.54,1.94,-1.91,0.27,0.27,0.23,0.27,57.26,0,-63.9,94.63,-16.39,-20.21,0.76,-6.76,0.27,0.27,0.23,0.27,59.61,77.23,-5.86,95.59,-5.97,-8.13,3.2,1.67,0.27,0.27,0.23,0.27,2.56,0.57,NA
"1981-02-07",59.7,32.91,-60.95,95.99,-22.7,-26.18,1.92,-1.92,0.27,0.27,0.23,0.27,59.62,0,-81.39,95.57,-26,-28.96,-0.35,-5.12,0.27,0.27,0.23,0.27,59.74,138.21,-15.88,96.26,-18.01,-21.87,2.66,1.91,0.27,0.27,0.23,0.27,0.21,0.25,NA
"1981-02-08",59.88,29.27,-43.53,95.23,-22.74,-26.3,1.93,-0.63,0.27,0.27,0.23,0.27,59.75,0,-78.59,95.06,-25.18,-28.51,-0.95,-2.78,0.27,0.27,0.23,0.27,60,130.68,-17.94,95.45,-19.08,-23.71,4.03,1.93,0.27,0.27,0.23,0.27,0.31,0.22,NA
"1981-02-09",60.05,32.32,-62.98,95.58,-28.29,-32.52,2.63,-1.96,0.27,0.27,0.23,0.27,60.01,0,-71.42,95.32,-31.49,-35.49,1.94,-2.55,0.27,0.27,0.23,0.27,60.12,138.05,-42.24,95.99,-25.15,-29.41,3.52,-1.34,0.27,0.27,0.23,0.27,0.16,0.18,NA
"1981-02-10",60.13,35.82,-63.73,95.86,-30.77,-34.41,2.78,0.36,0.27,0.27,0.23,0.27,60.12,0,-79.55,95.68,-35.09,-38.56,2.29,-0.99,0.27,0.27,0.23,0.27,60.14,149.37,-46.63,96.01,-25.29,-29.57,3.41,1.03,0.27,0.27,0.23,0.27,0.03,0.06,NA
"1981-02-11",60.15,37,-51.73,95.86,-30.17,-33.64,1.4,0.51,0.27,0.27,0.23,0.27,60.14,0,-74.11,95.72,-36.78,-39.96,0.27,-1.21,0.27,0.27,0.23,0.27,60.18,163.44,-25.95,95.96,-24.24,-28.24,2.29,1.83,0.27,0.27,0.23,0.27,0.05,0.07,NA
"1981-02-12",60.21,41.25,-47.5,96.13,-25.55,-28.78,1.53,1.8,0.27,0.26,0.23,0.27,60.18,0,-81.34,95.92,-33.14,-36.04,0.67,0.68,0.27,0.26,0.23,0.27,60.43,168.94,2.69,96.28,-18.69,-21.51,2.32,2.62,0.27,0.27,0.23,0.27,0.25,0.12,NA
"1981-02-13",60.46,40.25,-44.28,96.14,-17.74,-20.93,-0.8,1.83,0.27,0.26,0.23,0.27,60.44,0,-75.26,95.32,-25,-27.51,-3.29,0.3,0.27,0.26,0.23,0.27,60.51,166.84,7.79,96.5,-9.61,-12.56,2.01,5.67,0.27,0.26,0.23,0.27,0.12,0.43,NA
"1981-02-14",62.79,30.68,-25.85,94.53,-1.3,-2.9,0.56,3.91,0.27,0.26,0.23,0.27,60.58,0,-65.21,94.06,-9.83,-12.67,-2.73,2.3,0.27,0.26,0.23,0.27,63.46,137.6,16.36,95.35,2.02,0.44,2.47,6.06,0.28,0.26,0.23,0.27,3.02,0.78,NA
"1981-02-15",62.7,43.27,-72.88,94.2,0.03,-2.36,3.21,1.77,0.28,0.26,0.24,0.27,62.4,0,-88.91,93.94,-1.75,-4.38,1.99,0.64,0.28,0.26,0.23,0.27,62.92,176.69,-60.82,94.38,2.73,-0.68,3.92,3.7,0.28,0.26,0.24,0.27,0,1.2,NA
"1981-02-16",61.76,42.89,-59.91,93.72,0.03,-1.52,2.66,1.81,0.29,0.26,0.24,0.27,60.64,0,-85.08,93.34,-3.16,-3.93,-0.45,-0.83,0.28,0.26,0.24,0.27,62.67,187.39,-22.71,94.03,2.46,0.79,5.2,3.7,0.31,0.26,0.24,0.27,0.22,0.81,NA
"1981-02-17",60.9,31.49,-27.85,93.93,0.41,-0.68,-0.01,0.45,0.33,0.27,0.24,0.27,59.47,0,-67.47,93.5,-2.61,-3.18,-2.71,-1.83,0.31,0.26,0.24,0.27,62.24,140.91,1.48,94.59,2.18,0.72,2.02,3.01,0.36,0.27,0.24,0.27,2.4,0.51,NA
"1981-02-18",58.53,31.59,-29.41,94.42,-0.49,-1.72,0.78,2.23,0.36,0.27,0.24,0.27,57.09,0,-54.94,94.13,-3.01,-3.62,-0.56,0.44,0.35,0.27,0.24,0.27,59.53,141.49,2.1,94.7,3.01,0.83,2.96,4.5,0.38,0.27,0.24,0.27,0.05,0.66,NA
"1981-02-19",56.3,54.8,-60.14,94.5,-0.25,-2.56,0.59,1.97,0.37,0.28,0.24,0.27,54.81,0,-94.92,93.85,-4.96,-6.34,-3.14,-0.42,0.36,0.27,0.24,0.27,57.17,218.97,-7.36,94.8,4.02,0.16,3.17,5.58,0.39,0.28,0.24,0.27,1.27,1.38,NA
"1981-02-20",52.7,31.68,-41.81,94.26,1.57,-0.14,1.96,1.3,0.4,0.29,0.24,0.27,50.47,0,-78.08,93.79,-0.2,-2.14,-1.89,-1.61,0.39,0.28,0.24,0.27,54.77,124.04,-16.08,94.88,2.49,1.16,4.51,5.88,0.42,0.3,0.24,0.27,0.8,1.18,NA
"1981-02-21",50.24,47.4,-56.82,95.18,-1.86,-4.34,3.69,-1.03,0.38,0.3,0.24,0.27,49.95,0,-87.38,94.83,-5.11,-6.53,2.71,-1.96,0.37,0.3,0.24,0.27,50.48,190.99,-31.9,95.49,0.59,-2.16,4.58,-0.45,0.4,0.31,0.24,0.27,0.04,1.76,NA
"1981-02-22",49.21,57.29,-58.61,95.31,-2.49,-4.25,1.89,0.83,0.37,0.31,0.24,0.27,48.02,0,-91.04,94.87,-8.11,-8.97,0.95,-0.6,0.37,0.31,0.24,0.27,50.07,231.8,-18.69,95.56,3.02,0.13,2.6,1.95,0.39,0.31,0.24,0.27,0.04,0.76,NA
"1981-02-23",48.31,64.29,-77.83,94.96,-2.38,-5.41,3.31,-0.97,0.37,0.31,0.24,0.27,47.99,0,-105.95,94.73,-8,-10.64,1.67,-2.32,0.36,0.31,0.24,0.27,48.66,245.86,-18.8,95.15,-0.09,-2.09,4.73,1.5,0.38,0.32,0.24,0.27,0.61,2.12,NA
"1981-02-24",47.92,33.84,-25.21,95.71,-7.69,-10.08,-0.48,-2.02,0.36,0.32,0.24,0.27,47.77,0,-73.1,95.2,-9.77,-11.81,-1.62,-2.56,0.35,0.32,0.24,0.27,48.06,144.33,-4.05,96.09,-5.56,-8.93,1.4,-0.81,0.36,0.32,0.24,0.27,0.14,0.83,NA
"1981-02-25",47.51,55.69,-41.84,96.18,-5.83,-9.59,-2.35,1.26,0.35,0.32,0.24,0.27,47.11,0,-82.5,95.98,-8.94,-10.92,-3.29,-0.4,0.35,0.32,0.24,0.27,47.78,233.05,-8.67,96.34,-1.69,-8.32,-1.38,3.24,0.35,0.32,0.24,0.27,0.04,1.99,NA
"1981-02-26",46.59,63.61,-60.04,95.73,-3.77,-7.59,-0.96,0.58,0.35,0.32,0.24,0.27,45.97,0,-92.32,95.63,-7.16,-9.7,-1.99,-2.19,0.35,0.32,0.24,0.27,47.09,247.59,-5.87,95.95,0.99,-4.9,-0.1,2.86,0.35,0.32,0.24,0.27,0.01,1.82,NA
