"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",33.4,17.86,-38.22,97.44,-16.9,-19.58,-0.28,-0.62,0.3,0.24,0.23,0.22,33.37,0,-60.41,96.73,-19.69,-22.12,-2.84,-2.06,0.3,0.23,0.23,0.22,33.51,94.49,10.27,97.82,-13.3,-15.25,2.36,1.21,0.3,0.24,0.23,0.22,0.17,0.26,NA
"1981-01-02",33.91,18.59,-40.07,97.5,-24.51,-27.88,-1.93,-0.97,0.3,0.24,0.23,0.22,33.63,0,-63.84,96.73,-29.23,-32.27,-3.28,-2.52,0.3,0.24,0.23,0.22,33.95,99.3,5.97,97.91,-18.79,-21.43,-0.9,0.79,0.3,0.24,0.23,0.22,0.48,0.22,NA
"1981-01-03",35.16,8.15,0.84,97.29,-22.1,-25.33,-1.9,0.63,0.3,0.24,0.23,0.22,33.92,0,-25.22,97.01,-29.23,-32.22,-2.79,-0.08,0.3,0.24,0.23,0.22,35.99,40.05,26.8,97.72,-18.06,-20.77,-0.66,1.18,0.3,0.24,0.23,0.22,2.15,0.23,NA
"1981-01-04",36.05,13.75,-19.15,96.49,-13.81,-16.41,0.38,1.27,0.3,0.24,0.23,0.22,35.97,0,-35.89,95.84,-18.72,-21.24,-2.12,-0.71,0.3,0.24,0.23,0.22,36.4,80.97,13.17,97.11,-7.13,-9.27,2.42,2.59,0.3,0.24,0.23,0.22,0.46,0.33,NA
"1981-01-05",36.5,9.58,-26.93,96.17,-7.17,-8.95,1.35,-1.55,0.29,0.24,0.23,0.22,36.4,0,-50.94,95.88,-9.56,-11.76,0.31,-3,0.29,0.24,0.23,0.22,36.6,54.98,9.25,96.82,-4.36,-6.69,2.52,-0.59,0.3,0.24,0.23,0.22,0.23,0.45,NA
"1981-01-06",36.61,20.85,-54.65,97.19,-20.28,-23.13,-1.04,-0.48,0.29,0.24,0.23,0.22,36.6,0,-82.17,96.53,-24.21,-26.74,-1.99,-3.52,0.29,0.24,0.23,0.22,36.62,106.53,-5.45,97.57,-10.55,-13.39,-0.06,1.58,0.29,0.24,0.23,0.22,0.06,0.23,NA
"1981-01-07",37.09,12.6,-16.68,96.33,-18.07,-20.9,0.19,0.31,0.29,0.24,0.23,0.22,36.61,0,-53.65,96.22,-24.28,-27.03,-2.02,-1.64,0.29,0.24,0.23,0.22,37.42,72.78,6.57,96.49,-13.75,-16.73,2.31,1.42,0.29,0.24,0.23,0.22,0.86,0.19,NA
"1981-01-08",37.54,19.49,-48.79,97.1,-19.18,-21.91,-0.24,-1.77,0.29,0.24,0.23,0.22,37.42,0,-76.73,96.4,-26.25,-28.93,-1.15,-2.33,0.29,0.24,0.23,0.22,37.6,99.58,-11.55,97.96,-15.95,-17.98,1.76,-1.1,0.29,0.24,0.23,0.22,0.18,0.21,NA
"1981-01-09",37.57,21.38,-47.31,97.94,-28.32,-31.45,0.29,0.28,0.29,0.24,0.23,0.22,37.57,0,-61.86,97.62,-33.01,-36.15,-1.46,-1.57,0.29,0.24,0.23,0.22,37.57,106.19,-17.26,98.11,-23.8,-27.56,1.92,1.77,0.29,0.24,0.23,0.22,0,0.02,NA
"1981-01-10",37.58,22.9,-27.77,97.73,-22.54,-25.53,0.06,1.03,0.29,0.24,0.23,0.22,37.57,0,-54.88,97.57,-29.25,-31.93,-1.68,0.04,0.29,0.24,0.23,0.22,37.59,115.56,19.01,97.87,-13.19,-15.07,1.74,1.83,0.29,0.24,0.23,0.22,0.02,0.15,NA
