"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",37.4,27.28,-40.18,96.72,-16.29,-19.27,0.38,-1.26,0.36,0.35,0.34,0.34,37.33,0,-72.32,96.2,-19.1,-22.62,-1.79,-2.57,0.36,0.35,0.34,0.34,37.52,146.75,2.85,97.02,-12.07,-13.71,2.25,-0.07,0.36,0.35,0.34,0.34,0.36,0.93,NA
"1981-01-02",38.13,28.46,-44.94,96.75,-25.07,-28.46,-0.97,-1.16,0.35,0.35,0.34,0.34,37.67,0,-73.07,96.12,-31.83,-35.24,-2.3,-1.68,0.35,0.35,0.34,0.34,38.21,152.42,5.56,97.18,-19.64,-22.27,0.16,-0.5,0.36,0.35,0.34,0.34,0.74,0.44,NA
"1981-01-03",38.68,11.81,-2.02,96.75,-24.2,-28.66,-0.98,0.04,0.35,0.35,0.35,0.34,38.14,0,-46.3,96.5,-32.14,-35.88,-1.81,-0.43,0.35,0.35,0.34,0.34,39.35,58.67,24.32,97.06,-19.35,-23.85,0.07,0.47,0.35,0.35,0.35,0.34,1.32,0.7,NA
"1981-01-04",39.35,21.89,-14.01,95.97,-15.16,-18.66,0.46,1.24,0.35,0.35,0.35,0.34,39.27,0,-43.81,95.11,-21.9,-24.76,-1.6,-1.08,0.35,0.35,0.35,0.34,39.66,106.59,8.6,96.64,-7.46,-9.69,2.42,2.54,0.35,0.35,0.35,0.34,0.44,1.25,NA
"1981-01-05",39.67,12.19,-31,95.38,-8.97,-10.86,1.48,-1.64,0.35,0.35,0.35,0.34,39.66,0,-55.97,95.1,-11.4,-13.42,0.87,-3.03,0.35,0.35,0.35,0.34,39.75,54.04,3.53,95.91,-6.57,-9.3,2.28,-0.73,0.35,0.35,0.35,0.34,0.2,0.88,NA
"1981-01-06",39.76,31.26,-70.23,96.47,-21.29,-24.31,-0.1,-1.36,0.35,0.35,0.35,0.34,39.72,0,-83.18,96.04,-25.76,-28.5,-1.74,-3.22,0.35,0.35,0.35,0.34,39.79,159.99,-47.43,96.8,-13.6,-15.79,0.74,0.04,0.35,0.35,0.35,0.34,0.09,0.35,NA
"1981-01-07",39.82,16.95,-19.36,95.71,-20.04,-23.26,0.35,0.44,0.35,0.35,0.34,0.34,39.72,0,-49.79,95.64,-27.18,-29.99,-1.25,-0.76,0.35,0.35,0.34,0.34,39.97,87.84,6.19,95.96,-15.44,-17.49,2.07,1.36,0.35,0.35,0.35,0.34,0.31,0.45,NA
"1981-01-08",40,27.83,-51.61,96.27,-19.69,-22.51,0.71,-1.81,0.35,0.35,0.34,0.34,39.97,0,-76.69,95.62,-25.95,-28.81,0,-2.35,0.35,0.35,0.34,0.34,40.03,148.11,-22.64,97.12,-15.26,-17.17,1.89,-0.71,0.35,0.35,0.34,0.34,0.11,0.51,NA
"1981-01-09",39.95,33.66,-60.65,97.23,-26.68,-30.2,0.75,-0.13,0.35,0.35,0.34,0.34,39.91,0,-78.14,97.03,-31.75,-34.82,-0.02,-1.66,0.35,0.35,0.34,0.34,39.97,170.05,-33.47,97.38,-20.72,-26.09,1.29,1.18,0.35,0.35,0.34,0.34,0,0.25,NA
"1981-01-10",39.9,34.8,-49.81,97.13,-21.62,-25.18,0.81,1.01,0.35,0.35,0.34,0.34,39.88,0,-84.81,96.94,-29.25,-31.88,-0.01,0.22,0.35,0.35,0.34,0.34,39.92,171.89,7.53,97.3,-14.15,-16.64,1.53,1.91,0.35,0.35,0.34,0.34,0.01,0.36,NA
