"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",30.5,28.47,-49.89,97.41,-13.13,-16.67,0.8,-1.52,0.37,0.37,0.35,0.34,30.46,0,-82.05,97.2,-17.98,-21.78,-1.53,-3.56,0.37,0.37,0.35,0.34,30.58,143.23,-14.92,97.67,-7.86,-9.85,2.83,1.29,0.37,0.37,0.35,0.34,0.34,2.27,NA
"1981-01-02",31.54,31.2,-42.35,97.39,-22.39,-26.12,-0.84,-1.12,0.37,0.37,0.35,0.34,30.53,0,-80.4,96.86,-28.93,-33.02,-2.3,-2.49,0.37,0.37,0.35,0.34,31.83,158.09,3.89,97.9,-17.78,-21.38,1.2,1.34,0.37,0.37,0.35,0.34,1.42,0.86,NA
"1981-01-03",31.93,15.14,-20.59,97.67,-24.69,-30.16,-0.25,0.41,0.37,0.37,0.35,0.34,31.75,0,-62.02,97.45,-30.47,-35.03,-1.51,-0.51,0.37,0.36,0.35,0.34,32.28,77,13.19,97.86,-20.12,-25.45,1.22,1.03,0.37,0.37,0.35,0.34,0.64,0.82,NA
"1981-01-04",32.2,25.33,-31.21,97.08,-18.56,-22.69,0.17,2.05,0.37,0.36,0.35,0.34,32.11,0,-54.39,95.89,-24.67,-28.12,-1.13,1.09,0.36,0.36,0.35,0.34,32.26,130.33,6.94,97.76,-9.37,-13.45,1.86,2.88,0.37,0.36,0.35,0.34,0.04,1.3,NA
"1981-01-05",32.33,17.76,-22.67,95.93,-7.23,-9.32,0.98,-1.39,0.36,0.36,0.35,0.34,32.21,0,-41.02,95.7,-9.2,-12.11,-0.82,-2.62,0.36,0.36,0.35,0.34,32.46,93.95,9.72,96.29,-4.15,-7.05,2.35,0.51,0.36,0.36,0.35,0.34,0.49,1.19,NA
"1981-01-06",32.57,33.61,-69.13,97.08,-18.03,-21.55,0.52,-2.22,0.36,0.36,0.35,0.34,32.49,0,-89.56,96.33,-23.56,-26.28,-0.33,-4.21,0.36,0.36,0.35,0.34,32.62,163.44,-31.16,97.4,-9.54,-11.51,1.13,1.12,0.36,0.36,0.35,0.34,0.25,1.25,NA
"1981-01-07",32.55,21.27,-25.84,96.6,-20.89,-24.41,0.09,1.21,0.36,0.36,0.35,0.34,32.52,0,-57.3,96.43,-26.35,-28.57,-0.96,0.72,0.36,0.36,0.35,0.34,32.59,108.41,8.29,96.96,-16.57,-20.05,2.12,1.48,0.36,0.36,0.35,0.34,0.14,0.66,NA
"1981-01-08",32.62,30.2,-49.95,96.78,-17.36,-20.37,0.98,-1.85,0.36,0.36,0.35,0.34,32.56,0,-81.43,96.32,-23.05,-25.92,0.11,-3.11,0.36,0.36,0.35,0.34,32.67,146.81,-22.32,97.63,-15.03,-17.38,2.35,0.42,0.36,0.36,0.35,0.34,0.2,0.87,NA
"1981-01-09",32.56,36.39,-73.69,97.97,-23.13,-27.1,0.96,-0.74,0.36,0.36,0.35,0.34,32.49,0,-91.89,97.69,-26.62,-29.87,-0.32,-2.51,0.36,0.36,0.35,0.34,32.6,179.97,-46.34,98.11,-17.55,-23.71,1.67,0.66,0.36,0.36,0.35,0.34,0.01,0.63,NA
"1981-01-10",32.45,37.33,-59.68,97.98,-20.67,-25.47,0.97,0.79,0.36,0.36,0.35,0.34,32.37,0,-90.97,97.75,-26.25,-30.25,-0.32,0.15,0.36,0.36,0.35,0.34,32.49,180.94,-34.31,98.21,-14.2,-20.88,1.95,1.84,0.36,0.36,0.35,0.34,0,1.12,NA
"1981-01-11",32.35,30.83,-49.66,97.4,-8.05,-11.03,2.25,0.55,0.36,0.36,0.35,0.34,32.22,0,-90.96,96.56,-17.94,-20.29,1.63,-0.11,0.36,0.36,0.35,0.34,32.42,158.82,-0.4,98.1,-1.51,-6.23,3.07,1.36,0.36,0.36,0.35,0.34,0.04,2.43,NA
"1981-01-12",32.06,36.1,-66.4,96.21,-4.22,-7.39,1.65,-0.71,0.36,0.36,0.35,0.34,31.95,0,-91.38,96.03,-7.05,-9.1,0.29,-1.28,0.36,0.36,0.35,0.34,32.2,175.71,-13.82,96.49,0.8,-4.09,3.09,0.49,0.36,0.36,0.35,0.34,0.02,3.21,NA
"1981-01-13",31.87,37.06,-50.37,96.29,-4.86,-7.15,1.53,-1.45,0.36,0.36,0.35,0.34,31.74,0,-92.97,96.05,-9.3,-10.64,0.66,-3.01,0.36,0.36,0.35,0.34,31.95,177.81,-12.83,96.64,-0.29,-4.89,2.5,0.05,0.36,0.36,0.35,0.34,0.11,2.54,NA
"1981-01-14",32.25,20.72,-26.32,97.06,-8.44,-10.32,-0.25,-1.79,0.36,0.36,0.35,0.34,31.85,0,-64.55,96.68,-13.51,-15.3,-0.65,-2.39,0.36,0.36,0.35,0.34,32.42,111.39,-5.21,97.51,-4.99,-6.42,0.79,-1.41,0.36,0.36,0.35,0.34,0.75,1.23,NA
