"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",31.05,30.17,-55.73,96.08,-12.09,-15.79,0.81,-1.51,0.36,0.35,0.34,0.32,30.96,0,-83.69,95.91,-17.61,-21.63,-1.43,-3.88,0.36,0.35,0.34,0.32,31.16,155.32,-23.7,96.29,-6.74,-8.84,3.09,1.28,0.36,0.35,0.34,0.32,0.4,2.54,NA
"1981-01-02",32.06,31.01,-38.49,95.95,-21.07,-24.8,-1.08,-1,0.36,0.35,0.34,0.32,31.06,0,-77.62,95.43,-26.74,-30.26,-2.51,-2.74,0.35,0.35,0.34,0.32,32.45,160.27,2.75,96.49,-16.86,-20.8,0.75,1.48,0.36,0.35,0.34,0.32,1.54,0.95,NA
"1981-01-03",32.55,19.24,-26.43,96.3,-23.6,-29.03,-0.25,0.5,0.35,0.35,0.34,0.32,32.4,0,-65.07,96.11,-28.36,-32.13,-1.7,-0.95,0.35,0.35,0.34,0.32,32.86,99.39,3.57,96.45,-19.22,-25.13,1.01,1.44,0.35,0.35,0.34,0.32,0.59,1.12,NA
"1981-01-04",32.74,29.7,-42.01,95.85,-18.57,-23.38,-0.01,2.69,0.35,0.35,0.34,0.32,32.61,0,-56.58,94.77,-23.56,-28.13,-1.4,1.65,0.35,0.35,0.34,0.32,32.84,165.35,-5.65,96.4,-11.65,-15.72,1.77,3.53,0.35,0.35,0.34,0.32,0,2,NA
"1981-01-05",33.02,24.21,-26.09,94.66,-7.59,-9.86,1.36,-0.82,0.35,0.35,0.34,0.32,32.61,0,-49.93,94.51,-10.89,-14.84,-0.63,-2.19,0.35,0.35,0.34,0.32,33.3,123.08,10.9,94.95,-3.51,-6.49,2.76,1.91,0.35,0.35,0.34,0.32,0.87,1.53,NA
"1981-01-06",33.53,36.41,-64.72,95.69,-17.38,-20.98,0.42,-2.46,0.35,0.35,0.34,0.32,33.33,0,-91.44,95,-22.23,-25.02,-0.67,-4.43,0.35,0.35,0.34,0.32,33.61,176.79,-19.17,95.99,-10.66,-12.41,1.27,0.79,0.35,0.35,0.34,0.32,0.41,1.45,NA
"1981-01-07",33.59,26.5,-25.88,95.29,-20.38,-24.47,-0.2,1.27,0.35,0.35,0.34,0.32,33.51,0,-56.68,95.21,-25.49,-27.92,-1.04,0.97,0.35,0.35,0.34,0.32,33.67,137.72,11.22,95.64,-16.41,-21.58,1.73,1.61,0.35,0.35,0.34,0.32,0.22,0.87,NA
"1981-01-08",33.68,28.8,-48.41,95.42,-17.84,-20.71,1.13,-1.27,0.35,0.35,0.34,0.32,33.59,0,-77.6,95.04,-23.03,-25.76,0.18,-2.89,0.35,0.35,0.34,0.32,33.74,127.71,-11.45,96.19,-14.06,-16.99,2.22,1.39,0.35,0.35,0.34,0.32,0.25,0.73,NA
"1981-01-09",33.71,40.45,-73.66,96.6,-23.36,-26.96,1.03,-0.52,0.35,0.35,0.34,0.32,33.66,0,-89.87,96.25,-26.49,-29.23,0.51,-2.31,0.34,0.35,0.34,0.32,33.75,194.37,-51.62,96.75,-18.48,-23.99,1.58,1.56,0.35,0.35,0.34,0.32,0.02,0.51,NA
"1981-01-10",33.61,40.92,-59.87,96.66,-21.09,-25.67,0.59,1.33,0.34,0.35,0.34,0.32,33.53,0,-94.69,96.39,-26.43,-29.81,0.04,0.55,0.34,0.34,0.34,0.32,33.65,195.47,-32.16,96.95,-14.26,-20.94,1.54,1.9,0.34,0.35,0.34,0.32,0,1.38,NA
