"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",15.23,26.56,-53.04,98.36,-11.38,-15.49,0.96,-2.33,0.37,0.34,0.3,0.29,15.18,0,-86.56,98.12,-17.78,-21.76,-1.9,-5,0.37,0.34,0.3,0.29,15.31,120.6,-28.33,98.62,-5.96,-9.41,3.14,1.16,0.37,0.34,0.3,0.29,0.25,1.15,NA
"1981-01-02",16.25,27.21,-38.25,98.33,-20.71,-24.8,-1.23,-1.38,0.36,0.34,0.3,0.29,15.21,0,-80.9,97.84,-26.11,-30.14,-2.95,-3.79,0.36,0.34,0.3,0.29,16.68,141.77,3.67,98.9,-17.4,-21.36,1.2,1.74,0.37,0.34,0.3,0.29,1.63,0.47,NA
"1981-01-03",16.71,18.52,-32.8,98.76,-23.81,-29.58,-0.27,0.05,0.36,0.33,0.3,0.29,16.59,0,-65.36,98.56,-28.19,-32.1,-1.94,-1.92,0.36,0.33,0.3,0.29,16.96,98.52,-3.42,98.88,-20.02,-26.32,1.05,1.09,0.36,0.34,0.3,0.29,0.51,0.36,NA
"1981-01-04",16.86,28.11,-42.03,98.36,-20.22,-25.32,-0.41,2.87,0.36,0.33,0.3,0.29,16.68,0,-55.83,97.19,-25.82,-30.26,-1.66,1.28,0.36,0.33,0.3,0.29,16.95,147.01,-15.5,98.9,-13.35,-17.38,1.3,4.15,0.36,0.33,0.3,0.29,0,0.75,NA
"1981-01-05",17.04,23.9,-28.04,96.88,-7.6,-10.21,1.24,-1.25,0.36,0.33,0.3,0.29,16.67,0,-64.49,96.73,-12.59,-16.56,-0.75,-3.86,0.36,0.33,0.3,0.29,17.19,132.51,-2.23,97.12,-3.05,-6.4,2.73,2.65,0.36,0.33,0.3,0.29,0.72,0.65,NA
"1981-01-06",17.19,32.75,-66.5,97.97,-16.83,-20.94,1,-3.63,0.36,0.33,0.3,0.29,17.12,0,-92.56,97.18,-22.36,-25.76,-0.25,-5.54,0.36,0.33,0.3,0.29,17.26,158.9,-22.3,98.31,-10.05,-12.72,1.77,-0.02,0.36,0.33,0.3,0.29,0.2,0.72,NA
"1981-01-07",17.17,26.53,-28.56,97.71,-20.27,-24.62,-0.59,1.31,0.36,0.33,0.3,0.29,17.12,0,-58.94,97.6,-24.49,-27.24,-1.39,0.32,0.36,0.33,0.3,0.29,17.25,142.6,4.49,98.07,-17.82,-22.86,1.38,1.74,0.36,0.33,0.3,0.29,0.19,0.38,NA
"1981-01-08",17.13,26.23,-47.72,97.72,-18.1,-21.54,1.44,-1.82,0.35,0.33,0.3,0.29,17.08,0,-78.5,97.35,-22.1,-25.29,0.88,-4.08,0.35,0.33,0.3,0.29,17.19,119.68,-10.49,98.51,-12.89,-16.67,2.03,1.45,0.36,0.33,0.3,0.29,0.09,0.39,NA
"1981-01-09",17.05,36.63,-70.44,98.99,-22.15,-26.3,1.06,-1.53,0.35,0.33,0.3,0.29,17,0,-93.99,98.57,-24.89,-28.09,0.25,-3.56,0.35,0.33,0.3,0.29,17.09,175.41,-37.01,99.16,-17.92,-23.22,1.67,0.66,0.35,0.33,0.3,0.29,0.01,0.21,NA
"1981-01-10",16.96,37.17,-53.94,99.09,-20.72,-25.57,0.58,0.9,0.35,0.33,0.3,0.29,16.89,0,-96.74,98.82,-24.14,-27.77,-0.25,0.18,0.35,0.33,0.3,0.29,17,177.05,-19.61,99.35,-15.25,-21.68,1.89,1.59,0.35,0.33,0.3,0.29,0,0.36,NA
"1981-01-11",16.86,26.38,-39.07,98.54,-13.1,-15.86,2.14,0.94,0.35,0.33,0.3,0.29,16.81,0,-80.59,97.64,-24.77,-27.65,1.56,0.41,0.35,0.33,0.3,0.29,16.92,146.28,12.86,99.29,-3.62,-7.04,2.91,1.4,0.35,0.33,0.3,0.29,0.04,0.42,NA
"1981-01-12",16.72,36.71,-60.86,97.16,-5.23,-8.45,1.84,-1.13,0.35,0.33,0.3,0.29,16.61,0,-91.1,96.99,-9.64,-11.15,0.65,-2.42,0.35,0.33,0.3,0.29,16.81,174.91,-14.1,97.54,-0.44,-4.52,3.24,0.31,0.35,0.33,0.3,0.29,0.06,1.01,NA
"1981-01-13",16.44,37.18,-43.82,97.19,-6.06,-8.55,1.36,-1.81,0.36,0.32,0.3,0.29,16.13,0,-92.54,96.98,-11.6,-13.04,0.57,-4.63,0.35,0.32,0.3,0.29,16.69,175.71,-2.22,97.46,0.46,-4.73,2.14,0.11,0.36,0.33,0.3,0.29,0.09,0.9,NA
"1981-01-14",16.28,26.66,-29.72,97.94,-9.26,-11.75,0.18,-3.01,0.36,0.32,0.3,0.29,16.16,0,-68.15,97.52,-13.64,-15.86,-0.73,-4.27,0.36,0.32,0.3,0.29,16.37,135.16,-5.42,98.41,-6.06,-8.1,1.34,-2.45,0.36,0.32,0.3,0.29,0.4,0.76,NA
"1981-01-15",16.35,33.15,-47.97,98.94,-15.57,-18.79,-0.04,-2.35,0.36,0.32,0.3,0.29,16.3,0,-87.69,98.42,-18.51,-20.51,-0.93,-3.27,0.36,0.32,0.3,0.29,16.42,173.96,-21.82,99.29,-12.9,-16.35,1.55,-0.06,0.36,0.32,0.3,0.29,0.21,0.46,NA
"1981-01-16",16.2,29.06,-40.32,98.64,-13.21,-17.1,2.99,0.88,0.36,0.32,0.3,0.29,15.91,0,-76.9,97.97,-22.41,-24.19,1.55,-0.45,0.36,0.32,0.3,0.29,16.31,143.85,-12.98,99.21,-5.33,-11.37,5.17,1.58,0.36,0.32,0.3,0.29,0,1.54,NA
"1981-01-17",15.45,42.69,-82.41,97.8,-3.16,-11.25,3.44,-0.25,0.36,0.32,0.3,0.29,15.04,0,-105.74,97.72,-7.58,-13.15,2.48,-0.84,0.36,0.32,0.3,0.29,15.87,197.28,-65.46,97.97,2.91,-8.3,4.99,0.85,0.36,0.32,0.3,0.29,0,4.14,NA
