"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",34.64,25.16,-53.14,95.55,-12.06,-14.94,1.5,-1.48,0.34,0.31,0.28,0.29,34.61,0,-82.95,95.25,-18.11,-20.93,-1.97,-3.7,0.34,0.31,0.28,0.29,34.68,126.33,-20.68,95.77,-7.1,-8.82,3.67,1.9,0.35,0.31,0.28,0.29,0.12,0.6,NA
"1981-01-02",35.14,25.92,-39.64,95.31,-20.01,-23.53,-2.21,-0.97,0.34,0.31,0.28,0.29,34.62,0,-81.34,94.71,-25.03,-28.84,-3.79,-2.81,0.34,0.31,0.28,0.29,35.37,129.43,7.55,95.92,-15.61,-18.64,-0.61,2.13,0.34,0.31,0.28,0.29,0.81,0.37,NA
"1981-01-03",35.66,13.98,-15.5,95.68,-23.05,-27.48,-1.03,1.03,0.34,0.31,0.28,0.29,35.32,0,-51.3,95.45,-27.23,-31.71,-2.39,-0.15,0.34,0.31,0.28,0.29,36.37,76.69,15.34,95.88,-18.67,-22.89,0.51,1.78,0.34,0.31,0.28,0.29,1.15,0.37,NA
"1981-01-04",36.31,24.07,-38.48,95.24,-18.26,-22.29,-0.3,3.32,0.34,0.31,0.28,0.29,36.24,0,-56.7,94.27,-22.58,-26.87,-2.46,1.67,0.33,0.31,0.28,0.29,36.37,122.81,-5.62,95.73,-12.02,-15.36,2.19,4.44,0.34,0.31,0.28,0.29,0,0.69,NA
"1981-01-05",36.38,18.69,-27.64,94.17,-7.14,-8.76,2.08,-1.22,0.33,0.31,0.28,0.29,36.24,0,-47.93,94.05,-11.04,-14.25,-0.07,-2.28,0.33,0.31,0.28,0.29,36.73,95.94,-3.57,94.42,-3.29,-4.88,3.26,2.1,0.33,0.31,0.28,0.29,0.49,0.32,NA
"1981-01-06",36.95,29.14,-66.92,95.14,-17.1,-20,0.11,-2.02,0.33,0.31,0.28,0.29,36.78,0,-91.08,94.47,-26.09,-28.29,-2.14,-3.91,0.33,0.31,0.28,0.29,37,141.04,-23.92,95.48,-7.81,-8.85,1.6,1.95,0.33,0.31,0.28,0.29,0.28,0.28,NA
"1981-01-07",37.27,18.15,-18.81,94.69,-20.23,-23.76,-0.62,1.61,0.33,0.31,0.28,0.29,36.95,0,-51.45,94.58,-26.72,-29.13,-2.06,0.92,0.33,0.31,0.28,0.29,37.48,92.92,15.53,95.02,-16.34,-20.35,2.12,2.13,0.33,0.31,0.28,0.29,0.61,0.29,NA
"1981-01-08",37.56,23.39,-42.97,94.88,-16.86,-19.46,0.78,-1.32,0.33,0.31,0.28,0.29,37.49,0,-76.39,94.54,-23.21,-25.92,-1.53,-2.66,0.33,0.31,0.28,0.29,37.6,119.53,5.16,95.62,-12.23,-15.69,2.5,1.55,0.33,0.31,0.28,0.29,0.16,0.22,NA
"1981-01-09",37.61,31.17,-61.74,96.05,-24.49,-27.95,0.49,-0.25,0.33,0.31,0.28,0.29,37.6,0,-82.4,95.7,-28.46,-31.17,-0.94,-2.31,0.33,0.31,0.28,0.29,37.62,149.37,-42.91,96.23,-19.76,-24.96,1.39,2.03,0.33,0.31,0.28,0.29,0.01,0.12,NA
"1981-01-10",37.59,32,-48.83,96.09,-22.14,-26.35,-0.29,1.52,0.33,0.31,0.28,0.29,37.57,0,-83.91,95.78,-26.04,-29.32,-1.77,0.62,0.33,0.31,0.28,0.29,37.6,152.41,-13.75,96.4,-16.33,-21.88,1.1,2.5,0.33,0.31,0.28,0.29,0,0.28,NA
"1981-01-11",37.62,27.49,-32.79,95.75,-11.98,-14.16,2.13,1.21,0.33,0.31,0.28,0.29,37.57,0,-79.31,95.02,-22.22,-24.79,0.63,0.38,0.33,0.31,0.28,0.29,37.65,139.15,18.56,96.36,-5.25,-7.68,3.43,2.45,0.33,0.31,0.28,0.29,0.08,0.34,NA
"1981-01-12",37.65,31.42,-53.32,94.53,-6.89,-9.38,2.65,-0.93,0.33,0.31,0.28,0.29,37.61,0,-77.2,94.28,-9.84,-12.02,1.99,-1.64,0.32,0.31,0.28,0.29,37.68,149.35,-22.09,94.92,-2.85,-6.09,3.81,0.24,0.33,0.31,0.28,0.29,0.01,0.76,NA
"1981-01-13",37.61,32.12,-48.99,94.56,-5.52,-7.65,2.65,-1.98,0.32,0.31,0.28,0.29,37.56,0,-85.62,94.28,-9.39,-11.27,1.73,-3.23,0.32,0.31,0.28,0.29,37.67,151.61,-7.65,94.83,-2.39,-4.84,3.74,-0.94,0.32,0.31,0.28,0.29,0.1,0.79,NA
"1981-01-14",38.16,15.89,-23.13,95.16,-6.68,-8.15,-0.35,-1.84,0.32,0.31,0.28,0.29,37.71,0,-59.66,94.86,-13.52,-15.14,-1.87,-2.7,0.32,0.31,0.28,0.29,38.39,72.68,-6,95.55,-3.94,-5.03,1.69,-1.22,0.32,0.31,0.28,0.29,0.83,0.38,NA
