"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",7.76,28.61,-60.04,97.47,-9.03,-12.98,1.59,-1.82,0.31,0.27,0.18,0.19,7.69,0,-83.72,97.28,-15.45,-19.79,-2.78,-4.8,0.31,0.27,0.18,0.19,7.82,131.44,-39.95,97.62,-3.34,-5.59,3.99,1.45,0.31,0.27,0.18,0.19,0.1,0.71,NA
"1981-01-02",7.88,29.2,-46.85,97.18,-17.6,-21.93,-3.08,-1.25,0.31,0.26,0.18,0.19,7.69,0,-84.24,96.5,-25.13,-29.61,-5.59,-3.18,0.31,0.26,0.18,0.19,8.04,157.95,-1.42,97.89,-13.83,-17.59,-0.74,1.83,0.31,0.27,0.18,0.19,0.43,0.61,NA
"1981-01-03",8.26,22.53,-32.68,97.71,-21.1,-27.01,-1.44,0.45,0.31,0.26,0.18,0.19,7.98,0,-62.79,97.47,-24.19,-30.04,-3.6,-0.95,0.31,0.26,0.18,0.19,8.94,142.66,5.75,97.9,-17.58,-22.99,0.49,1.24,0.31,0.26,0.18,0.19,1.07,0.38,NA
"1981-01-04",8.86,31.89,-50.93,97.34,-16.98,-21.88,-1.42,2.4,0.31,0.26,0.18,0.19,8.78,0,-66.03,96.36,-21.41,-26.16,-3.86,0.8,0.31,0.26,0.18,0.19,8.93,157.19,-34.38,97.77,-12.06,-16.13,2.23,3.78,0.31,0.26,0.19,0.19,0,0.46,NA
"1981-01-05",9.22,28.27,-36.59,96.04,-6.23,-8.41,2.48,-0.65,0.31,0.26,0.19,0.19,8.78,0,-66.21,95.91,-11.44,-15.34,-0.26,-3.02,0.31,0.26,0.19,0.19,10.34,137.28,-3.4,96.25,-1.76,-4.03,3.66,2.92,0.31,0.26,0.19,0.19,1.62,0.23,NA
"1981-01-06",10.48,33.27,-68.62,97.02,-13.86,-17.75,0.05,-2.73,0.31,0.26,0.19,0.19,10.39,0,-100.02,96.23,-21.01,-24.97,-1.67,-4.39,0.31,0.26,0.19,0.19,10.56,159.3,-24.44,97.38,-5.07,-6.43,1.61,0.9,0.31,0.26,0.19,0.19,0.21,0.33,NA
"1981-01-07",10.93,19.57,-20.02,96.68,-18.73,-22.9,-2.02,1.07,0.31,0.26,0.19,0.19,10.46,0,-54.44,96.52,-24.96,-28,-3.6,0.65,0.31,0.26,0.19,0.19,11.24,106.39,7.95,97.06,-15.44,-20.33,2.31,1.84,0.31,0.26,0.19,0.19,0.94,0.36,NA
"1981-01-08",11.27,19.17,-37.44,96.8,-15.7,-18.86,1.26,-0.88,0.31,0.26,0.19,0.19,11.25,0,-77.24,96.53,-20.73,-24.2,-1.61,-3.2,0.31,0.26,0.19,0.19,11.3,91.54,4.8,97.5,-9.6,-13.6,3.04,1.58,0.31,0.26,0.19,0.19,0.13,0.23,NA
"1981-01-09",11.28,33.94,-66.41,98.05,-22.88,-27.24,0.94,-0.67,0.31,0.26,0.19,0.19,11.26,0,-95.55,97.61,-27.4,-30.04,-0.37,-2.36,0.31,0.26,0.19,0.19,11.3,159.58,-45.64,98.26,-18.27,-23.83,1.85,1.27,0.31,0.26,0.19,0.19,0,0.14,NA
"1981-01-10",11.27,33.89,-47.97,98.09,-20.87,-25.13,-0.83,0.52,0.31,0.26,0.19,0.19,11.24,0,-92.73,97.72,-25.72,-28.77,-2.43,-0.28,0.31,0.26,0.19,0.19,11.29,161.94,-9.47,98.46,-15.58,-20.61,2.22,1.62,0.31,0.26,0.19,0.19,0.03,0.2,NA
"1981-01-11",11.27,26.67,-33.97,97.79,-13.09,-15.36,2.71,1.44,0.31,0.26,0.19,0.19,11.22,0,-74.3,97.01,-25.56,-27.19,1.72,0.97,0.31,0.26,0.19,0.19,11.31,142.68,12.91,98.48,-5.3,-7.87,3.84,1.77,0.31,0.26,0.19,0.19,0.07,0.16,NA
"1981-01-12",11.3,34.14,-59.7,96.4,-6.12,-8.55,3.03,-0.57,0.31,0.26,0.19,0.19,11.23,0,-84.24,96.13,-8.68,-10.61,2.21,-2.07,0.31,0.26,0.19,0.19,11.36,159.54,-18.41,96.9,-1.59,-5.24,4.05,1,0.31,0.26,0.19,0.19,0.01,0.17,NA
"1981-01-13",11.25,34.86,-55.03,96.37,-4.83,-7.26,3,-2.16,0.31,0.25,0.19,0.19,11.13,0,-86.63,96.09,-8.17,-10.25,1.98,-3.58,0.31,0.25,0.19,0.19,11.33,161.6,-10.25,96.61,-0.99,-4.61,4.5,-0.46,0.31,0.26,0.19,0.19,0.07,0.4,NA
"1981-01-14",11.39,18.26,-26.76,96.98,-5.21,-7.53,-0.05,-2.39,0.31,0.25,0.19,0.19,11.18,0,-63.87,96.66,-12.15,-14.64,-2.31,-3.51,0.31,0.25,0.19,0.19,11.5,95.51,-6.9,97.39,-2.73,-4.43,2.49,-1.6,0.31,0.25,0.19,0.19,0.53,0.43,NA
"1981-01-15",11.55,32.91,-57.64,97.95,-15.47,-18.66,-0.47,-1.97,0.31,0.25,0.19,0.19,11.5,0,-92.36,97.42,-18.07,-20.77,-2,-2.41,0.31,0.25,0.19,0.19,11.61,158.25,-34.89,98.34,-11.96,-15.37,0.79,-0.72,0.31,0.25,0.19,0.19,0.1,0.22,NA
"1981-01-16",11.5,31.51,-45.06,97.96,-15.14,-17.77,3.19,1.24,0.31,0.25,0.19,0.19,11.41,0,-72.29,97.47,-23.13,-24.77,1.25,-0.55,0.31,0.25,0.19,0.19,11.56,160.96,-21.49,98.33,-8.74,-11.94,4.85,2.06,0.31,0.25,0.19,0.19,0,0.32,NA
"1981-01-17",11.29,39.27,-75.69,97.23,-6.45,-10.36,3.93,0.83,0.31,0.25,0.19,0.19,11.12,0,-95.2,97.03,-9.16,-12.9,2.7,0.25,0.31,0.25,0.19,0.19,11.41,178.26,-66.87,97.46,-1.13,-6.9,4.78,1.69,0.31,0.25,0.19,0.19,0,0.65,NA
"1981-01-18",11.13,40.06,-65.87,96.46,-7.06,-9.79,2.84,1.37,0.31,0.25,0.19,0.19,11.03,0,-90.01,96.02,-12.05,-14.18,2.11,-0.25,0.31,0.25,0.19,0.19,11.21,181.56,-49.12,96.98,-1.28,-5.58,3.81,2.08,0.31,0.25,0.19,0.19,0,0.31,NA
"1981-01-19",11.1,41.75,-73.74,96.33,-8.7,-11.11,1.8,-2,0.31,0.25,0.19,0.19,11.05,0,-98.47,95.99,-12.78,-14.49,0.54,-2.63,0.31,0.25,0.19,0.19,11.16,188.6,-54.06,96.72,-4.8,-8.4,3.7,-0.57,0.31,0.25,0.19,0.19,0,0.16,NA
"1981-01-20",11.04,42.25,-52.98,96.81,-11.22,-13.61,2.5,0.98,0.31,0.25,0.19,0.19,10.94,0,-82.32,96.69,-17.86,-19.25,0.56,-0.84,0.31,0.25,0.19,0.19,11.1,190.2,-26.28,96.94,-4.15,-8.04,3.55,2.11,0.31,0.25,0.19,0.19,0,0.37,NA
"1981-01-21",10.89,38.14,-60.01,96.81,-5.68,-7.82,2.63,-0.19,0.31,0.25,0.19,0.19,10.74,0,-84.67,96.63,-9.47,-11.22,2.05,-0.88,0.31,0.25,0.19,0.19,11.01,163.35,-42.44,96.96,0.94,-2.17,3.45,1.49,0.31,0.25,0.19,0.19,0,0.2,NA
"1981-01-22",10.76,40.88,-45.83,96.64,-6.89,-8.26,1.71,0.48,0.31,0.25,0.19,0.19,10.66,0,-82.9,96.23,-12.69,-13.88,0.44,-0.8,0.31,0.25,0.19,0.19,10.83,187.06,-12.4,96.84,0.32,-2.15,2.75,1.58,0.31,0.25,0.19,0.19,0,0.18,NA
"1981-01-23",10.1,42.01,-35.8,95.77,-1.95,-3.24,2.11,0.64,0.32,0.25,0.19,0.19,9.15,0,-72.08,95.48,-5.27,-5.92,1.19,-0.46,0.31,0.25,0.19,0.19,10.75,193.02,-10.09,96.2,3.74,0.57,2.7,1.55,0.33,0.25,0.19,0.19,0.01,0.26,NA
"1981-01-24",8.8,33.59,-24.72,95.05,-3.01,-3.43,1.06,-0.68,0.33,0.26,0.19,0.19,8.29,0,-42.55,94.66,-7.63,-7.9,-0.16,-1.68,0.32,0.25,0.19,0.19,9.19,154.92,-4.59,95.46,0.11,-0.33,2.15,0.11,0.33,0.26,0.19,0.19,0.08,0.13,NA
