"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",4.99,25.63,-51.57,95.6,-6.48,-10.01,2.12,-1.12,0.36,0.32,0.22,0.23,4.94,0,-77.91,95.06,-9.61,-11.55,-2.02,-4.13,0.36,0.32,0.22,0.23,5.04,121.83,-14.06,95.78,-4.56,-7.94,4.11,2.29,0.36,0.32,0.22,0.23,0.03,0.64,NA
"1981-01-02",4.94,37.78,-61.2,95.05,-11.99,-16.3,-1.84,-0.65,0.36,0.32,0.22,0.23,4.9,0,-93.96,94.27,-18.05,-23.77,-4.48,-3.82,0.36,0.32,0.22,0.23,4.98,186.98,-27.86,95.79,-7.57,-9.48,2.21,2.8,0.36,0.32,0.23,0.23,0.02,0.58,NA
"1981-01-03",4.89,33.44,-50.81,95.47,-17.02,-23.1,-2.99,1.58,0.36,0.32,0.23,0.23,4.85,0,-71.05,95.17,-19.65,-25.06,-4.4,0.73,0.36,0.31,0.23,0.23,4.92,157.4,-8.01,95.8,-12.91,-20.68,-1.74,2.49,0.36,0.32,0.23,0.23,0.03,0.62,NA
"1981-01-04",4.79,43.47,-59.01,95.09,-12.66,-18.61,-1.58,2.38,0.36,0.31,0.23,0.23,4.73,0,-79.35,94.38,-17.45,-22.87,-4.28,0.48,0.36,0.31,0.23,0.23,4.85,205.72,-40.71,95.48,-6.61,-11.5,3.49,3.67,0.36,0.31,0.23,0.23,0,0.72,NA
"1981-01-05",5.77,30.21,-37.3,94.31,-4.12,-6.26,3.51,-2.13,0.36,0.31,0.23,0.23,4.75,0,-54.86,94.13,-9.01,-11.83,2.08,-5.22,0.36,0.31,0.23,0.23,8.33,158.11,-8.94,94.52,0.34,-1.6,4.44,-0.18,0.36,0.31,0.23,0.23,3.67,0.32,NA
"1981-01-06",8.34,36.8,-56.64,95.11,-11.83,-15.28,-0.72,-2,0.36,0.31,0.23,0.23,8.31,0,-104.7,94.71,-19.6,-22.66,-3.52,-4.54,0.36,0.31,0.23,0.23,8.38,178.77,-11.07,95.45,-4.27,-6.16,2.36,2.44,0.36,0.31,0.23,0.23,0.1,0.49,NA
"1981-01-07",11.89,9.86,-10.22,94.5,-16.89,-19.61,-2.72,1.19,0.36,0.31,0.23,0.23,8.39,0,-57.7,94.15,-20.73,-22.57,-5.13,-0.27,0.36,0.31,0.23,0.23,13.01,49.41,8.66,94.8,-14.81,-17.87,2.14,2.28,0.36,0.31,0.23,0.23,4.84,0.22,NA
"1981-01-08",13.03,12.61,-22.68,94.93,-13.36,-15.66,1.16,-1.61,0.36,0.31,0.23,0.23,13,0,-62.17,94.65,-19.31,-21.34,-1.34,-3.28,0.36,0.31,0.23,0.23,13.08,65,13.87,95.65,-9.21,-11.88,2.56,0.61,0.36,0.31,0.23,0.23,0.13,0.06,NA
"1981-01-09",13.1,20,-56.22,96,-21.8,-25.29,-1.66,0.15,0.36,0.31,0.23,0.23,13.09,0,-71.95,95.7,-25.06,-27.47,-2.77,-2.36,0.36,0.31,0.23,0.23,13.11,99.57,-29.02,96.23,-17.89,-21.23,-0.31,1.99,0.36,0.31,0.23,0.23,0,0.01,NA
"1981-01-10",16.26,14.05,-12.28,95.97,-17.78,-20.28,-2.33,0.86,0.36,0.31,0.23,0.23,13.4,0,-59.53,95.44,-19.63,-22.42,-4.23,-0.3,0.36,0.31,0.23,0.23,16.83,70.27,35.68,96.39,-16.64,-18.68,-0.45,1.99,0.36,0.31,0.23,0.23,3.79,0.06,NA
