"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",4.76,29.72,-56.58,95.68,-7.5,-12.03,1.5,-1.45,0.37,0.32,0.24,0.25,4.72,0,-91.94,95.23,-11.55,-15.56,-2.32,-4.68,0.37,0.32,0.24,0.25,4.81,140.03,-23.3,95.86,-5.1,-8.92,3.92,2.55,0.38,0.32,0.24,0.25,0.05,0.87,NA
"1981-01-02",4.75,36.58,-58.36,95.22,-14.15,-18.65,-2.29,-0.91,0.37,0.32,0.24,0.25,4.72,0,-88.53,94.45,-19.65,-25.31,-4.53,-4.24,0.37,0.32,0.24,0.25,4.8,191.22,-18.55,95.94,-9.81,-11.45,-0.16,3.5,0.37,0.32,0.24,0.25,0.09,0.67,NA
"1981-01-03",4.83,26.75,-43.4,95.67,-18.67,-24.5,-2.09,1.7,0.37,0.32,0.24,0.25,4.75,0,-69.89,95.4,-21.11,-26.79,-3.54,0.15,0.37,0.32,0.24,0.25,4.93,159.9,6.05,95.95,-15.9,-22.37,-0.65,2.59,0.37,0.32,0.24,0.25,0.23,0.55,NA
"1981-01-04",4.85,42.05,-56.57,95.27,-14,-19.67,-0.92,2.97,0.37,0.31,0.24,0.25,4.79,0,-73.59,94.45,-18.31,-23.55,-3.31,1.23,0.37,0.31,0.24,0.25,4.91,200.7,-37.47,95.69,-9.42,-12.42,3.3,4.49,0.37,0.32,0.24,0.25,0,0.75,NA
"1981-01-05",5.85,30.69,-39.16,94.35,-4.23,-6.34,3.07,-2.25,0.37,0.31,0.24,0.25,4.79,0,-60.9,94.19,-9.18,-12.33,1.63,-5.19,0.37,0.31,0.24,0.25,8.9,155.59,-7.44,94.56,-0.09,-2.37,4,0.33,0.37,0.31,0.24,0.25,4.16,0.3,NA
"1981-01-06",8.86,32.68,-55.73,95.23,-13.87,-17.15,-0.26,-2.55,0.37,0.31,0.24,0.25,8.82,0,-101.23,94.74,-23.18,-25.73,-2.54,-5.38,0.37,0.31,0.24,0.25,8.9,165.68,-15.24,95.56,-5.21,-7.09,2.14,2.28,0.37,0.31,0.25,0.25,0.06,0.52,NA
"1981-01-07",11.26,9.73,-13.2,94.69,-17.69,-20.56,-1.81,1.5,0.37,0.31,0.25,0.25,8.84,0,-59.57,94.44,-22.16,-24.21,-4.25,0.4,0.37,0.31,0.25,0.25,12.29,47.22,7.29,94.91,-15.34,-18.33,2.6,2.58,0.37,0.31,0.25,0.25,3.58,0.21,NA
"1981-01-08",12.31,13.1,-27.72,95.02,-14.21,-16.64,1.25,-1.85,0.37,0.31,0.25,0.25,12.27,0,-67.44,94.74,-20.34,-22.45,-1.35,-3.72,0.37,0.31,0.25,0.25,12.34,63.57,10.03,95.77,-9.43,-12.37,2.56,0.76,0.37,0.31,0.25,0.25,0.09,0.07,NA
"1981-01-09",12.35,22.4,-61.84,96.15,-22.92,-26.46,-0.53,-0.14,0.37,0.31,0.25,0.25,12.34,0,-81.42,95.82,-27.09,-29.84,-1.38,-3,0.37,0.31,0.25,0.25,12.36,107.09,-41.91,96.37,-18.11,-22.69,0.81,2.79,0.37,0.31,0.25,0.25,0,0.04,NA
"1981-01-10",14.32,17.9,-23.81,96.14,-20.16,-22.91,-0.97,0.87,0.37,0.31,0.25,0.25,12.44,0,-79.01,95.68,-25.52,-27.58,-3.14,-0.78,0.37,0.31,0.25,0.25,14.74,86.1,30.35,96.54,-17.16,-20.29,1.35,2.53,0.37,0.31,0.25,0.25,2.44,0.06,NA
