"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",6.92,28.99,-55.88,97.43,-8.79,-13.27,1.25,-2.2,0.34,0.32,0.26,0.25,6.9,0,-87.55,97.22,-15.1,-19.77,-2.63,-5.17,0.34,0.32,0.26,0.25,6.96,146.23,-26.58,97.6,-3.91,-6.38,4.4,1.48,0.35,0.32,0.26,0.25,0.21,0.76,0
"1981-01-02",7.32,25.61,-42.09,97.19,-18.45,-22.63,-2.62,-0.95,0.34,0.32,0.26,0.25,6.91,0,-84.02,96.57,-25.51,-29.44,-5.05,-3.83,0.34,0.32,0.26,0.25,7.61,145.89,-5.07,97.87,-14.84,-19.03,-0.52,2.35,0.34,0.32,0.26,0.25,0.79,0.48,0
"1981-01-03",7.82,24.8,-34.46,97.74,-22.17,-27.39,-0.73,0.55,0.34,0.32,0.26,0.25,7.59,0,-63.09,97.53,-25.66,-29.57,-2.83,-1.59,0.34,0.32,0.26,0.25,8.4,140.14,2.12,97.88,-18.46,-24.1,1.04,1.55,0.34,0.32,0.26,0.25,0.88,0.29,0
"1981-01-04",8.32,32.21,-51.28,97.43,-18.19,-23.54,-1.12,3.72,0.34,0.32,0.26,0.25,8.2,0,-63.34,96.45,-22.63,-27.55,-3.14,1.58,0.34,0.32,0.26,0.25,8.39,155.97,-42.18,97.86,-12.59,-17.48,1.43,5.11,0.34,0.32,0.26,0.25,0,0.51,0
"1981-01-05",8.24,29.8,-38.22,96.01,-6.85,-9.36,2.52,-0.53,0.34,0.32,0.26,0.25,8.13,0,-67.11,95.9,-12.09,-16.7,-0.98,-3.18,0.34,0.31,0.26,0.25,8.82,144.56,-1.3,96.33,-2.51,-5.16,4.08,4.25,0.34,0.32,0.26,0.25,0.7,0.27,0
"1981-01-06",8.93,35.64,-69.17,96.96,-14.49,-18.67,0.35,-3.47,0.34,0.31,0.26,0.25,8.88,0,-98.94,96.15,-20.08,-24.43,-1.63,-5.62,0.34,0.31,0.26,0.25,8.99,167.33,-17.95,97.29,-6.74,-8.22,1.63,0.69,0.34,0.31,0.26,0.25,0.2,0.44,0
"1981-01-07",9.19,25.19,-26.55,96.71,-19.36,-23.61,-1.54,1.57,0.34,0.31,0.26,0.25,8.9,0,-55.43,96.56,-25.35,-27.77,-2.73,0.95,0.34,0.31,0.26,0.25,9.37,129.56,5.87,97.1,-15.9,-21.51,1.81,2.25,0.34,0.31,0.26,0.25,0.58,0.33,0
"1981-01-08",9.42,23,-44.16,96.77,-16.83,-20.06,1.4,-0.97,0.34,0.31,0.26,0.25,9.37,0,-80.5,96.51,-22.2,-24.78,-1.08,-4.07,0.34,0.31,0.26,0.25,9.46,114.02,-4.41,97.44,-10.35,-14.47,3.42,2.02,0.34,0.31,0.26,0.25,0.15,0.22,0
"1981-01-09",9.47,36.87,-68.86,98.02,-22.68,-26.85,1.15,-1.02,0.34,0.31,0.26,0.25,9.46,0,-95.52,97.52,-27.09,-29.64,-0.28,-3.08,0.34,0.31,0.26,0.25,9.49,172.95,-47.2,98.21,-18.29,-24.03,2.02,1.7,0.34,0.31,0.26,0.25,0.01,0.14,0
"1981-01-10",9.46,36.72,-51.33,98.1,-21.74,-25.79,-0.41,1.42,0.34,0.31,0.26,0.25,9.45,0,-96.27,97.76,-26.8,-29.39,-1.61,0.41,0.34,0.31,0.26,0.25,9.48,175.57,-14.11,98.46,-15.06,-20.6,1.72,2.31,0.34,0.31,0.26,0.25,0.01,0.17,0
"1981-01-11",9.47,24.08,-37.19,97.79,-13.87,-16.1,2.78,1.29,0.34,0.31,0.26,0.25,9.44,0,-76.72,96.96,-26.03,-27.51,1.41,0.42,0.34,0.31,0.26,0.25,9.51,120.08,10.42,98.46,-4.81,-7.76,4.08,2.22,0.34,0.31,0.26,0.25,0.05,0.08,0
"1981-01-12",9.5,37.13,-64.08,96.35,-5.5,-7.97,3.51,-0.73,0.34,0.31,0.26,0.25,9.43,0,-87.87,96.11,-7.44,-9.75,2.68,-1.98,0.34,0.31,0.26,0.25,9.55,173.3,-35.77,96.87,-1.56,-5.29,4.74,0.71,0.34,0.31,0.26,0.25,0,0.16,0
"1981-01-13",9.49,37.55,-51.29,96.3,-5.6,-7.82,3.09,-1.67,0.34,0.31,0.26,0.25,9.39,0,-85.36,96.05,-10.44,-12,1.89,-3.57,0.34,0.31,0.26,0.25,9.56,173.22,-8.26,96.52,-0.82,-4.68,4.9,-0.36,0.34,0.31,0.26,0.25,0.16,0.36,0
"1981-01-14",9.68,21.91,-30.14,96.94,-7.27,-9.75,0.04,-3.15,0.34,0.31,0.26,0.25,9.44,0,-65.77,96.58,-13.84,-15.87,-1.5,-4.08,0.34,0.31,0.26,0.25,9.8,119.93,-8.06,97.36,-3.75,-5.35,1.91,-2.47,0.34,0.31,0.26,0.25,0.57,0.48,0
"1981-01-15",9.9,31.47,-47.12,97.9,-15.2,-18.75,-0.65,-2.56,0.34,0.31,0.26,0.25,9.81,0,-73.38,97.35,-16.8,-20.45,-1.58,-3.14,0.34,0.31,0.26,0.25,9.96,165.41,-25.57,98.3,-13.16,-16.26,0.7,-0.68,0.34,0.31,0.26,0.25,0.19,0.32,0
"1981-01-16",9.84,31.94,-45.88,97.94,-14.7,-17.63,3.47,1.07,0.34,0.31,0.26,0.25,9.73,0,-74.83,97.41,-23.76,-25.07,1.24,-0.39,0.34,0.31,0.26,0.25,9.9,159.75,-22.9,98.3,-7.56,-11.62,5.93,1.7,0.34,0.31,0.26,0.25,0,0.36,0
