"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",21.84,27.67,-47.81,98.36,-12.88,-16.59,1.48,-2.52,0.26,0.23,0.24,0.24,21.76,0,-89.25,97.93,-20.97,-24.65,-0.08,-4.17,0.26,0.23,0.24,0.24,21.96,156.35,-16.04,98.73,-6.47,-9.37,2.19,-0.46,0.27,0.23,0.24,0.24,0.41,2.46,0.02
"1981-01-02",22.89,29.43,-36.32,98.39,-22.95,-27.12,-0.4,-1.33,0.26,0.23,0.24,0.24,21.85,0,-89.41,98.07,-29.82,-33.25,-1.67,-2.88,0.26,0.23,0.24,0.24,23.45,154.49,5.7,98.88,-19.66,-24.76,1.18,0.32,0.26,0.23,0.24,0.24,1.72,0.78,0.03
"1981-01-03",23.35,39.19,-59.15,98.93,-28.55,-32.78,0.5,-1.19,0.26,0.23,0.24,0.24,23.3,0,-76.59,98.8,-32,-35.42,-2.12,-1.98,0.26,0.23,0.24,0.24,23.38,192.86,-21.86,99.1,-23.75,-29.2,1.64,0,0.26,0.23,0.24,0.24,0.02,0.37,0.03
"1981-01-04",23.24,42.62,-56.19,98.96,-25.77,-30.55,-1.29,1.91,0.26,0.23,0.24,0.24,23.12,0,-70.75,98.04,-32.6,-36.27,-2.27,0.26,0.26,0.23,0.24,0.24,23.3,206.16,-33.7,99.4,-18.3,-23.99,0.04,3.4,0.26,0.23,0.24,0.24,0,0.87,0.03
"1981-01-05",23.04,24.43,-14.22,97.1,-10.45,-14.28,1.42,0.72,0.26,0.23,0.24,0.24,22.97,0,-34.99,96.86,-17.67,-23.37,0.19,-2.03,0.26,0.23,0.24,0.24,23.11,124.33,13.75,97.92,-5.9,-8.8,2.36,3.53,0.26,0.23,0.24,0.24,0.26,2.23,0.03
"1981-01-06",23.14,41.7,-60.1,97.78,-17.75,-21.37,1.53,-3.22,0.26,0.23,0.24,0.24,23.09,0,-84.14,96.95,-24.86,-27.84,0.52,-4.47,0.26,0.23,0.24,0.24,23.21,203.88,-8.38,98.27,-8.17,-9.9,2.28,-1.75,0.26,0.23,0.24,0.24,0.25,1.53,0.03
"1981-01-07",23.06,38.62,-42.02,97.98,-24.36,-28.01,-0.71,0.16,0.26,0.23,0.24,0.24,23,0,-77.61,97.89,-29.47,-32.34,-1.62,-1.49,0.26,0.23,0.24,0.24,23.1,205.17,-1.87,98.18,-19.68,-24.64,0.9,1.34,0.26,0.23,0.24,0.24,0.03,0.45,0.03
"1981-01-08",23,30.32,-46.08,97.81,-19.87,-23.32,1.28,0.12,0.26,0.23,0.24,0.24,22.97,0,-70.64,97.61,-24.42,-27.72,-0.32,-3.41,0.26,0.23,0.24,0.24,23.06,140.29,-23.63,98.28,-13.62,-16.97,2.39,2.15,0.26,0.23,0.24,0.24,0.22,0.6,0.03
"1981-01-09",23.03,44.97,-69.35,98.99,-24.68,-28.12,1.63,-1.66,0.26,0.23,0.24,0.24,22.97,0,-83.89,98.36,-27.02,-30.02,1.05,-2.61,0.26,0.23,0.24,0.24,23.06,215.75,-50.86,99.35,-21.67,-26.17,2.13,-0.44,0.26,0.23,0.24,0.24,0.02,0.34,0.03
"1981-01-10",22.93,46.31,-59.15,99.32,-23.63,-27.26,0.75,-0.34,0.26,0.22,0.24,0.24,22.85,0,-90.14,99.08,-28.14,-30.94,-0.18,-1.51,0.26,0.22,0.24,0.24,22.97,218.16,-30.63,99.66,-16.98,-22.01,1.91,0.45,0.26,0.23,0.24,0.24,0,0.6,0.03
"1981-01-11",22.86,32.98,-34.84,98.96,-19.14,-21.58,1.41,1.52,0.26,0.22,0.24,0.24,22.83,0,-58.58,97.97,-27.95,-30.25,0.68,0.64,0.26,0.22,0.24,0.24,22.9,177.3,-1.79,99.65,-10.81,-12.52,1.8,2.04,0.26,0.22,0.24,0.24,0.13,0.31,0.03
"1981-01-12",22.83,44.01,-50.84,97.25,-7.64,-9.74,1.79,-0.83,0.26,0.22,0.24,0.24,22.74,0,-84.96,97.11,-11.92,-13.42,0.42,-2.47,0.26,0.22,0.24,0.24,22.9,205.35,-2.43,97.88,-3.88,-7.72,2.43,1.32,0.26,0.22,0.24,0.24,0.01,1.3,0.02
"1981-01-13",22.75,34.99,-29.08,97.22,-8.58,-10.41,0.84,-0.99,0.26,0.22,0.24,0.24,22.66,0,-78.21,97.06,-11.86,-13.44,-0.22,-2.61,0.26,0.22,0.24,0.24,22.87,198.21,-6.9,97.44,-4.2,-7.05,1.82,-0.03,0.26,0.22,0.24,0.24,0.27,0.76,0.02
"1981-01-14",22.94,31.72,-32.39,97.79,-11.66,-14.41,0.77,-2.79,0.26,0.22,0.24,0.24,22.91,0,-63.47,97.25,-17.82,-20.22,-0.04,-3.4,0.26,0.22,0.24,0.24,23.01,155.06,-10.13,98.37,-6.7,-7.96,1.34,-2.09,0.26,0.22,0.24,0.24,0.28,1.73,0.02
"1981-01-15",22.87,46.53,-60.49,98.85,-18.89,-21.94,0.32,-2.15,0.26,0.22,0.24,0.24,22.79,0,-86.32,98.32,-21.6,-24.19,-0.11,-2.5,0.26,0.22,0.24,0.24,22.92,219.45,-42.51,99.3,-14.72,-19.39,0.8,-1.8,0.26,0.22,0.24,0.24,0.03,0.6,0.02
"1981-01-16",22.75,38.4,-40.7,99.02,-16.61,-19.56,1.75,0.77,0.26,0.22,0.24,0.24,22.64,0,-60.77,98.4,-23.03,-25.34,0.36,-1.85,0.26,0.22,0.24,0.24,22.8,180.14,-17.88,99.32,-10.03,-13.28,2.74,2.12,0.26,0.22,0.24,0.24,0.01,1.02,0.02
"1981-01-17",22.45,50.72,-75.31,98.04,-5.86,-10.58,2.86,0.01,0.26,0.22,0.24,0.24,22.21,0,-99.17,97.95,-9.84,-13.13,2.54,-0.59,0.26,0.22,0.24,0.24,22.63,231.74,-43.28,98.38,-0.06,-7.41,3.1,1.27,0.26,0.22,0.24,0.24,0,4.78,0.02
"1981-01-18",22.06,51.64,-76.63,97.57,-5.36,-8.73,1.48,1.57,0.26,0.22,0.24,0.24,21.89,0,-99.44,96.94,-10.26,-12.86,0.47,-0.1,0.26,0.22,0.24,0.24,22.2,234.33,-61.04,98,1.1,-4.23,2.42,2.49,0.26,0.22,0.24,0.24,0,2.71,0.03
"1981-01-19",21.85,48.55,-53.3,97.12,-7.35,-9.07,1.35,-1.32,0.26,0.22,0.24,0.24,21.77,0,-77.84,96.84,-10.78,-12.12,0.53,-2.37,0.26,0.22,0.24,0.24,21.91,221.33,-5.94,97.63,-3.73,-6.91,2.17,1.36,0.26,0.22,0.24,0.24,0.02,0.99,0.03
"1981-01-20",21.72,37.37,-37.06,97.86,-8.34,-10.13,1.15,0.33,0.26,0.22,0.24,0.24,21.65,0,-66.17,97.61,-11.13,-12.52,0.6,-1.56,0.26,0.22,0.24,0.24,21.78,187.87,-3.55,98.05,-4.54,-7.4,1.71,2.05,0.26,0.22,0.24,0.24,0.03,0.84,0.03
"1981-01-21",21.54,50.43,-68.64,97.68,-5.52,-7.99,1.81,-0.11,0.26,0.22,0.24,0.24,21.41,0,-99.32,97.54,-9.38,-11.61,1.38,-1.74,0.26,0.22,0.24,0.24,21.65,221.82,-47.76,97.8,0.59,-3.05,2.16,2.08,0.26,0.22,0.24,0.24,0,1.91,0.03
"1981-01-22",21.24,54.08,-74.73,97.65,-5.61,-8.04,1.53,-0.41,0.26,0.22,0.24,0.24,21,0,-99.43,97.39,-10.18,-11.71,-0.08,-1.55,0.26,0.22,0.23,0.24,21.42,245.79,-49.47,97.8,0.99,-3.44,2.12,2.07,0.26,0.22,0.24,0.24,0,2,0.03
"1981-01-23",20.5,46.78,-49.46,96.89,-3.66,-5.47,0.23,1.83,0.27,0.22,0.23,0.24,19.83,0,-75.94,96.54,-8.73,-10.46,-1.22,1.34,0.26,0.22,0.23,0.24,21,226.61,-24.03,97.38,2.78,-0.23,0.96,2.26,0.27,0.22,0.23,0.24,0,1.63,0.04
"1981-01-24",18.93,52.53,-56.06,96.09,-2.19,-3.61,-1.05,1.08,0.28,0.22,0.23,0.24,17.8,0,-81.89,95.5,-6.91,-7.75,-1.85,-0.96,0.27,0.22,0.23,0.24,19.85,220,-40.35,96.5,3.3,0.35,0,1.54,0.3,0.23,0.23,0.24,0,1.73,0.04
"1981-01-25",18.5,16.21,-20.74,95.35,-3.21,-4.24,0.54,-2.59,0.29,0.23,0.23,0.24,17.8,0,-46.81,95.17,-5.23,-5.82,-1.56,-4.25,0.28,0.23,0.23,0.24,20.81,76.1,-5.48,95.72,-1,-2.82,1.42,-1.02,0.29,0.23,0.23,0.24,3.12,1.07,0.04
"1981-01-26",21.07,33.75,-26.99,96.53,-10.7,-13.62,0.83,-2.76,0.28,0.23,0.23,0.24,20.94,0,-48.57,95.79,-17.06,-19.29,0.39,-4.11,0.28,0.23,0.23,0.24,21.17,163.83,-13.71,97,-4.64,-6.41,1.24,-1.67,0.28,0.23,0.23,0.24,0.59,2.29,0.04
"1981-01-27",21.05,50.99,-51.21,96.95,-17.66,-20.48,1.82,-0.44,0.27,0.23,0.23,0.24,20.97,0,-72.51,96.77,-21.07,-23.48,1.16,-1.67,0.27,0.23,0.23,0.24,21.11,241.9,-10.88,97.07,-13.21,-17.28,2.55,0.98,0.28,0.23,0.23,0.24,0.09,0.75,0.04
"1981-01-28",21,42.09,-48.85,97.75,-17.47,-20.43,0.74,-2.09,0.27,0.23,0.23,0.24,20.94,0,-68.43,97,-21.67,-24.19,-0.21,-2.62,0.27,0.23,0.23,0.24,21.05,195.52,-30.99,98.5,-14.06,-18.98,1.33,-1.68,0.27,0.23,0.23,0.24,0.12,0.87,0.04
"1981-01-29",20.85,63.56,-70.35,99.02,-20.18,-23.92,-1.05,0.08,0.27,0.23,0.23,0.24,20.72,0,-96.03,98.57,-26.93,-29.74,-2.04,-1.97,0.27,0.23,0.23,0.24,20.94,273.68,-48.26,99.25,-12.1,-17.89,-0.24,1.7,0.27,0.23,0.23,0.24,0,1.33,0.04
