"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",6.35,28.16,-52.57,99.11,-9.27,-14.53,1.42,-3.26,0.32,0.29,0.25,0.22,6.31,0,-88.72,98.81,-16.24,-22.48,-2.16,-6.42,0.32,0.29,0.25,0.22,6.41,144.17,-30.69,99.4,-4.62,-8.42,4.09,0.2,0.32,0.29,0.25,0.22,0.21,1.01,NA
"1981-01-02",7.26,22.16,-40.74,99.05,-19.67,-24.98,-1.93,-1.39,0.32,0.29,0.25,0.22,6.31,0,-84.4,98.56,-26.56,-30.37,-4.11,-4.83,0.32,0.29,0.25,0.22,7.86,118.68,0.59,99.67,-16.57,-22.3,0.75,1.95,0.32,0.29,0.25,0.22,1.66,0.49,NA
"1981-01-03",7.93,23.38,-39.14,99.61,-24.96,-30.25,0.03,-0.74,0.32,0.29,0.25,0.22,7.83,0,-65.51,99.45,-30.28,-33.23,-2.55,-2.68,0.32,0.29,0.25,0.22,8.18,132.57,-3.57,99.71,-19.77,-26.48,2.08,0.89,0.32,0.29,0.25,0.22,0.42,0.24,NA
"1981-01-04",8.12,32.26,-50.01,99.4,-21.68,-27.41,-1.44,3.33,0.32,0.29,0.25,0.22,7.99,0,-65.13,98.36,-28.93,-33.08,-2.4,1.15,0.32,0.29,0.25,0.22,8.19,157.59,-34.51,99.87,-14.5,-20.24,0.33,4.96,0.32,0.29,0.25,0.22,0,0.5,NA
"1981-01-05",7.93,29.5,-34.49,97.69,-8.02,-11.22,1.83,-0.26,0.32,0.28,0.25,0.22,7.85,0,-74.13,97.57,-13.92,-19.53,0.34,-3.63,0.32,0.28,0.25,0.22,8.03,153.88,0.62,98.23,-2.89,-6.63,3.53,4.67,0.32,0.29,0.25,0.22,0.19,0.41,NA
"1981-01-06",8.05,38.47,-64.69,98.63,-15.32,-19.52,1.48,-4.73,0.32,0.28,0.25,0.22,8,0,-98.43,97.75,-22.45,-25.8,0.15,-6.82,0.32,0.28,0.25,0.22,8.12,184.79,-7.22,99.05,-7.48,-9.69,2.67,-1.19,0.32,0.28,0.25,0.22,0.19,0.65,NA
"1981-01-07",8.12,33.81,-35.71,98.58,-20.09,-24.77,-1.28,1,0.32,0.28,0.25,0.22,8,0,-75.28,98.45,-23.82,-27.31,-2.35,-0.83,0.32,0.28,0.25,0.22,8.21,170.83,2.52,98.93,-17.49,-23.51,0.86,2.03,0.32,0.28,0.25,0.22,0.26,0.35,NA
"1981-01-08",8.19,30.98,-53.84,98.51,-18.03,-21.76,1.88,-1.28,0.32,0.28,0.25,0.22,8.17,0,-78.94,98.25,-23.36,-26.81,0.77,-5.11,0.32,0.28,0.25,0.22,8.22,150.82,-33.51,99.15,-10.71,-15.26,3.4,2.09,0.32,0.28,0.25,0.22,0.09,0.33,NA
"1981-01-09",8.2,41.44,-74.86,99.79,-21.89,-26.22,1.62,-2.14,0.32,0.28,0.25,0.22,8.18,0,-97.06,99.22,-25.44,-28.84,0.61,-4.42,0.32,0.28,0.25,0.22,8.23,196.57,-54.55,100.04,-18.37,-24.32,2.46,1,0.32,0.28,0.25,0.22,0.02,0.23,NA
"1981-01-10",8.17,41.81,-56.14,99.96,-20.29,-25.77,-0.06,1.02,0.32,0.28,0.25,0.22,8.16,0,-97.69,99.67,-25.46,-28.8,-1.51,0.23,0.32,0.28,0.25,0.22,8.19,198.73,-22.17,100.29,-15.37,-23.09,1.92,1.7,0.32,0.28,0.25,0.22,0,0.21,NA
