"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",24.81,15.94,-42,99.63,-13.59,-17.14,1.2,-3.6,0.36,0.33,0.31,0.29,24.57,0,-89.87,99.26,-21.12,-24.94,-0.89,-6.1,0.36,0.33,0.31,0.29,25.02,80.84,-8.18,100,-7.57,-10.32,2.26,-0.7,0.36,0.33,0.31,0.29,0.61,0.3,NA
"1981-01-02",26.19,17.5,-40.11,99.73,-23.52,-27.56,-1.09,-2.21,0.36,0.33,0.31,0.29,25.02,0,-89.7,99.37,-29.44,-32.98,-3.51,-4.77,0.35,0.33,0.31,0.29,26.6,87.88,-0.47,100.22,-20.65,-24.72,2.09,0.94,0.36,0.33,0.31,0.29,1.72,0.12,NA
"1981-01-03",26.59,17.15,-48.9,100.2,-29.4,-33.41,0.49,-1.29,0.35,0.33,0.31,0.29,26.58,0,-65.97,100.07,-32.68,-35.91,-2.27,-2.61,0.35,0.33,0.31,0.29,26.59,90.75,-15.76,100.36,-25.21,-30.59,2.47,0.31,0.35,0.33,0.31,0.29,0.03,0.01,NA
"1981-01-04",26.57,19.68,-39.5,100.01,-26.68,-31.08,-1.47,3.44,0.35,0.33,0.31,0.29,26.48,0,-56.51,98.84,-34.11,-37.58,-2.37,0.64,0.35,0.33,0.31,0.29,26.6,96.83,-22.84,100.51,-17.32,-22.22,0.24,6.06,0.35,0.33,0.31,0.29,0,0.13,NA
"1981-01-05",26.61,10.81,-5.78,98.15,-10.49,-13.2,1.6,0.17,0.35,0.33,0.31,0.29,26.43,0,-24.26,97.99,-16.58,-21.31,0.29,-3.84,0.35,0.33,0.31,0.29,26.75,66.72,12.58,98.69,-6.72,-8.96,3.06,6.08,0.35,0.33,0.31,0.29,0.53,0.28,NA
"1981-01-06",26.74,19.82,-60.85,99.16,-18.66,-22.48,1.86,-5,0.35,0.33,0.31,0.29,26.69,0,-83.69,98.28,-25.36,-28.35,-0.11,-7.59,0.35,0.33,0.31,0.29,26.79,97.67,-14.58,99.59,-10.94,-13.27,3,-2.04,0.35,0.33,0.31,0.29,0.13,0.19,NA
"1981-01-07",26.71,19.7,-34.36,99.18,-23.82,-27.48,-0.8,0.58,0.35,0.33,0.31,0.29,26.69,0,-71.2,99.05,-28.09,-30.64,-2.08,-1.36,0.35,0.33,0.31,0.29,26.72,102.44,-9.41,99.42,-21.26,-25.63,0.74,2.58,0.35,0.33,0.31,0.29,0.02,0.04,NA
"1981-01-08",26.8,14.9,-43.37,99,-19.76,-23.24,1.83,-0.96,0.35,0.33,0.31,0.29,26.7,0,-75.31,98.68,-23.39,-26.86,0.87,-5.46,0.35,0.33,0.31,0.29,26.89,78.34,0.54,99.7,-13.9,-17.09,2.98,2.99,0.35,0.33,0.31,0.29,0.25,0.06,NA
"1981-01-09",26.9,23.5,-67.05,100.28,-25.19,-28.61,2.39,-2.13,0.35,0.32,0.31,0.29,26.89,0,-81.07,99.76,-27.54,-30.71,1.42,-4.44,0.35,0.32,0.31,0.29,26.92,112.37,-52.91,100.53,-22.1,-26.36,3.31,-0.14,0.35,0.32,0.31,0.29,0.01,-0.01,NA
"1981-01-10",26.9,24.3,-46.25,100.52,-24.06,-27.44,0.97,0.41,0.35,0.32,0.31,0.29,26.9,0,-76.55,100.25,-27.92,-30.42,0.08,-0.28,0.35,0.32,0.31,0.29,26.91,116.44,-31.03,100.79,-19.27,-23.39,2.37,2.58,0.35,0.32,0.31,0.29,0,0.01,NA
"1981-01-11",26.93,15.55,-31.84,99.96,-18.21,-20.55,2.05,2.58,0.35,0.32,0.31,0.29,26.9,0,-53.49,98.92,-27,-29.77,1.35,1.68,0.35,0.32,0.31,0.29,26.98,68.95,3.7,100.75,-9.71,-11.95,2.82,3.32,0.35,0.32,0.31,0.29,0.05,-0.03,NA
"1981-01-12",27.01,24.29,-47.17,98.36,-8.55,-10.46,2.11,-1.43,0.35,0.32,0.31,0.29,26.98,0,-74.22,98.26,-12.06,-13.45,-0.99,-3.04,0.35,0.32,0.31,0.29,27.06,118.82,4.18,98.82,-5.29,-7.66,3.9,1.61,0.35,0.32,0.31,0.29,0.01,-0.02,NA
"1981-01-13",27.05,17.76,-19.62,98.4,-9.04,-10.71,0.8,-1.41,0.35,0.32,0.31,0.29,27,0,-69.83,98.25,-12.75,-14.09,-1.74,-4.75,0.35,0.32,0.31,0.29,27.18,93.22,0.3,98.58,-4.43,-6.87,2.47,1.2,0.35,0.32,0.31,0.29,0.23,0.07,NA
"1981-01-14",27.17,18.87,-28.48,99.15,-12.2,-14.74,0.3,-4.19,0.35,0.32,0.31,0.29,27.11,0,-40.27,98.61,-15.53,-18.17,-0.74,-4.93,0.35,0.32,0.31,0.29,27.22,89.29,-10.56,99.71,-7.51,-9.38,1.19,-2.94,0.35,0.32,0.31,0.29,0.17,0.22,NA
"1981-01-15",27.2,23.92,-47.89,100.21,-17.64,-20.3,0.22,-3.02,0.35,0.32,0.31,0.29,27.15,0,-65.44,99.69,-20.03,-22.29,-0.78,-3.52,0.35,0.32,0.31,0.29,27.24,118.7,-27.4,100.57,-15.41,-18.41,0.9,-1.82,0.35,0.32,0.31,0.29,0.08,0.03,NA
"1981-01-16",27.15,21.02,-32.18,100,-14.09,-17.09,2.9,2.2,0.35,0.32,0.31,0.29,27.01,0,-71.05,99.26,-20.89,-22.99,0.68,-1.29,0.35,0.32,0.31,0.29,27.23,100.62,-11.6,100.54,-8.43,-12.04,5.22,3.63,0.35,0.32,0.31,0.29,0.01,0.22,NA
"1981-01-17",26.86,29.32,-67.21,99.03,-5.96,-10.74,4.08,0.26,0.35,0.32,0.31,0.29,26.67,0,-86.56,98.97,-8.88,-12.68,3.55,-0.26,0.35,0.32,0.31,0.29,27.01,136.14,-57.36,99.26,-0.73,-7.24,4.47,1.39,0.35,0.32,0.31,0.29,0,0.39,NA
