"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",42.42,28.79,-64.03,97.53,-18.09,-21.87,1.73,-2.39,0.25,0.25,0.26,0.28,42.2,0,-90.75,97.03,-26.75,-30.23,0.64,-3.26,0.25,0.25,0.26,0.28,42.56,155.45,-22.88,97.97,-8.81,-11.38,2.47,-1.47,0.25,0.25,0.26,0.28,0.52,1.79,0.22
"1981-01-02",42.57,34.77,-58.91,97.71,-28.82,-33,1.08,-1.45,0.25,0.25,0.26,0.28,42.48,0,-88.06,97.51,-32.44,-35.7,0.71,-2.3,0.25,0.25,0.26,0.28,42.62,174.09,-6.27,97.97,-26.96,-30.58,1.69,-0.71,0.25,0.25,0.26,0.28,0.16,0.37,0.22
"1981-01-03",42.57,34.54,-67.63,98.11,-33.16,-37.13,1.18,-1.39,0.25,0.25,0.26,0.28,42.56,0,-73.3,97.9,-35.23,-38.7,-0.23,-1.75,0.24,0.25,0.26,0.28,42.58,171.67,-47.77,98.45,-30.63,-35.09,1.97,-0.89,0.25,0.25,0.26,0.28,0,0.14,0.21
"1981-01-04",42.56,34.22,-31.48,98.37,-30.35,-34.47,-0.06,1.1,0.24,0.25,0.26,0.28,42.55,0,-61.8,97.47,-34.4,-37.77,-0.33,-0.61,0.24,0.25,0.26,0.28,42.65,171.31,27.18,98.78,-23.56,-28.9,0.29,2.77,0.24,0.25,0.26,0.28,0.12,0.43,0.21
"1981-01-05",44.01,15.38,1.62,96.38,-16.52,-19.77,1.14,0.85,0.24,0.25,0.26,0.28,42.69,0,-26.09,96.06,-22.79,-28.19,-0.14,-1.32,0.24,0.25,0.26,0.28,44.63,79.04,26.72,97.33,-12.89,-14.98,2.24,2.97,0.24,0.25,0.26,0.28,2.06,0.93,0.21
"1981-01-06",44.75,31.34,-54.77,96.88,-20.36,-24.13,1.9,-2.64,0.24,0.25,0.26,0.28,44.64,0,-78.82,96.14,-25.21,-27.97,0.98,-3.92,0.24,0.25,0.26,0.28,44.8,157.9,-22.54,97.43,-14.1,-16.04,2.78,-1.28,0.24,0.25,0.26,0.28,0.3,1.4,0.22
"1981-01-07",44.76,35.39,-54.34,97.33,-26.36,-30.14,0.37,-0.27,0.24,0.25,0.26,0.28,44.75,0,-72.29,97.22,-29.12,-32.14,-0.56,-1.79,0.24,0.25,0.26,0.28,44.76,173.08,-20.15,97.39,-23.59,-28.64,1.08,1.4,0.24,0.25,0.26,0.28,0,0.25,0.21
"1981-01-08",44.92,23.16,-32.92,97.02,-22.54,-25.81,1.46,-0.08,0.24,0.25,0.26,0.28,44.75,0,-72.35,96.71,-25.97,-29.52,0.92,-2.65,0.24,0.25,0.26,0.28,45.09,108.91,1.34,97.43,-17.99,-21.51,2.54,1.65,0.24,0.25,0.26,0.28,0.37,0.35,0.21
"1981-01-09",45.09,35.8,-68.62,98.04,-25.86,-29.09,2.02,-1.36,0.24,0.25,0.26,0.28,45.08,0,-73.25,97.51,-28.12,-31.11,1.16,-2.25,0.24,0.25,0.26,0.28,45.1,176.38,-62.22,98.35,-23.85,-26.59,2.59,-0.62,0.24,0.25,0.26,0.28,0.04,0.21,0.21
"1981-01-10",45.09,37.38,-67.94,98.5,-24.93,-28.32,1.87,-0.93,0.24,0.25,0.26,0.28,45.07,0,-80.59,98.24,-27.57,-30.49,1.42,-1.36,0.24,0.25,0.26,0.28,45.1,180.85,-56.67,98.86,-21.31,-25.45,2.32,-0.48,0.24,0.25,0.26,0.28,0.01,0.32,0.21
