"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",42.89,28.38,-60.21,98.65,-17.26,-20.76,1.2,-2.13,0.4,0.41,0.42,0.42,42.54,0,-90.21,98.17,-25.64,-29.05,0.21,-3.3,0.4,0.41,0.42,0.42,43.1,147.18,-17.15,99.05,-9.01,-11.3,1.91,-0.95,0.4,0.41,0.42,0.42,0.71,1.56,0.18
"1981-01-02",43.46,35.18,-50.38,98.82,-27.73,-32.05,0.43,-1.35,0.4,0.41,0.42,0.42,43.03,0,-89.11,98.62,-32.33,-35.6,-0.24,-2.1,0.4,0.41,0.42,0.42,43.62,178.03,5.19,99.16,-25.8,-29.42,1.25,-0.36,0.4,0.41,0.42,0.42,0.64,0.53,0.17
"1981-01-03",43.56,36.25,-69.34,99.25,-32.73,-36.55,0.73,-1.07,0.4,0.41,0.42,0.42,43.54,0,-75.42,99.12,-34.84,-38.19,-1.29,-1.5,0.4,0.41,0.42,0.42,43.57,178.64,-58.94,99.52,-29.5,-33.94,1.74,-0.15,0.4,0.41,0.42,0.42,0,0.15,0.18
"1981-01-04",43.53,34.66,-34.89,99.3,-29.5,-33.92,-0.89,1.77,0.4,0.41,0.42,0.42,43.51,0,-56.9,98.25,-35.34,-38.74,-1.44,0.26,0.4,0.41,0.42,0.42,43.54,174.28,13.94,99.76,-21.17,-26.73,-0.21,3.15,0.4,0.41,0.42,0.42,0.03,0.63,0.18
"1981-01-05",44.34,12.84,-0.69,97.32,-14.57,-17.86,1.17,0.56,0.4,0.41,0.42,0.42,43.5,0,-22.74,97.07,-20.45,-25.92,-0.27,-1.57,0.4,0.41,0.42,0.42,44.69,62.66,23.26,98.1,-11.21,-14.03,2.05,3.2,0.4,0.41,0.42,0.42,1.3,1.24,0.17
"1981-01-06",44.75,33.54,-58.55,98.08,-20.68,-24.36,1.69,-2.5,0.4,0.41,0.42,0.42,44.7,0,-79.76,97.26,-26.12,-28.94,0.87,-3.8,0.4,0.41,0.42,0.42,44.79,165.38,-6.74,98.58,-14.53,-17.15,2.64,-1.48,0.4,0.41,0.42,0.42,0.21,1.3,0.17
"1981-01-07",44.74,36.13,-49.46,98.34,-26.51,-30.2,-0.2,0.22,0.4,0.41,0.42,0.42,44.72,0,-72.83,98.26,-30.57,-33.53,-1.09,-1.48,0.4,0.41,0.42,0.42,44.74,178.52,-16.79,98.48,-22.81,-27.95,0.77,1.56,0.4,0.41,0.42,0.42,0,0.4,0.17
"1981-01-08",44.89,24.6,-35.72,98.06,-21.7,-24.78,1.25,-0.08,0.4,0.4,0.42,0.42,44.72,0,-69.61,97.77,-25.25,-28.27,0.19,-2.45,0.4,0.4,0.42,0.42,45.03,114.25,1.73,98.61,-16.86,-20.73,2.44,1.77,0.4,0.41,0.42,0.42,0.35,0.36,0.17
"1981-01-09",45.02,36.89,-67.66,99.22,-25.82,-29.05,1.7,-1.12,0.4,0.4,0.42,0.42,45.01,0,-72.69,98.69,-28.59,-31.61,1.04,-2.14,0.4,0.4,0.42,0.42,45.03,179.91,-61.73,99.51,-23.44,-26.45,2.18,-0.04,0.4,0.4,0.42,0.42,0.03,0.2,0.17
"1981-01-10",45.01,37.87,-61.03,99.61,-25.64,-28.9,1.51,-0.26,0.4,0.4,0.42,0.42,45,0,-76.4,99.34,-28.76,-31.72,0.81,-0.61,0.4,0.4,0.42,0.42,45.03,185.1,-42.61,99.92,-21.22,-25.33,1.93,0.73,0.4,0.4,0.42,0.42,0.01,0.28,0.17
