"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",27.14,24.75,-48.88,99.09,-13.72,-17.27,1.52,-2.54,0.48,0.47,0.47,0.44,26.95,0,-93.81,98.66,-22.42,-25.74,-0.37,-4.51,0.48,0.47,0.47,0.44,27.32,138.65,-19.8,99.48,-7.2,-10.07,2.17,-0.48,0.49,0.47,0.47,0.44,0.57,1.33,0
"1981-01-02",28.38,28.38,-38.1,99.18,-23.97,-28.1,-0.37,-1.45,0.48,0.47,0.47,0.44,27.25,0,-92.32,98.87,-30.3,-33.63,-1.65,-3.16,0.48,0.47,0.47,0.44,28.86,143.81,2.22,99.66,-21.48,-25.27,1.47,0.37,0.48,0.47,0.47,0.44,1.72,0.47,0
"1981-01-03",28.79,34.53,-59.33,99.7,-29.86,-33.76,0.58,-1.08,0.48,0.47,0.47,0.44,28.76,0,-70.52,99.57,-33.39,-36.59,-1.96,-1.84,0.48,0.47,0.47,0.44,28.81,169.27,-39.39,99.89,-24.9,-30,1.81,0.37,0.48,0.47,0.47,0.44,0.01,0.17,0
"1981-01-04",28.72,36.5,-50.56,99.67,-26.56,-31.31,-1.13,2.22,0.48,0.47,0.47,0.44,28.62,0,-69.41,98.66,-34.05,-37.63,-1.89,0.78,0.48,0.47,0.47,0.44,28.76,178.46,-28.09,100.13,-17.94,-23.61,0.02,3.76,0.48,0.47,0.47,0.44,0,0.55,0
"1981-01-05",28.73,17.79,-7.71,97.76,-10.54,-14.12,1.37,0.57,0.48,0.47,0.47,0.44,28.55,0,-22.43,97.53,-17.08,-22.77,0.2,-2.63,0.48,0.47,0.47,0.44,28.88,93.16,19.1,98.52,-6.56,-9.27,2.3,3.9,0.48,0.47,0.47,0.44,0.56,1.42,0
"1981-01-06",28.96,35.19,-59.07,98.55,-18.68,-22.29,1.61,-3.38,0.48,0.47,0.47,0.44,28.9,0,-81.06,97.71,-25.57,-28.48,0.53,-4.7,0.48,0.47,0.47,0.44,29,172.1,-10.11,99.04,-10.89,-13.2,2.43,-1.74,0.48,0.47,0.47,0.44,0.26,0.88,0
"1981-01-07",28.92,34.19,-41.93,98.72,-24.98,-28.58,-0.56,0.33,0.48,0.47,0.47,0.44,28.88,0,-78.12,98.63,-31.52,-34.42,-1.53,-1.42,0.48,0.47,0.47,0.44,28.95,178.25,-9.63,98.92,-20.14,-24.94,1.28,1.61,0.48,0.47,0.47,0.44,0.01,0.24,0
"1981-01-08",28.96,24.24,-44.01,98.53,-20.14,-23.56,1.31,-0.08,0.48,0.47,0.47,0.44,28.88,0,-67.66,98.29,-24.17,-27.66,0.02,-3.57,0.48,0.47,0.47,0.44,29.06,119.27,-8.72,99.07,-13.47,-17.16,2.5,2.24,0.48,0.47,0.47,0.44,0.29,0.36,0
"1981-01-09",29.06,38.46,-67.25,99.75,-24.98,-28.35,1.76,-1.45,0.48,0.47,0.47,0.44,29.03,0,-81.36,99.14,-27.52,-30.46,1.21,-2.63,0.48,0.47,0.47,0.44,29.08,188.16,-52.68,100.07,-22.3,-26.29,2.44,0.18,0.48,0.47,0.47,0.44,0.03,0.18,0
"1981-01-10",29.01,40.01,-55.77,100.07,-24.54,-27.99,0.97,0.06,0.48,0.47,0.47,0.44,28.97,0,-84.42,99.81,-28.87,-31.86,0.14,-1.25,0.48,0.47,0.47,0.44,29.04,189.41,-36.26,100.38,-18.25,-22.58,2.1,1.51,0.48,0.47,0.47,0.44,0.01,0.29,0
