"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",31.98,21.7,-41.48,99.61,-14.95,-18.4,0.91,-2.51,0.34,0.33,0.33,0.29,31.7,0,-89.36,99.25,-23.14,-26.56,-0.57,-4.7,0.34,0.33,0.33,0.29,32.18,109.3,-0.31,99.99,-8.76,-11.5,1.86,-0.11,0.34,0.33,0.33,0.29,0.68,0.31,NA
"1981-01-02",33.48,24.26,-43.66,99.74,-24.64,-28.47,-0.46,-1.49,0.34,0.33,0.33,0.29,32.3,0,-90.8,99.38,-31.55,-34.71,-2.26,-3.33,0.34,0.33,0.33,0.29,33.81,124.52,2.83,100.19,-21.67,-25.41,1.94,0.71,0.34,0.33,0.33,0.29,1.69,0.11,NA
"1981-01-03",33.79,21.56,-46.83,100.16,-30.49,-34.1,0.42,-0.59,0.34,0.33,0.33,0.29,33.79,0,-67.36,100.02,-34.64,-37.61,-1.72,-1.5,0.34,0.33,0.33,0.29,33.79,117.75,-21.87,100.32,-25.07,-29.61,2.05,0.91,0.34,0.33,0.33,0.29,0.02,0.01,NA
"1981-01-04",33.77,23.23,-33.75,99.89,-27.04,-31.23,-0.98,2.94,0.34,0.33,0.33,0.29,33.7,0,-55.39,98.64,-34.47,-37.62,-1.76,1.13,0.34,0.33,0.33,0.29,33.79,114.03,-13.11,100.43,-16.71,-21.35,0.4,4.8,0.34,0.33,0.33,0.29,0,0.16,NA
"1981-01-05",34.17,12.2,-4.13,98.09,-10.64,-13.69,1.37,-0.74,0.34,0.33,0.33,0.29,33.69,0,-20.33,97.94,-15.99,-20.47,0.32,-3.02,0.34,0.33,0.33,0.29,34.28,72.28,26,98.48,-7.19,-10.67,2.64,4.4,0.34,0.33,0.33,0.29,0.82,0.41,NA
"1981-01-06",34.35,25.71,-65.12,99.18,-20.12,-23.68,1.5,-3.61,0.34,0.33,0.33,0.29,34.29,0,-86.84,98.29,-27.51,-30.15,-0.07,-5.68,0.34,0.33,0.33,0.29,34.38,130.5,-19.29,99.58,-12.21,-14.65,2.29,-1.78,0.34,0.33,0.33,0.29,0.17,0.16,NA
"1981-01-07",34.36,24.44,-33.07,99.13,-26.13,-29.44,-0.23,0.9,0.33,0.33,0.33,0.29,34.35,0,-65.57,98.95,-32.03,-35.09,-1.22,-0.9,0.33,0.33,0.33,0.29,34.37,129.13,-9.84,99.38,-21.96,-25.66,1.25,2.19,0.34,0.33,0.33,0.29,0.02,0.04,NA
"1981-01-08",34.47,18.98,-39.92,98.96,-20.4,-23.75,1.55,-1.2,0.33,0.33,0.33,0.29,34.35,0,-75.53,98.59,-24.26,-27.45,0.89,-3.86,0.33,0.33,0.33,0.29,34.54,96.49,-1.34,99.73,-15.11,-18.19,2.27,2.37,0.33,0.33,0.33,0.29,0.25,0.11,NA
"1981-01-09",34.54,28.81,-65.63,100.24,-25.68,-28.93,2.07,-1.53,0.33,0.33,0.33,0.29,34.53,0,-81.86,99.79,-28.39,-31.33,1.32,-3.15,0.33,0.33,0.33,0.29,34.56,142.23,-49.98,100.45,-21.32,-25.47,2.69,-0.05,0.33,0.33,0.33,0.29,0.01,0,NA
"1981-01-10",34.54,29.65,-49.99,100.46,-25.34,-28.66,1.43,0.6,0.33,0.33,0.33,0.29,34.53,0,-76.17,100.19,-29.72,-32.37,0.45,-0.26,0.33,0.33,0.33,0.29,34.55,143.49,-30.73,100.7,-18.21,-22.62,2.37,2.08,0.33,0.33,0.33,0.29,0,0.02,NA
"1981-01-11",34.56,20.59,-35.97,99.83,-17.63,-20.14,1.54,1.83,0.33,0.33,0.33,0.29,34.54,0,-58.9,98.8,-25.16,-28.35,0.85,1,0.33,0.33,0.33,0.29,34.59,96.67,8.34,100.64,-8.69,-11.37,2.51,2.54,0.33,0.33,0.33,0.29,0.04,-0.01,NA
"1981-01-12",34.61,27.87,-45.81,98.31,-8.46,-10.46,1.78,-1.56,0.33,0.33,0.33,0.29,34.58,0,-66.42,98.21,-11.19,-12.64,-1.24,-3.1,0.33,0.33,0.33,0.29,34.64,138.76,-10.4,98.71,-5.12,-7.78,3.16,0.77,0.33,0.33,0.33,0.29,0.01,0.07,NA
"1981-01-13",34.66,21.49,-21.82,98.38,-8.8,-10.6,0.66,-1.25,0.33,0.33,0.33,0.29,34.6,0,-67.1,98.21,-13.35,-14.68,-1.64,-3.65,0.33,0.33,0.33,0.29,34.79,124.55,5.56,98.58,-3.16,-6.16,2.05,0.46,0.33,0.33,0.33,0.29,0.27,0.18,NA
"1981-01-14",34.8,21.95,-31.97,99.18,-13.14,-15.61,0.34,-2.87,0.33,0.33,0.33,0.29,34.76,0,-48.23,98.66,-16.65,-18.99,-0.3,-3.67,0.33,0.33,0.33,0.29,34.84,111.18,-12.56,99.72,-8.52,-10.56,0.99,-1.88,0.33,0.33,0.33,0.29,0.13,0.21,NA
"1981-01-15",34.81,28.66,-48.72,100.21,-18.26,-20.82,0.49,-2.03,0.33,0.33,0.33,0.29,34.79,0,-69.44,99.73,-21.59,-23.81,-0.31,-2.41,0.33,0.33,0.33,0.29,34.84,145.93,-24.69,100.56,-14.46,-17.98,1.23,-1,0.33,0.33,0.33,0.29,0.05,0.05,NA
"1981-01-16",34.78,23.56,-32.94,99.85,-14.36,-17.52,2.28,1.81,0.33,0.33,0.33,0.3,34.69,0,-68.4,99.09,-22.66,-24.99,0.91,0.14,0.33,0.33,0.33,0.29,34.83,117.14,-7.6,100.47,-7.41,-11.44,4.09,2.77,0.33,0.33,0.33,0.3,0.01,0.29,NA
"1981-01-17",34.57,34.46,-69.04,98.91,-5.13,-10.08,3.35,-0.22,0.33,0.33,0.33,0.3,34.4,0,-92.54,98.86,-8.06,-12.2,3.05,-0.65,0.33,0.33,0.33,0.3,34.69,161.59,-57.11,99.09,0.38,-6.62,3.63,0.41,0.33,0.33,0.33,0.3,0,0.74,NA
"1981-01-18",34.36,34.94,-62.17,98.38,-6.9,-10.26,1.93,1.73,0.33,0.33,0.33,0.3,34.29,0,-89.03,97.84,-12.25,-15.22,0.91,-0.68,0.33,0.33,0.33,0.3,34.41,162.88,-41.64,98.85,-0.4,-4.8,2.9,2.89,0.33,0.33,0.33,0.3,0,0.28,NA
"1981-01-19",34.32,33.22,-52.38,98.34,-9.22,-11.01,1.43,-2.43,0.33,0.33,0.33,0.3,34.28,0,-77.01,97.86,-12.41,-13.87,0.86,-3.14,0.33,0.33,0.33,0.3,34.36,154.06,-26.66,98.84,-5.72,-8.42,2.49,-1.43,0.33,0.33,0.33,0.3,0,0.06,NA
"1981-01-20",34.26,30.89,-38.7,98.77,-8.39,-10.64,1.52,1.31,0.33,0.33,0.33,0.3,34.19,0,-78.37,98.47,-12.6,-13.95,0.94,-1.25,0.33,0.33,0.33,0.3,34.32,149.08,1.07,98.95,-3.14,-6.68,2.32,2.7,0.33,0.33,0.33,0.3,0.02,0.26,NA
"1981-01-21",34.15,36.65,-62.92,98.68,-4.12,-6.93,2.5,-1.16,0.33,0.33,0.33,0.3,34.05,0,-96.93,98.45,-7.63,-10.89,1.67,-2.18,0.33,0.33,0.33,0.3,34.22,169.57,-36.02,98.87,1.21,-2.86,2.96,1.6,0.33,0.33,0.33,0.3,0,0.31,NA
"1981-01-22",34.06,38.47,-62.13,98.66,-5.76,-8.36,1.6,0.16,0.33,0.33,0.33,0.3,33.99,0,-91.83,98.31,-10.58,-12.33,0.05,-1.87,0.33,0.33,0.33,0.3,34.11,178.14,-37.44,98.84,0.63,-3.4,2.51,2.55,0.33,0.33,0.33,0.3,0,0.18,NA
"1981-01-23",33.95,31.02,-38.29,97.83,-4.13,-5.71,-0.24,1.07,0.33,0.33,0.33,0.3,33.87,0,-74.37,97.59,-7.71,-8.79,-1.91,-0.15,0.33,0.33,0.33,0.3,34.01,152.22,-12.95,98.2,0.36,-1.9,1.9,2.79,0.33,0.33,0.33,0.3,0,0.12,NA
"1981-01-24",33.87,25.77,-21.2,97.16,-4.04,-4.89,-0.49,0.02,0.33,0.33,0.33,0.3,33.83,0,-39.79,96.73,-8.71,-9.35,-1.72,-1.74,0.33,0.33,0.33,0.3,33.9,124.65,-3.53,97.56,-0.67,-1.91,0.83,1.02,0.33,0.33,0.33,0.3,0.04,0.13,NA
