"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",76.58,20.95,-58.48,100.05,-26.22,-30.39,0.95,-2.01,0.62,0.62,0.64,0.67,76.55,0,-82.83,99.54,-30.47,-34.53,0.7,-2.96,0.62,0.62,0.64,0.67,76.62,116.45,-12.16,100.31,-17.31,-20.33,1.32,-1.04,0.62,0.62,0.64,0.67,0.19,0.65,0.17
"1981-01-02",76.55,22.63,-67.17,100.19,-34.37,-38.25,1.31,-1.58,0.62,0.62,0.64,0.67,76.54,0,-73.84,99.98,-36.1,-39.66,0.73,-1.96,0.62,0.62,0.64,0.67,76.57,125.12,-49.79,100.37,-31.08,-34.54,1.87,-1.31,0.62,0.62,0.64,0.67,0,0.08,0.17
"1981-01-03",76.54,22.11,-56.04,100.39,-35.72,-39.96,0.42,-0.58,0.62,0.62,0.64,0.67,76.54,0,-65.52,100.28,-38.02,-41.66,-1.28,-1.55,0.62,0.62,0.64,0.67,76.54,126.33,-41.31,100.58,-33.04,-38.64,1.56,1.08,0.62,0.62,0.64,0.67,0,0.05,0.16
"1981-01-04",77.33,11.63,4.7,99.76,-31.02,-35.22,-0.35,1.88,0.62,0.62,0.64,0.67,76.54,0,-39.65,98.51,-38.32,-41.84,-0.54,1.1,0.62,0.62,0.64,0.67,79.7,72.39,36.32,100.6,-23.53,-26.91,0.11,2.6,0.62,0.62,0.64,0.67,3.15,0.24,0.16
"1981-01-05",79.96,13.97,-20.93,98.37,-20.4,-23.58,0.97,-1.43,0.62,0.62,0.64,0.67,79.77,0,-68.38,98.19,-23.39,-26.76,-0.46,-4.07,0.62,0.62,0.64,0.67,80.01,81.57,13.39,98.92,-17.28,-21.26,1.73,1.04,0.62,0.62,0.64,0.67,0.33,0.43,0.15
"1981-01-06",79.97,22.75,-70.34,99.66,-25.97,-29.51,1.1,-2.11,0.62,0.62,0.64,0.67,79.95,0,-77.55,99.03,-29.56,-32.56,0.21,-3.74,0.62,0.62,0.64,0.67,80,123.1,-63.84,99.86,-23.08,-27.13,1.44,-0.54,0.62,0.62,0.64,0.67,0.03,0.4,0.15
"1981-01-07",80.02,14.78,-20.19,99.14,-29.5,-32.97,0.55,1.15,0.62,0.62,0.64,0.67,79.95,0,-59.7,98.73,-33.59,-36.74,-0.02,0,0.62,0.62,0.64,0.67,80.35,79.19,4.84,99.5,-25.38,-28.28,1.03,1.83,0.62,0.62,0.64,0.67,0.4,0.11,0.15
"1981-01-08",80.45,22.39,-52.85,99.34,-26.02,-29.31,1.02,-1.99,0.62,0.62,0.64,0.67,80.41,0,-71.65,98.56,-28.47,-31.57,0.44,-2.65,0.62,0.62,0.64,0.67,80.45,121.92,-15.74,100.18,-24.01,-26.69,1.56,0.68,0.62,0.62,0.64,0.67,0.12,0.19,0.15
"1981-01-09",80.46,24.61,-62.44,100.26,-26.93,-30.35,2.04,-1.2,0.62,0.62,0.64,0.67,80.45,0,-72.21,100.18,-28.81,-31.92,1.54,-1.73,0.62,0.62,0.64,0.67,80.47,132.22,-49.71,100.29,-24.17,-28.63,2.28,-0.82,0.62,0.62,0.64,0.67,0.01,0.15,0.14
"1981-01-10",80.46,24.89,-58.78,100.34,-24.72,-28.11,1.7,0.12,0.62,0.62,0.64,0.67,80.45,0,-68.8,100.19,-26.47,-29.47,1.25,-0.85,0.62,0.62,0.64,0.67,80.46,132.76,-47.11,100.5,-21.43,-26.07,2.05,1.71,0.62,0.62,0.64,0.67,0,0.19,0.14
