"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",71.42,18.82,-74.53,100.81,-31.45,-35.68,2.19,-1.95,0.44,0.43,0.43,0.49,71.4,0,-79.72,100.34,-36.01,-39.64,1.75,-2.92,0.44,0.43,0.43,0.49,71.43,106.73,-70.45,101.08,-24.46,-27.75,2.87,-1.05,0.44,0.43,0.43,0.49,0.04,0.4,0.34
"1981-01-02",71.4,20,-64.86,100.83,-36.17,-40.12,2.07,-1.39,0.44,0.43,0.43,0.49,71.4,0,-70.63,100.74,-37.79,-41.42,1.83,-1.63,0.44,0.43,0.43,0.49,71.4,113.74,-53.16,100.95,-34.31,-39.01,2.35,-1.02,0.44,0.43,0.43,0.49,0.01,0.07,0.34
"1981-01-03",71.4,20.06,-57.69,101.27,-35.65,-39.49,1.42,-0.97,0.44,0.43,0.43,0.49,71.39,0,-63.23,100.95,-36.48,-40.11,0.88,-1.37,0.44,0.43,0.43,0.49,71.4,113.64,-50.16,101.6,-34.33,-38.8,1.94,-0.42,0.44,0.43,0.43,0.49,0,0.04,0.34
"1981-01-04",71.6,15,-12.38,101,-32.97,-37.15,0.75,1.35,0.44,0.43,0.43,0.49,71.39,0,-49.05,99.76,-37.02,-40.78,-0.29,-0.15,0.44,0.43,0.43,0.49,72.94,88.89,25.28,101.63,-26.18,-30.05,1.95,2.15,0.44,0.43,0.43,0.49,1.55,0.18,0.34
"1981-01-05",73.93,12.65,-6.32,99.19,-22.78,-26.13,1.05,-0.82,0.44,0.43,0.43,0.49,73.17,0,-28.53,99,-25.78,-29.51,-0.19,-3.36,0.44,0.43,0.42,0.49,74.36,76.26,20.5,99.65,-21.29,-24.6,1.75,1.82,0.44,0.43,0.43,0.49,1.45,0.42,0.34
"1981-01-06",74.54,18.68,-54.74,100.3,-25.9,-29.43,1.39,-2.38,0.44,0.43,0.42,0.49,74.43,0,-67.88,99.47,-29.82,-32.93,1.16,-3.86,0.44,0.43,0.42,0.48,74.56,106.56,-25.1,100.64,-22.44,-25.86,1.59,-0.82,0.44,0.43,0.42,0.49,0.26,0.46,0.34
"1981-01-07",74.6,15.86,-31.26,100.17,-29.91,-33.48,1.39,0.54,0.44,0.43,0.42,0.48,74.55,0,-65.68,99.83,-32.1,-35.32,0.9,-0.67,0.44,0.43,0.42,0.48,74.81,92.35,-1.52,100.47,-27.49,-30.8,2.04,1.34,0.44,0.43,0.42,0.48,0.27,0.11,0.34
"1981-01-08",75.17,19.81,-44.56,100.12,-27.91,-31.25,1.02,-1.44,0.44,0.43,0.42,0.48,74.85,0,-67.09,99.56,-29.76,-33.01,0.24,-2.64,0.44,0.43,0.42,0.48,75.23,113.65,-2.98,100.75,-26.16,-29.04,1.99,1.01,0.44,0.43,0.42,0.48,0.43,0.12,0.34
"1981-01-09",75.26,21.08,-62.39,100.76,-27.3,-30.73,2.51,-1.14,0.44,0.42,0.42,0.48,75.23,0,-69.08,100.72,-29.74,-32.95,2.11,-1.45,0.44,0.42,0.42,0.48,75.27,115.55,-53.6,100.79,-25.04,-28.73,2.78,-0.73,0.44,0.43,0.42,0.48,0.04,0.14,0.34
"1981-01-10",75.27,22.59,-64.51,101.04,-23.52,-27.06,2.2,-0.2,0.44,0.42,0.42,0.48,75.25,0,-68.71,100.75,-25.4,-28.58,1.89,-1.01,0.43,0.42,0.42,0.48,75.27,123.02,-58.96,101.31,-21.24,-25.68,2.56,1.03,0.44,0.42,0.42,0.48,0.01,0.25,0.33
