"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",84.9,2.02,-58.22,100.01,-41.42,-45.26,6.12,-8.39,0.26,0.26,0.25,0.3,84.89,0,-65.48,99.77,-41.75,-45.68,5.07,-8.95,0.26,0.26,0.25,0.3,84.92,16.05,-50.72,100.1,-40.51,-44.22,7.24,-7.82,0.26,0.26,0.25,0.3,0.02,-0.02,NA
"1981-01-02",84.95,2.19,-53.66,100.16,-39.74,-43.46,4.96,-7.8,0.26,0.26,0.25,0.3,84.92,0,-56.7,100.01,-41.34,-45.14,3.34,-8.71,0.26,0.26,0.25,0.3,84.97,17.42,-51.25,100.3,-38.4,-42.1,6.55,-5.87,0.26,0.26,0.25,0.3,0.02,-0.03,NA
"1981-01-03",84.97,2.34,-35.22,100.41,-40.53,-43.95,1.72,-2.17,0.26,0.26,0.25,0.3,84.97,0,-51.56,100.26,-42.13,-45.53,-0.09,-5.65,0.26,0.26,0.25,0.3,84.98,18.35,-18.6,100.55,-38.35,-41.83,3.37,1.68,0.26,0.26,0.25,0.3,0,-0.01,NA
"1981-01-04",85.28,1.43,6.5,99.38,-34.05,-37.73,-0.97,2.8,0.26,0.26,0.25,0.3,84.98,0,-28.96,98.58,-40.87,-43.95,-3.24,0.95,0.26,0.26,0.25,0.3,85.84,11.21,34.8,100.33,-29.81,-33.31,1.93,3.96,0.26,0.26,0.25,0.3,0.85,-0.01,NA
"1981-01-05",86.71,1.56,-19.07,99.14,-31.94,-35.3,-1,-4.91,0.26,0.26,0.25,0.3,85.84,0,-55.28,98.57,-34.48,-37.74,-2.97,-8.42,0.26,0.26,0.25,0.3,87.18,11.88,16.14,99.9,-29.53,-32.81,1.41,0.47,0.26,0.26,0.25,0.3,1.33,-0.01,NA
"1981-01-06",87.2,2.4,-42.24,99.78,-34.59,-38.07,3.79,-3.46,0.26,0.26,0.25,0.3,87.18,0,-57.74,99.13,-35.45,-38.94,1.1,-7.8,0.26,0.26,0.25,0.3,87.22,18.57,-18.01,100.1,-33.05,-36.55,5.26,0.94,0.26,0.26,0.25,0.3,0.01,-0.03,NA
"1981-01-07",87.3,2.4,-24.44,98.92,-32.36,-35.71,2.35,-2.61,0.26,0.26,0.25,0.3,87.22,0,-49.55,98.7,-34.69,-38.04,0.09,-7.15,0.26,0.26,0.25,0.3,87.34,18.21,7.36,99.4,-30.28,-33.75,4.88,1.59,0.26,0.26,0.25,0.3,0.1,-0.02,NA
"1981-01-08",87.4,2.42,-43.5,99.78,-31.87,-35.18,4.48,-7.4,0.26,0.26,0.25,0.3,87.35,0,-52.06,99.46,-34.66,-38.11,1.72,-7.89,0.26,0.26,0.25,0.3,87.47,18,-31.46,100.04,-30.13,-33.49,6.1,-6.83,0.26,0.26,0.25,0.3,0.07,-0.06,NA
"1981-01-09",87.52,2.89,-46.52,99.68,-28.72,-32.29,6.34,-5.9,0.26,0.26,0.25,0.3,87.47,0,-54.21,99.43,-30.08,-33.47,5.82,-7.17,0.26,0.26,0.25,0.3,87.55,21.47,-31.29,99.94,-27.06,-31.12,7.21,-4.09,0.26,0.26,0.25,0.3,0.02,-0.06,NA
"1981-01-10",87.57,3.23,-39.08,99.19,-25.31,-29.19,7.84,0.4,0.26,0.26,0.25,0.3,87.55,0,-49.79,98.77,-27.02,-31.17,7.09,-3.79,0.26,0.26,0.25,0.3,87.61,23.26,11.97,99.48,-21.6,-24.25,8.6,2.66,0.26,0.26,0.25,0.3,0.02,-0.05,NA
"1981-01-11",87.7,2.37,-12.79,98.8,-19.63,-21.98,4.65,-1.28,0.26,0.26,0.25,0.3,87.62,0,-35.58,98.63,-21.54,-23.92,1.59,-2.42,0.26,0.26,0.25,0.3,87.76,17.55,15.78,98.9,-18.13,-20.48,7.6,0.94,0.26,0.26,0.25,0.3,0.09,-0.06,NA
