"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",88.55,30.08,-72.9,84.19,-8.75,-15.14,1.14,2.11,0.31,0.31,0.29,0.34,88.34,0,-94.04,83.96,-11.42,-16.92,0.88,1.83,0.31,0.31,0.29,0.34,88.68,153.68,-57.57,84.56,-4.09,-13.14,1.49,2.3,0.31,0.31,0.29,0.34,0,3.2,NA
"1981-01-02",88.22,30.41,-73.7,83.88,-10.49,-16.35,1.03,2.09,0.31,0.3,0.29,0.34,88.04,0,-92.36,83.74,-14.76,-18.69,0.69,1.81,0.31,0.3,0.29,0.34,88.33,156.67,-55.22,83.98,-5.55,-13.96,1.43,2.41,0.31,0.31,0.29,0.34,0,2.8,NA
"1981-01-03",87.77,31.38,-82.27,83.79,-8.71,-16.13,1.41,2.25,0.31,0.3,0.29,0.34,87.54,0,-97.15,83.7,-10.41,-18.05,1.26,1.9,0.3,0.3,0.29,0.34,88.02,160.33,-71.59,83.88,-4.53,-13.3,1.55,2.45,0.31,0.3,0.29,0.34,0,5.07,NA
"1981-01-04",87.36,28.3,-49.51,83.95,-7.49,-12.92,1.51,2.1,0.3,0.3,0.29,0.34,87.22,0,-77.51,83.82,-9.68,-15.43,1.36,1.84,0.3,0.3,0.29,0.34,87.53,153.24,-11.03,84.06,-4.28,-10.84,1.68,2.27,0.3,0.3,0.29,0.34,0.07,4.56,NA
"1981-01-05",87.14,30.59,-62.97,84.18,-8.89,-11.75,1.22,1.76,0.3,0.3,0.29,0.34,87.06,0,-85.74,84.03,-11.3,-13.46,0.54,1.43,0.3,0.3,0.29,0.34,87.22,157.28,-19.68,84.27,-5.43,-10.22,1.75,2.02,0.3,0.3,0.29,0.34,0,1.43,NA
"1981-01-06",87.25,10.46,-32.7,83.41,-6.9,-10.32,1.18,1.73,0.3,0.3,0.29,0.34,87.01,0,-84.17,83.02,-9.46,-12.21,0.59,0.92,0.3,0.3,0.29,0.34,87.62,51.31,-7.14,84.08,-3.78,-7.79,1.9,1.98,0.3,0.3,0.29,0.34,0.73,1.71,NA
"1981-01-07",87.51,19.6,-51.06,83.53,-8.35,-11.17,1.12,1.68,0.3,0.3,0.29,0.34,87.49,0,-73.69,83.4,-11.04,-13.15,0.55,1.39,0.3,0.3,0.29,0.34,87.56,97.48,-23.12,83.65,-4.84,-9.24,1.82,1.94,0.3,0.3,0.29,0.34,0.1,1.33,NA
"1981-01-08",87.49,27.4,-44.43,83.57,-9.46,-12.14,0.07,1.11,0.3,0.3,0.29,0.34,87.48,0,-80.8,83.33,-12.74,-14.81,-0.91,0.38,0.3,0.3,0.29,0.34,87.52,137.28,-12.94,83.72,-5.35,-9.69,0.78,1.51,0.3,0.3,0.29,0.34,0.11,0.72,NA
"1981-01-09",87.58,27.4,-53.79,83.69,-7.45,-10.37,1.1,1.8,0.3,0.3,0.29,0.34,87.51,0,-87.86,83.44,-9.61,-11.96,0.17,1.49,0.3,0.3,0.29,0.34,87.62,142.2,-2.41,84.04,-3.72,-8.24,1.46,2.18,0.3,0.3,0.29,0.34,0.13,1.26,NA
"1981-01-10",87.45,33.34,-75.1,84.22,-8.98,-12.4,1.21,2.13,0.3,0.3,0.29,0.34,87.32,0,-90.57,84.06,-11.13,-13.05,0.95,1.63,0.3,0.3,0.29,0.34,87.51,171.8,-54.9,84.3,-5.73,-11.56,1.53,2.31,0.3,0.3,0.29,0.34,0,2.16,NA
"1981-01-11",87.14,34.3,-71.89,84.21,-6.89,-12.47,1.08,2.21,0.3,0.3,0.29,0.34,86.93,0,-93.12,83.95,-9.21,-14,0.94,1.65,0.3,0.3,0.29,0.34,87.31,171.95,-50.68,84.36,-2.61,-9.92,1.19,2.42,0.3,0.3,0.29,0.34,0,4.09,NA
"1981-01-12",86.63,34.95,-62.9,83.98,-5.28,-11.67,1.21,1.97,0.3,0.3,0.29,0.34,86.37,0,-95.66,83.85,-7.17,-13.08,1.02,1.26,0.3,0.3,0.29,0.34,86.9,172.46,-28.39,84.16,-1.96,-9.44,1.42,2.39,0.3,0.3,0.29,0.34,0,5.35,NA
"1981-01-13",86.19,31.7,-65.74,84.32,-6.63,-11.19,1.03,1.88,0.3,0.3,0.29,0.34,86.02,0,-85,84.18,-9.05,-12.71,0.78,1.28,0.3,0.3,0.29,0.34,86.36,154.87,-54.52,84.46,-2.23,-8.29,1.21,2.16,0.3,0.3,0.29,0.34,0,2.93,NA
"1981-01-14",85.92,34.73,-56.7,84.35,-7.63,-11.07,0.71,1.62,0.3,0.3,0.29,0.34,85.8,0,-89.88,84.3,-10.22,-13.09,0.54,1.08,0.3,0.3,0.29,0.34,86.01,173.47,-19.33,84.41,-2.11,-7.97,0.85,1.93,0.3,0.3,0.29,0.34,0,1.52,NA
"1981-01-15",85.73,37.47,-67.19,84.01,-9.1,-12.05,0.46,1.72,0.3,0.3,0.29,0.34,85.64,0,-93.39,83.76,-12.3,-14.62,0.22,1,0.29,0.3,0.29,0.34,85.8,180.63,-48.03,84.26,-3.15,-8.36,0.73,2.19,0.3,0.3,0.29,0.34,0,1.22,NA
"1981-01-16",85.47,39.15,-81.37,83.56,-8.03,-13.14,0.9,2.14,0.29,0.3,0.29,0.34,85.26,0,-108.96,83.39,-11.2,-15.04,0.72,1.65,0.29,0.3,0.29,0.34,85.63,187.33,-63.6,83.73,-2.05,-9.45,1.12,2.37,0.29,0.3,0.29,0.34,0,3.1,NA
"1981-01-17",85.04,41.76,-91.55,83.1,-10.26,-17.48,1.32,2.21,0.29,0.29,0.29,0.34,84.79,0,-121.78,82.92,-14.02,-20.15,1.01,1.89,0.29,0.29,0.29,0.34,85.25,198.94,-66.94,83.36,-5.51,-15.61,1.7,2.41,0.29,0.3,0.29,0.34,0,4.31,NA
"1981-01-18",84.65,38.75,-68.28,83.54,-7.02,-11.25,1.52,2.38,0.29,0.29,0.29,0.34,84.49,0,-83.85,83.28,-9.79,-15.37,1.29,2.03,0.29,0.29,0.29,0.34,84.77,184.28,-56.43,83.65,-2.72,-8.25,1.72,2.59,0.29,0.29,0.29,0.34,0,4.2,NA
