"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",41.23,29.05,-66.55,90.25,-9.69,-13.7,1.56,0.75,0.6,0.59,0.59,0.61,41.09,0,-89.91,89.89,-15.59,-18.28,0.65,-0.23,0.6,0.59,0.59,0.61,41.31,149.47,-47.1,90.76,-2.96,-8.38,2.66,1.5,0.6,0.59,0.59,0.61,0,1.45,0.11
"1981-01-02",40.96,28.36,-68.88,89.98,-10.42,-14.15,0.83,0.92,0.59,0.59,0.59,0.61,40.86,0,-89.55,89.73,-15.42,-18.07,-0.74,-0.01,0.59,0.59,0.59,0.61,41.07,153.1,-46.46,90.17,-3.61,-9.19,2.36,1.55,0.6,0.59,0.59,0.61,0,1.3,0.1
"1981-01-03",40.83,31.03,-66.45,89.77,-9.37,-13.16,1.68,1.06,0.59,0.59,0.59,0.61,40.76,0,-100.66,89.66,-13.52,-16.47,1,0.13,0.59,0.59,0.59,0.61,40.86,160.33,-47.07,89.89,-1.98,-8.09,2.05,1.43,0.59,0.59,0.59,0.61,0,0.33,0.1
"1981-01-04",40.63,28.1,-50,89.91,-2.93,-7.54,2.23,0.4,0.59,0.59,0.59,0.61,40.37,0,-92.77,89.81,-10.15,-12.66,1.62,-0.33,0.59,0.59,0.59,0.61,40.76,151.49,8.11,90.02,4.28,-3.38,2.91,1.16,0.59,0.59,0.59,0.61,0.3,3.29,0.1
"1981-01-05",40.41,30.27,-79.01,90.29,-3.3,-6.36,2.04,0,0.59,0.59,0.59,0.61,40.27,0,-98.32,89.99,-8.16,-9.81,0.99,-0.74,0.59,0.59,0.58,0.61,40.59,155.58,-52.35,90.45,-0.45,-4.36,3.07,1.38,0.59,0.59,0.59,0.61,0,3.02,0.1
"1981-01-06",40.98,11.06,-35.58,89.49,-4.81,-8.13,0.77,0.53,0.59,0.59,0.58,0.61,40.23,0,-84.19,89.02,-9.92,-11.81,-1.57,-0.69,0.59,0.59,0.58,0.61,42.45,67.65,-5.13,90.32,0,-3.71,3.73,1.81,0.59,0.59,0.58,0.61,2.34,2.76,0.1
"1981-01-07",42.17,24.32,-58.07,89.62,-3.14,-6.43,1.71,0.12,0.59,0.59,0.58,0.61,42.09,0,-81.36,89.39,-7.11,-9.07,0.03,-0.77,0.59,0.59,0.58,0.61,42.34,121.03,-26.41,89.8,-0.91,-4.72,3.66,0.73,0.59,0.59,0.58,0.61,0.01,3.43,0.09
"1981-01-08",42.9,15.65,-12.9,89.82,-5.06,-6.37,-0.34,0.26,0.59,0.59,0.58,0.61,42.09,0,-35.7,89.49,-7.99,-9.36,-2.39,-0.38,0.59,0.59,0.58,0.61,43.43,75.24,-3.01,90.1,-0.98,-2.99,1.49,0.64,0.59,0.59,0.58,0.61,1.43,0.69,0.09
"1981-01-09",43.5,29.48,-55.26,89.82,-2.89,-5.55,0.57,0.8,0.58,0.59,0.58,0.61,43.35,0,-89.16,89.64,-7.19,-8.2,-2.32,0.26,0.58,0.58,0.58,0.61,43.59,157.17,-3.59,90.13,2.26,-4.2,2.49,1.24,0.59,0.59,0.58,0.61,0.18,2.32,0.09
"1981-01-10",43.25,33.5,-75.18,90.36,-6.35,-9.23,1.28,1.1,0.58,0.58,0.58,0.61,43.17,0,-100.75,90.15,-9.39,-11.18,0.06,-0.13,0.58,0.58,0.58,0.61,43.34,169.13,-38.33,90.49,-1.75,-7.1,2.3,1.77,0.58,0.58,0.58,0.61,0,1.17,0.09
"1981-01-11",43.13,33.68,-59.1,90.27,-7.86,-10.58,1.23,1.12,0.58,0.58,0.58,0.61,43.02,0,-95.28,89.95,-13.02,-14.84,0.72,0.26,0.58,0.58,0.58,0.61,43.17,168.7,-36.8,90.42,-0.42,-5.23,1.56,1.55,0.58,0.58,0.58,0.61,0,1.1,0.09
"1981-01-12",42.83,33.91,-55.97,89.97,-3.05,-6.99,1.71,0.62,0.58,0.58,0.58,0.61,42.51,0,-99.35,89.75,-9.48,-11.35,1.12,-0.61,0.58,0.58,0.58,0.61,43.02,168.74,-1.99,90.24,3.29,-3.82,2.43,1.46,0.58,0.58,0.58,0.61,0,2.41,0.09
"1981-01-13",42.39,32.81,-62.45,90.39,-5.52,-8.17,1.41,0.85,0.58,0.58,0.58,0.61,42.18,0,-92.13,90.27,-9.78,-11.56,0.86,-0.14,0.58,0.58,0.58,0.61,42.5,161.08,-42.37,90.53,2.13,-3.36,2.26,1.3,0.58,0.58,0.58,0.61,0,1.82,0.09
"1981-01-14",42,33.92,-55.75,90.47,-4.85,-7.82,0.97,0.82,0.58,0.58,0.58,0.61,41.72,0,-93.01,90.42,-9.86,-11.6,-0.42,-0.33,0.58,0.58,0.58,0.61,42.17,168.5,-19.84,90.55,2.59,-2.66,1.7,1.6,0.58,0.58,0.58,0.61,0,2.09,0.08
"1981-01-15",41.64,35.62,-65.69,90.2,-5.4,-8.11,-1.05,1.28,0.58,0.58,0.58,0.61,41.51,0,-97.03,89.89,-9.55,-11.93,-2.06,0.84,0.58,0.58,0.58,0.61,41.71,176.47,-31.2,90.44,1.7,-3.62,0.03,1.52,0.58,0.58,0.58,0.61,0,1.64,0.08
"1981-01-16",41.44,36.77,-67.49,89.64,-8.81,-11.94,0.22,0.93,0.58,0.58,0.58,0.61,41.33,0,-101.77,89.46,-14.37,-16.41,-1.15,0.31,0.58,0.58,0.58,0.61,41.51,182.7,-40.16,89.87,-1.79,-6.64,1.24,1.36,0.58,0.58,0.58,0.61,0.01,1.8,0.08
"1981-01-17",41.24,40.61,-78.55,89.1,-11.01,-15.83,1.71,0.87,0.58,0.58,0.58,0.61,41.04,0,-117.53,88.84,-19.87,-22.52,0.61,0.27,0.58,0.58,0.58,0.61,41.32,194.65,-59.98,89.41,-3.34,-8.84,2.99,1.48,0.58,0.58,0.58,0.61,0,2.74,0.08
"1981-01-18",40.88,37.63,-74.6,89.53,-2.21,-5.65,1.53,1.17,0.58,0.58,0.58,0.61,40.69,0,-98.54,89.25,-4.68,-8.86,0.39,0.43,0.58,0.58,0.58,0.61,41.03,183.67,-54.45,89.69,2.36,-2.5,2.55,2.13,0.58,0.58,0.58,0.61,0,3.01,0.07
"1981-01-19",39.79,37.18,-56.85,89.45,-1.47,-3.38,1.19,1.4,0.59,0.58,0.58,0.61,38.52,0,-86.47,89.26,-5.71,-7.07,0.79,0.76,0.58,0.58,0.58,0.61,40.69,178.33,-36.1,89.62,4.96,0.32,1.66,1.76,0.61,0.58,0.58,0.61,0,1.76,0.07
"1981-01-20",37.69,39.08,-65.46,89.65,1.09,-1.5,0.58,1.06,0.61,0.58,0.58,0.61,36.56,0,-90.89,89.24,-2.08,-3.09,-1.98,0.19,0.6,0.58,0.58,0.61,38.52,186.07,-27.78,89.9,6.48,0.23,2.33,2.03,0.62,0.58,0.58,0.61,0,2.49,0.07
"1981-01-21",36.16,33.09,-59.81,89.66,-1.3,-3.74,0.79,1.02,0.62,0.58,0.58,0.61,35.59,0,-73.37,89.47,-8.13,-9.36,-1.51,0.33,0.61,0.58,0.58,0.61,36.56,161.17,-32.94,89.9,3.58,-0.99,2.51,2.16,0.62,0.59,0.58,0.61,0,2.46,0.07
"1981-01-22",34.58,33.26,-48.46,89.26,1.21,-1.52,0.54,1.47,0.62,0.59,0.58,0.61,33.09,0,-80.57,88.99,-2.81,-4.09,-1.67,0.69,0.61,0.59,0.58,0.61,35.58,184.69,-9.9,89.71,5.02,0.27,1.82,2.15,0.63,0.59,0.58,0.61,0,3.13,0.06
"1981-01-23",32.33,28.3,-33.15,89.2,0.55,-0.83,1.13,-0.06,0.63,0.59,0.58,0.61,31.48,0,-70.21,89.04,-2.1,-2.96,0.19,-1.71,0.63,0.59,0.58,0.61,32.98,137.96,-6.98,89.3,3.16,0.28,1.74,1.45,0.64,0.6,0.58,0.61,0.79,2.08,0.07
"1981-01-24",31.86,43.72,-70.04,89.29,-2.99,-5.96,2.01,-0.8,0.63,0.6,0.58,0.61,31.65,0,-100.07,89.13,-5.88,-7.88,1.52,-1.75,0.62,0.6,0.58,0.61,31.99,205,-30.14,89.42,0.4,-3.01,2.48,0.04,0.63,0.6,0.58,0.61,0.01,3.16,0.07
