"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",45.22,24.67,-56.46,90.69,-6.61,-12.9,1.7,-0.31,0.4,0.39,0.39,0.39,45.1,0,-80.59,90.28,-10.14,-15.92,0.41,-2.07,0.4,0.39,0.39,0.39,45.26,135.82,-37.54,91.26,-2.28,-10.35,2.93,1.07,0.4,0.39,0.39,0.39,0,1.19,NA
"1981-01-02",45.04,22.27,-51.84,90.48,-10.84,-13.57,0.19,0.49,0.39,0.39,0.39,0.39,45,0,-72.67,90.19,-14.54,-16.36,-1.08,-1.47,0.39,0.39,0.39,0.39,45.09,116.46,-33.07,90.68,-7.87,-11.03,1.9,1.53,0.4,0.39,0.39,0.39,0,0.62,NA
"1981-01-03",44.94,26.31,-60.95,90.15,-6.81,-13.53,2.31,-0.71,0.39,0.39,0.39,0.39,44.84,0,-90.89,90.04,-11.59,-16.98,1.81,-1.05,0.39,0.39,0.39,0.39,45,141.47,-48.65,90.27,-2.15,-9.76,2.63,0.03,0.39,0.39,0.39,0.39,0,1.22,NA
"1981-01-04",44.67,22.5,-53.14,90.24,-0.17,-4.99,3.35,-0.86,0.39,0.39,0.39,0.39,44.5,0,-88.85,90.17,-4.74,-10.83,2.72,-1.51,0.39,0.39,0.39,0.39,44.83,120.38,-21.51,90.32,2.34,-1.32,4.02,-0.2,0.39,0.39,0.39,0.39,0.18,6.93,NA
"1981-01-05",44.57,25.76,-65.64,90.63,-2.03,-4.47,3,-1.28,0.39,0.39,0.39,0.39,44.47,0,-93.23,90.29,-6.67,-8.31,0.63,-2.27,0.39,0.39,0.39,0.39,44.66,137.77,-18.95,90.87,0.68,-2.41,4.77,-0.29,0.39,0.39,0.39,0.39,0.18,5.52,NA
"1981-01-06",46.18,7.18,-16.56,89.98,-4.59,-6.59,0.55,0.51,0.39,0.39,0.39,0.39,44.47,0,-64.9,89.41,-8.61,-10.24,-1.66,-2.3,0.39,0.39,0.39,0.39,49.82,41.03,8.7,90.82,0.95,-2.5,4.68,1.81,0.39,0.39,0.39,0.39,5.4,2.35,NA
"1981-01-07",49.97,21.24,-38.84,90.02,-2.33,-3.92,1.94,-0.89,0.39,0.38,0.39,0.39,49.8,0,-76.31,89.65,-3.9,-4.89,0.34,-2.49,0.39,0.38,0.39,0.39,50.76,127.91,-7.08,90.2,-0.26,-3.19,4.47,0.52,0.39,0.39,0.39,0.39,1.19,2.85,NA
"1981-01-08",51.75,11.8,-12.11,90.42,-6.38,-7.66,-0.96,-0.05,0.39,0.38,0.39,0.39,50.92,0,-19.73,89.96,-11.22,-12.64,-2.12,-1.33,0.39,0.38,0.39,0.39,52.21,69.19,-4.23,90.78,-3.3,-3.86,1.27,1.35,0.39,0.38,0.39,0.39,1.58,0.74,NA
"1981-01-09",53.16,19.69,-31.19,90.36,-7.14,-9.34,0.07,0.84,0.39,0.38,0.39,0.39,52.24,0,-69.43,90.2,-10.76,-12.07,-2.07,0.11,0.38,0.38,0.39,0.39,53.63,105.83,3.18,90.58,-3.01,-6.12,2.67,1.29,0.39,0.38,0.39,0.39,1.44,0.86,NA
"1981-01-10",53.49,28.72,-72.53,90.79,-4.83,-8.17,1.41,0.53,0.38,0.38,0.39,0.39,53.38,0,-98.28,90.51,-7.23,-10.53,-0.05,-0.21,0.38,0.38,0.39,0.39,53.56,149.38,-41.18,90.93,-0.59,-6.17,2.68,1.46,0.38,0.38,0.39,0.39,0,1.32,NA
"1981-01-11",53.34,28.95,-56.16,90.72,-2.85,-9.51,1.03,-0.09,0.38,0.38,0.39,0.39,53.29,0,-88.98,90.41,-7.57,-11.96,-0.36,-0.55,0.38,0.38,0.39,0.39,53.38,149.08,-37.98,90.87,1.39,-4.83,1.77,0.59,0.38,0.38,0.39,0.39,0,0.55,NA
"1981-01-12",53.19,29.16,-53.73,90.36,-1.66,-7.99,2.14,-0.52,0.38,0.38,0.39,0.39,52.99,0,-93.84,90.18,-5.22,-12.72,0.12,-1.36,0.38,0.38,0.39,0.39,53.29,149.73,3.07,90.62,3.08,-4.42,3,0.86,0.38,0.38,0.39,0.39,0,3.25,NA
"1981-01-13",52.91,29.57,-68.24,90.83,-2.39,-6.09,1.78,-0.49,0.38,0.38,0.39,0.39,52.77,0,-93.55,90.67,-4.24,-8.15,0.97,-0.91,0.38,0.38,0.38,0.39,52.98,151.67,-43.36,90.96,1.98,-3.92,2.18,0.04,0.38,0.38,0.39,0.39,0,1.64,NA
"1981-01-14",52.73,29.96,-63.79,90.95,-3.69,-6.38,0.67,-0.12,0.38,0.38,0.38,0.39,52.68,0,-87.81,90.89,-7.49,-8.89,-1.38,-1.16,0.38,0.38,0.38,0.39,52.77,153.98,-51.69,91.01,2.29,-3.24,2.15,1.22,0.38,0.38,0.38,0.39,0,0.78,NA
"1981-01-15",52.68,24.91,-42.17,90.83,-7.33,-8.74,-0.92,1.14,0.38,0.38,0.38,0.39,52.65,0,-75.37,90.52,-9.78,-10.77,-1.37,0.48,0.38,0.38,0.38,0.39,52.7,134.84,-2.53,91.02,-3.16,-6.29,-0.48,1.61,0.38,0.38,0.38,0.39,0.01,0.55,NA
"1981-01-16",52.62,25.82,-57.76,90.21,-7.28,-10.63,-0.3,1.01,0.38,0.38,0.38,0.39,52.53,0,-92.47,90.08,-11.76,-13.42,-0.92,0.59,0.38,0.38,0.38,0.39,52.65,127.03,-10.8,90.49,-2.59,-7.02,0.02,1.41,0.38,0.38,0.38,0.39,0.01,1.03,NA
"1981-01-17",52.47,34.95,-73.28,89.58,-8.43,-14.22,0.23,0.5,0.38,0.38,0.38,0.39,52.37,0,-106.52,89.3,-12.08,-17.31,-1.29,-0.87,0.38,0.38,0.38,0.39,52.52,172.79,-53.65,89.97,-4.97,-11.37,2.59,1.1,0.38,0.38,0.38,0.39,0,1.3,NA
"1981-01-18",52.23,33.48,-69.6,89.91,-2.49,-7.33,1.91,0.45,0.38,0.38,0.38,0.39,52.07,0,-96.61,89.58,-6.85,-13.23,0.87,-0.26,0.38,0.38,0.38,0.39,52.36,165.55,-52.31,90.05,2.97,-2.94,3.12,1.24,0.38,0.38,0.38,0.39,0,2.9,NA
"1981-01-19",51.33,33.1,-52.28,89.87,-0.07,-4.11,1.38,0.89,0.39,0.38,0.38,0.39,50.13,0,-84.92,89.68,-4.64,-8.26,0.75,0.18,0.38,0.38,0.38,0.39,52.06,164.15,-25.21,90.03,5.62,-0.14,1.96,1.28,0.4,0.38,0.38,0.39,0,1.55,NA
"1981-01-20",48.94,34.15,-63.32,90.1,2.1,-1.44,1.46,-0.04,0.41,0.38,0.38,0.39,47.7,0,-92.78,89.66,-0.74,-3.36,-1.5,-1.13,0.4,0.38,0.38,0.39,50.12,167.44,-31.38,90.44,4.77,0.35,2.84,1.17,0.42,0.38,0.38,0.39,0,2.43,NA
"1981-01-21",47.4,30.93,-57.51,90.17,-0.37,-2.69,-0.02,0.51,0.41,0.38,0.38,0.39,46.82,0,-75.08,90.04,-5.43,-5.96,-2.36,-0.8,0.41,0.38,0.38,0.39,47.71,156.38,-44.87,90.34,3.87,-0.94,2.39,1.93,0.42,0.39,0.38,0.39,0,2.13,NA
"1981-01-22",45.74,33.7,-52.68,89.74,1.86,-1.49,0.51,0.44,0.42,0.39,0.38,0.39,43.57,0,-78.87,89.44,-0.44,-3.47,-1.83,-1.34,0.41,0.39,0.38,0.39,46.81,169.07,-23.58,90.19,5.41,0.18,2.61,1.7,0.44,0.39,0.38,0.39,0,3.34,NA
