"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",43.1,21.96,-62.08,92.43,-7.63,-11.81,0.83,1.36,0.39,0.37,0.37,0.36,43.02,0,-79.64,92.05,-9.98,-13.72,-0.58,-0.01,0.39,0.37,0.37,0.36,43.14,124.1,-44.93,92.97,-3.09,-9.54,2.39,2.35,0.39,0.37,0.37,0.36,0,0.54,NA
"1981-01-02",43,20.25,-45.03,92.16,-9.85,-13.09,-0.15,1.59,0.38,0.37,0.37,0.36,42.95,0,-72.04,91.85,-14.91,-17.07,-0.93,0.75,0.38,0.37,0.37,0.36,43.02,108.22,-17.78,92.41,-4.78,-9.24,1.39,2.3,0.39,0.37,0.37,0.36,0,0.43,NA
"1981-01-03",42.9,23.74,-59.1,91.88,-7.24,-12.86,1.53,1.59,0.38,0.37,0.37,0.36,42.83,0,-77.14,91.79,-10.08,-15.18,0.94,0.84,0.38,0.37,0.37,0.36,42.95,131.42,-49.05,91.97,-4.04,-10.21,1.98,2.11,0.38,0.37,0.37,0.36,0,0.67,NA
"1981-01-04",42.72,21.73,-50.37,91.95,-0.25,-4.3,2.86,0.71,0.38,0.37,0.37,0.36,42.62,0,-86.55,91.86,-4.36,-9.86,1.96,-0.23,0.38,0.37,0.37,0.36,42.82,114.69,-10.48,92.04,2.21,-1.12,3.71,1.79,0.38,0.37,0.37,0.36,0.21,3.79,NA
"1981-01-05",42.98,23.72,-61.8,92.41,-2.3,-4.31,2.52,0.1,0.38,0.37,0.37,0.36,42.81,0,-92.82,92.04,-8,-9.36,-0.23,-0.88,0.38,0.37,0.37,0.36,43.11,128.4,-7.16,92.63,1,-2.01,4.31,1.44,0.38,0.37,0.37,0.36,0.5,3.23,NA
"1981-01-06",44.99,5.86,-20.31,91.63,-3.37,-5.81,0.62,1.28,0.38,0.37,0.37,0.36,42.96,0,-59.47,91.16,-8.79,-10.46,-1.59,-1.52,0.38,0.37,0.37,0.36,48.97,35.06,0.89,92.52,0.88,-1.88,4.2,2.57,0.38,0.37,0.37,0.36,6.12,2.44,NA
"1981-01-07",49.33,19.39,-35.93,91.78,-3.15,-4.38,1.2,-0.05,0.38,0.37,0.37,0.36,48.99,0,-66.48,91.46,-5.44,-6.28,-0.17,-1.39,0.37,0.37,0.37,0.36,50.08,114.93,-8.63,91.94,-0.62,-2.85,3.75,0.87,0.38,0.37,0.37,0.36,1.26,1.05,NA
"1981-01-08",51.79,12.56,-18.63,92.16,-6.41,-7.79,-1.07,-0.2,0.37,0.37,0.37,0.36,50.29,0,-50.22,91.7,-10,-11.89,-2,-1.45,0.37,0.37,0.37,0.36,52.19,72.89,1.59,92.44,-3.05,-3.49,0.81,1.92,0.37,0.37,0.37,0.36,2.21,0.72,NA
"1981-01-09",52.79,21.23,-45.78,91.97,-4.87,-7.7,-0.03,1.92,0.37,0.37,0.37,0.36,52.16,0,-77.59,91.83,-9.45,-11.18,-2.18,1.3,0.37,0.37,0.37,0.36,53.19,120.96,-5.54,92.18,-1.62,-5,2.11,2.74,0.37,0.37,0.37,0.36,1.08,1.94,NA
"1981-01-10",53.01,26.08,-72.77,92.45,-3.67,-7.04,0.78,1.96,0.37,0.37,0.37,0.36,52.85,0,-95.25,92.21,-6.22,-8.44,-0.4,1.38,0.37,0.37,0.37,0.36,53.08,138.72,-41.68,92.56,-1.86,-5.54,2.16,2.57,0.37,0.37,0.37,0.36,0,2.12,NA
